web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,position,data15,image,data16,data17,data18,data19,data20,image2,image3,data4
1775582602-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Gracias por todo,Peyton L,La comida fue más o menos pero la sangría fue buenisimo. La atmósfera fue bonita y nuestra mesera era muy amable. Gracias por todo,Escrita el 24 de junio de 2025,1 contribución,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,,,,,
1775582602-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Repetiría sin duda,Marc T,"Experiencia muy agradable, María me atendió de manera impecable, rápida y eficaz. Cuando vueñva a Madrid repetiré sin duda.",Escrita el 24 de junio de 2025,1 contribución,"Barcelona, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,,,,,
1775582602-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Buena atención de María,Juan Francisco M,"Buena pizza e y atención del personal. La pizza estuvo muy buena y los tintos de verano fueron deliciosos, volvería sin duda.",Escrita el 24 de junio de 2025,3 contribuciones,"Lima, Perú",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,3.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,,,,,,
1775582602-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Todo genial,Monica D,"Todo genial, muy rico y nos atendieron fenomenal.       Maria: un cielo  Todo un acierto la cocina continua, repetiremos seguro",Escrita el 23 de junio de 2025,3 contribuciones,3 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,3.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,,,,
1775582602-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Volveré!,karla s,"Excelente lugar, la comida demasiado buena, me encantó todo! Lo recomiendo al mil… Me atendió Maria, buen servicio, y muy atenta!",Escrita el 15 de junio de 2025,3 contribuciones,3 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,3.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,,,,,
1775582582-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,María,Sofia A,"Delicioso todo! Nos encantó la comida y el trato!!! Comimos un pan de ajo, y compartimos dos pastas. Los gnocchi super recomendables y la pasta trufada!! Ufff delicioso todo!! Y ahora viene el tiramisú 😌",2 contribuciones,Escrita el 16 de julio de 2025,,,,,,,,,2.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,0.0,,,
1775582582-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,,,,,,Leer ahora,Quédate y descubre los tesoros ocultos de Hiroshima — de la paz a la aventura,"Ruta dorada, final de platino — Hiroshima eleva tu viaje por Japón.",Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/dd/ae/caption.jpg?w=400&h=400&s=1&cx=4096&cy=2752&chk=v1_4cc8bb50a02acd7b87cb,En colaboración con Hiroshima Tourism(HIT),,,,,,,
1775582582-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Servicio y comida italiana sencilla pero bien elaborada.,Javier P,"María me atendió genial agradable preocupada por qué los comensales estén atendidos y la comida estaba muy rica. Mucho mejor el servicio de camareros, que el de los jefes de sala o encargados que sonreír es gratis por mucho pinganillo que lleve.",2 contribuciones,Escrita el 16 de julio de 2025,,,,,Ambiente,Calidad/precio,Servicio,Comida,2.0,La founde de quesos italianos.,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,
1775582582-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Recomendable,Jet446812,"Los empleados muy amables y la comida muy buena, calidad-precio.
El sitio agradable a pesar de estar en una mesa cerca del baño.",1 contribución,Escrita el 15 de julio de 2025,,,,,Ambiente,Calidad/precio,Servicio,Comida,1.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,
1775582582-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Delicioso,meliza m,"Excelente atención, sabor , presentación y ubicación ❤️ 
Perfecto para descansar de las compras con una inmejorable comida",3 contribuciones,Escrita el 15 de julio de 2025,,,,,Ambiente,Calidad/precio,Servicio,Comida,3.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/7a/a3/ec/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,
1775582582-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Excelente precio y calidad,Michell P,"Nos encanto la atmosfera del lugar, súper elegante y la comida estuvo espectacular. Tanto las pastas como la pizza. Queremos hacer una mención especial al camarero Marcello, quien nos atendio súper formal y nos presto muy buen servicio.",1 contribución,Escrita el 14 de julio de 2025,,,,,Ambiente,Calidad/precio,Servicio,Comida,1.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,
1775582582-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Excelente  lugar,Carlos S,"El sitio a bonito. Excelente atención espacial.e te se Maria. El lugar muy acogiste, ex exente comida. Es para volver y venir a visitar.",1 contribución,Escrita el 13 de julio de 2025,,,,,Ambiente,Calidad/precio,Servicio,Comida,1.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,
1775582582-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,,,,,,Explora ahora,Descubre Prefectura de Hiroshima,Descubre por qué a los viajeros como tú les encanta Prefectura de Hiroshima,Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/d4/06/8d/dsc-0685-largejpg.jpg?w=400&h=400&s=1,Patrocinado por Hiroshima Tourism(HIT),,,,,,,
1775582582-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Buen restaurante italiano,Sightseer66869355799,Me encanto la variedad que tuvieron y estaba riquísima la comida. Nuestra mesera Lissett fue muy atenta y agradable con nosotros!,1 contribución,Escrita el 13 de julio de 2025,,,,,,,,,1.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/76/21/3f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,
1775582582-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Excelente experiencia en Oven,Diego M,"Maria fue quien nos ayudó durante el almuerzo y su servicio fue excelente, muy atenta en todo momento y siempre buscando la mejor experiencia. Nos sorprendió la rapidez en la que estuvo la comida, además de su excelente sabor (focaccina tarfufatta y milanesa napolitana). Muy recomendado.",1 contribución,Escrita el 13 de julio de 2025,,,,,,,,,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,
1775582582-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Excelentes tragos con impecable atención,Octavio Emilio C,"Excelente y muy cálida atención por parte de María, quien siempre estuvo dispuesta y a la orden para todos los pedidos además de su calidez en el trato.",1 contribución,Escrita el 11 de julio de 2025,,,,,,Calidad/precio,Servicio,Ambiente,1.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,
1775582582-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Todo fenomenal,Joaquin C,"La comida y el servicio excelente, nos atendió María. Pedimos la pizza original y la pasta rellena de queso. Todo un acierto.",2 contribuciones,Escrita el 10 de julio de 2025,,,,,Ambiente,Calidad/precio,Servicio,Comida,2.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,
1775582582-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Increíble restaurante Italiano en la Gran Vía de Madrid,Sam,"Vinimos con nuestros niños y les encantó la pasta casera, la textura de los espaguetis estaba en su punto perfecto. El personal fue increíble, especialmente Marcelo.",19 contribuciones,Escrita el 8 de julio de 2025,,,,,,,,,19.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,
1775582582-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,,,,,,Explora ahora,Descubre Hiroshima,Descubre por qué a los viajeros como tú les encanta Hiroshima,Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a4/aa/02/caption.jpg?w=400&h=400&s=1,Patrocinado por Hiroshima Tourism(HIT),,,,,,,
1775582582-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Bueno bueno y servicio,Shif M,"Recibimos servicio de Marcello, él fue muy amable y gentil, la comida estaba muy sabrosa y llegó rápido. 
Y además sabe muy bien Inglés . 
Recomendado !",3 contribuciones,Escrita el 8 de julio de 2025,,,,,,,,,3.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/66/5c/3e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,
1775582582-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Buen provecho,Diego F,"Muy rico todo y recomendado y excelente atención .. Gracias lisset por la atención ☺️. 

Si estás por madrid ven a este sitio",5 contribuciones,Escrita el 7 de julio de 2025,,,,,Ambiente,Calidad/precio,Servicio,Comida,5.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/66/50/e3/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,
1775582582-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Volveremos seguro,Ana C,"El mejor italiano en la zona centro. Comida de calidad a un buen precio. El trato de Lisset exquisito.
Volveremos seguro en otra visita a Madrid.",1 contribución,Escrita el 7 de julio de 2025,,,,,,,,,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,
1775582582-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Comida muy rica y atención impeclable,AlvaroNoReason,"Muy buena comida y la atención de María que nos atendió muy buena. Servicio ha sido excelente, repetiría sin duda. Muchas gracias.",2 contribuciones,Escrita el 5 de julio de 2025,,,,,,,,,2.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,
1775582554-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Sergio G,Buena comida y buena atención,Muy buena atención! Y la comida muy bien: pedimos dos pizzas (la de trufa y la especial) María nos trató muy bien :) recomendado,Escrita el 3 de agosto de 2025,1 contribución,¡Muchas gracias por tu recomendación! Nos alegra saber que disfrutaste de nuestras pizzas y que María te atendió tan bien. Esperamos verte pronto de nuevo para que sigas probando más de nuestros platos.,1 contribución,Jaime Vicente,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,Escrita el 18 de agosto de 2025,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,
1775582554-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Jose Angel A,Relación calidad precio muy correcta,"Nos atendió María y comimos genial, la comida muy rica y un precio bastante razonable. La ubicación muy buena si estás paseando por el centro",Escrita el 3 de agosto de 2025,11 contribuciones,"¡Muchas gracias por tu reseña! Nos alegra saber que María te atendió tan bien y que disfrutaste de la comida, el precio y la ubicación. Esperamos verte pronto de nuevo, será un placer recibirte en el centro de Madrid.","Elche, España",Jaime Vicente,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",11.0,Escrita el 18 de agosto de 2025,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,
1775582554-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Susana A,Buen comida y servicio,La comida y el servicio de María estuvieron muy bien. Pedimos pasta y un entrante y todo era de muy buena calidad. Definitivamente volveré,Escrita el 31 de julio de 2025,1 contribución,¡Muchas gracias por tu comentario! Nos alegra saber que tanto la comida como el servicio de María cumplieron tus expectativas. Nos encanta que hayas disfrutado la pasta y el entrante. Será un placer recibirte de nuevo muy pronto.,1 contribución,Jaime Vicente,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,Escrita el 18 de agosto de 2025,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,
1775582554-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Aroha C,Buenísima experiencia,"Buenísima comida y excelente trato por parte del personal, especialmente María, que se preocupó muy amablemente en todo momento de que tuvieramos la mejor experiencia.",Escrita el 26 de julio de 2025,1 contribución,,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,,
