web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,data21,data22,image3
1775737837-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Todo genial,Samuel A,Fuimos al de la calle ibiza y nos atendió Sandra. Muy maja y comida buenísima. Clientes habituales porque nos gusta muchísimo y la atención siempre exquisita,2 contribuciones,Escrita el 2 de agosto de 2024,2.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737837-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Comida rica y atención excelente,Silvia G,Sandra nos atendió fenomenal. La comida deliciosa. Un 10. Volveremos seguro porque es de los mejores sitios para comer sushi.,1 contribución,Escrita el 30 de julio de 2024,1.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737837-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Atención y deliciosa comida,Cosmopolitan8118,"Un sitio genial, la comida increíble, la atención excelente. Antonio fue muy amable, muy dispuesto y gracias a el, hemos podido comer con palitos!!!!!! Volveremos sin duda",1 contribución,Escrita el 29 de julio de 2024,1.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737837-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Tsunamiiiiii,MPH P,"Fantástico! El tsunami se ha convertido en un clásico en la familia y José el camarero más majete! 
……………………………………………..",1 contribución,Escrita el 28 de julio de 2024,1.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737837-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,MUY BUENA COMIDA. DÉJATE RECOMENDAR POR JOSÉ,Ruben A,"Muy buena experiencia, hemos comido muy bien recomendado por Jose. Repetiremos cuando volvamos a Madrid. Recomiendo el postre Mangetsu 100%",19 contribuciones,Escrita el 28 de julio de 2024,19.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Castellón de la Plana, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737821-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Cena noche,Carolina Avendaño,"Sushi muy bueno, excelente atención por Robert. Gracias por esta experiencia tan buena. Volveré sin fufa. Todo recomendable.",1 contribución,Escrita el 18 de octubre de 2024,1.0,1 contribución,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737821-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Recomendable.,Victoria D,Recomendable 100%. Un sitio tranqui donde hacer cualquier comida. Cenamos y estaba todo rico. Antonio nos atendió super bien y fue muy atento!!!,16 contribuciones,Escrita el 17 de octubre de 2024,16.0,16 contribuciones,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737821-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,"comida excelente, servicio deja que desear",Lara E,"Fui con mi madre y nos pedimos el menú del día, la comida estaba riquísima, pero el servicio fue peor, ya que el entrante y el primer plato nos lo trajeron a la vez y el segundo tardo más y en tiempos desigualados, una vez que ya me había terminado mi plato se lo trajeron a mi madre, y no recogían la mesa, pero eso si la comida estaba espectacular y el sitio acogedor",23 contribuciones,Escrita el 10 de octubre de 2024,23.0,"Madrid, España",Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737821-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Muy bien!,Elena R,Nos han tratado genial… Antonio ha flambeado el sushi como nadie!!! Y nos ha recomendado los platos geniales… repetiremos seguro 10 de 10,57 contribuciones,Escrita el 7 de octubre de 2024,57.0,"Barcelona, España",Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737821-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Excelente atención,Rodnyc6,"Excelente atención, buen ambiente, comida calidad/precio y muy agradable el trato por parte de Antonio. Recomendado 😉",4 contribuciones,Escrita el 6 de octubre de 2024,4.0,"Madrid, España",Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737821-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Antonio de Sibuya es súper 9”nuestro chico de sushi!,John H,Buen sushi y gran servicio. Antonio era un camarero maravilloso. Bonito y limpio restaurante de sushi con baños limpios y un excelente servicio. La comida era muy buena y buenos precios.,1 contribución,Escrita el 30 de septiembre de 2024,1.0,1 contribución,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737821-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Buena calidad,Ivan G,"Un buen sitio para comer sushi si te gusta el sushi,la atención muy.buena sobre todo del camarero que nos atendió que su nombre era Antonio",1 contribución,Escrita el 27 de septiembre de 2024,1.0,1 contribución,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737821-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Excelente experiencia con amigas y muy buena atención,Magali F,"Fuimos 6 amigas, llegamos y la mesa ya nos estaba esperando. Nos atendió José, un divino, súper atento al igual que todo el personal. Nos gustó mucho la experiencia, fuimos por el menú ejecutivo. Las piezas free style a elección del sushiman increíbles. Lo más importante es que la comida llegó muy rápido, una vez que ordenamos y que llegaron todos los platos al mismo. Algo que para mí, siendo 6 personas, es clave para poder disfrutar todas al mismo tiempo.",28 contribuciones,Escrita el 20 de septiembre de 2024,28.0,28 contribuciones,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
