web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,position,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,data19,image3,data20,data21,data22,data23,data24
1775472540-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Experiencia en Oven,Daniela S,"Buenas recomendaciones de platos por parte de Jessika ✨ una persona muy amable, carismática y ofreció un gran servicio.",1 contribución,Escrita el 14 de junio de 2024,1 contribución,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,,,,,
1775472540-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,"Estupendo, Restaurante",Carubla,La comida ha sido excelente y el servicio una maravilla. Chenoa y Brian son encantadores. Hemos pasado una velada estupenda y el ambiente es estupendo también,24 contribuciones,Escrita el 12 de junio de 2024,"Madrid, España",24.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1c/47/92/carubla.jpg?w=100&h=-1&s=1,,,,,,,
1775472540-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Pasta casera en Madrid,Hilaryvalente,La comida era increíble. Vinimos como una familia de habla inglesa y lo intentamos con un mínimo de español. Nuestra camarera (Chenoa) no ofreció que hablaba inglés hasta que luchábamos un poco. No estoy seguro de si eso nos iba a desafiar (cosa que agradecería) o porque ella no quería hablar inglés. No fue hasta que me pidieron que diera esta reseña que inició un inglés muy claro con nosotros (en lugar de “ceder”). PERO ella era adorable de cualquier manera y pensamos que era dulce.,17 contribuciones,Escrita el 12 de junio de 2024,Plano,17.0,Mostrar original,,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,,,,,
1775472540-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Excelente servicio,Fearless25858078736,Excelente servicio y calidad de producto. Belkis fue muy gentil. Vine porque me recomendaron el lugar. Recibí más de lo que esperaba. Muchas gracias.,1 contribución,Escrita el 12 de junio de 2024,1 contribución,1.0,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/8c/61/dd/caption.jpg?w=300&h=300&s=1,,,,,,,,
1775472540-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,The best pizza in madrid,rafi l,"Pizza muy sabrosa, segunda vez. Pastas excelentes, pastas deliciosas y un servicio encantador y sonriente por parte de Blacky y Hama. Gracias, definitivamente volveremos.",3 contribuciones,Escrita el 12 de junio de 2024,3 contribuciones,3.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,,,,
1775472511-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Mordida rápida,Pol,"El restaurante de pizza del molino. La pasta estaba demasiado cocida. La rebaba estaba bien, también el servicio. 
Más caro de lo que pensaba. No relación calidad-precio.",7 contribuciones,7,Escrita el 26 de enero de 2025,,7 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,0,,,,,,
1775472511-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,¡Aléjate!,Megan H,"Vinimos aquí como 2 parejas, leí comentarios increíbles en línea y me encanta el italiano, así que pensé que sería perfecto. 
Nuestro camarero tardó años en tomar nuestro pedido y una vez que lo tomó nos lo repitió y confirmamos. Luego se olvidó de nuestra burrtara después de preguntar dos veces, simplemente nunca llegó y se movieron a la red sin disculparse, así que estábamos un poco confundidos. La red era horrible. Al instante envié el mío de vuelta y ni siquiera quería obtener nada más del menú que estaba tan horrorizado. Pasta ‘fresca’ insípida - Tengo la de trufa, ¿cómo puede saber a nada? La carbonara era hortera y el huevo en ella estaba mal cocido que tenía una extraña consistencia goopy que nos hizo sentir mal. Siento que todas las buenas críticas deben ser falsas, evitar a toda costa",13 contribuciones,13,Escrita el 26 de enero de 2025,,13 contribuciones,,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,0,,,,,,
1775472511-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Atencion estupenda de las camareras y sobretodo de Abel.,Juanjose D,"Sitio muy agradable en plena gran via de madrid, la parte de arriba muy tranquila y vale la pena simplemente por encontrarte con la amabilidad de Abel, un camarero atento y muy educado la comida es buena.
Muy recomendable.",21 contribuciones,21,Escrita el 30 de noviembre de 2024,,"Castellón de la Plana, España",Calidad/precio,Ambiente,Servicio,Comida,,Si quereis cocina italiana este es vuestro restaurante en madrid,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,0,,,,,,
1775472511-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Buena comida y mejor servicio,gaditana guapa,"El sitio es monisimo. Muy chic. La comida muy buena y el servicio fantástico.  Fuimos atendidos por una chica llamada Chenoa, súper amable y súper profesional. Muchas gracias por todo. Lo recomendaremos a nuestros amigos",10 contribuciones,10,Escrita el 25 de noviembre de 2024,,"Andalucía, España",Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,0,,,,,,
1775472511-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Terrible servicio,sanem m,"servicio fue el peor que hemos tenido, 
pizza vino mal, vino después de todo. esperó demasiado tiempo incluso el restaurante no estaba lleno",1 contribución,1,Escrita el 10 de noviembre de 2024,,1 contribución,,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,0,,,,,,
1775472511-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Tuve una mala experiencia en el restaurante: el servicio fue deficiente y los camareros nos trataron sin amabilidad.,Gohar T,Tuve una mala experiencia en el restaurante Oven. El servicio fue deficiente y los camareros nos trataron sin amabilidad.,1 contribución,1,Escrita el 6 de noviembre de 2024,,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,0,,,,,,
1775472511-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Recibimos un gran servicio de Onis que hizo la experiencia increíble. Es una estrella.,Laurence E,Buena comida. Servicio aún mejor. Es muy notable lo popular que es este restaurante con un servicio bien organizado y muchas gracias,1 contribución,1,Escrita el 5 de octubre de 2024,,1 contribución,,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,0,,,,,,
1775472511-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,cumplidor,Jose C,"Comida fabulosa y atención magnífica, el sitio muy acogedor, nos atendieron Karen y Estrella y muy bien.
Repetiré sin duda",1 contribución,1,Escrita el 4 de octubre de 2024,,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,0,,,,,,
1775472511-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Recomendación del local,Reyna Jubelkis S,Un gran sitio recomendable los camareros son geniales sin duda volveré todo está riquísimo 🤤 y el ambiente es super agradable,1 contribución,1,Escrita el 2 de octubre de 2024,,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,0,,,,,,
1775472511-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,El local,Sightseer54347542675,"Sitio agradable para venir tanto con amigos como con familia, el camarero Abel es una persona educada y atenta, sin duda volveré",1 contribución,1,Escrita el 2 de octubre de 2024,,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,0,,,,,,
1775472511-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Excelente comida,Sara P,"La comida estuvo deliciosa, la atención de Stephany estuvo muy buena y la experiencia estuvo excelente. Volvería aquí la próxima vez con mi pareja :)",1 contribución,1,Escrita el 29 de septiembre de 2024,,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,1,,,,,,
1775472511-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,¡Un lugar increíble!,Thea B,"Gran lugar, buena comida y Jessica, nuestra camarera, era súper encantador y divertido. Sin duda volviendo 👌🏼gracias a todos!",1 contribución,1,Escrita el 25 de septiembre de 2024,,1 contribución,,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,0,,,,,,
1775472511-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,"La comida es buena, salta los cócteles",Keri O,"Hubby y yo comimos aquí, ya que estaba cerca de nuestro hotel y estábamos cansados de nuestro tiempo en Madrid. La comida en sí era comida, pero no increíble. El servicio fue tan - tan - vimos salir 2 mesas porque no habían sido atendidas. Pero los cócteles eran otra historia. Hubby quería un vino de copa (por el menú), pero le dijeron que no estaba disponible. Solo 1 vino tinto estaba disponible, así que eligió eso. Pedí un mojito clásico - ron, jarabe simple, lima y menta. Esto sabía a limonada y dado que no vi ningún ron en el estante, no estoy seguro de qué licor había en él. La mesa de al lado los había criado también y quedaron intactos. En general, una experiencia abrumadora.",106 contribuciones,106,Escrita el 22 de septiembre de 2024,,"Concord, Carolina del Norte",,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/04/6d/68/caption.jpg?w=100&h=-1&s=1,,0,,,,,,
1775472511-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Espectacular 😻,Maru Pérez,"Un ambiente muy bueno, la comida espectacular, buenos precios, la atención fue muy buena también, para los amantes de esos sabores italianos de Casa es un 10 no probé la pizza, pero desde lejos tenía muy buena pinta…volveremos!!!",44 contribuciones,44,Escrita el 22 de septiembre de 2024,,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/4c/c0/8d/caption.jpg?w=100&h=-1&s=1,,1,,,,,,
1775472511-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Pésimo trato al cliente,lorena N,"Experiencia bastante mala. Después de haber hecho una reserva para 3 personas, nos colocaron en una mesa que no parecía ni mucho menos que estuviera preparada para nada. Tardaron muchísimo en atendernos hasta el punto que la pareja de al lado, entro mas tarde y ademas fue atendida antes. Tuvimos que levantarnos a pedir que por favor nos atendieran a lo que vinieron de mala gana. Les pedimos la opción de Menú del día, siendo conocedores de su existencia. Una vez llegaron las ensaladas de entrante ni siquiera nos proporcionaron nada para alinearlas. La comida esta bastante buena y no es la primera vez que acudimos al restaurante pero si la primera que el trato es tan desagradable. Una pena.",1 contribución,1,Escrita el 4 de septiembre de 2024,,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,0,,,,,,
1775472500-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Suuuper,Jelena G,"Tuve una experiencia maravillosa durante la cena, y gran parte del mérito se lo lleva María. Desde el primer momento fue amable, atenta y muy profesional. Nos recomendó platos deliciosos y siempre estuvo pendiente de que todo estuviera perfecto. Su actitud cálida y su sonrisa hicieron que la velada fuera aún más especial. ¡Un servicio impecable que hizo la cena inolvidable! Muchas gracias, María.",1 contribución,Escrita el 10 de mayo de 2025,1 contribución,1.0,Pizza,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,
1775472500-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Barato y en el Centro de Madrid,Reik2k,"Las pizzas muy ricas, el tinto de verano muy innovador con una espuma de cítricos muy rica.
Hemos disfrutado y son muy rápidos.",300 contribuciones,Escrita el 3 de mayo de 2025,"Valladolid, España",300.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/c4/42/cd/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/c4/42/ce/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/e3/16/bd/caption.jpg?w=100&h=-1&s=1,,,,,
1775472500-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,La pasta y muchas gracias a Chenoa y Yadira muy profesionales,Alejandro G,La comida me ha parecido extraordinaria el trato increíble las dos camareras muy agradables y muy atentas una gran valoración y volveré por supuesto,1 contribución,Escrita el 3 de mayo de 2025,1 contribución,1.0,No podéis perderos disfrutar de un sitio como este,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,,,
1775472500-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Muy buena pizza,Mari T,"Vinimos aquí sin reservas el jueves por la noche. 
Comimos bruscetta como entrada y pizza como principal. Las pizzas eran muy buenas. Muy recomendable. 
Era nuestra segunda vez aquí. La primera vez fue hace 3 años.",79 contribuciones,Escrita el 3 de mayo de 2025,79 contribuciones,79.0,,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,,,
