web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,image3,data4
1775578082-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,"Comida fantástica, gran servicio.",Sarit8,"Hermoso restaurante con comida excelente. Como sushi todo el tiempo en Los Ángeles, así que mis expectativas eran muy altas. ¡Sakale no decepcionó! Los propietarios son excepcionalmente amables y la comida es excelente. Algunos de mis favoritos que pedimos fueron la hamburguesa de sushi y las tortas de arroz. Una versión muy creativa del sushi, muy bien hecho. Visita obligada en Madrid.",116 contribuciones,116.0,Escrita el 10 de julio de 2025,,"Los Ángeles, California",,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/6e/b1/22/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/6e/b1/23/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/2e/5c/00/throb001.jpg?w=100&h=-1&s=1,
1775578082-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Sushi y margaritas,Cusanadi,"Hacía años que no veníamos y nos ha encantado, como siempre!
La comida muy rica!
Fajitas riquísimas además del sushi! 
La sangrienta muy buena y los margaritas espectaculares! 
Osiris y Jesus encantadores! Nos han tratado genial !",1 contribución,1.0,Escrita el 5 de julio de 2025,,"Madrid, España",,,,,,,,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,
1775578082-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Sushi increíble,Diego D,"Espectacular , trato genial !! 
Para los amantes del sushi , este es su sitio.
En pleno centro de Madrid en el barrio de Malasaña.",1 contribución,1.0,Escrita el 4 de julio de 2025,,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,
1775578082-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Lugar agradable,Alberto B,"Comida rica , bien preparada , bien presentada y variada .El servicio estuvo bien, el camarero era muy agradable y simpático.",149 contribuciones,149.0,Escrita el 3 de julio de 2025,,149 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/5c/26/35/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/5c/26/36/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,
1775578082-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,"Un restaurante japonés-caribeño (Sushi) en Makasan, Madrid",Boncuk12,"Es un restaurante de sushi mexicano - fusiano para la familia, lo llaman Japón tropical. 

 2 plantas, concepto de playa y mejor ambiente en el primer piso con arenas y acuario, también hay mesas altas, reserva no es obligatoria. 

He estado un par de veces con mis hijos durante 2 años, les encanta la hamburguesa de sushi. 
Los sushi no son tan especiales. 

Recomiendo; 
Hamburguesa de sushi
Sushi Pizza (ambos temas casi iguales con Burger) 
Atún picante",648 contribuciones,648.0,Escrita el 29 de junio de 2025,,"Estambul, Turquía",,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/51/c1/ec/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/51/c1/ed/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/95/avatar021.jpg?w=100&h=-1&s=1,
1775578062-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Recomendable,Juan S,Un asesoramiento muy bueno.Hemos venido para probar la gastronomía japonesa e Isa (una de sus camareras) nos ha recomendado muy bien. Y toda la comida muy buena.Lo recomiendo mucho,ago 2025 • En familia,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,Escrita el 13 de agosto de 2025
1775578062-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Buen sitio buena comida y buena atención,Academia U,"Sitio agradable y con buena comida, llegamos bastante tarde y nos dejaron comer por qué tienen cocína abierta toda la tarde ( punto muy positivo). La atención muy buena por parte de Alejandro. Volveremos seguro.",ago 2025,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,Escrita el 13 de agosto de 2025
1775578062-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Cita,Travis,"Lo disfruté mucho! Comida y bebidas buenas! Isa nos atendió bien, es muy amable. Yo personalmente 100% volvería a este sitio.",ago 2025,4.0,4 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,Escrita el 11 de agosto de 2025
1775578062-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Excelente lugar,Paola C,"Nos encantó el lugar, nos comimos un barco de sushi y estaba delicioso. Adicional la atención de Alejandro espectacular, es un lugar 10/10",ago 2025 • Parejas,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,,Escrita el 10 de agosto de 2025
1775578062-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,EXCELENTE EXPERIENCIA,Felipe P,"Excelente atención de Alejandro y la comida deliciosa. 1000/10 Volvería de nuevo, porque además tienen un sazón muy venezolano.",ago 2025 • Parejas,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,Escrita el 10 de agosto de 2025
1775578062-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Atención y carta maravilloso,Beatriz Bodas,"La comida está buenísima, el sushi está delicioso y los cócteles son una fantasía! El personal increíble! Osiris, Jesús y Alejandro han sido super atentos y muy simpáticos",ago 2025 • Amigos,4.0,4 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,Escrita el 10 de agosto de 2025
1775578062-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Rico rico,Alexander O,"Hey todo muy bueno de verdad, la comida rica, la música súper ambiente, la atención excelente y los cócteles muy rico, recomiendo el diva, y en la comida recomiendo el Sákale, buenisimo todo muchas gracias",ago 2025 • Parejas,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,Escrita el 10 de agosto de 2025
1775578062-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,muy buena atención,Lisett,"muy buena atención por parte de todo el equipo, los chicos muy majos y atentos. cantidad adecuada. el menú para dos de 70€ muy bien calidad precio",ago 2025 • Parejas,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,Escrita el 9 de agosto de 2025
1775578062-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,¡Gran comida!,celienpire,Gran comida y Servicio! Muy recomendable si estás en Madrid! gracias a oisiris y alejandro por la muy buena experiencia !,ago 2025 • Parejas,1.0,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,Escrita el 9 de agosto de 2025
1775578062-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,"La comida está muy buena, el ambiente es perfecto para venir con amigos, familia o amigos, un ambiente muy agradable.",Fresia G,"Muy satisfecha con el servicio, la comida muy rica pedimos y la atención increíble por parte del camarero Alejandro muchas gracias!!",ago 2025,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,Escrita el 8 de agosto de 2025
1775578062-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,un sushi muy fresco,camiii B,"Muy rico todo, el barco de sushi con una frescura y calidad muy rica. Nos atendió Alejandro y con toda la paciencia y placer del mundo, nos dio un excelente servicio. Volveríamos muchas más veces",ago 2025,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,Escrita el 7 de agosto de 2025
1775578062-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Increíble,Sky H,La comida era absolutamente deliciosa y Alejandro era un servidor increíble e hizo que nuestro tiempo aquí 10 veces mejor. Recomiendo encarecidamente sakale,ago 2025,1.0,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,Escrita el 7 de agosto de 2025
1775578062-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,MUY GÜENO,DayTrip53704893705,"Hola, desde mi humilde e increíble opinión, con mi mayor sinceridad, y desde mi punto de vista, este restaurante esta muy bien",ago 2025,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,Escrita el 7 de agosto de 2025
1775578062-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,buena experiencia,Wanderer46681140014,"muy buena atención por parte de alejandro y buena comida, la música muy agradable y el ambiente genial, volvería a ir. 😁",ago 2025 • Amigos,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,Escrita el 7 de agosto de 2025
1775578062-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,El mejor sushi,Pamela G,"Los mejores sushis que he comido🤤Excelente Atención, especialmente la atención de Alejandro 😍✨✨✨✨✨ ❤️❤️❤️❤️❤️❤️",ago 2025,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,Escrita el 6 de agosto de 2025
1775578044-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Cena,Albina A,Nuestra camarera — Isa — fue genial y muy atenta. La comida también estaba deliciosa; yo recomendaría la tostada de “spicy tuna.”,Escrita el 24 de agosto de 2025,1.0,ago 2025 • Amigos,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,1 contribución
1775578044-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Sushi Madrid,Roving35828428388,"Increíble el lugar, muy bien ambientado y música a buen nivel, probamos el sushi y estaba buenísimos, lo súper recomiendo.",Escrita el 17 de agosto de 2025,1.0,ago 2025 • Parejas,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,1 contribución
1775578044-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,El mejor lugar de madrid,Facundo P,"El mejor sushi de Madrid, lo recomiendo al máximo, muy buena comida.

Lugar súper bonito, buen ambiente y música, la atención de los chicos genial ☺️",Escrita el 16 de agosto de 2025,1.0,ago 2025,,,,,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,1 contribución
1775578044-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Visita obligada para amantes del sushi y los cócteles,Jose D,"Visitamos Sakale para la cena, y fue una experiencia fantástica de principio a fin. Fui con mi esposa, y ambos quedamos impresionados por la calidad y el sabor de la comida. 

El sushi fue sobresaliente, especialmente el rollo de araña y el rollo de Koni. Como entrantes, la Hamburguesa Sushi y el Salmón Bellaco estaban deliciosos y llenos de sabor. También disfrutamos de varios cócteles, incluyendo un refrescante mojito de maracuyá y una margarita clásica perfectamente hecha. 

El Servicio fue excelente amable, atento, y muy personalizado. Nuestros platos salieron rápidamente, y la presentación tanto de la comida como de las bebidas fue hermosa. 

Muy recomendable para cualquier persona que ama el sushi y una experiencia gastronómica agradable. 

Sin duda volveremos!",Escrita el 16 de agosto de 2025,6.0,ago 2025 • Parejas,Calidad/precio,Ambiente,Servicio,Comida,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,6 contribuciones
1775578044-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Excelente lugar,Jean L,"La atención 100/10, el sushi espectacular, muy bien de tamaños y excelente calidad, los cocteles también soy muy ricos 💗",Escrita el 15 de agosto de 2025,2.0,ago 2025 • En familia,Calidad/precio,Ambiente,Servicio,Comida,2 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,2 contribuciones
1775578044-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Lo mejor de Madrid,Fabiana A,"Rica la comida!! Y lo mejor el servicio, la atención de Alejandro, Emily, Francis y Osiris fue lo mejor de todo, volveremos siempre! 100000/10",Escrita el 15 de agosto de 2025,7.0,ago 2025 • Amigos,Calidad/precio,Ambiente,Servicio,Comida,7 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/cf/d5/b9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,7 contribuciones
1775578044-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Increíble!,Camila A,"Nos atendió alejandro , los chicos todos son increíbles , volveremos seguros , su atención increíble y la comida 10/10❤️",Escrita el 15 de agosto de 2025,5.0,ago 2025 • Amigos,,,,,5 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,5 contribuciones
