web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,image,image2,image3,image4,image5,position
1776265121-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Fantástico,Jose G. G,"Fantastica comida, fantástico servicio, muy amable Alfonso. Gracias por tu tiramisú. Estaba rico al igual que todo lo demás. Amenazamos con volver.","Santa Úrsula, España",126 contribuciones,126.0,Escrita el 23 de enero de 2025,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,
1776265121-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Experiencia Diferente,Aitziber S,Un sitio con un encanto brutal y una cocina Premium. Nos dejaron con la boca abierta los postres. Totalmente recomendable.,"Logroño, España",1 contribución,1.0,Escrita el 18 de enero de 2025,,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/96/83/df/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/96/83/e0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/96/83/e1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,
1776265121-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Una experiencia única,lolys t,"Una atención inmejorable del camarero y una comida exquisita , todo fue perfecto y especial , volveremos pronto , un sitio muy acogedor","Sant Fost de Campsentelles, España",2 contribuciones,2.0,Escrita el 28 de diciembre de 2024,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,
1776265121-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,,,,,,,,Leer ahora,Quédate y descubre los tesoros ocultos de Hiroshima — de la paz a la aventura,"Ruta dorada, final de platino — Hiroshima eleva tu viaje por Japón.",,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/dd/ae/caption.jpg?w=400&h=400&s=1&cx=4096&cy=2752&chk=v1_4cc8bb50a02acd7b87cb,,,,,
1776265121-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Un escándalo,Raul p,"Impresionante la cocina y el gran chef  un gran profesional , platos que sorprenden y cuidan y respetan la materia prima.",16 contribuciones,16 contribuciones,16.0,Escrita el 23 de diciembre de 2024,,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/66/64/90/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/66/64/91/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/66/64/92/caption.jpg?w=300&h=300&s=1,,
1776265121-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Magnífico restaurante,davidale23,"Comida exquisita, bien proporcionada y un trato agradable desde la entrada. Un placer para disfrutar del buen comer en el centro de Madrid.","San Cristóbal de La Laguna , España",94 contribuciones,94.0,Escrita el 21 de diciembre de 2024,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/89/avatar010.jpg?w=100&h=-1&s=1,
1776265121-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Perfecto para disfrutar de una buena comida,Pepe M,"Producto bien tratado. Relación calidad precio, excelente. Trato, perfecto.
Buen sitio para repetir. Lo haremos.
Un sitio céntrico. Ambiente agradable.",1 contribución,1 contribución,1.0,Escrita el 28 de noviembre de 2024,,,,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,
1776265121-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Gran comida y gran gente - pero no lo suficiente de ellos!,Ian K,"Un equipo muy amable y acogedor, con buena calidad, auténtica comida española, servida de maneras ligeramente poco tradicionales. Sin embargo, esto significaba que también era muy popular - y ocupado! Una vez que la sesión (sábado por la noche, para ser justos) estaba en pleno apogeo era difícil captar la atención de un camarero. Nuestros platos principales se servían rápidamente y antes de que tuviéramos la oportunidad de pedir vino - todos terminamos nuestros platos principales antes de que pudiéramos conseguir un camarero a nuestra mesa. Así que un gran restaurante y una comida encantadora, pero sugeriría al menos uno o dos empleados más esperando en turnos tan ocupados (por lo tanto, solo 4 estrellas).",7 contribuciones,7 contribuciones,7.0,Escrita el 28 de noviembre de 2024,,,,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,,,,,,
1776265106-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Una noche encantadora con buena comida,George A,"El servicio fue genial desde el saludo, a través de la cena e incluso proporcionando consejos sobre dónde visitar durante nuestra estancia de tres días. Había una amplia gama de vinos disponibles con una amplia gama de precios. Tuvimos un tinto encantador para acompañar nuestra comida, compartimos s tártaro de salmón que estaba delicioso. La red también era muy bueno. Teníamos filete y las chuletas de cordero, que se cocinaron perfectamente. Vale la pena reservar ya que estaba lleno cuando visitamos, pero afortunadamente habíamos reservado temprano en el día. 

Es un restaurante muy agradable, con una gran relación calidad-precio y bien merece una visita.",12 contribuciones,12,Escrita el 18 de mayo de 2025,12 contribuciones,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,,,
1776265106-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Servicio de Alfonso,Tour42532865933,Nos sorprendió la serice y la calidad de los productos. El personal hizo el esfuerzo de hablar en inglés y el toque personal de servicio fue bien apreciado. El panna cotta era especialmente bueno. Hasta la próxima Alfonso.,1 contribución,1,Escrita el 11 de mayo de 2025,1 contribución,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,,,
1776265106-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Sobrevalorado,herm7828,"No entiendo la valoración que tiene este restaurante… las cantidades son ridículas, los tiempos de espera eternos… la comida está buena, eso es cierto, pero 25€ por un lomo de vaca que no debía pesar más de 150 gramos, me parece un abuso. Los entrantes igual (la sepia se supone que es un plato principal y la cantidad era de tapa). Llevamos a unos amigos extranjeros porque les venía bien quedar por el centro y nos fiamos de la puntuación que tiene, no acertamos. Salimos a  casi 50€ por personas y eso que 2 compartieron principal y una persona apenas comió.",138 contribuciones,138,Escrita el 4 de mayo de 2025,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c6/b9/c4/caption.jpg?w=100&h=-1&s=1,,,,,
1776265106-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Cocina de Autor con sentido,Reik2k,"Platos de autor con mucho sentido.
El humus de cocido es espectacular 👌
Hubo una confusión en el ticket y lo rectificaron sin problema.
Volveríamos.",300 contribuciones,300,Escrita el 3 de mayo de 2025,"Valladolid, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/e3/16/bd/caption.jpg?w=100&h=-1&s=1,,,,,
1776265106-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Gran experiencia!!,Constantin S,"¡Gran experiencia! La comida es deliciosa. El personal es muy amable. Probamos el filete, panna cotta y sopa del día. relación calidad-precio también es muy bueno.",1 contribución,1,Escrita el 2 de mayo de 2025,1 contribución,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,,,
1776265106-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,El mejor restaurant de Madrid,Jose Luis C,"Por mucho el mejor restaurant de Madrid
Verdaderamente, la comida es espléndida y el servicio de primerísima 
Muy muy recomendable",3 contribuciones,3,Escrita el 30 de abril de 2025,3 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/7b/5e/f5/jose-luis-c.jpg?w=100&h=-1&s=1,,,,,
1776265106-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Experiencia gastronómica óptima,Julio M,"Segunda visita a este restaurante, que superó con creces a la anterior, de la que ya salimos bastante satisfechos, pero es que hoy ha sido otro nivel. El local no es muy grande, pero correcto, y a pesar del tamaño, no se escuchan las conversaciones de mesas próximas, lo cual ya es de agradecer. Nosotros fuimos en pareja, y había alguna otra mesa igual pero también había una familia (era mediodía), que no supuso ninguna molestia.
  El chico que nos atendió fue muy atento, nos explicó todo lo que había fuera de carta, que era casi una carta aparte y nos ayudó en nuestra elección sin resultar en ningún momento agobiante.
 Respecto a la comida, cada plato fue una agradable sorpresa. Empezando por un tartar de salmón acevichado (fuera de carta), que estaba increíble, unos puerros confitados con romescu de chipotle (muy bueno), y continuamos con lomo de vaca, que también estaba exquisito y, lo mejor de todo para mi gusto, el tuétano, que fue una experiencia única. Luego tomamos, también fuera de carta, un foie mi-cuit con chutney de frutas, también muy bueno y terminamos con una pannacota de una suavidad y textura inimitables. Como vieron lo contentos que nos habíamos quedado, nos trajeron de obsequio un tiramisú que también nos pareció una delicia. En resumen, óptimo todo, el servicio y la comida,",2 contribuciones,2,Escrita el 20 de abril de 2025,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,,
1776265106-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,"Gran comida y ambiente, personal fantástico.",charliectts,"46 de los casi 13.000 restaurantes que hay en Madrid... ahora no he estado en los 45 de arriba, pero tendrían que ser excepcionales para vencer a este lugar encantador, acogedor e íntimo con un personal y una comida excepcionales... por no mencionar una gran selección de vinos. Hernán el chef y propietario es un tipo encantador y fenomenal en la cocina en su trabajo. Muchas gracias a Lily y Alphonso también, por hacer mi primera velada en Madrid tan agradable. Fantástica comida a precios razonables, no te pierdas ir aquí si estás visitando esta gran ciudad.",11 contribuciones,11,Escrita el 14 de abril de 2025,11 contribuciones,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,,,
1776265106-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Ideal para una cena en pareja en una localización céntrica y cómoda. Exquisitos el trato y la comida.,mctosp,La comida es exquisita y original. El espacio muy agradable y el ambiente trato del equipo amigable y servicial. Fui con mi pareja para una cena romántica y disfrutamos ambos de una cena increíble acompañada de un vino albariño que nos recomendaron. Sin duda volveré.,2 contribuciones,2,Escrita el 11 de abril de 2025,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/b5/95/35/mctosp.jpg?w=100&h=-1&s=1,,,,,
1776265106-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,⭐⭐⭐⭐⭐,Alba B,"Fuimos a cenar el fin de semana pasado y la experiencia no pudo ser mejor. La comida estaba espectacular, cada plato superaba al anterior. Pero lo que realmente hizo la diferencia fue la atención de Alfonso: nos recomendó un vino excelente y estuvo pendiente de cada detalle con una amabilidad y profesionalidad de 10. Da gusto encontrar sitios donde te hacen sentir así de bien. Sin duda, volveremos pronto.",1 contribución,1,Escrita el 1 de abril de 2025,"Villanueva de la Cañada, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,,,
1776265106-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Gran comida en Madrid!,laurel23,La comida era nada menos que espectacular. El grupo de 4 tenía 4 entradas diferentes y todas eran geniales. Alphonso nuestro servidor era el mejor. No puedo recomendar lo suficiente!,13 contribuciones,13,Escrita el 29 de marzo de 2025,cleveland,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,,,
1776265106-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Sorprendente.,Jose Luis T,Un lugar que me sorprendió por la calidad de su comida y sus buenos vinos. Anclado en el corazón de Madrid de los mejores lugares para comer y beber a plenitud. Extraordinario.,4 contribuciones,4,Escrita el 20 de marzo de 2025,4 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,Déjense llevar por las recomendaciones del día y los vinos con propuestas diferentes  de regiones y cepas.,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,,
1776265106-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Experiencia espectacular,Baquerin,"Ha sido un gran descubrimiento este local. La comida está genial, el humus de garbanzos con tropezones, las croquetas de carabineros, una lubina deliciosa y el lomo de vaca, por fin, poco hecho como debe ser. Muy recomendable, volveré y lo recomendaré a mis amigos.",1 contribución,1,Escrita el 15 de marzo de 2025,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,,
1776265106-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Buen ambiente / buena comida.,PursuitOfExcellence,"Cerveza, pan y croqueta de camarones aperitivo era muy bueno. La entrada de cordero estaba bajo condimento y la entrada de queso boloñesa era simplemente raro; demasiada grasa.",26 contribuciones,26,Escrita el 13 de marzo de 2025,Chester,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,,
