web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,image,image2,image3,image4,position
1775833125-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Recomendable 1000%,Reni,"Cenamos en la barra observando a todos los chefs , una maravilla la experiencia. La comida espectacular, precio / calidad muy buena . Carlos nos atendió espectacular.","Gracias por tu reseña. Nos alegra saber que disfrutaste de la experiencia en barra, de la comida y del servicio de Carlos. Comentarios como el tuyo nos motivan a seguir ofreciendo momentos tan especiales. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 13 de diciembre de 2025,Escrita el 15 de diciembre de 2025,"Tres Cantos, España",1,dic 2025 • Parejas,Ichikani M,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1775833125-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Excelente,Caro Rebella,La comida excelente y la atención mejor. Tienen barra de sushi interactiva y están super pendientes. Tiene opciones vegetarianas. Volveremos!!,"Nos alegra mucho leer tu comentario. Qué gusto saber que disfrutaste de la comida, la atención y la barra de sushi interactiva, y que encontraste opciones vegetarianas a tu gusto. Estaremos encantados de verte de nuevo muy pronto. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 13 de diciembre de 2025,Escrita el 15 de diciembre de 2025,"Madrid, España",1,dic 2025 • Amigos,Ichikani M,,,Calidad/precio,Servicio,Ambiente,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/f9/b0/85/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/f9/b0/86/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/00/3d/a1/caro-r.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1775833125-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Increíble,Malen R,"Excelente la comida y el servicio! 
Opciones vegetarianas riquísimas, abundante y a muy buen precio.
Vuelvo seguro!!!","Qué gusto leer tu valoración. Nos alegra saber que disfrutaste de la comida, especialmente de las opciones vegetarianas, y que la atención del equipo estuvo a la altura. Nos encantará recibirte de nuevo muy pronto. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 13 de diciembre de 2025,Escrita el 15 de diciembre de 2025,1 contribución,1,dic 2025 • Amigos,Ichikani M,,,Calidad/precio,Servicio,Ambiente,Comida,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1775833125-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Maravilloso,Luz G,"Es la segunda vez que vengo y siempre es una experiencia maravillosa,la comida es exquisita y el spicy margarita creo que es la copa más rica que he probado,nos atendió Edwin super amable y atento,es un sitio al.que no dejar de venir una experiencia súper agradable","Nos alegra mucho leer tu reseña. Qué gusto saber que tu segunda visita a Ichikani fue tan especial, disfrutando de la comida, el spicy margarita y la atención de Edwin. Comentarios así nos motivan a seguir ofreciendo experiencias memorables. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 12 de diciembre de 2025,Escrita el 15 de diciembre de 2025,1 contribución,1,dic 2025 • En familia,Ichikani M,,,Calidad/precio,Servicio,Ambiente,Comida,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1775833125-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Fascinante,Ibeth M,"Si quieres disfrutar de un servicio ameno, atento y servicial, y si quieres comer increíble; Ichikani es una de las mejores opciones. Amé cada platillo, gracias a Jazmin, Ana y Karla por la fina atención que nos brindaron. Me voy feliz y con ganas de regresar.","Gracias por tu reseña. Nos hace muy felices saber que disfrutaste cada plato y que el servicio de Jazmín, Ana y Karla hizo tu experiencia tan especial. Comentarios como el tuyo nos inspiran a seguir ofreciendo una atención cercana y una propuesta gastronómica memorable. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 9 de diciembre de 2025,Escrita el 9 de diciembre de 2025,1 contribución,1,dic 2025 • Amigos,Ichikani M,,,Calidad/precio,Servicio,Ambiente,Comida,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1775833110-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Muy rico,Esteban M,Muy buena experiencia y Jenny la camarera encantadora!! La comida muy buena y de mucha calidad la materia prima!!!!!!!,,"Muchas gracias por tu valoración. Nos alegra muchísimo saber que disfrutaste de la comida y de la calidad de nuestros productos, y que Jenny hizo vuestra experiencia aún más especial con su atención. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 10 de enero de 2026,Escrita el 12 de enero de 2026,1,Ichikani M,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833110-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Recomendadisimo,Laura L,"Increible el sitio, atencion expectacular, la calidad de los productos supreme. Super recomendable. Yeni super atenta.",,"Muchas gracias por tu reseña, Laura. Nos alegra muchísimo saber que disfrutaste del sitio, de la calidad de los productos y de la atención de Jenny. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 9 de enero de 2026,Escrita el 12 de enero de 2026,1,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833110-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Pesimo,Mafe,"No entiendo el hype. Ni la alga estaba fresca, la tuna estaba super fishy como congelada y el toro parecia tuna en lata. Horror.",,"Lamentamos mucho que tu experiencia no haya sido satisfactoria. Nos gustaría saber más sobre lo ocurrido para poder entender la situación y mejorar la calidad de nuestros productos, ya que siempre buscamos ofrecer ingredientes frescos y de la mejor calidad.",31 contribuciones,Escrita el 9 de enero de 2026,Escrita el 12 de enero de 2026,31,Ichikani M,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/af/66/6a/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833110-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Excelente,Marcos F,"La comida excelente. Nuestra camarera, Lula, un encanto. Nos cuidó muy muy bien! La comida muy bien presentada y deliciosa. Regresaremos",,"Muchísimas gracias Marcos por tu reseña, nos alegra saber que disfrutaste de la comida, de la presentación y del servicio de Lula, y que os hizo sentir tan bien atendidos, será un placer recibiros de nuevo, ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 8 de enero de 2026,Escrita el 9 de enero de 2026,1,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833110-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Cena Ichikani miércoles,Paula F,"Tuve una cita tan linda y divertida, mantequilla de pez nigiri era mi favorito. Jazmin el personal más lindo! Recomendar 💛
Muy bueno el toro",,"Thank you very much for your review, we’re so happy to hear you had such a fun and lovely dinner, that you enjoyed the pez mantequilla nigiri and toro, and that Jazmin made your experience even more special with her kind service, we truly appreciate your recommendation, ¡Nos vemos pronto en Ichikani!",2 contribuciones,Escrita el 8 de enero de 2026,Escrita el 8 de enero de 2026,2,Ichikani M,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833110-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Servicio excelente y comida exquisita,Ivonne R,"Delicioso todo y un gran servicio.  La calidad de los alimentos está excepcional 
Gracias por su gran servicio. Son excelentes",,"Muchísimas gracias por tu reseña, nos alegra enormemente saber que disfrutaste de la comida y que valoras la calidad de los alimentos y el excelente servicio, comentarios como el tuyo nos motivan a seguir cuidando cada detalle, ¡Nos vemos pronto en Ichikani!",17 contribuciones,Escrita el 7 de enero de 2026,Escrita el 8 de enero de 2026,17,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
