web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,image,image2,data12,data13,data14,image3,data15,data16,data17,data18
1775662138-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,First dinner in Madrid,Amber,Visitamos Mu en nos vacación de familia. La comida y el servicio fue excelente! Felix fue excelente mesero los hizo sentir fantástico!,1 contribución,1.0,Escrita el 22 de septiembre de 2022,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ca/92/39/meander03158362215.jpg?w=100&h=-1&s=1,,,,,,,,
1775662138-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Muy recomendable,Ana G,"Muy buena comida y servicio. Tienen un menú muy completo y a buen precio, te quedas lleno. ¡¡Sin duda volveré!!",1 contribución,1.0,Escrita el 22 de septiembre de 2022,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,,,,,,
1775662138-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Recomendado,Eduardo A,La comida y el servicio estuvo excelente. Recomendado para cualquier persona que viaje a Madrid. Muy buen precio también!,1 contribución,1.0,Escrita el 17 de septiembre de 2022,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,,,,,,,
1775662138-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Comida excelente,Marjorie G,Nos gustó la comida y va acorde con el precio. Buen trato y el camarero muy amable y atento a todo!.,1 contribución,1.0,Escrita el 16 de septiembre de 2022,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,,,,
1775662138-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Muy buena carne a la parrilla y trato inmejorable!,Nadia N,He comido aquí tres veces y nunca decepciona. Muy buena carne y un servicio de 10. No falta cuando visitamos Madrid 👍🏼,3 contribuciones,3.0,Escrita el 9 de septiembre de 2022,3 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,,,,
1775662123-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Excelente!!!,Mateo P,"Vine 3 días seguidos para probar todos los cortes y la verdad que son espectaculares, además que la gente del local son todos muy buena gente, me sentí muy a gusto e integrado. Espectacular.  Los precios están muy bien. Y tienen fernet!!!!!",3 contribuciones,3.0,Escrita el 22 de diciembre de 2022,3 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/89/eb/3d/mu-el-placer-de-la-carne.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/89/ed/41/mu-el-placer-de-la-carne.jpg?w=300&h=300&s=1,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,
1775662123-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,"Riquísimo, empanada de carne espectacular",Grupomi Reformas,"Fuimos a comer con amigos, nos atenndio Hugo, jn chico portugués, el trato fue muy bueno y la comida estuvo muy bien.",9 contribuciones,9.0,Escrita el 19 de diciembre de 2022,"Valmojado, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,,
1775662123-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Muy bueno,carlos,"Si estais por la Gran Via y quereis comer bien, este es el lugar. Las empanadas y la carne estan muy bien. Los camareros son muy amables. Buena relacion calidad precio. Volveremos....",261 contribuciones,261.0,Escrita el 4 de diciembre de 2022,"Zaragoza, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,1,,,,,
1775662123-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Muy bueno,国康 李,El sabor es muy bueno. He visitado muchas veces. Me encanta. La dirección es muy fácil para encontrar,1 contribución,1.0,Escrita el 1 de diciembre de 2022,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,
1775662123-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Muy buena parrillada precio correcto,Iván,"Muy buena parrillada con empanadas, morcilla, chorizo, vacío, pollo, etc, ensalafa y 4 bebidas, comimos 2 y quedamos muy bien. Precio correcto, atención muy buena",5 contribuciones,5.0,Escrita el 15 de noviembre de 2022,"Chia, Colombia","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0,,,,,
1775662123-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Excelente!,Modo T,"No se que es mejor, si la comida o la atención!!! Todo fue excelente desde principio a fin!!! La carne estuvo perfecta en cantidad y sabor y la atención fue excelente!!! Volveremos!!!",1 contribución,1.0,Escrita el 14 de noviembre de 2022,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,
1775662123-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Excelente,Nicolas R,"Muy rico, muy buena atención y muy buen precio. Recomendable 100% (más siendo argentino jej) entraña/papa fritas caseras/flan y morcilla… todo muy bien",2 contribuciones,2.0,Escrita el 5 de noviembre de 2022,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,
1775662123-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Excelente!!!,Eddy T,"Excelente restaurant, comida exquisita con un menú variado y contundente, la  atención y ubicación muy buena, visitalo si estás en Madrid, no te lo pierdas, super recomendado...",175 contribuciones,175.0,Escrita el 5 de noviembre de 2022,"Lima, Perú",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/c9/f2/1f/mu-el-placer-de-la-carne.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/c9/f4/54/excelente-restaurante.jpg?w=300&h=300&s=1,Leer más,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/e5/f8/27/caption.jpg?w=100&h=-1&s=1,,,,
1775662123-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,un equipo y carne increible,G Mangles,"Todos los muchachos que trabajan ahi son muy amables. La carnes estaba justo como la queria, se encargan de que sea una experiencia realmente placentera y divina. 
***** estrellas para ellos!",25 contribuciones,25.0,Escrita el 4 de noviembre de 2022,25 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/75/88/52/gmangles.jpg?w=100&h=-1&s=1,,,,
1775662123-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Excelente local,Natalia A,"Comimos el menú que está disponible todos los días, fue lo máximo. Entrada empanada de carne frita,  luego pollo deshuesado a la parrilla con papas fritas, incluía un bebestible y terminé con un helado de dulce de ñleche o manjar muy rico.
Totalmente recomendado y con una excelente relación precio calidad. Menos de 15 euros por todo.
No se lo pierdan, nos recordó Chile <3",2 contribuciones,2.0,Escrita el 2 de noviembre de 2022,2 contribuciones,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,
1775662123-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Experiencia maravillosa,Stteffany S,"El servicio estupendo, te sientes como en casa, un camarero Venezolano muy amable y simpatico y la comida estupenda muy rica y la carne en su punto, volveremos",3 contribuciones,3.0,Escrita el 2 de noviembre de 2022,3 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/c4/eb/58/mu-el-placer-de-la-carne.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/c4/eb/7f/mu-el-placer-de-la-carne.jpg?w=300&h=300&s=1,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,,,
1775662123-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Cena,Arnaldo J,Comida muy ríca y servicio estupéndo. ¡ Con toda la certeza recomiéndo El Placer de la Carne cuándo estuviéres en Madrid !,2 contribuciones,2.0,Escrita el 27 de octubre de 2022,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,,,
1775662123-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Carne en su punto,Caldibugui,"Después de 6 años de mi primera visita, aproveche un viaje a Madrid para volver al Mu, y sigue igual de bueno y bien atendido que en abril de 2016.... enhorabuena. La carne estaba espectacular, por ponerle un pero la cerveza es cruzcampo, el resto muy bueno y bien presentado. Espero no tardar otros 6 años en volver...",6 contribuciones,6.0,Escrita el 19 de octubre de 2022,"Mallorca, España",,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,
1775662123-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Muy rico,Fer G,Cálida y precio y servicio todo bien. Sin duda volveremos con más amigos para seguir probar toda la carta !!,13 contribuciones,13.0,Escrita el 17 de octubre de 2022,"Comunidad de Madrid, España",,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,
1775662123-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Cena,Melissa L,"La comida muy rica, excelente atención. Siempre que vengo a Madrid vengo a este restaurante. Recomendado.",1 contribución,1.0,Escrita el 12 de octubre de 2022,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,
1775662106-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,"Excelente atención, excelentes precios y muy rica la comida",Eduardo R,"Excelente atención, excelentes precios y muy rica la comida. Muy rico el menú argentino y una muy bonita zona para caminar","San Miguel de Tucuman, Argentina",,2 contribuciones,Escrita el 20 de julio de 2023,2.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,,
1775662106-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,,,,,,,,,,,,,,,,,,,,,
1775662106-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Espectacular!,Almudena,"Me encantó este sitio. El trato que el personal ofrecía al cliente, los tiempos de espera, la calidad de la comida, TODO! Siempre que vaya a Madrid repetiré sin duda. Mi más sincera enhorabuena!","Cartagena, España",,6 contribuciones,Escrita el 9 de julio de 2023,6.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/98/ce/f8/almu-h.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,,
1775662106-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Excelente restaurante argentino en Madrid,Manfred Vindas,"Es un restaurante pequeño, a 50 metros de La Gran Vía, en una calle no congestionada. La comida excelente. Tiene un menú con entrante, plato fuerte, postre y bebida muy razonable de precio y delicioso. Repetimos de lo bueno que es","San Jose, Costa Rica",,66 contribuciones,Escrita el 20 de junio de 2023,66.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/25/fa/5e/caption.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,,
1775662106-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Cena espectacular,Maria B,La comida y el servició  al cliente  fue excelente con un  Precio razonable y un local agradable para compartir en familia.,1 contribución,,1 contribución,Escrita el 3 de mayo de 2023,1.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,,
1775662106-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,La mejor de las carnes,Johanna V,"Demasiado DELICIOSO, su carne tiene un sabor … ¡inigualable! Volveré pronto, quizás antes de irme de a Madrid y si no lo logro, vendré expresamente desde Australia",1 contribución,,1 contribución,Escrita el 20 de abril de 2023,1.0,Calidad/precio,Servicio,Comida,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,,
1775662106-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Carne del fin del mundo 🤤😋,Amri,"Uff! ¡Que cosa tan más deliciosa! El vacío es fenomenal suave, jugoso, y decidí acompañarlo con patatas y ensalada (aunque no venia incluida) fue lo mejor. La atención muy cercana sin ser hostigante amable y muy servicial.
¡Definitivamente volvería y si hubiera 6 estrellas, se las daría, sin ningún problema!
Lastima que no le tome foto a la comida.","Brisbane, Australia",,2 contribuciones,Escrita el 20 de abril de 2023,2.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,,
