web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,image3,image4,data20,data21,data22,data23,data24,data25
1775661679-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Precioso lugar,Paula M,"Ubicación excel.lente, en plena plaza mayor y con terraza soleada.
Aun ser restaurante, nos atendieron para tomar café (con un mínimo de 5€, al principio personal un poco seco). Postres riquísimos y durante el servicio, muy amables.",3 contribuciones,3.0,Escrita el 10 de febrero de 2023,,3 contribuciones,,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,,,
1775661679-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Día navideño centro,Manuel F,"En plena Plaza Mayor, en sus bóvedas bajo tierra, fuimos a comer con nuestro bebé en el carrito. 
Compartimos unos originales espaguetis de calabacin, un rico risoto de boletus y trufa,  y unas costillas bbq. Más una dulce tarta de la abuela. Todo correcto, salvo tema escaleras con carro. Recomendable para conocer",977 contribuciones,977.0,Escrita el 4 de enero de 2023,,"Madrid, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/aa/3f/44/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/aa/3f/43/caption.jpg?w=300&h=300&s=1,,,,,,,,
1775661679-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Trato excelente y comida muy rica,Andrés S,"Fuimos a cenar motivados por las reseñas de TriAdvidor y fue todo un acierto. Las croquetas de jamón y las patatas 3 salsas muy ricas (especial mención al mojo picón). Después comimos un tartar de salmón y un tataki de atún que estaban espectaculares . Para terminar unas tiras de pollo muy ricas también (aunque fueron demasiada comida). El trato del camarero cubano como si estuviéramos en casa.
100% recomendable.",35 contribuciones,35.0,Escrita el 3 de enero de 2023,,35 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a9/53/96/restaurante-dcorazon.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/59/47/70/andsantosg.jpg?w=100&h=-1&s=1,,,,,,,
1775661679-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,1 Dia de enero,Julio V,"Hemos comido día 1 de enero y hemos comido súper bien y la atención magnífica.

Lo vimos por las opiniones de la gente y decidimos venir y no nos hemos equivocado.

El cubano lo mejorcito del dia",1 contribución,1.0,Escrita el 1 de enero de 2023,,1 contribución,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,,,,
1775661679-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Jamil the best!!,Antònia M,"Fantàstico lugar, inmejorable cena y carta. El camarero muy agradable y atentos con los clientes. Os sorprenderà en plena plaza mayor de Madrid. Muchas gracias, os.recomendamos al 100%.",2 contribuciones,2.0,Escrita el 30 de diciembre de 2022,,"Maria de la Salut, España",,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/80/7a/c9/antonia-m.jpg?w=100&h=-1&s=1,,,,,,,
1775661657-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Excelente atención,Andrea B,"La atención excelente, nos atendió Amina:) súper amable y la comida muy rica. Las costillas que pedimos estaban deliciosas.",1 contribución,1.0,Escrita el 24 de noviembre de 2023,"Hola andreabH742ZC, Muchas gracias por tu reseña y recomendación ¡esperamos verte pronto!","Madrid, España",Escrita el 24 de noviembre de 2023,Restaurante DCorazon,Ambiente,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,0,,,,,
1775661657-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,PESIMO SERVICIO Y COMIDA.,javier c,"El sitio esta bien ubicado, y me atrevería a decir que es la única cosa buena que tiene. Los camareros lentos y muy poco atentos, además de que hacen las cosas al tuntún, sin ningún tipo de coordinación entre ellos. Además, las croquetas llegaron frías, como si hubiesen estado en la cocina esperando mas de 20 imutos, que es lo que tuvimos que esperarlas. 
No recomiendo este sitio en absoluto.",1 contribución,1.0,Escrita el 19 de noviembre de 2023,,"Majadahonda, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,0,,,,,
1775661657-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,"anti-higiénico y con picaresca, en absoluto recomendable",Esther M,"nos sobraron 2 raciones de croquetas de la cena de empresa. Ofrecieron que nos las lleváramos. Cuando fui a recogerlas al finald e la cena, ¡se las habían servido a otra mesa! ¡sí, las croquetas que habían retirado de NUESTRA mesa, que pagamos nosotros y seguro que el otro cliente también! inaceptable desde cualquier punto de vista",8 contribuciones,8.0,Escrita el 24 de octubre de 2023,,"Zaragoza, España",,,Ambiente,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,1,,,,,
1775661657-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Comida en la Plaza Mayor,caalmate,"Lo mejor, la amabilidad y simpatía del personal. La comida no destaca.
Pedimos: 
- Una tapa de croquetas de jamón. Cremosas y buenas. 
- Una tapa de huevo roto (a baja temperatura) con trufa, jamón y milhojas de patata. Correcto. 
- Una tapa de ensaladilla rusa. Normalita.
- Una brisket-burger. Bastante seca.
- Un burrito ibérico. En mi opinión, el peor plato.",238 contribuciones,238.0,Escrita el 9 de octubre de 2023,"Hola caalmate, agradecemos su reseña y sugerencias para mejorar. En DCorazon nos preocupamos por dar un buen servicio y comida de calidad, es importante para nosotros que nuestros clientes tengan una buena experiencia.","Terrassa, España",Escrita el 30 de octubre de 2023,Restaurante DCorazon,Ambiente,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,1,,,,,
1775661657-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Muy bueno y recomendable,Abdel M,"Muy bueno y muy recomendable  para ir con tu pareja o con tus amigos ñ, es un sitio super cómodo y con buen ambiente",1 contribución,1.0,Escrita el 26 de agosto de 2023,"Hola 155abdelm, muchas gracias por su reseña y valoración. Nos agrada saber que disfrutó de una buena experiencia, ¡Esperamos verle pronto!",1 contribución,Escrita el 29 de agosto de 2023,Restaurante DCorazon,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,0,,,,,
1775661657-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Lugar muy descuidado,Martín,"Tuvimos una mala experiencia, no tanto por la comida que fue de nivel medio, sino por el sitio, sucio y muy muy desantendido, incluso había malos olores. Le hace falta una buena reforma.",354 contribuciones,354.0,Escrita el 22 de agosto de 2023,"Hola Zanathos, lamentamos haber causado esa impresión en su visita, en DCorazon nos preocupamos por entregar un servicio de calidad y una buena experiencia a nuestros clientes. Las cuevas del restaurante son del siglo XVI y día a día nos preocupamos por mantener su limpieza y orden, igualmente agradecemos su reseña para ayudarnos a mejorar.","Córdoba, España",Escrita el 29 de agosto de 2023,Restaurante DCorazon,Ambiente,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f8/86/c8/zanathos.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,0,,,,,
1775661657-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Experiencia,Irving M,"Mala experiencia, no han traído el pedido correctamente , sino otro plato , y no ha sido del agrado. También demasiado costoso con respecto a la calidad , mejor compra en el súper y no desperdicies tu dinero",1 contribución,1.0,Escrita el 17 de agosto de 2023,"Hola 1408irvingm, lamentamos que no haya tenido una buena experiencia con nosotros y la confusión con su plato, en ese caso podría avisar a nuestros camareros en el momento para hacer el cambio por el plato correcto. En DCorazon nos preocupamos por entregar un buen servicio y comida de calidad. Gracias por su reseña y por ayudarnos a mejorar.","Tegucigalpa, Honduras",Escrita el 21 de agosto de 2023,Restaurante DCorazon,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,0,,,,,
1775661657-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Contentísima.,Cris S,"Este sitio está genial para una salida imprevista o informal, ya sea sólo, en grupo o en familia. El ambiente muy cómodo, y la atención del personal muy cercana, afable y agradable. Lo recomiendo, un sitio para volver. Me voy encantada ☺️",1 contribución,1.0,Escrita el 8 de agosto de 2023,"¡Hola crissZ7323ML! Muchas gracias por dejarnos su reseña y puntuación, nos alegra saber que tuvo una buena experiencia con nosotros. ¡Esperamos verle de nuevo en otra ocasión!",1 contribución,Escrita el 21 de agosto de 2023,Restaurante DCorazon,Ambiente,Calidad/precio,Servicio,Comida,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/fd/c1/df/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,0,,,,,
1775661657-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,TRAMPA PARA TURISTA,Magdalena M,"Nefasta atención la verdad que no entiendo  la puntuación,,hablando en diferentes lenguas como chinos o coreanos los camareros ,nos dejaron esperando mucho tiempo con el calor que hacía  ,la comida estaba fría y amelcochada ,muy caro para el  mal servicio ,, no lo entiendo y no lo recomiendo, Trampa para turistas",1 contribución,1.0,Escrita el 4 de agosto de 2023,"Hola H2291SQmagdalenam, lamentamos que no haya tenido una buena experiencia con nosotros. Nos importa entregar un buen servicio y comida de calidad. Trabajaremos en equipo para que no vuelva a ocurrir.",1 contribución,Escrita el 7 de agosto de 2023,Restaurante DCorazon,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,0,,,,,
1775661657-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,MUCHO MAS Q RAZONABLE,Alberto R,"Un sitio mucho más q razonable en una zona extrema de turismo.....aún así....la calidad, el precio y l servicio están muy por encima de la norma",16 contribuciones,16.0,Escrita el 6 de julio de 2023,"Hola S8160SMalbertor, muchas gracias por dejarnos su reseña. ¡Esperamos que vuelvas pronto!","Sevilla, España",Escrita el 25 de julio de 2023,Restaurante DCorazon,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,0,,,,,
1775661657-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,No volvere,JAVIER V,"Tartar mal cocinado, parrillada de verduras cocida, calamares recalentados, solo valia la pena las patatas con huevos rotos
Sitio atrapaturistas",3 contribuciones,3.0,Escrita el 9 de junio de 2023,,3 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,0,,,,,
