web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,image3,data17,data18,image4,image5,image6,image7,image8,image9,position,position2,image10
1779689171-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,MAGNÍFICO SITIO,jcpgcc,"He estado comiendo diferentes platos, como empanadilla abierta de salmón, vieira, ceviche de corvina, callos ají panca y curry, y un postre, dúo crujiente de chocolate y avellana. La cocina estupenda y el servicio inmejorable; el precio algo alto, pero todo bien",355 contribuciones,355,Escrita el 8 de junio de 2024,"Puertollano, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/0f/a5/b9/jcpgcc.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1779689171-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Recomendable 100%,TeamGO,"La comida excelente con una fusión de sabores muy conseguida. El servicio rápido y profesional, sirven unos cocktails muy buenos,y la relación calidad precio perfecta",114 contribuciones,114,Escrita el 30 de mayo de 2024,"Santander, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/b9/6d/41/teamgo4.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1779689171-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Un espectáculo total,PinkPanter,"Reservé 3 días antes para comer un viernes, supe de su existencia a través de un perfil que hace críticas en Instagram.
Elegimos platos a la carta. Las ostras, tiradito de gambas, tiradito de dorada, niguiris, puerros y callos. De postre la tarta de queso. Todo un espectáculo, estamos deseando volver y ya lo hemos recomendado a personas de nuestro entorno. Relación calidad-precio, insuperable!",8 contribuciones,8,Escrita el 28 de abril de 2024,"Madrid, España",,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,2,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1779689171-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Sorprendente y original,BLANCA MARÍA P,"Lo cierto es que me ha sorprendido agradablemente. Al llegar he pensado que había cometido un error porque casi todo es pescado crudo, no del gusto de mi familia. El local es frío e incómodo, tanto sillas como mesas sin mantel, como viene siendo habitual. Es algo caro pero todo me ha gustado mucho y me ha parecido original y de gran elaboración. Lo voy a recomendar y todo el mundo ha sido muy amable. Los vinos algo caros.",34 contribuciones,34,Escrita el 28 de marzo de 2024,"Comunidad de Madrid, España",,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1779689171-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Muy rico,Sara G,"Nos gustó mucho, la comida es diferente y muy rica. El servicio muy rápido  y el postre, en nuestro caso tarta de queso, espectacular",76 contribuciones,76,Escrita el 6 de marzo de 2024,76 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1779689194-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Toda una experiencia gastronómica.,cristina P,"Una sólida cocina mediterránea, con toques asiáticos y americanos, realmente sorprendente. Merece la pena la experiencia de alta cocina deliciosa y que te convierte en adicto. Precios más que razonables.",9 contribuciones,9,Escrita el 27 de febrero de 2024,"Utrecht, Países Bajos",Ambiente,Calidad/precio,Servicio,Comida,"Se llega en Metro Iglesia, saluda por calle Sagunto. Tiene muchos premios y no sube los precios",,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,,,
1779689194-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,ESPECTACULAR!,Solportero,ESPECTACULAR !!!! Merece la pena venir a comer a BACIRA . Comida fusión inmejorable . Las tiraditas de dorada y vieiras y la tarta de queso son un placer de dioses .,56 contribuciones,56,Escrita el 18 de febrero de 2024,"Sevilla, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/72/81/92/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/72/81/93/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/72/81/94/caption.jpg?w=300&h=300&s=1,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/9a/fb/d6/caption.jpg?w=100&h=-1&s=1,,,,,,
1779689194-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Recomendable,Ramon García Urbon,"Buen sitio para disfrutar una comida peruana de autor. Platos trabajados y algunos sorprendentes como el
Arenque y algun otro plato",135 contribuciones,135,Escrita el 9 de diciembre de 2023,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/6a/66/29/caption.jpg?w=100&h=-1&s=1,,,,,,
1779689194-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Excelente experiencia culinaria,Bueno_Parmentiso,"Magnífica experiencia sin duda. Carta cortita, cuidada, con una fusión japonesa vanguardista peruana muy de moda, pero muy disfrutona. Y buena relación calidad precio. Para repetir",297 contribuciones,297,Escrita el 2 de octubre de 2023,España,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/55/29/f1/avatar.jpg?w=100&h=-1&s=1,,,,,,
1779689194-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Top,JSCFred,Para mí un indispensable de Madrid. Gran trato por parte del personal de sala y la cocina es espectacular.,9 contribuciones,9,Escrita el 13 de septiembre de 2023,"Vigo, España",Ambiente,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,,,
1779689194-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Muy buen restaurante de cocina fusión original y diferente.,Roberto HSI,"No conocíamos el restaurante y fuimos para conocerlo viendo las buenas opiniones que tenía y no nos defraudó, se come muy bien y bien atendidos, el local está en una calle tranquila. Comimos un tiradito de dorada con vieiras, niguiri flambeado con foie y un "" contundente"" harumaki de pato con balsamico y miel, para postre lemon pie ( en versión de ellos ); todo muy rico, la relación calidad precio es razonable . Totalmente recomendable.",56 contribuciones,56,Escrita el 20 de agosto de 2023,"Madrid, España",Ambiente,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/01/64/89/roberto-h.jpg?w=100&h=-1&s=1,,,,,,
1779689194-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,La mejor relación calidad-precio,María H,"Buena atención al cliente y una relación calidad-precio que supera las expectativas.
Pedimos la lubina con vieiras + la panceta (entre otros platos). Todos ellos muy muy ricos. Volveremos seguro.

Es la mejor relación calidad-precio que hemos encontrado en Madrid durante años.",29 contribuciones,29,Escrita el 6 de marzo de 2023,29 contribuciones,,Calidad/precio,Servicio,Comida,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/41/74/f3/maria-h.jpg?w=100&h=-1&s=1,,,,,,
1779689194-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,"No es lo que cera, servicio regulero",irene,"Ha perdido mucho. Los sabores no son tan explosivos como antes. Correcto sin más. La presión por que te marches resulta incómoda. Si hacen reservas a las 15:00 h. No pueden pretender que en una hora lo tengas todo hecho. El rango de precios, superior al indicado. Las últimas veces unos 45 euros por persona. Era muy fan de este sitio y no voy a volver en una temporada muy larga.",2 contribuciones,2,Escrita el 28 de febrero de 2023,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,
1779689194-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Lo bueno queda más que ensombrecido por lo malo,Juan,"Comida aceptable que queda eclipsada por gestos feos. De la misma forma que te piden tarjeta para reservar y te llaman por la mañana para confirmar aunque tienen tu tarjeta (innecesario en un sitio que llena y al que siempre llegan comensales sin reserva a los que pueden sentar) pueden avisar de que a las 23:00 te van a traer la cuenta sin pedirla, y 1 minuto después vienen a cobrarte metiéndote prisa, pagas y vuelven a insistirte en que te vayas. 
Y la comida parece más de lo que es, humo que no aporta nada a un plato, o ceviche que sabe a pescadazo (a pesar de que nadaba en leche de tigre, no se si por macerar poco tiempo o por qué)…",45 contribuciones,45,Escrita el 20 de febrero de 2023,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,,,
1779689194-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Un fijo para el buen paladar,Jaime G,"Comida magnífica, salón agradable, servicio exquisito, vinos correctos. Fusión de sabores y culturas gastronómicas",76 contribuciones,76,Escrita el 24 de enero de 2023,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/fe/c6/a9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/fe/c6/aa/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/fe/c6/ab/caption.jpg?w=300&h=300&s=1,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/fe/c6/ac/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/fe/c6/ad/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,
1779689194-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,"Si no has ido ya, estás tardando.",Hacheyce,"Excepcional. Si no has ido ya, estás tardando.
Atrevido, acertado, sorprendente, rico y además a un precio excelente.",17 contribuciones,17,Escrita el 21 de enero de 2023,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,,,
1779689194-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Mediocre,Carla V,"Hemos ido a comer con muchas ganas de probarlo.
La atención buena y el local acogedor y tranquilo.
La comida estaba buena, pero quiza las expectativas eran altas y han fallado un poco.
Tengo que decir que sintiendolo mucho el postre me ha defraudado, pedimos tarta de queso de la peral y de este queso llevaba solo el nombre.
Muy bien presentada, pero una tarta que ni fu ni fa apenas sabe a queso y te claban 10€ de un postre mediocre que en cualquier otro sitio  está expectacular y por la mitad.
No digo que no volveré, pero hay mucho en madrid, muy bueno y mejor calidad precio!!!
Por no hablar del pan y aperitivo, no te preguntan te sacan un aperitivo a la mesa junto con el pan y después en el Tíbet sorpresa!!! Te lo cobran... en fin",55 contribuciones,55,Escrita el 19 de octubre de 2022,"Pamplona, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/97/c8/27/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/97/c8/28/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/97/c8/29/caption.jpg?w=300&h=300&s=1,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/97/c8/2a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/97/c8/2b/capti_r.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,,,
1779689194-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Excelente servicio,Ana Raquel M,Como siempre nos dejamos aconsejar y fue todo un acierto. Comida muy buena con excelentes ingredientes.,24 contribuciones,24,Escrita el 12 de septiembre de 2022,24 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,,,
1779689194-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Una pequeña gema en el barrio,Yabaduuu,"Al grano, excepto por la decoración, está de miedo.

La comida fabulosa, pedimos el gazpacho de cerezas, el ceviche y los niguiris (todos). Cada plato igual de bueno que el otro. 

Habiendo tomado ya el gazpacho y a mitad de ceviche, mi mujer y yo estábamos de acuerdo. Habíamos encontrado una pequeña gema cerca de casa.

El servicio agradable y correcto. Les falta un toque mayo de simpatía. Toque que al final si lo tenían.

Si te gusta comer bien, ya estás tardando.",116 contribuciones,116,Escrita el 2 de agosto de 2022,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,,
