web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,image3,image4,image5,data21,data22,data23,image6,position,image7,image8
1776264690-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Una maravilla,yyolanda222,"Acogedor restaurante a medio camino entre el Palacio Real y el teatro de la latina. Muy agradable. Sin ser pretencioso, un trato exquisito y delicado. Mas que correcto, con optima dedicación al cliente. Espectacular comida y bien presentada. Totalmente recomendable.","Muchas gracias por sus comentarios. Será un placer atenderles de nuevo. Saludos.
Néstor y Eduardo.",8 contribuciones,8,Escrita el 17 de junio de 2018,Escrita el 4 de julio de 2018,8 contribuciones,Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
1776264690-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Una noche fantástica.,FlorenciaVaras,"Fuimos un grupo de amigos y lo disfrutamos muchísimo. Todo estuvo perfecto y delicioso, debo decir que a todos los que íbamos nos encanta este tipo de cocina.
El trato fue delicioso y la comida riquísima.
Felicidades, cuando el trabajo se hace con ilusión se trasmite.","Muchas gracias por sus agradables comentarios. Será un placer verles de nuevo. Saludos.
Néstor y Eduardo.",2 contribuciones,2,Escrita el 12 de junio de 2018,Escrita el 26 de junio de 2018,"Comunidad de Madrid, España",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
1776264690-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Cena con compañeros,Pey G,"Excelente lugar.  Cerca del Palacio Real , acerca del teatro la Latina. Atención del servicio de Tacos&Tapas inmejorable, atentísimos en todo momento con nosotros , buena comida y siempre preguntando que tal los platos y si eran de acuerdo a nuestro gusto y a lo que habíamos solicitado. Como siempre excelente.","muchas gracias por sus comentarios. Esperamos verles de nuevo. Saludos.
Néstor y Eduardo.",15 contribuciones,15,Escrita el 9 de junio de 2018,Escrita el 26 de junio de 2018,A Laracha,Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
1776264690-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,excelente comida,Daniel_Arcos,"quiero felicitar al dueño de este local por la seleccion de su personal, gracias nestor por su grata atención en esta visita nos la pasamos de lo mejor.","Muchísimas gracias por sus comentarios. Fue un placer atenderles. Saludos.
Néstor y Eduardo",4 contribuciones,4,Escrita el 9 de junio de 2018,Escrita el 26 de junio de 2018,"Cancún, México",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
1776264690-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,super atención y trato,Daniel A,"Como cada temporda mi esposa y yo viajamos a madrid por trabajo, visitamos varios lugares nuevos algunos buenos y otros no tanto pero la verdad nada como tacos and tapas, es como estar en mi hermoso mexico y la atención ni se diga personal por el mismo encargado del local, nos vemos para la siguiente temporada. Recomendado.","Muchas gracias por sus comentarios. Esperamos verles nuevamente. Saludos.
Néstor y Eduardo.",3 contribuciones,3,Escrita el 9 de junio de 2018,Escrita el 26 de junio de 2018,3 contribuciones,Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/39/ea/de/edgar-daniel-a.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
1776264674-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Todo estupendo,Lolaregatero,"Una gran sorpresa, sitio encantador, el personal muy amable, guacamole con totopos exquisito y hecho al momento , merece realmente la pena conocerlo.","Muchas gracias por su comentario. Esperamos verles de nuevo. Saludos.
Néstor y Eduardo.",2 contribuciones,2,Escrita el 18 de octubre de 2018,Escrita el 4 de noviembre de 2018,"Madrid, España",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1776264674-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Muy grata sorpresa,HowlandReed,"De paseo por la zona decidimos entrar, ya que somos un poco de tacos.

Guacamole rico sin ser una barbaridad. Pero los tacos... Dios los tacos...

Probamos:

Cordero barbacoa con una mermelada de menta que le da un toque de frescor dulce que le viene al pelo.

Carrillera guisada al vino, un fuera de carete bastante bueno.

Dos coca colas y agua por 45€ total.

Servicio amable y muy acertados en su recomendacion. 

Local pequeño pero ""arreglado"" y un tanto... Íntimo. 

Deliciosos tacos cargaditos de relleno a precio ajustado. Si estás por la zona, es recomendable probar.","Muchas gracias por sus comentarios. Será un placer verles de nuevo. Saludos.
Néstor y Eduardo.",119 contribuciones,119,Escrita el 14 de octubre de 2018,Escrita el 29 de octubre de 2018,"Tres Cantos, España",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1776264674-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Genial!,Javi A,"La comida es exquisita, el local es muy acogedor y el servicio muy simpático. 100% repetiremos y recomendaremos","Muchas gracias por sus comentarios. Esperamos verles de nuevo. Saludos.
Néstor y Eduardo.",11 contribuciones,11,Escrita el 12 de octubre de 2018,Escrita el 29 de octubre de 2018,11 contribuciones,Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1776264674-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Buenísimo,Belén,"Todo de 10, atención, comida y local. Los tacos estaban riquísimos. La enmoladas de lo mejor que he probado. Se diferencia mucho de otros mejicanos de Madrid.
Los camareros muy agradables y educados.
Repetiré.","Muchas gracias por su comentario. Será un placer verles de nuevo. Saludos.
Néstor y Eduardo.",84 contribuciones,84,Escrita el 6 de octubre de 2018,Escrita el 29 de octubre de 2018,84 contribuciones,Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/f5/08/f7/20181005-215423-largejpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/f5/08/f8/20181005-215723-largejpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/f5/08/f9/20181005-220703-largejpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1776264674-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Espectacular!,Angelina1987,"Fuimos con mi esposo para celebrar algo importante y la verdad es que pasamos una noche increíble. Desde el momento que entramos no dejamos de sorprendernos por el buen trato y atención. Pedimos dos margaritas que estaban deliciosas y para empezar unos nachos... fabulosos!!!! De primero tacos de cochinita pibill y enchiladas de gambas con salsa de langosta que repetiría una y mil veces. Todo de primerísima calidad y delicioso sabor. He vivido en Mexico y puedo decir que este sitio me recordó sabores auténticos, sumado a la simpatía de quienes nos recibieron.... ah y al finalizar la noche nos regalaron de recuerdo un vasito de shot...detalles que no se olvidan!!! un 10!!! Repetiremos seguro. Gracias!!!!

Jaime y angie","Muchas gracias por tan agradables comentarios. Nos encanta que hayan disfrutado de su experiencia y por supuesto, será un placer atenderles de nuevo. Saludos.
Néstor y Eduardo.",192 contribuciones,192,Escrita el 4 de octubre de 2018,Escrita el 10 de octubre de 2018,"Madrid, España",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,,2,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/ee/83/19/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/ee/83/1a/photo1jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/ee/83/1b/photo2jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
