web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,image3,data16,data17,data18,image4,image5,image6,image7,image8,data19,data20,data21,data22,position
1777311594-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Muy bueno,Saul,"Solemos ir a menudo, nos encanta su comida, casero, calidad y productos de la huerta.
Tienen muy buen vino, en general no es barato pero merece la pena.",3 contribuciones,3.0,Escrita el 21 de agosto de 2021,,,,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1777311594-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Siéntate y disfruta,chano,"Venden muy bien su producto.  Destacaría los productos de la huerta y su variedad de vinos. Nos dejamos aconsejar y fue todo un acierto. Las raciones son más bien justitas para una factura algo superior a los 50 € por comensal. Para finalizar en la planta baja tiene una zona d cócteles muy chula con unos cócteles muy originales.  Enfin no es para ir todos los días, pero la experiencia merece la pena. El servicio realmente da gusto encontrar buenos profesionales a día de hoy.",130 contribuciones,130.0,Escrita el 9 de agosto de 2021,,,,130 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8c/f4/60/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/d5/64/3f/avatar.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1777311594-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Petulante hasta decir basta y caro por la escasez,Alcasgar,"Es encomiable que cuenten a cada mesa el mismo rollo del nombre de lugar en honor a la señora Angelita, sus orígenes, los productos que vienen de su propia huerta, etc. pero cansino. Yo voy a cenar y no a que me cuenten un rollo. 
Los productos de su propia huerta son de calidad, los tomates tienen sabor pero te los cobran a precio del oro en polvo en el que deben estar abonando esa famosa huerta. 
Te sugieren probar, por raro y no siempre disponible, las flores de calabacín. Una para cada uno. Que sí, que son raras en Madrid, no en lugares de huerta tradicional donde tu abuela te las hacía en tortilla como lo mas normal y sin tener que donar el riñón a la huerta mas famosa de Zamora.
La carta de vinos es buena, a precios altos, pero en los vinos como que te lo esperas mas.
Para terminar, bajando las escaleras tienen una coctelería muy acogedora. Te hacen in-situ unos gin-tonics muy historiados y como experiencia es interesante. La cagada es que te los hacen y te los cobran sin avisarte que en 10 minutos cierran. Se quedaron a medias allí. 
Conclusión, algunos sabores son interesantes a un precio demasiado alto para su cantidad y la matraca que tienes que aguantar del susodicho de turno.",70 contribuciones,70.0,Escrita el 6 de agosto de 2021,,,,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/96/d8/f8/alcasgar.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1777311594-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,,,,,,,Leer ahora,Saborea el mundo desde una sola ciudad: París,"Pon a prueba tu paladar en un viaje a Grecia, Marruecos, Japón y otros lugares.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/4a/38/f0/caption.jpg?w=400&h=400&s=1&cx=1920&cy=1080&chk=v1_32731f4d6cc7594ff2f8,,,,,,,,,,,,,,,
1777311594-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Buena experiencia!,Sofia,"Muy lindo lugar, un ambiente amigable. La comida bastante rica, con buenas porciones. Los cocteles son lo mejor del lugar.",3 contribuciones,3.0,Escrita el 24 de julio de 2021,,,,3 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1777311594-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Bueno,Ana Palacios Valdés,"Buena comida en general, dicen que lo traen de la huerta y eso esta muy bien, el trato es muy bueno y hacen unos cócteles muy ricos",9 contribuciones,9.0,Escrita el 16 de julio de 2021,,,,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1777311594-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Excelente comida y excelente trato,fl0rencia2014,"Elegimos el menú degustación con maridaje y creo que no pudimos elegir mejor. El tomate buey , era puro caramelo y se deshacía en la boca. También probamos la flor de calabacín rellena de queso , el salmón , los canelones de rabo de toro y de postre , tarta selva negra. Toda la comida estaba buenísima , al igual que lo vinos seleccionados para cada plato. El personal amabilísimo y muy pendiente de nosotros en todo momento. Sin duda, volveremos.",7 contribuciones,7.0,Escrita el 4 de julio de 2021,,,,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1777311594-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,La huerta de Madrid,Miguel V,Un restaurante con huerto propio Traen sus hotalizas directamente de Zamora Ademas tienen una cockteleria donde hacen combinados originales. Muy buena relación calidad-precio. La carta de vinos por copas es francamente recomendable. El unico inconveniente es que el servicio es amigable pero le falta un poco de profesionalidad,389 contribuciones,389.0,Escrita el 4 de julio de 2021,,,,"Provincia de Zaragoza, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/70/4b/ba/miguel-v.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1777311581-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,"Normalito, para no repetir",AlmuTegui,"He puesto 3 puntos porque la primera impresión no fue muy buena, tardaron muchísimo en atendernos, llegamos a las 13:30 y se acercaron a nuestra mesa a las 14:00, pedimos bebidas, agua y Coca-Cola, el agua caliente, literal, le comenté al camarero y me dijo que era como salía del grifo que no podían hacer otra cosa… uffff flipante, le dije que igual con unos hielos… y asi hizo.
Vino uno de los dueños a presentarse, le pedimos y nos trajeron los entrantes 14:20, normalitos… decir que el tartar estaba bueno, ceviche normal, y postre bueno, terminamos 15:20, dos horas!!
Normal pero para no repetir",68 contribuciones,68,Escrita el 19 de junio de 2022,"Bilbao, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/47/f7/c6/caption.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,
1777311581-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Me encanto,Blanca E,"Muy rica la comida, comimos el salmón y la pluma los dos deliciosos y en su punto y por último la selección de quesos que debes pedir si eres fanático de los quesos también delicioso sin duda regresaremos",11 contribuciones,11,Escrita el 18 de junio de 2022,11 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/0f/c6/92/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/f8/64/5f/124blancae.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,
1777311581-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,"Que gran ecuación, gastronomía&cocteleria.",Angel G,"En menos de un mes, comida y cena. E.n ambas ocasiones, un 9, sobresaliente.

Buen local, cálido y con encanto, acomodado por un servicio esmerado y bien dispuesto que presenta una carta corta muy trabajada y con auténticos sellos de identidad: tablas de quesos y chacinas, pisto con huevo, …

Uno de los hermanos, David el pequeño, dirige con acierto el espacio gastronómico. En la planta baja, su hermano desarrolla su pasión, la coctelería. Lugar canalla que promete muchos encuentros clandestinos para tomar tragos muy trabajados.

Probarlo y os aseguro que volveréis y volveréis",219 contribuciones,219,Escrita el 14 de junio de 2022,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,
1777311581-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,"Excelente, Carta de vinos brutal",Nacho Z,"Un sitio super Chachi que me recomendó mi amiga Elena y que no me defraudó. Todo excelente en cuanto a comida, un steak tartare de alto nivel y un vino de california cojonudo. Halcón",1092 contribuciones,1092,Escrita el 13 de junio de 2022,"Santa Cruz de Tenerife, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/f2/ab/36/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,
1777311581-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Excelente,HL89,"Excelente opción ennel centro de Madrid. Una atención extraordinaria, una comida muy rica, trabajada con producto, una bodega increible, llena de sorpresas. Hay que dejarse aconsejar y disfrutar. Ahh!! A buen precio.",123 contribuciones,123,Escrita el 9 de junio de 2022,"País Vasco, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/d5/0e/22/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1a/1d/e9/caption.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,
1777311581-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Visita obligada en Madrid,Nurivlc,"Uno de los mejores sitios en Madrid para pasar un rato increíble comiendo y bebiendo. No importa si eres de Madrid o no, si tienes manías, si entiendes de vino o no sabes nada, déjate llevar y disfruta, o pide lo que te llame la atención, no hay problema. El servicio igual de especial, la sumiller muy divertida, el dueño también pendiente de todo y el precio acorde a la experiencia. Más que recomendable, en breve volvemos.",68 contribuciones,68,Escrita el 8 de mayo de 2022,"Valencia, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/7b/68/4c/nurivlc.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,
1777311581-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Excelente calidad pero vino muy caro,Barbara H,"Éramos tres comensales y compartimos cuatro platos. Los cuatro excelentes. Productos muy frescos. Presentación esmerada. Lasedis copas de Ino muy buena idea, pero muy caras",144 contribuciones,144,Escrita el 1 de abril de 2022,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,
1777311581-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Muy bueno,Noé D,"Restaurante muy bueno con un servicio y trato por parte de su personal muy bueno. Una de las chicas fue muy cariñosa con mi pareja y conmigo. 

Un pelín caro",14 contribuciones,14,Escrita el 19 de febrero de 2022,14 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,
1777311581-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Una perfección,Cath,"Un restaurante increíble, con un pairing food perfetco, un servicio muy carinoso y agradable. 6/5...",1 contribución,1,Escrita el 10 de febrero de 2022,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,
1777311581-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Injustificadamente caro,Goloso gourmet,"Un local bonito y acogedor atendido por gente joven y dinámica. Ambiente informal y puede que un poco pijo. Todo lo que comimos mi pareja y yo estaba rico, pero nada era susceptible de ser considerado alta cocina. Salvo el precio, claro está: 50 pavos por cabeza. Y es que empiezan a cansar y abundar los locales que no inventan nada pero cobran como si sus cocineros fueran Ferran Adrià: un pisto correcto, una tortilla “vaga” (poco cuajada)… cosas que se dejan comer pero pagadas a precio de oro. Y todo con explicaciones y adornos “dialécticos” fantasmagóricos. Pedimos media tabla de quesos  por la que nos cobraron 13 pavos y que llevaba seis trocitos minúsculos de tres variedades de queso. Queso a precio de ostras. Eso sí, el chaval que nos la sirvió nos soltó el correspondiente rollo vacuo y grandilocuente.

Resumen: si cobras caro hay que justificarse. Y no parece que un pisto y una tortilla sean a estas alturas ninguna cosa extraordinaria. ¿O sí?

No volveré.",186 contribuciones,186,Escrita el 3 de enero de 2022,"Región de Murcia, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,8,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/9d/35/4d/caption.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,
1777311581-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Lo mejor de un día de compras ...,ana pp,"Angelita nos encanta, siempre nos dejamos a consejar.  Nuestros fijos el pisto, los canelones de rabo de toro y los callos.  Ayer pedimos también el bonito, de 10.  La atención al cliente es maravillosa.  Es  lo mejor despues de un día de compras .
Gracias por atendernos siempre tan bien.",1 contribución,1,Escrita el 2 de enero de 2022,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,
1777311581-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Muy recomendable,Carlos V,"El trato fue excelente, y los platos que degustamos fueron excepcionales. Recomiendo la tortilla vaga, una tortilla sólo cuajada de un lado que francamente nos sorprendió. Lo recomiendo",354 contribuciones,354,Escrita el 24 de diciembre de 2021,"Sabadell, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/f6/b2/e4/caption.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,
1777311581-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Decepcionado,Paty López Padilla,"Terrible el trato en Bar de Cócteles 

Después de haber recibido un trato extraordinario en el restaurante y una comida excelsa. bajamos al bar de coctelería, y después de haber gastado cientos de euros en el restaurante; recibimos un trato TERRIBLE por parte de un mesero de nombre Alvaro. no nos querían dar ningún tipo de botana ni palomitas y nos exigieron que consumiéramos mas.  un rato terrible, de verdad",4 contribuciones,4,Escrita el 11 de diciembre de 2021,"Ciudad de México, México",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/09/cf/d9/caption.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,
