web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,position,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image,position2,image2,image3,name
1775666711-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Experiencia de Comida con Laura,Julio,"En nuestra visita celebramos un día muy importante para la familia—y durante la experiencia, Laura demostró una increíble atención, recomendó unos platos exquisitos (como los super crispy y la Brutal Burger), y terminamos con unas bolas de helado de dulce de leche que estaban en otro nivel. Muchas gracias Laura!",7 contribuciones,Escrita el 16 de junio de 2024,Escrita el 25 de junio de 2024,7.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,
1775666711-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Me ha gustado mucho la comida y me han atendido muy bien.,Agustín V,"Kari, la camarera que me ha atendido lo ha hecho de forma excelente. Me ha explicado cómo era lo comida pedída y me ha orientado. Me han atendido muy bien.",2 contribuciones,Escrita el 11 de junio de 2024,Escrita el 13 de junio de 2024,2.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,,,,,
1775666711-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Buen sitio para cenar,Rahiel R,"Un sitio muy agradable y bonito. Los meseros muy amables y agradables, y la comida muy buena, haciendo que valga la pena por su precio",1 contribución,Escrita el 9 de junio de 2024,Escrita el 13 de junio de 2024,1.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,,,,,
1775666711-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Atención inmejorable,Helena O,"La comida como siempre riquísima, somos clientes habituales. Nazalio y sus compañeros han sido muy amables. Volveremos.",3 contribuciones,Escrita el 7 de junio de 2024,Escrita el 13 de junio de 2024,3.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,
1775666711-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Buen servicio,Luismi A,Gran atención por parte de Alejandro Gonzales y una comida espectacular del cocinero Carlos. Un local bonito limpio y muy cómodo.,1 contribución,Escrita el 7 de junio de 2024,Escrita el 13 de junio de 2024,1.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,,,
1775666697-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Muy satisfechos 😁,jackiee S,"Las amburguesas que pedimos deliciosas , Lorena que nos atendió súper maja , atenta sin duda repetiremos otra vez y el servicio súper rápido.",1 contribución,Escrita el 10 de agosto de 2024,Escrita el 11 de agosto de 2024,1.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,Leer más,Leer más,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,
1775666697-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Gran lugar,Juan Carlos d,"Un lugar muy agradable para comer, pasar el rato y comer rico, la atención de la camarera Laura fue impecable y siempre estuvo atenta.",1 contribución,Escrita el 2 de agosto de 2024,Escrita el 2 de agosto de 2024,1.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,Leer más,Leer más,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,
1775666697-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Kudos a Karen,Yshcapes,"Positivo: Tuve un filete encantador y costillas para la cena. Casi perfecto. Nuestro servidor, Karen, era muy encantador y amable. Ella es la razón principal por la que estoy calificando esta experiencia con 5 estrellas. ¡Kudos! 

Negativo: El supervisor siempre está al teléfono, incluso en el comedor. Mirando y tocando música durante el turno y frente a los comensales. Pedimos agua y se olvidó de ella. (Ya sabes por qué)",6 contribuciones,Escrita el 30 de julio de 2024,,6.0,,,,Mostrar original,,Traducido automáticamente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/01/52/d2/caption.jpg?w=300&h=300&s=1,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/01/53/ab/caption.jpg?w=100&h=-1&s=1,,
1775666697-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Un valor seguro. Comida de calidad.,Culture49904475748,"Siempre es un valor seguro. Ambiente sofisticado, te sientes genialmente atendido, desde Carlos al resto del equipo.

La comida está deliciosa. Son expertos en cocinar todo genial.

Siempre que acudimos a Madrid vamos y nunca nos falla",2 contribuciones,Escrita el 26 de julio de 2024,Escrita el 27 de julio de 2024,2.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,Leer más,Leer más,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,
1775666697-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Perfecta hospitalidad,Erkan D,"Ubicación perfecta, servicio rápido y bueno. Debería venir aquí todos los días si he vivido aquí. Gracias a Carlos por el buen servicio.",2 contribuciones,Escrita el 26 de julio de 2024,Escrita el 27 de julio de 2024,2.0,Steakburger P,"Thank you for visiting our restaurant, we are glad that your stay was pleasant.",Traducir respuesta,Mostrar original,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,,,,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,
1775666697-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Las mejores hamburguesa de Madrid,Anahivi,"Excelente lugar, la hamburguesa deliciosa y la atención excepcional, Marcelo excelente mesero con muy buena atención y servicio.",12 contribuciones,Escrita el 24 de julio de 2024,Escrita el 27 de julio de 2024,12.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,Leer más,Leer más,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,
1775666697-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Steakburger,Raquel U,"Todo correcto, buena comida, sitio original y una buena atención por parte de Karen.
Repetiremos próximamente.
Muuuuuuu",1 contribución,Escrita el 21 de julio de 2024,Escrita el 21 de julio de 2024,1.0,Steakburger P,"Thank you for visiting our restaurant, we are glad that your stay was pleasant.",Traducir respuesta,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,,,,,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,
1775666697-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Buena comida y personal,elisa m,"Nuestra camarera Karen y la comida era todo genial! Al ser de los EE.UU., todo lo que queríamos era una buena hamburguesa, y la encontramos aquí. Karen también era muy servicial de nuestras necesidades y asegurándose de que las órdenes eran correctas.",2 contribuciones,Escrita el 21 de julio de 2024,Escrita el 21 de julio de 2024,2.0,Steakburger P,"Thank you for visiting our restaurant, we are glad that your stay was pleasant.",Traducir respuesta,Mostrar original,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,,,,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,
1775666697-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,"Fantásticas hamburguesas, patatas fritas y ensalada!",Traveler0076,"Todos queríamos una buena hamburguesa y este lugar dio en el lugar! Personal amable con un gran servicio y un ambiente muy fresco dentro del restaurante! Mi marido y yo compartimos la ensalada de queso de cabra con pollo (gran sabor a la parrilla! ) así como la Hamburguesa de Hongos con Papas fritas. Todo estaba delicioso! Mis hijas consiguieron una hamburguesa vegetariana y la hamburguesa original con tocino y queso y se cocinaron perfectamente! Un lugar increíble para relajarse después de un día ajetreado, disfrutar de una bebida y grandes hamburguesas con la familia y amigos!",14 contribuciones,Escrita el 13 de julio de 2024,Escrita el 21 de julio de 2024,14.0,Steakburger P,"Thank you for visiting our restaurant, we are glad that your stay was pleasant.",Traducir respuesta,Mostrar original,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,,,,,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,
1775666697-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Hugo genial y todo increíble,Bea L,"Hugo es una camarero extremadamente atento y amable, además de que el encargado ha sido muy simpático también. La comida estupenda. Volveremos como siempre, seguro!",2 contribuciones,Escrita el 13 de julio de 2024,Escrita el 21 de julio de 2024,2.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,Leer más,Leer más,,,,,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,
1775666697-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Hugo genial!,Martina M,"Muy bien atendido por Hugo. Un genio, amable, respetuoso y atento. 
Comida muy rica, recomiendo las croquetas de jamón ibérico. 
Muy bien ubicado.",1 contribución,Escrita el 10 de julio de 2024,Escrita el 21 de julio de 2024,1.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,Leer más,Leer más,,,,,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,
1775666697-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Brutal burger bbq madurada,Xeocato E,"La carne de la burger BBQ Brutal madurada ha sido excepcional (poco hecha). Si te gusta la carne no lo dudes.
Además la atención de Karmen y  Alejandro González ha sido sublime, muchas gracias por todo. Volveremos!",14 contribuciones,Escrita el 7 de julio de 2024,Escrita el 21 de julio de 2024,14.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/c5/89/72/caption.jpg?w=300&h=300&s=1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,
1775666697-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Gran servicio de Elba,George S,. Elba era increíble con un gran servicio. La comida era 10 / 10. Definitivamente volvería. Muy asequible y 100% vale la pena. ¡Gracias!,2 contribuciones,Escrita el 6 de julio de 2024,Escrita el 21 de julio de 2024,2.0,Steakburger P,"Thank you for visiting our restaurant, we are glad that your stay was pleasant.",Traducir respuesta,Mostrar original,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,,,,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,
1775666697-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Buscando donde comer a las 23:30hs,Connector59665301011,Llegamos muy tarde pero nos atendieron como si no importara la hora que era. Karen muy servicial. La comida exquisita. Volvería sin dudarlo.,1 contribución,Escrita el 6 de julio de 2024,Escrita el 21 de julio de 2024,1.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/c2/bb/46/caption.jpg?w=300&h=300&s=1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,
1775666697-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Cena,Valeria F,"Precioso lugar! La atención de Karen Excelente, super amable y anfitriona, guiándonos con los platos! 
La comida deliciosa y la limonada de mango un éxito!",1 contribución,Escrita el 6 de julio de 2024,Escrita el 21 de julio de 2024,1.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,Leer más,Leer más,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,
1775666685-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,La sangría muy buena,Ester C,Todo estaba muy rico y Álex fue encantador y atento siempre. Nos hizo buenas recomendaciones y comimos genial. Totalmente recomendable,1 contribución,Escrita el 6 de octubre de 2024,,1.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,
