web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,image4,data19,data20,data21,data22,data23,image5,image6,image7,image8,image9,image10,image11,image12,position,position2
1775744679-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Silencioso e higiénico,Lucifer,El ambiente del comedor es ordenado y el servicio es atento y meticuloso. Diseño de platos únicos e interesantes.,149 contribuciones,149,Escrita el 22 de febrero de 2021,149 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/ab/18/2f/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/ab/18/30/photo1jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/ab/18/31/photo2jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ed/28/1c/avatar.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,
1775744679-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Asombroso,JCM,"Sinceramente a día de hoy , y después de varios restaurantes en Madrid “estrellados”, el mejor sin estridencias, sorprendiendo en cada plato y cuidando muy mucho la elaboración , las materias primas , las texturas , la presentación y los sabores. No es necesario darse ínfulas de nada para demostrar una cocina innovadora, y que busca unos platos equilibrados y exquisitos al paladar.
El servicio, los cocineros , siempre pendientes de que te sientas cómodo y bien atendido.
Carta de vinos impresionante, y 18 platos , todos con matices muy distintos y siempre buscando el como descolocarte en todo lo que uno uno imagina y asocia a dichos platos.
EXCEPCIONAL",5 contribuciones,5,Escrita el 15 de febrero de 2021,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,,,,,,,,,,,,,,,,,,
1775744679-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,"Para un restaurante de su nivel, bien.",Pilar O,"Somos amantes de la alta cocina y decidimos conocer Dstage. 
El servicio amable en general. 
Eché en falta tener listado de platos a priori, lo pedimos pero no nos lo dieron. 
La comida bien, pero no entiendo que de 18 platos, el único de carne era pichón. 
Destacar en la cocina una persona, no sé su nombre pero es de Gran Canaria, nos preguntó al final si estaba todo a nuestro gusto y nos estuvo atendiendo algunas consultas que le hicimos sobre la cocina y el local, un encanto. 
El té 5 euros caro, y el poleo fatal hervido, parecía sólo agua. 
Que no se pueda empezar en la zona de bar, y seguir en la cocina por el virus le resta interés al restaurante, que podrían compensar de alguna manera, con alguna copa, o algún detalle.",75 contribuciones,75,Escrita el 6 de febrero de 2021,"Madrid, España",Calidad/precio,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,
1775744658-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Muy rico - buen trato,Fernando Rodriguez,"15 platos de alto nivel, nada que decir salvo que estaba buenísimo y el trato fue perfecto. Es un michelin sin mantel, pero perfecto para Madrid. Un 9-10","Madrid, España",44 contribuciones,44.0,Escrita el 11 de diciembre de 2021,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,Leer más,,0.0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,
1775744658-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,,,,,,,,Explora ahora,Descubre Prefectura de Hiroshima,Descubre por qué a los viajeros como tú les encanta Prefectura de Hiroshima,Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,,,,Patrocinado por Hiroshima Tourism(HIT),,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/d4/06/8d/dsc-0685-largejpg.jpg?w=400&h=400&s=1,,,,,,,,,,,,,,,,,,
1775744658-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Sublime,gataz,Aquí con mi camisa de Primark y mis jeans de mercadillo pero disfrutando de una cocina de dioses. Maravilloso. A repetir si me toca la loteria. En todo caso más adelante.  Maravilloso Diego Guerrero,16 contribuciones,16 contribuciones,16.0,Escrita el 9 de diciembre de 2021,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,Leer más,,0.0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,
1775744658-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Decepción absoluta! Fatal!,ZAIDA,"El peor restaurante con estrella Michelin que he comido, fue una absoluta decepción, llevaba 3 años intentando reservar con ellos y siempre estaban completos, y de repente en marzo tenían un montón de hueco, la verdad que me sorprendió la cantidad de horarios que tenían disponibles, pensé que igual era por el COVID, así que no lo dude e hice una reserva para dos personas. 

Era el regalo de cumpleaños a mi novio, el cual también tenía muchas ganas de probar este restaurante. 

La comida fatal, absolutamente decepcionante, todo eran purés, caldos, triturados… de 15 platos solo 2 contenían “algo de pescado” y solo uno carne. 

Platos insípidos, con ninguno de ellos decías “wow que sabor, que fusión”, nada, simplemente te lo comías y al llegar el siguiente plato pensabas “por favor que este esté mejor”.

Los camareros traían un plato y te decían “la carne de los pobres”, “el chocolate de los pobres”, “el chupito sin alcohol”… fue completamente surrealista. No se si es que habían hecho recortes por el COVID o es que realmente el menú era así. 

Quizás es que tenía unas expectativas muy altas de este lugar, pero sin duda ha sido el peor restaurante de estrella Michelin en el que he estado. Una auténtica decepción que no recomiendo a nadie. 

Y encima después de comer tan mal, piensas madre mía lo que he pagado por semejante desastre culinario.",567 contribuciones,567 contribuciones,567.0,Escrita el 4 de diciembre de 2021,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,Leer más,,0.0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,
1775744658-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,SOBREVALORADO. Dos estrellas compradas.,Cristina S,"Dos estrellas para mi gusto nada merecidas:  platos bien elaborados y muy originales PERO menú sin armonía:  platos dulces y postres salados; servicio de taberna; carta de vinos de taberna (escasa, poco informativa…); ausencia de sumellier; ritmo de los platos cansino (casi 4 horas para menú de 15 platos)………..eso sí, el precio de dos estrellas michelín.  SOBREVALORADO.  UNA Y NO MÁS.","Palma de Mallorca, España",64 contribuciones,64.0,Escrita el 29 de noviembre de 2021,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,Leer más,,0.0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,
1775744658-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Comida diferente.,Miguel S,"Es un poco paradojico que un restaurante con dos estrellas Michelin, no tengo ni un simple letrero con su nombre en la puerta o fachada externa del local.  Nos costo encontrarlo, incluido el taxista, parece la entrada normal de una casa. Tambien se echó mucho de menos una rampa de madera portátil, para las personas que vamos en silla de ruedas, aunque como bien es conocido los medios se suplen con el esfuerzo y buena voluntad del personal de la sala. Únicamente por esta falta de previsión no le doy la maxima calificación.
   El local es agradable y muy estilo garage underground. Nos gusto que a mi compañera que tiene intolerancia  a la miel, en los platos que habia alguna posibilidad de que tuviera, a ella le sirvieron otro plato distinto al mío. La comida me gustó, como siempre en este tipo de restaurantes, unos platos mas que otros. Fue alucinante el comerte un chorizo y que despues te digan que esta hecho de lentejas y no tiene nada de carne. Buenísimo. 
   Tener el privilegio de ver en primera fila al equipo de Diego Guerrero y a él mismo preparando los platos fue un gustazo. Sin dudarlo volvería si tuviese ocasión.","Mislata, España",5 contribuciones,5.0,Escrita el 20 de noviembre de 2021,,,,,Calidad/precio,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,
1775744658-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Decepcionante,Kierkegaar,"Me invitaron a cenar aquí en mi cumpleaños, porque sabían las ganas que tenía de ir, después de haber probado restaurantes similares. 
Mis expectativas eran muy altas, y a lo mejor por eso la decepción fue enorme. 
Entiendo que la experiencia no podía ser del todo completa, debido a las restricciones covid. Pero aún con todo, creo  que algo debía pasar, porque es imposible que con un menú así, tengo no dos, si no una sola estrella. 
En un momento dado, pensé que habíamos pedido el menú vegetariano. Pero no, acabo apareciendo algo de chicha. 
Solo puedo decir que solo me llegaron a sorprender un par de bocados. La mayoría sin pena ni gloria, y unos pocos que aún no entiendo como han llegado a la carta de un restaurante así. 
Lo peor es pensar que la persona que me invito se gasto un dinero por algo tan insulso. 
En conclusión, la  mayor decepción culinaria que he tenido.","Madrid, España",26 contribuciones,26.0,Escrita el 14 de noviembre de 2021,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,Leer más,,1.0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,
1775744658-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,,,,,,,,Leer ahora,Quédate y descubre los tesoros ocultos de Hiroshima — de la paz a la aventura,"Ruta dorada, final de platino — Hiroshima eleva tu viaje por Japón.",Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,,,,En colaboración con Hiroshima Tourism(HIT),,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/dd/ae/caption.jpg?w=400&h=400&s=1&cx=4096&cy=2752&chk=v1_4cc8bb50a02acd7b87cb,,,,,,,,,,,,,,,,,,
