web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,image4,position,data19,data20,data21
1779687879-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Consumición + tapa rica,Eva GM,"Perfecto tapeo con las consumiciones y la tabla de salsas con una carne espectacular, pedimos solomillo y picadillo de chorizo. La salsa de Roquefort también muy muy buena.
El servicio rápido y atento, repetiremos mas veces! 
La relación calidad precio bastante buena también",613 contribuciones,613,Escrita el 20 de marzo de 2023,613 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/87/51/16/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/cc/8d/ac/caption.jpg?w=100&h=-1&s=1,,,,
1779687879-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Comida Rápida Española Tier S,Gonzalo A,"Bocadillo de tortilla altamente recomendado. Te hacen la tortilla al momento, Brutal!!!
Servicio increíble y camareros muy amables.",13 contribuciones,13,Escrita el 10 de febrero de 2023,13 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/a3/3a/fb/gonzalo-a.jpg?w=100&h=-1&s=1,,,,
1779687879-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Nos encanta,Cristina P,Vamos mucho y nos encanta .Hay que tener paciencia porque se llena rápido y es muy pequeño! Gracias Antonio por hacernos sentir como en casa! Recomendada la Gran parrillada con huevos!,1 contribución,1,Escrita el 9 de enero de 2023,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,
1779687879-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Brutal!,Inma M,"Uno de mis sitios favoritos de Madrid , la comida de 10 y raciones súper grandes de calidad brutal. 
El ambiente y el servicio es brutal . 
 Súper recomendado",1 contribución,1,Escrita el 4 de enero de 2023,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,0,,,,,,,,
1779687879-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Visita después de ir al Senado,JJuizFGrasso,"Fuimos un día después de la visita al Senado y al Manantial de la Salud del Parque del Oeste. 

Pedimos unas patatas y otras con salsas y unas hamburguesas

¡Buen trato!",963 contribuciones,963,Escrita el 10 de diciembre de 2022,"Fuensalida, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/47/9a/df/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/47/9a/de/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/47/9a/fe/gandario-madrid.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e8/90/16/avatar.jpg?w=100&h=-1&s=1,,,,
1779687902-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Uno de mis lugares favoritos <3,Emilio de la Peña,"Los platos excelentes, un lugar que visito cuando menos una ves por semana con amigos. El trato es espectacular, logran que las personas se sientan queridas y eso para mi es importante. Definitivamente es uno de mis lugares favoritos en Madrid.",8 contribuciones,8,Escrita el 19 de noviembre de 2022,8 contribuciones,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/18/46/85/emiliodelap9.jpg?w=100&h=-1&s=1,,,,,,
1779687902-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Cena increible,Jorge A,"De los mejores sitios para tomarte unas tapas y unas cervecitas.
Trato increíble y ubicación perfecta.
En resumen TOP",1 contribución,1,Escrita el 31 de agosto de 2022,1 contribución,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,,,,
1779687902-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,No he acabado de comer y no sé lo que vale pero me da igual,Ruben G,Simplemente increíble. Descubrimiento total. Las tablas son maravillosas con muchas combinaciones posibles. De los mejores sitios de Madrid para comer y cenar. Atención buena y rápida.,2 contribuciones,2,Escrita el 25 de agosto de 2022,2 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/69/49/37/gandario.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,
1779687902-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Excelente,Paul R,"La comida deliciosa (las tablas están espectaculares), los camareros muy simpáticos y agradables; y el ambiente con muy buen rollo. ¿La única pega? Tener que irnos. Volveremos a repetir sin ninguna duda!!!",2 contribuciones,2,Escrita el 6 de junio de 2022,2 contribuciones,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,,,
1779687902-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Tremendo,Jordi,La comida ha rentado mazo. Bien de precio y buenísima calidad. Local bien ubicado y muy buen servicio.,2 contribuciones,2,Escrita el 18 de abril de 2022,2 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/15/0f/05/gandario.jpg?w=300&h=300&s=1,,,,,,,
1779687902-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,CANARIOS X MDRID,GASTROLIFE,"Nos encantó, está a 6 minutos andando de Moncloa y pedimos la tabla de 4 salsas para 2 personas y dos cervezas y nos salió todo por 23€ más o menos. Nos dieron una tapa nada más pedir la bebida y nos pudimos sentar en la terraza.
La carne está increíble y de calidad, se nota el sabor de la parrilla. Si vas a Madrid y no quieres gastar mucho en comida y comer bien en calidad precio, este es tu sitio.",171 contribuciones,171,Escrita el 20 de diciembre de 2021,"Las Palmas de Gran Canaria, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/a8/a6/95/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/19/dc/e3/gastrobriones.jpg?w=100&h=-1&s=1,,,,,,
1779687902-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Tablas de patatas espectaculares,Machuki64,"Servicio muy atento y eficiente, lugar muy agradable y las tablas de patatas espectaculares, relación calidad precio increíble",12 contribuciones,12,Escrita el 20 de noviembre de 2021,12 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,,,
1779687902-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,100% recomendable,Guille2498,"Llevo yendo con amigos desde hace 5 años y no nos cansamos. Cualquier tabla de carne, las croquetas de boletus y la tortilla son imprescindibles. Gran sitio para pasar un buen rato con amigos y comer bien y a buen precio. 100% recomendable.",27 contribuciones,27,Escrita el 9 de noviembre de 2021,"Madrid, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,
1779687902-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Para repetir,juanpe140,Muy buenos precios. Patatas con carne y salsas recomendables. No reservan y se llena rápido. Tiene terraza y mesas en interior.,178 contribuciones,178,Escrita el 28 de octubre de 2021,Barcelona,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/22/0b/85/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,,,,
1779687902-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Excelente atención y tablas riquísimas !!,Álvaro H,"Lo mejor la tabla de secreto ibérico, muy bien precio y majisimo el sueño. Recomendable y sin duda repetiremos!",3 contribuciones,3,Escrita el 26 de septiembre de 2021,3 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,,,
1779687902-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Merece la pena,Coque M,"Cerveza bien tirada, tapas generosas, una maravillosa terraza y dueño y camareros de lo mejorcito de Madrid. Mil gracias por ser como sois!!!",107 contribuciones,107,Escrita el 12 de julio de 2021,"Madrid, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/30/82/67/coque-m.jpg?w=100&h=-1&s=1,,,,,,
1779687902-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Muy bueno,Blanca E,"Llevaba queriendo ir bastante tiempo por recomendación de varios amigos, pero siempre estaba lleno. Probamos los tequeños y una tabla de patatas con cruceta de cerdo y dos salsas y estaban ambos platos muy buenos!! Nos ha gustado mucho, quizás por ponerle una pega, la tabla tenía bastante aceite, pero es lo de menos ya que de sabor estaba muy rico. Recomiendo las salsas chimichurri y gandarío. Relación calidad-precio muy buena, pagamos 20€ entre dos para comer.",72 contribuciones,72,Escrita el 26 de mayo de 2021,"Madrid, España",Calidad/precio,Servicio,Comida,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/08/95/94/tabla-de-patatas-y-cruceta.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,,,
1779687902-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Encantada,Cristina P,"Las tablas de lo mejorcito y los camareros rápidos y agradables. La decoración es muy chula y ahora que hay terraza, mucho mejor. Te sientes cómodo.",6 contribuciones,6,Escrita el 12 de abril de 2021,"Madrid, Comunidad de Madrid, Spain",,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,,,,
1779687902-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,🍗 NO TE DEJES ENGAÑAR,Sergio De Weskonsin,"Aparententemente desde fuera parece un barucho de barrio del que pasarías de largo si no fuera porque alguien te lo recomienda Y ASÍ FUE!!
La sorpresa se encuentra en su interior y es que venden unas tablas con 5 carnes a elegir y/ó combinar que están bien sabrosas, acompañadas de salsas (hasta 8 para elegir) y todo ello combinado con patatas fritas.
Por su tamaño no hace falta ni entrante! 
Además: muy buen precio y estupendo camarero.
Único ""PERO"" local muy pequeño.",341 contribuciones,341,Escrita el 9 de diciembre de 2020,"Málaga, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/68/e2/bb/img-20201203-210144-043.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/08/fb/2a/caption.jpg?w=100&h=-1&s=1,,,,,,
1779687902-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Tablas de carne,Dignidad,"Un bar con buen ambiente y personal amable. Sus tablas de carne son perfectas para compartir, puedes elegir los tipos de carne que prefieras y acompañarlos con salsas y patatas. Muy recomendable! (Hay opción para vegetarianos)",135 contribuciones,135,Escrita el 6 de septiembre de 2020,"Madrid, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/86/5d/78/elena-g.jpg?w=100&h=-1&s=1,,,,,,
