web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,position2,image,image2,data15,data16,data17,data18,data19,image3
1777310909-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Atención al cliente,Rocio A,"Muy buena comida, y excelente atención Hugo es muy amable.",1 contribución,Escrita el 18 de enero de 2026,1.0,,,,,ene 2026 • En familia,,Ambiente,Calidad/precio,Servicio,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,
1777310909-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,La mejor pizza de Aluche y de las mejores de madrid!,luis francisco,"Un clásico de Aluche. De las mejores pizzas de Madrid, trato exquisito en un ambiente familiar. La pizza Fratelli, impresionante.",3 contribuciones,Escrita el 18 de enero de 2026,3.0,,,,,ene 2026 • En familia,,Ambiente,Calidad/precio,Servicio,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,Comida,,,Leer más,,
1777310909-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Hugo,Hugo M,Muy buen servicio y comida excelente,1 contribución,Escrita el 17 de enero de 2026,1.0,,,,,ene 2026 • Amigos,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,
1777310897-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Comida fantástica y trato ideal,Charly C,Conozco el restaurante de hace tiempo y jamás han bajado su calidad. Es más siempre es un placer volver. Y una atención maravillosa por parte de Hugo,,2 contribuciones,2.0,Escrita el 12 de febrero de 2026,,,,,,Calidad/precio,Ambiente,Servicio,1.0,,,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2 contribuciones,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/6d/d5/47/charly-c.jpg?w=100&h=-1&s=1
1777310897-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,,,,,,,,Explora ahora,Descubre Marruecos,Este contenido está patrocinado por Morocco. Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,Descubre por qué a los viajeros como tú les encanta Marruecos,Patrocinado por Morocco,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/fb/25/a5/caption.jpg?w=400&h=400&s=1,,,,,,,
1777310897-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Trato genial y pizzas espectaculares,Sergio B,Siempre bien. Uno de los mejores sitios del barrio. Hugo nos ha hecho sentir en casa. El Camembert frito de entrante nos encanta.,,1 contribución,1.0,Escrita el 8 de febrero de 2026,,,,,,Calidad/precio,Ambiente,Servicio,1.0,,,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1
1777310897-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,PERFECTO,Nora D,"Muy atentos y simpáticos, sobre todo el camarero Hugo. Ha sido muy rápido y servicial! 😊 La comida buenísima como siempre, ya que hemos venido varias veces, volveremos sin duda!!",,1 contribución,1.0,Escrita el 8 de febrero de 2026,,,,,,Calidad/precio,Ambiente,Servicio,1.0,,,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1
1777310897-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Recomendable 100%,Madalina S.,"Muy recomendable el sitio!!! Es una pizzería dentro del parque de Aluche, con una buena terraza en verano donde se puede comer o cenar tranquilamente, y también dispone de una sala dentro y un salón en la parte inferior. Hemos comido y hemos cenado varias veces porque es un sitio al que apetece volver. Los camareros son muy atentos y pendientes de cada comensal, sobre todo Miguel, que es el que nos ha tocado en varias ocasiones. Un 10 para el 👏🏼👏🏼 y para sun compañeros!",,5 contribuciones,5.0,Escrita el 8 de febrero de 2026,,,,,,,,,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/67/25/fb/caption.jpg?w=300&h=300&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Madrid, España",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/6e/0f/39/caption.jpg?w=100&h=-1&s=1
1777310897-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,He comido muy bien y el ambiente es acogedor. La carta es muy variada y muy bien elaborada.,Miguel angel M,"Se come genial y a muy buen precio 
Hugo, el camarero es encantador y todo el servicio en general. Muy bien.
La carta es variada y bien elaborada.",,1 contribución,1.0,Escrita el 8 de febrero de 2026,,,,,,Calidad/precio,Ambiente,Servicio,1.0,,,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1
1777310897-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Increible,Isabel Maria L,"La comida es excelente y no tardan nada en servir, dar las gracias sobre todo al camarero Hugo que nos ha atendido increíble y atento en todo momento de que no nos faltara de nada.",,1 contribución,1.0,Escrita el 8 de febrero de 2026,,,,,,Calidad/precio,Ambiente,Servicio,1.0,,,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1
1777310897-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,,,,,,,,Leer ahora,Quédate y descubre los tesoros ocultos de Hiroshima — de la paz a la aventura,Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,"Ruta dorada, final de platino — Hiroshima eleva tu viaje por Japón.",En colaboración con Hiroshima Tourism(HIT),,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/dd/ae/caption.jpg?w=400&h=400&s=1&cx=4096&cy=2752&chk=v1_4cc8bb50a02acd7b87cb,,,,,,,
1777310897-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Oda a la pasta,Salamandrina,"Recomiendo este sitio, la pasta fuera de carta estaba increíble. Hugo nos atendió maravillosamente. Muy buena tercera cita. Sin duda volveré.",,3 contribuciones,3.0,Escrita el 6 de febrero de 2026,,,,,,Calidad/precio,Ambiente,Servicio,1.0,,,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",3 contribuciones,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1
1777310897-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Muy buen sitio,Lesley U,"Maravillosa la comida , excelente presentación y la atención de todos los camareros muy buena pero la de Hugo ,espléndida , ojalá más camareros como él, siempre volvemos",,3 contribuciones,3.0,Escrita el 1 de febrero de 2026,,,,,,,,,1.0,,,,,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1
1777310897-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Comida buena bonita y barata,JuanMa G,"Un sitio estupendo, muy buena comida a buen precio. El camarero Hugo un chico súper agradable. Totalmente recomendado",,1 contribución,1.0,Escrita el 1 de febrero de 2026,,,,,,Calidad/precio,Ambiente,Servicio,1.0,,,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1
1777310897-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Un placer tanto la comida como el trato y el precio,Gonzalo R,Excelente comida y servicio.  No somos de Aluche pero llevamos años yendo varias veces al año porque es un sitio 10 en cuanto a calidad/ servicio/ precio. Hoy Hugo ha sido nuestro camarero y como siempre un trato muy bueno.,,2 contribuciones,2.0,Escrita el 31 de enero de 2026,,,,,,,,,1.0,,,,,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1
1777310897-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Cena italiana de reencuentro,Paco A,"Ésta vez sólo hemos cenado pizzas y postres, las Cuatro Estaciones, nunca defraudan, Marinera y Fratelli, estupendas y opuestas, el tiramisú y  los canutillos rellenos ponen la guinda a la cena.
Todo ello acompañado con unas birras Moretti, y la atención respetuosa y agradable de Hugo.",,2 contribuciones,2.0,Escrita el 31 de enero de 2026,,,,,,,,,1.0,,,,,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,
1777310897-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,,,,,,,,Explora ahora,Descubre Egipto,Este contenido está patrocinado por Experience Egypt. Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,Descubre por qué a los viajeros como tú les encanta Egipto,Patrocinado por Experience Egypt,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=400&h=400&s=1,,,,,,,
1777310897-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Sitio agradable y acogedor.,Nati A,"Ambiente muy bueno. Todo lo que pedimos fantástico 😋, no pudimos acabarlo . La atención del camarero  Hugo que fue el que nos atendió GENIAL. 
Seguiremos repitiendo 👌",,1 contribución,1.0,Escrita el 31 de enero de 2026,,,,,,,,,1.0,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1
1777310897-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,!,G.Magic,"Todo bien, comida buena, rápidos, amables. Hugo nos atendió de maravilla, crack. Volveremos pronto a probar lo que nos queda",,2 contribuciones,2.0,Escrita el 31 de enero de 2026,,,,,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/55/9f/de/caption.jpg?w=300&h=300&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Madrid, España",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1
1777310897-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Las mejores pizzas de aluche,Cristina L,Las pizzas más ricas del barrio. Y los camareros muy amables!!! Nos ha tocado Hugo y genial. Pizzas familiares extra grandes y muchos tipos.,,1 contribución,1.0,Escrita el 30 de enero de 2026,,,,,,,,,1.0,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1
1777310897-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Comida 10/10,Cristina M,"El camarero, Hugo es la primera vez que le vemos, ha dado un servicio impecable.
Miguel siempre está y también es muy atento y simpático.
Venimos de hace muchos años y la calidad siempre es increíble, un lugar perfecto para venir solo, en pareja, con amigos y en familia.
Seguiremos volviendo seguro.",,2 contribuciones,2.0,Escrita el 29 de enero de 2026,,,,,,Calidad/precio,Ambiente,Servicio,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/53/6d/cc/caption.jpg?w=300&h=300&s=1,Comida,,2 contribuciones,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1
1777310808-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Deliciosa comida y ambiente ideal,Sonica C,"Las pizzas están riquísimas, buena calidad y precios. Los postres también buenísimos, en especial recomiendo el tiramisú de pistacho: espectacular!!
Hugo es encantador, muy amable y recomienda muy bien.
Sitio ideal para disfrutar con la familia y amigos.",,Escrita el 27 de abril de 2026,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,
1777310808-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Buena atención!,Jennifer M,"Recomendado 100%, la comida riquísima, la atención por parte de Hugo muy buena, seguro volveremos...  :)",,Escrita el 4 de abril de 2026,2.0,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/8b/70/78/jennifer-m.jpg?w=100&h=-1&s=1,,,,,,,
1777310808-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,"Agradable hallazgo en Aluche, comida italiana de calidad",Antonio D,"La más alta puntuación para la pizzería Fratelli, por la calidad de su comida, la extensión de su carta y la profesionalidad de Hugo y Miguel, que nos han atendido estupendamente, aconsejandonos sobre los platos con gran acierto.

Las pizzas son espectaculares, y la pasta rellena de morcilla es un hallazgo. Volveremos pronto",,Escrita el 3 de abril de 2026,101.0,101 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,,,,
1777310808-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Para repetir,Chus D,"Pizzería Frateli 🍕✨

Todo buenísimo, de verdad. Los platos son contundentes y con muchísimo sabor, se nota la calidad en cada bocado. Mención especial al tiramisú de pistacho… ¡delicioso! 😍

Además, el trato es inmejorable, te hacen sentir como en casa desde el primer momento. Sin duda, un sitio para repetir y recomendar. 👌",,Escrita el 3 de abril de 2026,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,,,,
1777310808-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Volveremos,Jet59956724455,Muy rico todo y el camarero muy amable. Las cantidades muy generosas y calidad precio todo muy bien. Volveremos,,Escrita el 3 de abril de 2026,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1777310808-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Pizzería alucinante!,Happiness49459799472,"He estado varias veces en esta pizzería y la recomiendo 100%. Las pizzas de las mejores de Madrid, el servicio, especialmente Hugo, excepcional. Ayer haciendo mejor el dia de los que no nos hemos ido de Madrid en esta Semana Santa. Gracias!!!!",,Escrita el 3 de abril de 2026,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,,,
1777310808-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Tiramisú de pistacho🤤,Elena L,"🍕✨ ¡Sitio para repetir sin duda!
Hemos venido a cenar y la experiencia ha sido de 10. La pizza estaba buenísima, masa perfecta y súper sabrosa 🤤. Pero ojo con los postres… ¡ESPECTACULARES! 🍫🍨 No hemos dejado ni las migas.
Además, el trato ha marcado la diferencia: Hugo, el camarero que nos atendió, fue súper atento, amable y pendiente en todo momento 👏
Buen ambiente, comida riquísima y servicio top. ¡Volveremos seguro! 💯",,Escrita el 2 de abril de 2026,2.0,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,,,
1777310808-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Redondo y para repetir!,Rosa D,"Reservamos el día anterior para 4 personas y pedimos 1 pizza familiar. La experiencia ha sido agradable, el servicio por parte de Hugo ha sido rápido y atento, sin perder calidad en el producto. Volveremos, súper recomendable!!",,Escrita el 2 de abril de 2026,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,,,,
1777310808-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Comida y atención excelente.,Scare C,"Atención y comida de lo más satisfactoria, volveremos. Nos atendió Hugo.",,Escrita el 2 de abril de 2026,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,,,,
1777310808-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,"Buena comida, buena atención",Naiara A,"Nos atendió Hugo, que nos recomendó los platos que escogimos y estaban buenísimos. Da gusto encontrar un lugar así fuera del centro y con un personal tan amable.",,Escrita el 2 de abril de 2026,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,,,
1777310808-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Cena en pareja,Lili Perez,"Este sitio nunca defrauda, pizzas verdaderamente italianas y la ensalada César es muy top. Nos atendió Hugo, y el trato ha sido más que agradable.",,Escrita el 1 de abril de 2026,2.0,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,,,,,
1777310808-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Siempre volveremos,Virginia S,Siempre es un acierto. El trato muy agradable y las pizzas riquísimas. La última vez Hugo nos trató de 10 y fue muy atento .,,Escrita el 1 de abril de 2026,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,,,,,
1777310808-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Gran servicio y gran calidad,Rosa María A,"Excelente atención del camarero y excelente calidad de la comida. No habíamos ido nunca, seguimos las recomendaciones del camarero y espectacular todo.",,Escrita el 1 de abril de 2026,1.0,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,,,,,,
1777310808-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Pizza de calidad y casera,Al F,La pizza casera estaba riquísima.,,Escrita el 27 de marzo de 2026,3.0,3 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,,,,
1777310808-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,muy buena experiencia,Antonio Enrique H,"Muy buena comida 
La atención de Hugo, el camarero, excelente y muy amable 
la sugerencia del postre -tiramisú-, muy oportuna 
RECOMENDABLE",,Escrita el 20 de marzo de 2026,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,,,,
1777310884-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Muy recomendable si te apetece comida italiana,Alicia P,"Bonito, comida de calidad y raciones grandes. Lo mejor, el camarero Hugo que sabe de lo que habla y lo hace con mucha simpatía y profesionalidad.",1 contribución,Escrita el 21 de febrero de 2026,1.0,,,,,feb 2026 • Amigos,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,
1777310884-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,,,,,,,Explora ahora,Descubre Marruecos,Este contenido está patrocinado por Morocco. Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,Descubre por qué a los viajeros como tú les encanta Marruecos,,Patrocinado por Morocco,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/fb/25/a5/caption.jpg?w=400&h=400&s=1,,,,,,,
1777310884-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Italiano muy recomendable,Rubenarte44,"Muy buen servicio, buena comida y buen trato por parte de Hugo el camarero",1 contribución,Escrita el 21 de febrero de 2026,1.0,,,,,feb 2026 • Parejas,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,
1777310884-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html,Maravillosa Atención,Tourist68505665941,"Fue nuestra primera cena en esta pizzeria, en 1er lugar riquísimo, servicio rápido, la atención de Hugo espectacular, súper amable y atento. Que gusto que te sirvan así. Volveremos pronto!",1 contribución,Escrita el 21 de febrero de 2026,1.0,,,,,feb 2026 • En familia,,Calidad/precio,Ambiente,Servicio,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,
