web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,data18,data19,image2,data4
1775577256-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Merece la pena descubrirlo!,Planet Explorer,"Desde que lo descubrimos, se convirtió en uno de nuestros lugares preferidos no solo de Barajas, sino de Madrid. Comida casera muy bien cocinada, son superamables, con una carta variada y muchas opciones riquísimas vegetarianas. 100% recomendable.",11 contribuciones,11.0,Escrita el 24 de febrero de 2024,11 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,
1775577256-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,La mejor cena,EVA G,La mejor comida india y nepalí que he probado en mi vida. Además las camareras y los dueños son muy amables. Recomendó probar al menos una vez está comida.,1 contribución,1.0,Escrita el 12 de febrero de 2024,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,
1775577256-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Muy recomendable,Dream18098183478,Tikka masala y nan ajo queso es una combinacion muy rica. Comida india fresca y autentica.  Camareros muy amables y aconsejan bien si es la promera vez que van alli.,2 contribuciones,2.0,Escrita el 26 de enero de 2024,2 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,
1775577256-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Rico rico,Kamala P,Personal muy amable. Nos gusto mas la decoracion del otro restaurante pero la comida igual de rica en ambas.,2 contribuciones,2.0,Escrita el 19 de enero de 2024,"Madrid, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,,
1775577256-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Segunda vez y volveremos,Jenny A,"Segunda vez que vamos, por suerte todo sigue igual de bien que la vez anterior.
Una comida riquísima, auténtica, ambiente casero y agradable
La atención estupenda y los precios muy razonables. Nos encanta todo!",30 contribuciones,30.0,Escrita el 17 de diciembre de 2023,30 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,
1775577240-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Delicioso,Lakehouse259,Deliciosa comida con gran sabor. Servicio encantador. Excelente relación calidad-precio. Sin duda volvería a este restaurante de nuevo si alguna vez estuve en Barajas de nuevo!,142 contribuciones,,142,Escrita el 29 de noviembre de 2024,"Burlington, Canadá",,,,,Mostrar original,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/64/0c/65/lakehouse259.jpg?w=100&h=-1&s=1,Leer más,0.0,,
1775577240-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,El mejor personal de la historia,Steve B,Personal absolutamente fantástico. Buena comida. Muy recomendable. Mi esposa y yo tuvimos la mejor experiencia durante nuestra estancia en Benidorm.,20 contribuciones,,20,Escrita el 17 de octubre de 2024,"Sucina, España",Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,Traducido automáticamente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,Leer más,0.0,,
1775577240-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Bueno para comida vegetariana como muy pocas variedades,Ruchik R,"Muy buena comida buena ubicación muy tranquila. 
Buen y rápido servicio. 
Personal amable, restaurante nepalí muy auténtico con buen toque de todos los platos populares del norte de la India.",2 contribuciones,,2,Escrita el 11 de octubre de 2024,"Londres, Reino Unido",Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,Traducido automáticamente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,Leer más,0.0,,
1775577240-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Lo recomiendo a todos,Wander15472983530,Todo riquisimo. Vinimos por las reseñas de google y eran ciertos porque la comida y el servicio todo es perfecto. Muy recomendable,1 contribución,,1,Escrita el 10 de octubre de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,Leer más,0.0,,
1775577240-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Muy rico todo,Odyssey26763479619,Fuimos a probar la comida aqui por los buenos comentarios que vimos en google y salimos muy contentos. La comida autentica y muy rica.,1 contribución,,1,Escrita el 10 de octubre de 2024,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,Leer más,0.0,,
1775577240-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Volvemos  muy rico,GrandTour37226290478,Que Bueno restaurante en Barajas cameras muy amable pedimos pollo tikka masala queso paan naan korm de cordero Todo muy delicioso 😋😀,1 contribución,,1,Escrita el 5 de octubre de 2024,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,Leer más,0.0,,
1775577240-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Volveremos.,DayTrip14282272360,Gran lugar para la comida indina a precio asequible relación calidad precio es excelente estamos tan contentos de que encontramos este lugar para comida deliciosa,1 contribución,,1,Escrita el 4 de octubre de 2024,1 contribución,,,,,Mostrar original,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,Leer más,0.0,,
1775577240-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Gema oculta,Mankirat S,"Joya escondida en un pequeño local en madrid 
Comida india fresca y auténtica
Buen servicio
Lugar limpio y antiguo
Totalmente recomendable!",1 contribución,,1,Escrita el 26 de septiembre de 2024,1 contribución,,,,,Mostrar original,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,Leer más,1.0,,
1775577240-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Un sitio donde puedes comer rápido?,marianodonald,Un lugar donde hay una comida muy variada verdura carne muy poco pescado. La bodega es muy sencilla el personal muy agradable y muy atento,662 contribuciones,,662,Escrita el 21 de septiembre de 2024,"Sevilla, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3c/ec/8d/caption.jpg?w=100&h=-1&s=1,Leer más,0.0,,
1775577240-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Mejor restaurants indio,Maps46697791801,Vinimos a cenar un sabado sin reserva y tuvimos que esperar una hora pero merecio la pena. La comida riquisima y las camareras muy amables.,1 contribución,,1,Escrita el 14 de septiembre de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,Leer más,0.0,,
1775577240-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Muy bueno,Boxy64,"Simplemente excelente comida india / Nepalesa. Sabroso, a un precio razonable y eficiente. Sabroso y tradicional. Interesante probar cómo se traduce la comida india a España.",406 contribuciones,,406,Escrita el 3 de septiembre de 2024,"Melbourne, Australia",,,,,Mostrar original,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/7f/ed/07/caption.jpg?w=100&h=-1&s=1,Leer más,0.0,,
1775577240-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Un sitio recomendable,JMPR2013,"No es la primera vez que como aqui y he de reconocer que el restaurante siempre ha estado a la altura. Buen servicio que aconseja muy bien al lego en materia culinaria hindu. Las somosas, tanto de verdura o pollo estan muy buenas. Gambas jelfrezi un poquito picantes deliciosas, el cordero dopiaza sabrojo y en su punto y el arroz keema como acompañamiento ideal. Un excelente lugar con muy buena relacion calidad precio",586 contribuciones,,586,Escrita el 21 de agosto de 2024,"Madrid, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/28/e4/6b/jmpr2013.jpg?w=100&h=-1&s=1,Leer más,0.0,,
1775577240-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Debe haber,luis a,"La mejor comida en madrid manos abajo. Debo comer aquí si estás en la zona. Increíble biryani, pollo con mantequilla y naan. Muchas otras opciones en el menú",2 contribuciones,,2,Escrita el 17 de agosto de 2024,2 contribuciones,,,,,Mostrar original,Traducido automáticamente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,
1775577240-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Deliciosa,Sugar S,"Delicioso! Estábamos en la ciudad y encontramos esto en viaje asesor. Vale la pena visitarlo. Ojalá fuera en nuestro pueblo, jaja! Inténtalo.",3 contribuciones,,3,Escrita el 14 de agosto de 2024,3 contribuciones,,,,,Mostrar original,Traducido automáticamente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,Leer más,0.0,,
1775577240-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Mejor restaurante indio,virender s,"Comida India rica y autentica. Butter chicken y nan queso 😋😋😋 
Personales recomiedan las comidas si no tienen idea...",1 contribución,,1,Escrita el 7 de agosto de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,
1775577217-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Excelente buena comida y servicio,Sunil B,Escala caliente en el aeropuerto de Barajas y antojos de algo de comida india pasamos por el aeropuerto de Barajas y encontramos este lugar la comida era increíble y el servicio era rápido lo recomendaré,2 contribuciones,2.0,Escrita el 12 de junio de 2025,2 contribuciones,,,,,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,
1775577217-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Excelente,Daydream36685902774,Uno de los mejores restaurantes de la ciudad de Barajas uno de los mejores alimentos en el corazón de Madrid o recomendará 100 por ciento si usted está buscando una buena cena en Barajas volveremos de nuevo,1 contribución,1.0,Escrita el 11 de junio de 2025,1 contribución,,,,,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,
1775577217-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,La comida estaba buenísima,Igor O,"Quería probar la comida nepalí y me decidí por este establecimiento por los comentarios. No defraudó nada, el trato, la comida y el lugar fueron espectaculares, sin duda un buen lugar tanto para iniciarte en su comida como si ya eres habitual.",1 contribución,1.0,Escrita el 8 de junio de 2025,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,
1775577217-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Muy rico,Jorgito amalio J,La comida es muy deliciosa y el camarero es muy amable volveremos a visitar cuando. Estamos en barajas nos gusta la comida y el servicio,1 contribución,1.0,Escrita el 20 de mayo de 2025,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,Traducido automáticamente,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,
1775577217-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Genial,Adrian S,Todo perfecto genial para comer muy simpáticos el pollo tekamasalla cordero tekamalasaa todo muy rico volveremos un sitio de 10 todo,1 contribución,1.0,Escrita el 20 de mayo de 2025,1 contribución,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,
1775577217-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,muy mal,Marta O,"para ser la primera vez muy mal , se rien en tu cara ,para los precios q hay los postes muy malos y sosos , no volvere , la atencion al cliente es pesina , no volvere",1 contribución,1.0,Escrita el 15 de mayo de 2025,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,
1775577217-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Repite de nuevo,Shahid B,Mejor restaurante Indiana en el corazón de barajas madrid el servicio es muy rápido y la camarera es amable repetiremos agian cuando estemos en barajas,1 contribución,1.0,Escrita el 14 de mayo de 2025,1 contribución,,,,,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,
1775577217-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Muy bueno,Patel J,"Muy rica la comida india en barajas airport bueno precio cantidad
Los camareras muy amable 100 recommded volveremos pronto",1 contribución,1.0,Escrita el 14 de mayo de 2025,1 contribución,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,
1775577217-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Buen restaurante indio,Anjali S,Buen lugar para la cocina india. Muy recomendable para aquellos que buscan un buen curry y biryani. Debes ir mientras perforas la calle de Madrid.,2 contribuciones,2.0,Escrita el 7 de mayo de 2025,"Katmandú, Nepal",Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,Traducido automáticamente,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,
1775577217-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Modesto local pero calidez humana y buena comida.,Landro,"Llevo muchos años de cliente y la calidad general sigue siendo muy buena.
Te sientes en familia,la atención no puede ser mejor y la comida está muy buena y es muy auténtica.
Valoro también lo que trabajan:no cierran ningún día y han empezado de 0 viniendo de una cultura totalmente distinta.Admirable!",44 contribuciones,44.0,Escrita el 25 de abril de 2025,"Valencia, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/b0/18/ad/travel64351786385.jpg?w=100&h=-1&s=1,,,,
