web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,image4,image5,data19,position,image6,image7,image8
1779543717-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Nuestra última noche en Madrid no decepcionó!,Lisa G,"Pasamos nuestra última noche en Madrid después de conducir desde unas semanas en el sur. Era noche de Halloween y pedimos a nuestro hotel una recomendación de tapas y nos sugirieron La Concha. Tuvimos un gran tiempo! Es muy pequeño y estaba lleno, pero ¿no es parte del encanto de los bares de tapas? Nos encaramamos en el bar y después de un rato nos sentamos en un par de taburetes y disfrutamos de nuestras deliciosas tapas! En realidad primero pedimos su increíble cóctel Vermut, delicioso! Tuvimos un par de esas y tapas bien preciosas pero deliciosas: las albóndigas, el plato de queso y las tostadas de gambas... todas tan sabrosas. Para un lugar tan ocupado nos sirvieron rápidamente en nuestra opinión. Disfrutamos tanto de la casa Vermut que decidimos comprar una botella para llevar a casa - 12 euros! así que vale la pena. 
Charlamos con otros clientes felices, y encontramos los servidores para ser agradable y nos sirvió con una sonrisa! Con todo, una experiencia a la que nos gustaría volver, volveremos!",2,,Escrita el 4 de noviembre de 2025,2 contribuciones,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,
1779543717-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Por favor evite - gente horrible,Nallygal,"Tercera vez que hemos estado aquí y esta vez fue horrible. Te insto a que no le des a esa gente tan desagradable tu negocio. Hay un montón de lugares para obtener un buen vermut en Madrid (posteriormente tuvimos deliciosos en el camino en El Schotis por € 3 . 50 un vaso). 
Tres de nosotros entramos, uno que camina con un palo y necesita sentarse. Estaba lleno de gente -el lugar estaba de moda, hace unos años, así que algunas personas acaban de leer sobre él- y como un caballero estaba de pie junto a su taburete, pregunté cortésmente si le importaría que lo usáramos. Lo cual no hizo, gentilmente. Pero mientras lo movía por mi movilidad - amigo desafiado a sentarse, el tipo detrás de la barra gritó ""¡No, no puedes hacer eso! "" Le expliqué que el amable caballero había elegido dárnosla, pero ""NO"". Por supuesto que nos fuimos después de que nos dijeron que tampoco podíamos bajar a sentarnos. Qué horror. No quieren a ninguna persona mayor o discapacitada, no importa lo bien vestida o educada que esté, estropeando sus fotos de Instagram.",75,,Escrita el 15 de septiembre de 2025,"Dublín, Irlanda",Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/ae/bc/ef/nallygal.jpg?w=200&h=-1&s=1,,,,,
1779543717-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Tapas sabrosas.,Nuva,"Lugar para tapas. Platos bien elaborados. Buen sabor, excelente presentación, lugar hermoso, buen trato. El precio: el justo.",260,,Escrita el 9 de septiembre de 2025,"San Jose, Costa Rica",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/0f/56/14/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,
1779543717-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Gran vibra.  Gran vino.  Lugar genial.,max m,Este lugar era impresionante. La mejor taberna de la calle. Increíbles vibraciones y un ambiente agradable para una bebida rápida y un bocado. El asado con lomo de cerdo y queso fue sensacional. Fue tan bueno que volvimos al día siguiente! Sería una parada rápida (o larga) en cualquier noche en el centro de Madrid.,28,,Escrita el 6 de septiembre de 2025,28 contribuciones,Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,,
1779543717-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Tarde interesante,srdbigd,"Teníamos sentimientos encontrados en este lugar. Las tapas eran sin duda únicas e interesantes y muy buenas. Teníamos muchas ganas de ir aquí. Definitivamente disfrutamos del vermut y el espacio es muy típico de la vieja escuela de Madrid que apreciamos. Fuimos conducidos al nivel inferior que estaba bien. El camarero nos decía que esto podría ser demasiado simple y no el tipo de restaurante para nosotros y no buena comida? No entendíamos por qué decía eso, llevamos décadas cenando y bebiendo en la calle Cava Bajas y Madrid. ¿Nos decía que solo hay unas pocas personas dirigiendo el restaurante así que sería lento y no nos gustaría eso? Estábamos totalmente bien y sin prisa. Le dijimos que lo entendíamos y estaba bien. ¿No quería servirnos unas tapas pensando que no nos gustarían? Era un poco extraño y mi esposa estaba un poco incómoda. Estábamos bien vestidos y designados, ya que teníamos un compromiso de negocios más tarde esa noche, pero somos solo personas regulares que casualmente aman España y Madrid especialmente. Sin duda lo volveré a intentar en el próximo viaje a Madrid.",122,,Escrita el 29 de agosto de 2025,"Dallas, Texas",Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/8d/avatar014.jpg?w=100&h=-1&s=1,,,,,
1779543744-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Sian T,Brillante primera noche en Madrid,"Me encantó este lugar. Las tapas eran sustanciosas y tenían un sabor delicioso. Manuela cocktail era muy bueno y recomendable para los amantes del vermut (casero aquí). Un ambiente encantador con personal súper amable. Se apresuraron a salir de sus pies, pero muy amables y hospitalarios. En un barrio precioso (La Latina). Realmente marcó el tono para un fabuloso pan corto a esta increíble ciudad.",119 contribuciones,119,Escrita el 14 de agosto de 2025,,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/f4/26/17/caption.jpg?w=100&h=-1&s=1,,,,,,
1779543744-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Joe Padilla,Increíble local de tapas en Calle Cava Baja,"Este pequeño y maravilloso lugar en la calle Cava Baja es un gran lugar para comenzar (o tal vez terminar? ) un paseo de tapas en el corazón del histórico Madrid. El interior es pequeño, así que prepárate para subir a la barra y esperar una mesa en las horas pico. Pero las tapas y las bebidas valen IT. En una visita reciente, compartimos deliciosos platos de albóndigas caseras, lomo de cerdo en tostadas y pato curado con rodajas de naranja. También hay una excelente selección de vino por copa y una serie de cervezas locales en el grifo. Pero La Concha es mejor conocida por su vermut casero, así que si ese es tu licor, asegúrate de pedir un Martini o Negroni para maridar con tu comida. 

Servicio era rápido y amable, y el puñado de mesas y taburetes de bar se volvió relativamente rápido durante nuestra visita. Pase a tomar un par de tapas y una ronda de bebidas, luego salga a visitar algunas de las otras tabernas en esta maravillosa calle. No puedes irte de España sin experimentar al menos un auténtico gateo de tapas, y la calle Cava Baja es probablemente el mejor lugar en Madrid para marcar esto de tu lista de deseos.","Charlotte, Carolina del Norte",170,Escrita el 9 de agosto de 2025,170 contribuciones,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/bf/15/18/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/7a/e3/e4/caption.jpg?w=100&h=-1&s=1,,,,,,
1779543744-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Richard Edwards,,"Fuimos con nuestros dos adolescentes. Mi hija es celíaca. Teníamos ocho tapas entre nosotros, todos sin gluten. Comida muy buena. Todo encantador. Un bar de tapas no un restaurante aunque tenían algunas mesas abajo. Ambiente auténtico, buena comida, servicio amable. Definitivamente volveré.",1 contribución,1,Escrita el 21 de julio de 2025,,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,,,
1779543744-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Reslimpan,Vermut y tapas elevados,"La Concha es un lugar pequeño y acogedor que sabe servir una bebida con personalidad. Su vermut no es de tu abuela, lo rocían con ginebra y amargos y lo convierten en algo peligrosamente bueno. Las tapas son sólidas también, pero una advertencia justa: la espera podría poner a prueba su paciencia - prepárese para pedir una segunda bebida. Las cosas buenas vienen a los que beben.","Rayong, Tailandia",4077,Escrita el 13 de junio de 2025,4077 contribuciones,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/25/67/c2/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/25/67/c4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/25/67/c3/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/4a/de/cc/caption.jpg?w=100&h=-1&s=1,,,,,,
1779543744-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Scenic29448196587,Tapas ands más,"Increíble, probablemente las mejores tapas de siempre , muy frescas, gran servicio, rápido y correcto, nos encanta esta casa 🧡 calamares 2 veces, pulpo delicioso 😋",2 contribuciones,2,Escrita el 29 de mayo de 2025,,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,,,
1779543744-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,NerdyFoodie,"Legendario, fuera de este mundo","Fuera de este mundo. Yo en particular era un comedor exigente y con los requisitos de alérgenos añadidos, así como que todavía eran excelentes y había una opción para todos nosotros. Para los alérgenos nos proporcionaron una tabla que mostraba todos los platos y los requisitos dietéticos que pueden restringirlos. La comida era excelente y después de la factura que proporcionó un pequeño bocado tamaño pudín que era increíble. Este lugar podría cobrar mucho más por lo que proporciona.",17 contribuciones,17,Escrita el 14 de abril de 2025,,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/9a/70/8f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/9a/70/91/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/9a/70/90/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/9a/71/ae/caption.jpg?w=100&h=-1&s=1,,,,,,
1779543744-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Sunseeker☀️,¡Una sorpresa inesperada!,"Encontramos esta taberna y resultó ser una de las mejores tapas que disfrutamos en Madrid. Los destacados fueron los canelones de cola de buey; tostadas de gamba y cebolla y hummus. El ambiente es auténtico también. No probamos el vermut de Reus, pero parecía un gran cóctel.",25 contribuciones,25,Escrita el 12 de abril de 2025,,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,,,,,,,,,
1779543744-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Adrian H,Fantásticas tapas y cócteles,"Tapas inusuales e increíbles. Probamos las mejillas de cerdo, bacalao salado, gambas entre otros. Gran cóctel de la casa de autor (vermut de Reus - que consiste en ginebra, vermut y Campari) maravilloso servicio de Alex en una noche de domingo muy ocupado. Nos encontraron una mesa cuando el lugar ya estaba bastante lleno. Gracias por una maravillosa primera noche en Madrid!","Londres, Reino Unido",2,Escrita el 23 de marzo de 2025,2 contribuciones,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,,,
1779543744-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,simpsonite64,Mejor Vermut,"Gran pequeño lugar para algo de comida y bebida. Increíble para los celíacos, menú sin gluten y el personal entiende. El mejor vermut de Madrid también.","Northampton, Reino Unido",712,Escrita el 21 de marzo de 2025,712 contribuciones,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,,,,
1779543744-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Travelling turtle,"Gran lugar, pero no tengas prisa",Fantástico auténtico lugar de tapas que es perfecto para las opciones de GF! ¡No tendría prisa cuando ir aquí es lo único! Realmente disfruté del plato de mozzarella con salsa de mostaza!,103 contribuciones,103,Escrita el 15 de marzo de 2025,,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/5b/13/fd/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,,,,
1779543744-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Rosedalebull,El mejor vermut de Madrid!,"Este era nuestro bar favorito en Madrid. Es diminuto y siempre lleno, pero no es difícil ver por qué. El vermut es fantástico, hacen el suyo y lo sirven con ginebra rociada y Campari. Las pequeñas tapas servidas con las bebidas eran deliciosos también.","Leeds, Reino Unido",189,Escrita el 21 de febrero de 2025,189 contribuciones,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/f6/ea/aa/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/f6/ea/ab/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/ea/b9/cf/caption.jpg?w=100&h=-1&s=1,,,,,,
1779543744-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Laura C,Tapas deliciosas y originales en un lugar auténtico,"Fui con mi marido y nos encantó el ambiente, la decoración, la autenticidad, el trato de los camareros. Las tapas son deliciosas y clásicas pero originales. Las albóndigas de pescado con curry verde fueron un gran descubrimiento. Lo aconsejo sin dudarlo!",1 contribución,1,Escrita el 18 de febrero de 2025,,,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,,,
