web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,position,position2,image,image2
1775728041-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,La atención y la comida muy buena,Maira Elymar A,"Nos atendió Barbara fue muy simpática, nos atendió de una manera muy amable! Y paciente. Lo recomiendo mucho y volvería a repetir sin duda",Nos alegra mucho que le haya gustado la experiencia!,Escrita el 23 de diciembre de 2023,1 contribución,steakburguer l,1 contribución,Escrita el 23 de diciembre de 2023,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728041-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,La atención y la comida,Angel L,"Muy buena la hamburguesa y muy buena atención a todos, especialmente Barbara que nos atendió,  fue muy atenta en todo momento",Gracias por elegirnos! Esperamos volver a veros,Escrita el 23 de diciembre de 2023,1 contribución,steakburguer l,1 contribución,Escrita el 23 de diciembre de 2023,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728027-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Normalmente contentas pero  decepcionadas la última vez que fuimos,Romina S,"Somos clientas habituales de este establecimiento y siempre hemos comido bien y la atención ha sido correcta. Pero
 la última vez que fuimos, el 21 de Enero a las 15:00 h no nos gustó la atención recibida por parte de las camareras. En primer lugar pedimos dos hamburguesas con un punto más y las trajeron casi crudas  por dentro. Por otra parte, abrían todo el tiempo la puerta para atender la terraza y la dejaban abierta. Le pedimos por favor si podían cerrarla y no solo no la cerraban, sino que ni siquiera nos pidieron disculpas, y lo único que hizo una de ellas es echarle la culpa a la compañera. Ni siquiera nos escucharon. Salimos muy decepcionadas y con pocas ganas de volver. Por favor cuiden su personal si no quieren arruinar el negocio.",Escrita el 21 de enero de 2024,"En nombre de todo el equipo lamentamos escuchar esto, en primer lugar disculparnos porque el punto de la hamburguesa no haya sido el deseado y en segundo de corazón lo sentimos por el malentendido, hay situaciones que se salen de nuestras manos en algunas ocasiones. Nuestra compañera estaba dando un servicio en terraza y lamentablemente la puerta no abre en ambas direcciones y entrar se nos dificulta mucho cuando venimos cargados con platos o vasos. Esperamos que este pequeño malentendido no sea motivo para que deje de formar parte de la Familia Luchana pues nuestra intención siempre es que se lleven una buena experiencia. 
Gracias y disculpen.",1 contribución,Escrita el 29 de enero de 2024,steakburguer l,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728027-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Buenas hamburguesas,Asier U,Entramos un poco a ciegas y siendo bastante buenas las hamburguesas me parecieron mejor por la excelente atención de Miriam. Un encanto.,Escrita el 20 de enero de 2024,Muchas gracias esperamos tenerlos de vuelta pronto.,1 contribución,Escrita el 29 de enero de 2024,steakburguer l,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728027-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Comida y servicio.,David R,"Muy buena la comida, recomiendo la hamburguesa La picantona y excelente servicio por parte de Myriam, era muy atenta a todo.",Escrita el 13 de enero de 2024,"Gracias por la visita, es un gusto para nosotros que todo sea de su agrado.",2 contribuciones,Escrita el 19 de enero de 2024,steakburguer l,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,2,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728027-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Comida rica,Eduardo G,"Muy buena comida, los camareros muy atentos e implicados, sobre todo los camarero, Bárbara y el resto. Volveré en más ocasiones.",Escrita el 13 de enero de 2024,Muchas gracias por su valoración.,1 contribución,Escrita el 19 de enero de 2024,steakburguer l,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,,1,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728027-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Marsvillosa Experiencia,Libe P,"Experiencia maravillosa, la comida esta espectacular y las camareras son super amables, sobre todo Barbara que nos atendió magnificamente🫶🏻",Escrita el 13 de enero de 2024,Gracias por su valoración. Esperamos verle de nuevo,1 contribución,Escrita el 19 de enero de 2024,steakburguer l,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,,1,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728027-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,"Volveremos sin duda. Un trato excelente, la comida muy buena y los camareros muy atentos y amables. Muy recomendable",Curiosity16986267353,"Nos atendió Barbara. Nos atendió genial, súper atenta, muy amable y simpática. Nos ayudó a elegir la comida y nos recomendó un plato. 
Sin duda volveremos. La comida buenísima.",Escrita el 5 de enero de 2024,"Muchísimas gracias, aquí les esperamos siempre.",1 contribución,Escrita el 19 de enero de 2024,steakburguer l,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,2.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728027-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Todo perfecto 11 de 10,Luis M,"Nos atendió barbara, una chica de 10, super atenta y amable, todo genial, la comida super buena como siempre y la atención inmejorable.",Escrita el 5 de enero de 2024,Muchas gracias.,1 contribución,Escrita el 19 de enero de 2024,steakburguer l,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728027-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Volveremos a probar más cosas de la carta,Cristina J,Tenía muchas ganas de probar este sitio y la verdad que nos gustó mucho la experiencia. Las hamburguesas con una carne muy rica y la camarera que nos atendió Bárbara estuvo muy pendiente y atenta en todo momento. Volveremos a probar más cosas de la carta,Escrita el 2 de enero de 2024,"Que alegría escuchar eso, lo agradecemos muchísimo.",5 contribuciones,Escrita el 19 de enero de 2024,steakburguer l,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,,5,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728027-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Valeria comió la hamburguesa pampa,Valeria C,"Barbara fue muy atenta, la comida del lugar exquisita, me pedí la hamburguesa pampa que tiene chimichurri y estuvo buenísima.",Escrita el 31 de diciembre de 2023,Muchas gracias por el comentario,2 contribuciones,Escrita el 19 de enero de 2024,steakburguer l,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,,2,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728027-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Cena y atención exquisitas,Javier M,"Muy amable la camarera (Bárbara)
Y sabrosa la comida.
No hizo falta reservar.
Ambiente acogedor.",Escrita el 30 de diciembre de 2023,Gracias por el comentario esperamos volver a verlos.,1 contribución,Escrita el 19 de enero de 2024,steakburguer l,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728027-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Muy buena comida,Edith G,"Recomendamos este lugar.  La comida y el servicio es excelente, nos atendió Barbara. Las hamburguesas están muy buenas!",Escrita el 30 de diciembre de 2023,,10 contribuciones,,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,10,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/9c/6d/9f/edith-g.jpg?w=100&h=-1&s=1,
1775728027-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Excelente,Mussa J,"Un restaurante muy top, la verdad que la camarera, se llamaba Barbara muy simpática amable, y todo muy bueno, lo recomiendo.",Escrita el 30 de diciembre de 2023,Gracias!!!,1 contribución,Escrita el 19 de enero de 2024,steakburguer l,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728027-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Experiencia para recordar,Marina S,"Se come genial, las hamburguesas estan muy buenas y el servicio ha sido de 10. 

La atención de Barbara me ha gustado mucho.",Escrita el 30 de diciembre de 2023,Mil gracias por la visita.,1 contribución,Escrita el 19 de enero de 2024,steakburguer l,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
