web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,image3,image4,data16,data17,data18,data19,image5,image6
1776251089-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Comida espectacular,Juan O,"Comida espectacular, entraña, lomo alto, mollejas, todo riquísimo. Las verduras y canelones buenísimos. En definitiva, volveremos seguro.",27 contribuciones,27.0,Escrita el 26 de diciembre de 2023,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/16/d1/2f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/16/d1/30/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/16/d1/32/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,
1776251089-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Para salir rodando,miamar,"La carta es larga, con entrantes (muchos de ellos a la brasa o a la parrilla), sopas, ensaladas, carnes argentinas, carnes españolas, del mar, clásicos de la cocina argentina, pastas italianas y postres.

Pedí lo siguiente:

- Aguacate a la parrilla con pico de gallo
- Steak tartar de angus argentino
- Tiramisú de la nonna

Aparte ponen unas aceitunas y queso de untar de aperitivo.

Me pareció que estaba todo bastante bueno. Procuré pedir platos más ligeros y con todo fue una cena bastante contundente. Las raciones son generosas.

En cuanto al servicio, la atención fue rápida y no tuve que esperar mucho entre plato y plato. De hecho me preguntaron si quería que me lo sirviesen todo a la vez.

La cuenta fue de unos 47€.

Es un restaurante recomendable, en definitiva.",Madrid,584.0,Escrita el 18 de diciembre de 2023,584 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,2,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,,,
1776251089-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Exelente,Andreas,"Muy buena comida, se come como argentina. La atencion de Pablo fue exelente. 100 % recomendabile.
Para repetir!!!!",2 contribuciones,2.0,Escrita el 16 de diciembre de 2023,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ef/1d/40/andreas-b.jpg?w=100&h=-1&s=1,,,,,,
1776251089-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Un must en la lista de restaurantes en Madrid,Miki flu,"Nos ha encantado el trato recibido y la atención. Los platos buenísimos, el solomillo espectacular, tierno y sabroso. Las mollejas exquisitas, el toque de limón marida muy bien con ellas.","Madrid, España",58.0,Escrita el 9 de diciembre de 2023,58 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/f9/49/77/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/f9/49/78/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/f9/49/79/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,,,
1776251089-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Deliciosa carne y buen servicio,AIDA R,"Hemos ido varias veces, con amigos y en pareja y siempre nos ha encantado. La comida deliciosa y el servicio también muy bueno.",11 contribuciones,11.0,Escrita el 26 de noviembre de 2023,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,,,
1776251078-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Filetes que se derriten en la boca,TomStaggs,"Empezamos con una ensalada de acompañamiento que era más que suficiente para compartir entre dos de nosotros y luego cada uno de nosotros tomó 300 g filetes que era mucho. Cada uno pidió medio raro, pero para los estándares de los EE.UU. era mucho más cerca de raro que es lo que esperábamos. 

La carne estaba increíblemente tierna hasta el punto de que se sentía como si se estuviera derritiendo en su boca. Cabe destacar que parece que no condimentan la carne en absoluto antes de cocinarla, por lo que tendrás que agregar sal si estás interesado y no proporcionan pimienta. 

También ten en cuenta que realmente necesitas reservas si vas a venir en cualquier momento después de las 6 aproximadamente : 00 ya que son bastante populares.","Redmond, Washington",,83,Escrita el 17 de octubre de 2024,83 contribuciones,Mostrar original,,,,,,Traducido automáticamente,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,
1776251078-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Mejor restaurante argentino,Myriam E,¡Gran carne argentina! Gran ambiente y el personal era muy bien informado y muy atento. Bonito ambiente y su tinto de verano y sangría eran deliciosos!,11 contribuciones,,11,Escrita el 14 de octubre de 2024,,Mostrar original,,,,,,Traducido automáticamente,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,
1776251078-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,El portero es molesto,halilG,"La empleada que trabaja en la puerta, Martha, está muy sucia. Si no está contenta con su trabajo, contrate a alguien que se lo merezca. Ella dijo que no podían tomar reservas y el restaurante estaba lleno, pero cuando llamé más tarde, hice una reserva para 1 hora más tarde.","Estambul, Turquía",,12,Escrita el 7 de octubre de 2024,12 contribuciones,Mostrar original,,,,,,Traducido automáticamente,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/31/5d/b1/caption.jpg?w=100&h=-1&s=1,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,
1776251078-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,"La Cabaña, el mejor lugar para comer en Madrid",michael m,"Si alguna vez vas a Madrid, realmente debes probar este lugar. El restaurante era precioso, limpio y tenía una sensación muy auténtica argentina al respecto. El personal no podría ser más amable o servicial, su inglés era muy superior a nuestro español. Y por último, pero no menos importante, la comida era increíble, los filetes eran tan tiernos y sabrosos y probablemente fueron los mejores que he probado. Lamento poder darle solo 5 estrellas.",7 contribuciones,,7,Escrita el 6 de octubre de 2024,,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,
1776251078-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Filete perfecto!,Ivan V,"Servicio perfecto, bistec perfecto. Reservamos una mesa en la apertura y fue muy buena jugada ya que estaba lleno cuando llegamos 10 minutos tarde, recomendando a todos.","Sibenik, Croacia",,13,Escrita el 4 de octubre de 2024,13 contribuciones,Mostrar original,,,,,,Traducido automáticamente,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b3/5f/77/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,
1776251078-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,"SI TE GUSTA LA CARNE, ¡SIN DUDA VE AQUÍ!",Doktor B,"Bonito restaurante de aspecto elegante. Excelente comida. Buen servicio. Buena elección de vinos. Sabrosas papas fritas. En general, recomiendo encarecidamente una visita aquí.","Zurich, Switzerland",,345,Escrita el 19 de septiembre de 2024,345 contribuciones,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/80/f2/14/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/80/ed/a4/doktorb69.jpg?w=100&h=-1&s=1,,,,,Leer más,0.0,,
1776251078-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Maravillosa comida de cumpleaños - prueba el confit de puerro a la parrilla,Traveller Kate 8,"Tuve una fabulosa cena de cumpleaños aquí. El anfitrión ""Jesús"" nos trajo un vino tinto argentino encantador para empezar, y luego cada uno disfrutamos de un excelente filete. 

Para los lados, disfrutamos particularmente del confit de puerro a la parrilla, que básicamente era de 3 capas de puerros preparados de varias maneras. Sabroso.","Copenhague, Dinamarca",,334,Escrita el 18 de septiembre de 2024,334 contribuciones,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/f0/76/4e/kaydenmark.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,
1776251078-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,cena de septiembre.,fabian M,"Nuevamente acudí a este gran restaurante,sigue t cual su ambiente y espiritú de trabajo y dedicación al cliente.Nos atendió la Srita Promi con un servicio explendido y competamente servicial,cosas que frecuentemente no se ven hoy día.La mano del Sr Ovidio y Alejandro hacen muy bien su cátedra de la hostelería,enhorabuena Sres!!!Destacar a la srita camarera y su vocación,al restaurante y toda esa magia que nos invita a volver,soy del gremio y sé valorar el trabajo:bien hecho.",2 contribuciones,,2,Escrita el 9 de septiembre de 2024,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/1d/e0/98/fabian-m.jpg?w=100&h=-1&s=1,,,,,Leer más,0.0,,
1776251078-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Vaya carne!!!!!,Osa L,"Reservamos mesa para 50 personas para una Cena de empresa.
Nos sentaron en el salón en la plata baja, sin tener que molestar a los demás clientes del restaurante, y eso se agradece cuando es un grupo grande.
Menu de grupos Clasico con el añadido de la guarnición del menu Premium.
Vaya carne!!!!! ***** Y los panqueques con dulce de leche *****
Todos fuimos MUY contentos y seguramente volveremos :)",1 contribución,,1,Escrita el 6 de septiembre de 2024,,,Calidad/precio,Comida,Servicio,Ambiente,Reservar mesa que es un restaurante popular!,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,
1776251078-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Buena comida en un ambiente agradable,Edu Galán,"Fuimos a celebrar mi cumpleaños. 
La verdad que tienen un buen servicio y son muy amables. 
La calidad de la comida y la carne es buena y todo está muy rico. 
En general muy bien, aunque a veces en los detalles está la excelencia y a nosotros no nos pusieron chupitos y al resto de mesas sí. También felicitaron el cumpleaños a otra mesa y a pesar de que se enteraron que era también el mío no tuvieron el mismo detalle.","Madrid, España",,111,Escrita el 27 de agosto de 2024,111 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/42/65/29/caption.jpg?w=100&h=-1&s=1,,,,,Leer más,0.0,,
1776251078-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,"Soso, grosero y no sé raro de medio raro",Grizwold13,"Asqueroso y grosero. Sé que hay restaurantes temáticos que ofrecen una lengua en la mejilla hosca y grosera experiencia gastronómica, sin embargo, este no es uno de ellos. Son simplemente groseros y para una casa de carne, no parecen tener una comprensión de los fundamentos de lo que es la diferencia entre raro y medio raro. El personal se comporta como Manuel en un mal día después de que su perro haya muerto y muestra poco interés en los comensales. No me importa que agosto pueda ser el mes en el que los madrileños tomen vacaciones, si estás abierto a los negocios, estás abierto a los negocios y das un paso adelante. Si eso es demasiado difícil, cierre sus puertas para que los comensales puedan evitar la decepción. Además, debes tener roaming por internet en tu propio dispositivo ya que no tienen menú físico y solo lo descubres cuando se acercan a tu mesa y te piden tu pedido y les explicas que no has visto menú, luego te dirigen al código QR.","Perth, Australia",,261,Escrita el 11 de agosto de 2024,261 contribuciones,Mostrar original,,,,,,Traducido automáticamente,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/99/9c/3b/grizwold13.jpg?w=100&h=-1&s=1,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,
1776251078-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Buena carne,LP77,"Cena con amigos, probamos las empanadas, el jamón y varios cortes de carne. Mi solomillo estaba perfecto y en su punto. Servicio muy amable. Para repetir.","Valencia, España",,1588,Escrita el 1 de julio de 2024,1588 contribuciones,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/b7/47/26/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/dc/b1/f8/caption.jpg?w=100&h=-1&s=1,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,
1776251078-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Comida agridulce,jcst1965,"La comida, en general muy buena, mollejas, ensalada de quinoa, solomillo pero los dos ojos de bife ( con un exceso de tendón no comestible ) esto puede pasar y ya he escrito muy reseñas de este establecimiento pero la actitud de la persona encargada cuando se lo dijimos impresentable. Ya peino canas como él y se distinguir grasa entreverada de tendón no comestible. Mi crítica fue constructiva su respuesta impresentable.","Zaragoza, España",,12,Escrita el 19 de junio de 2024,12 contribuciones,,Calidad/precio,Comida,Servicio,Ambiente,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,
1776251078-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Para volver!!,wendy r,"La cena de 10. 
Comimos jamón ibérico y ensalada de burrata de entrantes; ambos muy ricos. Y de segundo un lomo alto delicioso. 
La atención por parte del personal, súper bien y el local muy bonito y limpio. 
Volveremos",19 contribuciones,,19,Escrita el 24 de mayo de 2024,,,Calidad/precio,Comida,Servicio,Ambiente,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,
1776251078-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Hay que repetir!,Ventur2002,"El sitio me ha gustado, un salón grande y espacioso que no tienes a la mesa de al lado encima de la tuya.
El trato muy profesional, amables y atentos.
La comida me ha gustado, una amplia carta que mezcla la gastronomía argentina e italiana.
Pedimos…entrante provoleta y mollejas, un lomo alto de 500 grs para compartir, un café cortado y un panqueque de dulce de leche.
De beber una copa de vino, un tinto de verano y una botella de agua con gas…
Total 109€.
La carne espectacular, se derretía, muy rica.
Si me ha sorprendido la copa de vino 6,5€ (una copa) y el tinto de verano 6€ y pico, no se, me ha parecido cara la bebida una copa casi 7€ y un tinto de verano otros casi 7€…excesivo.
Por lo demás todo muy bien, repetiré sin duda pero estaré atento al precio de la bebida.","Madrid, España",,464,Escrita el 11 de mayo de 2024,464 contribuciones,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/24/97/ca/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/1c/c3/22/ventur2002.jpg?w=100&h=-1&s=1,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,
