web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,data16,data17,image3
1775582367-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Susana B,Experiencia en Pastamore Alcalá,"Hoy  cené en Pastamore. La pizza de huevo poche al tartufo que pedí estaba deliciosa, con un sabor intenso y una textura cremosa. El servicio fue excelente, con personal amable y atento que se aseguró de que todo estuviera perfecto.

Lo que Destacaría

- Sabor: La pizza estaba muy bien hecha y los ingredientes eran frescos y de alta calidad.
- Servicio: El personal fue muy amable y atento, lo que hizo que la experiencia fuera aún más agradable.
Pastamore es una excelente opción. ¡Lo recomiendo! ❤️",5 contribuciones,Escrita el 8 de julio de 2025,5.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/50/dc/caption.jpg?w=300&h=300&s=1,,,,
1775582367-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Josabet Pacheco,Joyita italiana en Alcalá,"Un italiano de verdad en Madrid. Ambiente íntimo, pasta artesanal deliciosa, las pizzas buenísimas y el postre memorable (¡ese tiramisú se queda en el top 3 de mi vida!). El servicio excepcional ya que son atentos, amables y saben recomendar. Todo a precios razonables. Volveremos segurísimo!!",11 contribuciones,Escrita el 7 de julio de 2025,11.0,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/4a/ec/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,
1775582367-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Vanessa Melissa P,Comida deliciosa,"Wow me gusto mucho la comida, la porción fue justa no mucho no poco, cene los raviolis a la napolitana , con mojito de fresa y tiramisu súper rico y muy bien atendidos por Oswaldo. Muchas gracias por todo !",2 contribuciones,Escrita el 1 de julio de 2025,2.0,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,
1775582367-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,MANUEL ALEXANDE... A,Excelente experiencia.,"Un lugar muy agradable y acogedor, buena música con el volumen precioso para escucharla y poder conversar sin problema.
La comida simplemente deliciosa, al igual que los postres.
El servicio rápido y oportuno, en esta ocasión fuimos atendidos por Diana y Andrei, quienes fueron muy atentos y amables con nuestras solicitudes.
Quedamos muy satisfechos con todo, lo recomiendo con toda confianza y siempre volveré.",1 contribución,Escrita el 29 de junio de 2025,1.0,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,
1775582367-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Roma_marzo,Buenísimo italiano!,"Buenísima experiencia como siempre. La atención es increible (nos atendió Diana 🥰) y la comida no puede estar más rica
Gran sitio!",2 contribuciones,Escrita el 28 de junio de 2025,2.0,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,
1775582352-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Atención y calidad,rafael c,"Nos atendió Dayana y Patricia, la atención fue muy buena, al igual que la comida. Nosotros probamos la pizza New York, el provolone y el risotto. Todo muy recomendable. Gracias !!",Escrita el 9 de octubre de 2025,1 contribución,1.0,1 contribución,"Nos atendió Dayana y Patricia, la atención fue muy buena, al igual que la comida. Nosotros probamos la pizza New York, el provolone y el ris",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,,
1775582352-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Tarde atmosférica,Guro C,Hermoso evento de celebración de un cumpleaños familiar. Fantástica comida y atención encantadora de Patricia que nos sirve.,Escrita el 5 de octubre de 2025,1 contribución,1.0,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,
1775582352-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Atención y comida,Keiner E,"Excelente lugar un rincón de Italia en el corazón de Madrid, la comida es un lujo, patricia es la mejor su atención y buen trato hacen de la experiencia la mejor",Escrita el 5 de octubre de 2025,1 contribución,1.0,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,
1775582352-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Gran italiano,Iñigo,Pizzas fantásticas. Atienden muy bien y estuvimos toda la familia muy agusto. Lo recomendaría siempre si estas en Madrid,Escrita el 5 de octubre de 2025,1 contribución,1.0,"Majadahonda, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,,
1775582352-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Buena comida,Andreea Diana S,"Muy bien atendidos por Diana y la comida buenisima, recomendadisimo🤗. Pedimos la pizza cohinita pibil y el pollo Antonio.",Escrita el 4 de octubre de 2025,1 contribución,1.0,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,
1775582352-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Sitio excelente,David A,"Fuimos a comer mi mujer, mi hija y yo, la comida genial. Andrei y Diana fueron una grandes anfitriones. Recomendamos la pizza margarita y la ensalada de burrata genovesa",Escrita el 4 de octubre de 2025,1 contribución,1.0,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,
1775582352-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Comida con amigos,Luis F,"Comimos con amigos y tuvimos muy buena experiencia y trato de Diana.

La comida muy rica y buena calidad-precio.

Muchas gracias.",Escrita el 4 de octubre de 2025,1 contribución,1.0,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,
1775582352-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,"Rico, buena atención y rapidez",Domínguez A,La comida muy bien nos sirvieron muy rápido y los camareros muy atentos y pendientes  todo el tiempo. Los.precops también están correctos,Escrita el 4 de octubre de 2025,1 contribución,1.0,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,
1775582352-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,"Pastamonte, imperdible",Jaime Iván,"Excelente atención, muy buenos platos y precio muy competitivo. Me sentí como en casa. Gracias a Diana por sus cálidas atenciones. Todo muy bien",Escrita el 3 de octubre de 2025,9 contribuciones,9.0,"Bogotá, Colombia","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/68/8c/69/jaime-h.jpg?w=100&h=-1&s=1,,,,
1775582352-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,"Les recomiendo este sitio para comer con amigos, con compañerod, con familia o con quién quiera. Es un lugar muy bonito.",Samara A,"Muy rico todo, y muy buen servicio.
Lo mejor han sido los postres, la panacota muyy ligerita y buenisima. La camarera muy maja también. El sitio es precioso.",Escrita el 30 de septiembre de 2025,1 contribución,1.0,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,
1775582352-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Fuimos atendidos por Patricia excelente atención,Rosa M,"Deliciosa la comida muy buena de verdad,  se siente fresca y preparada con ingredientes de calidad 👍 la atención muy buena , buen trato a los clientes",Escrita el 30 de septiembre de 2025,2 contribuciones,2.0,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,,
1775582352-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Las pizzas espectaculares.,Gloria D,"Pedimos el menú del día y nos encantó, los primeros pueden parecer escasos, pero están buenísimos y después de segundo pedimos pizza, eran enormes con una masa finísima, puedo decir que de las mejores que he comido. Y sobre todo mencionar a nuestra camarera Diana, profesional, amable y simpática.",Escrita el 29 de septiembre de 2025,17 contribuciones,17.0,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,
1775582352-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Experiencia con sabor,Angi F,"Desde que llegamos nos atendió Patricia, una chica encantadora un buen servicio y el lugar acogedor , romántico, bastante íntimo, con muy buena musica… La comida divina cada plato con su porción adecuada",Escrita el 28 de septiembre de 2025,1 contribución,1.0,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,,,
1775582352-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Excelente servicio y la atención de patricia muy atenta  muy buena comida  se los recomiendo,Nestor E,Excelente servicio muy buena comida y la atención de patricia buena atenta se los recomiendo para ir siempre  en familia amigos y pareja,Escrita el 23 de septiembre de 2025,2 contribuciones,2.0,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,
1775582352-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Atención y sabor,Gilcarly A,"Muy rico los postres, precio y calidad acorde! Excelente atención de la señorita Patricia, volvería sin dudarlo y lo recomendaría a mis familiares!",Escrita el 23 de septiembre de 2025,2 contribuciones,2.0,2 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,
1775582337-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Excelente.,squeezio,"Maravillosa comida Italiano, gran Servicio de Diana (Carolina) que era amable y servicial y buena diversión. Muy recomendable.",9 contribuciones,Escrita el 23 de octubre de 2025,,9,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,
1775582337-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Sitio agradable y buena comida italiana.,Jerónimo M,"Sitio muy agradable. Muy buena atencion, por parte del personal. La comida esta nuy buena. Excelente eleccion para comer o cenar.",1 contribución,Escrita el 21 de octubre de 2025,,1,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,
1775582337-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,BUENA CALIDAD PRECIO,Lucia N,La comida exquisita. El primero fue un provolone y de pizzas blancas la carbonara hecha al horno. Tienen un menú asequible para todos los bolsillos. La atención de Patricia fue buenísima.,1 contribución,Escrita el 21 de octubre de 2025,,1,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,
1775582337-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Comida y trato excelentes,Daniel Y,"Trato excelente, sitio acogedor y comida fantástica. Calidad/precio increíble. Me atendió Patricia que es la encargada y la atención de diez. Conozco este sitio desde hace dos años, y para cenar tranquilamente o para comidas de menus donde hay poco tiempo, sirven rápido y siempre ha sido un exito. Repetiré. Ojala mantengan el nivel muchos años.",2 contribuciones,Escrita el 20 de octubre de 2025,,2,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,
1775582337-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Nicee,Pen P,"Bonito lugar, vine con algunos Amigos y pedí algunas pizzas para compartir, increíble, también el tiramisú de postre era muy bueno, Dayana era tan agradable",3 contribuciones,Escrita el 19 de octubre de 2025,,3,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,
1775582337-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Delicioso,Elena B,"Todo increíble, nos atendió Dayana encantadora y amable. Probamos la nueva carta todo muy bueno. Recomendable! Venimos hace un año y siempre hay cambios y mejoras.",1 contribución,Escrita el 18 de octubre de 2025,,1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,,
1775582337-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Un gran restaurante italiano,Daniel A,Restaurante muy bueno con comida de calidad y buen precio. Los camareros muy agradables en especial Dayana que fue la persona que nos atendió. Muy recomendado.,1 contribución,Escrita el 18 de octubre de 2025,,1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,,
1775582337-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Estupendo,Lorea l,"Diana ha sido excelente, un servicio genial. Super atenta y amable. Y la comida maravillosa por un buen precio. Volveremos seguro.",2 contribuciones,Escrita el 17 de octubre de 2025,,2,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,
1775582337-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Muy buen ambiente,Jonathan Smith,"Muy rica la comida les recomiendo pidan pizzas y pastas no se arrepentirán 
La atención excelente esta vez fuimos atendidos por una chica llamada Patricia 
Bendiciones",4 contribuciones,Escrita el 17 de octubre de 2025,,4,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,,
1775582337-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Reunión de amigas en un restaurante acogedor con un menú muy asequible  y muy buena atención por parte de Patricia,Ana Belen G,"Patricia la chica que nos atendió fue súper atenta.  Quedamos encantados con ella y pasamos buen rato . El menú muy bien de precio aunque los primeros un poco pequeños , el segundo plato más generoso",4 contribuciones,Escrita el 16 de octubre de 2025,,4,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,
