web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image,image2,image3,image4,image5,image6,image7,position,data24,data25,data26
1776264013-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Hay que ir mínimo una vez en la vida a disfrutarlo,Ruben M,"Espectacular sitio, por ubicación, por decoración, y por profesionalidad. Es un sitio que es obligatorio conocer, y disfrutar de la calidad y originalidad de sus platos. La música y la buena vibra de su personal es algo maravilloso. Gracias a Kevin y Mauricio por su magnífico servicio y trato.","¡Mil gracias! 😄✨ Con comida, ambiente y un equipo así, es imposible no disfrutar 💫🍽️🎶 ¡os esperamos pronto!",1 contribución,1,Escrita el 22 de noviembre de 2025,,1 contribución,Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
1776264013-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Increíblemente todo,stphany p,"Robert es muy amable que fue el camarero que nos atendió, los tragos de Anita son increíbles, la comida es muy rica, el ambiente está brutalmente precioso. Simplemente volvería","¡Mil gracias! 😄✨ Con un trato así, cócteles increíbles y buena comida, volver es inevitable 💫🍽️🍸 ¡os esperamos pronto!",1 contribución,1,Escrita el 20 de noviembre de 2025,,1 contribución,Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,,Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
1776264013-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Para volver,vcanorojas,"Espectacular en todos los sentidos.
La decoración totalmente distinto a cualquier restaurante: colorido, con distintos personajes enormes y una escenografía muy conseguida.
Los camareros perfectamente ataviados y muy amables y atentos. Destacar la atención de Isaac entre otros.
Incluso pudimos ver una mini actuación de una chica que cantaba de categoría.
En cuanto a la comida, tienen una carta muy bien elaborada y exquisita.
Las patatas bravas son deliciosas, el pulpo espectacular, la ensalada Mikonos muy rica.
La cantidad de los platos es más bien abundante lo cual me sorprendió. Elegimos un vino que nos encantó llamado Rosi La Loca.ñ de uva tempranillo.
Los cocteles son un espectáculo no solo por su sabor sino también por cómo lo presenta. Repetiremos sin dudarlo","¡Mil gracias! 😄✨ Con un equipo así, comida exquisita y cócteles espectaculares, repetir es obligatorio 💫🍽️🍸 ¡os esperamos pronto!",523 contribuciones,523,Escrita el 20 de noviembre de 2025,,"San Roque, España",Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/cb/00/b5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/cb/00/b6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/cb/00/b4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/cb/00/b7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/cb/00/b8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/7f/4d/bd/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
1776264013-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Buena Coctelería,JesuMa B,"La verdad es que el trato del camarero will fue amable y simpático (excelente), los cocteles que fue lo que probamos estuvieron ricos, los vasos son muy bonitos. Por decir algo negativo hago alusión a que detrás nuestra había un grupo de trabajadores quejándose del trabajo y el despido de un compañero, creo que resta esto a la experiencia puesto que nuestra mesa estaba justo detrás de una barra de comida y durante todo el tiempo estuvieron en la constante y era nuestra primera vez conociendo el local.",Gracias por compartir tu experiencia. 😄✨ Nos alegra que disfrutases de los cócteles y del trato de Will. Lamentamos lo ocurrido con el ruido del grupo cercano y entendemos que haya podido restar a vuestra experiencia; tomamos nota para mejorar la comodidad de todos los clientes.,3 contribuciones,3,Escrita el 17 de noviembre de 2025,,3 contribuciones,Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/c6/9a/a1/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
1776264013-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Tania y Adri,Bryan P,"Tania y Adri los mejores !! Super recomendado !! Ambientazo ! Nos han caído muy bien , los cocteles como su nombre BESTIALES","¡Mil gracias! 😄✨ Con Tania y Adri, cócteles BESTIALES y ese ambientazo, repetir es obligatorio 💫🍸 ¡os esperamos pronto!",1 contribución,1,Escrita el 17 de noviembre de 2025,,1 contribución,Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
1776263999-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,"“Gastronomía de diez, atención de cero”",Domingo C,"Fuimos a Bestial by Rosi la Loca en Madrid, mi mujer y mis nietos desde Tenerife, con grandes expectativas… y salimos profundamente decepcionados.

El local es bonito y la comida es buena, bien presentada y sabrosa. Y ahí terminan los puntos positivos.

Desde el primer minuto te recuerdan que la mesa es para dos horas, pero lo que no controlan en absoluto es el servicio. Desorganizado y ausente. Durante toda la comida nadie se acercó a preguntar si todo estaba bien. Pedimos un refresco más para los niños y tuvimos que reclamarlo tras más de 10 minutos.

Al acabar los platos principales, la mesa quedó sin recoger y nadie preguntó por el postre. Tras más de 20 minutos esperando, nos dicen que “el postre está de camino”… sin haber tomado nota. Cuando finalmente lo hacen, dejan las cucharas sobre una mesa sucia y los postres nunca llegan. Esperamos más de media hora hasta que se cumplió el tiempo límite que tan estrictamente vigilan.

Lo más grave llega al final: vimos claramente a la camarera comentando nuestras quejas con el responsable de sala. Ella tuvo el detalle de disculparse, pero el responsable de sala jamás se acercó, no dio explicaciones ni asumió ninguna responsabilidad. Una absoluta falta de respeto al cliente.

Pedimos la cuenta y nos marchamos frustrados, con la sensación de haber sido despachados por el reloj, no atendidos por personas.

Una auténtica pena. Buen producto, mala gestión y un trato al cliente inaceptable. Un restaurante que podría ser excelente, pero que convierte una comida en una experiencia incómoda, tensa y desagradable.",5 contribuciones,5,Escrita el 27 de enero de 2026,,5 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,,,,,,
1776263999-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Pocas luces del encargado no de los camareros a pesar de nuestras quejas ni se acercó para hablar con nosotros,SITAMONTESINOS,El servicio los chicos encantadores pero yo creo que hubo un cambio de turno y se olvidaron de nosotros fue muy desagradable,88 contribuciones,88,Escrita el 26 de enero de 2026,,"Santa Cruz de Tenerife, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/4c/ce/ba/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/4c/ce/bb/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/4c/ce/b9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,,
1776263999-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,La comida estaba muy buena y excelente atención,Johanna H,"Me gustó mucho el lugar es hermoso, sorprendentemente la comida está muy buena, no es solo para tiktok también se come bien, es de destacar la atención de Ernesto y Liliana, han estado siempre pendientes de que estuviéramos bien y no nos faltara nada, todo fue impecable",6 contribuciones,6,Escrita el 23 de enero de 2026,,6 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/46/5a/b9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/46/5a/ba/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/46/5a/b8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,,,,
1776263999-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Ambientación y comida buena,sheila p,"Buena experiencia , decoración , música en directo , dj, comida buena , falso risoto , croquetas , tiramisú. Muy ambientado , buena atención de Kevin y resto de empleados .",2 contribuciones,2,Escrita el 18 de enero de 2026,,2 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,,,,,,,
1776263999-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Como en casa,Elsa P,"Tuve la oportunidad de conocer el restaurante Bestial el cual cuando ingresé tuve la sensación de estar en el paraiso por su decoración y aún mucho mas por la gran bienvenida y servicio por parte del señor Kevin, la comida muy rica tuve la oportunidad de probar varios platos, mi favorito fue la zamburiña, y la atención del personal también me maravilló, Liliana quien es de Colombia nos hizo sentir calidad de persona y como en casa.",1 contribución,1,Escrita el 14 de enero de 2026,,"Madrid, España",,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,,,,,,,
1776263999-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Cena divertida,Jet64798098724,"Ambiente genial, comida diferente muy buena, el servicio genial, nos atendió Ernesto y muy amable y atento, y todos los demás camareros también.
Musica en directo.",1 contribución,1,Escrita el 9 de enero de 2026,,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,,,,
1776263999-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Experiencia,LIZBETH M,"El brioche de calamares es un imperdible!!! De los más ricos que probé en todo España. 
El bikini bestial delicioso! Excelente para compartir. Volvería mil veces.",1 contribución,1,Escrita el 8 de enero de 2026,,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,,,,,,
1776263999-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,"Probar si, repetir no se...",Venancio Fernandez,"La valoración es por el local, no por los méritos gastronómicos.
Es un establecimiento con una estética peculiar, bastante exagerada. La decoración afecta tanto al local como a la vajilla, cubertería y demás elementos. Para mi gusto es gracioso, pero demasiado recargado. Habrá mucha gente a la que le encante, pero a mi me cansa un poco.
La comida correcta sin mayores alharacas: zamburiñas normales, tartar de atún un poco insípido y arroz con almejas un poco decepcionante. Bastante bien el tiramisú de postre.
Servicio amable, correcto y eficaz",94 contribuciones,94,Escrita el 6 de enero de 2026,,"Salamanca, España",,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/68/41/16/venancio-f.jpg?w=100&h=-1&s=1,,,,,,,
