web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,position2,image,data15,data16,data17,data18,image2,data19
1776250220-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Un sitio ideal para comer y volver!,Agathe R,"Hace 10 años que me fui de Madrid pero cada vez que vuelvo, la Pizzateca es LA parada obligatoria! (Y en general, hay más de una). Las pizzas están riquísimas, las hay para todos los gustos (incluso vegetarianos y veganos) y me gusta la posibilidad de poder comer o llevarme solo un o dos trocitos según el hambre que tengo. Además de la calidad de los productos, siempre estoy muy bien recibida y vuelvo con mucho placer e ilusión. Gracias por todo :)",1 contribución,Escrita el 28 de agosto de 2023,1.0,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,,,,
1776250220-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,20/10,Paradise46525928949,"El camarero me ha tratado mejor que mi madre,super atento a absolutamente todo y la comida muy rica,recomendamos el menu lasagna de carne y la pizza margarita",1 contribución,Escrita el 25 de agosto de 2023,1.0,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,,,
1776250220-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Para repetir!,Laura,"Nos encantó todo!! Fuimos un domingo de agosto, con todo el calor de medio día a buscar esta pizzeria por los buenos comentarios en tripadvisor, pero al llegar estaba cerrado...pero nuestra sorpresa fue que aún estando cerrados, el personal estaba dentro del local, nos abrieron y nos ofrecieron lo que tenían para ellos...alucinamos!!! La verdad es que un encanto de gente, las pizzas súper riquísimas, el local muy acogedor! Para nosotros un 10 y muy agradecidos de poder comer ese día, ya que íbamos con nuestros peques. Cuando volvamos a Madrid, repiteremos la visita seguro!","Ibiza Ciudad, España",Escrita el 23 de agosto de 2023,18.0,18 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,3.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/ee/46/8d/piedradeluna3.jpg?w=100&h=-1&s=1,,,,,,
1776250220-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Entre amigos,Voyager60111807401,"Si la comida está buenísima el trato es inmejorable, fuimos con unos amigos de Granada y cenamos fenomenal recomendado 100 × 100 seguro que volveremos",1 contribución,Escrita el 23 de agosto de 2023,1.0,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,3.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,,,
1776250220-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Muy buenas pizzas!,Elayne T,Excelente pizzas e ensaladas! Pizzas romanas muy buenas! Excelente calidad e con muy buenos rellenos.,"Sao Paulo, SP",Escrita el 5 de agosto de 2023,3.0,3 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,,,,,
1776250208-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Hallazgo increíble!!!,jgabriel31,Un hallazgo increíble al paso en busca de comida y nos encontramos con una pizzería excepcional por las variedad de sabores muy auténticos y la atención inigualable. Felicitaciones,"Envigado, Colombia",Escrita el 13 de septiembre de 2024,3.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",3 contribuciones,,,,,,,,,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/e5/33/23/jgabriel31.jpg?w=100&h=-1&s=1,
1776250208-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,La Pizzateca - Excelente comida y servicio,Michael G,"Estuve en Madrid solo 4 días, y he estado aquí dos veces para almorzar. Auténtica pizza italiana. Tomé mitad capricciosa y mitad pizza calabresa, y ambas estaban deliciosas. La camarera y el chef eran muy agradables y acogedores, y por supuesto la comida era excelente. Tomé un capuchino después de mi comida y eso también estaba delicioso. Los precios son muy justos. Si puedes ir, definitivamente deberías : )",4 contribuciones,Escrita el 16 de agosto de 2024,4.0,,,Mostrar original,,,,,Traducido automáticamente,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,
1776250208-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,El mejor lugar de la ciudad.,Felipe W,"Excelentes pizzas , Excelentes recomendaciones, servicio extraordinario. ¡Literalmente creé una cuenta para recomendar este lugar!",5 contribuciones,Escrita el 31 de julio de 2024,5.0,,,Mostrar original,,,,,Traducido automáticamente,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/02/bc/17/caption.jpg?w=300&h=300&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,
1776250208-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Para repetir hasta probar todas las pizzas,Carmen F,"Sitio muy recomendable para comer pizzas artesanales, deliciosas y de calidad. Se nota el mimo en cada bocado. La pizza sin gluten buenísima. Local acogedor y el personal muy amable y familiar.",2 contribuciones,Escrita el 21 de julio de 2024,2.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,
1776250208-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Inesperada y sublime pizzería en Antón Martín,jose luis A,Increíble y magnífica elaboración y calidad en productos. Ganaron un cliente fiel de Alicante. Alejo y Mare se esmeran en ofrecer un servicio de calidad en un ambiente cercano y original,"Provincia de Alicante, España",Escrita el 20 de julio de 2024,4.0,Elaboración y dedicación al servicio del cliente. Un rincón agradable en el centro de Madrid de esos que no se olvidan,4 contribuciones,,Calidad/precio,Comida,Servicio,Ambiente,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/df/dd/de/caption.jpg?w=300&h=300&s=1,,,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,
1776250208-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Muy muy bueno!!!,Dirk P,"La mejor pizza de la historia. 
El mejor servicio. 
Servicio en más idiomas. 
Así que mal y muy buenas pizzas de napolitana 
Limpio
Top Chef 
BRAVO
Gracias",3 contribuciones,Escrita el 12 de julio de 2024,3.0,,,Mostrar original,,,,,Traducido automáticamente,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d3/fd/14/caption.jpg?w=300&h=300&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,
1776250208-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Gran lugar!,Jason M,Pizza increíble y personal muy amable! La comida es muy buena. Pizza por pastel o rebanada. Recomiendo encarecidamente para cualquiera que quiera pizza en Madrid!,"Minneapolis, Minnesota",Escrita el 4 de julio de 2024,3.0,,3 contribuciones,Mostrar original,,,,,Traducido automáticamente,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,
1776250208-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Comida muy rica,Sara D,"El sitio muy limpio y muy buena decoración, la comida ha estado muy rica y todo artesanal, los camareros nos han atendido genial y no han tardado en traer la comida, lo recomido a todo el mundo",1 contribución,Escrita el 1 de junio de 2024,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,
1776250208-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Un tesoro escondido en Madrid!,Sofia G,"La mejor pizza que he comido en mi vida! Ambiente acogedor, ideal para visitar en familia. La atención del personal divina y el sabor y la calidad de la comida es de primera. Super recomendado! Gracias y volveremos siempre!",1 contribución,Escrita el 28 de mayo de 2024,1.0,,,,Calidad/precio,Comida,Servicio,Ambiente,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,
1776250208-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Acogedor y sabroso,AMANDINE B,"Llevo años siendo fiel a la Pizzateca, nunca me decepcioné con sur carta. Las pizzas enteras son muy ricas y los trozos que proponen son iguales de ricos. Después de mucho tiempo sin ir las encontré igual de sabrosas con un servicio siempre muy amable por parte de los trabajadores.",2 contribuciones,Escrita el 1 de mayo de 2024,2.0,,,,Calidad/precio,Comida,Servicio,Ambiente,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,
1776250208-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,LOS MEJORES,Pierre B,"Muy bien !
Muchas gracias por vuestra atención.
Gente muy amable y una cualidad increíble de pizza con buenos productos",1 contribución,Escrita el 13 de abril de 2024,1.0,,,,Calidad/precio,Comida,Servicio,Ambiente,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,
1776250208-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Comida italiana casera. Pizzas espectaculares,antonio jesus C,"Comida italiana de buena calidad. Buen trato y atención al cliente. el precio no es caro para la zona y ciudad. 
Comida hecha a mano y no industrial.
 recomendable","Provincia de Málaga, España",Escrita el 29 de marzo de 2024,26.0,Si se puede reservar.,26 contribuciones,,Calidad/precio,Comida,Servicio,Ambiente,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,
1776250208-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,5/5 pizza,Companion815115,"La pizza era buenissima, los camareros muy simpaticos, uno de los mejores restaurantes de pizza de siempre. La tienda es muy bonita.
Y la masa de la pizza era heavenly.",2 contribuciones,Escrita el 13 de febrero de 2024,2.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,
1776250208-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Excelente almuerzo con familia,Curious09993356096,"Con 55 años, una de las mejores masas de pizza que he comido. Un servicio impecable y super amable. Un precio justo. ¡Volvemos a nuestro próximo viaje a Madrid!",1 contribución,Escrita el 13 de febrero de 2024,1.0,,,,Calidad/precio,Comida,Servicio,Ambiente,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,
1776250208-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,"Como en Italia, bravi!",Rossella C,"Pizza ""al taglio"" como en Roma de verdad. Buenos ingredientes y personal muy amable. Genial para una comida rápida, ligera y satisfactoria.",2 contribuciones,Escrita el 25 de enero de 2024,2.0,,,,Calidad/precio,Comida,Servicio,Ambiente,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,
1776250196-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Gran almuerzo,Regan E,"Fuimos con un grupo grande sin reserva, y eran muy serviciales! Tanto la pizza como la pasta estaban deliciosas, y nos divertimos mucho leyendo los libros españoles a lo largo de la pared trasera. ¡Muy bien!",1 contribución,Escrita el 17 de enero de 2025,1.0,,,Calidad/precio,Comida,Mostrar original,Servicio,Ambiente,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,
1776250196-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Espectacular,Ciro Alejandro B,"Definitivamente espectacular, tenía la
Referencia de mi esposa cuando vivió en Madrid, y cuando estuve con ella hace 4 años, no logré probarla. Esta oportunidad volvimos en pareja y logré probarla y cumplió todas mis expectativas. Te atienden espectacular, todas las personas soy muy amables. Pizzas recomendadas:  La Dolce Vita y la Diavola. 🤌🏻🤌🏻",4 contribuciones,Escrita el 17 de enero de 2025,4.0,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/94/a9/c0/caption.jpg?w=300&h=300&s=1,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/8a/dd/8b/ciro-alejandro-b.jpg?w=100&h=-1&s=1,
1776250196-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Fui una gran y deliciosa experiencia. El servicio también fue excelente,Alexander Z,¡El vegetariano es la mejor rebanada de pizza que he probado en Madrid! Nada mejor que eso. Sin duda recomendaría la pizza aquí.,1 contribución,Escrita el 15 de enero de 2025,1.0,,,,,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Traducido automáticamente,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,
1776250196-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Grata sorpresa!,Luis,"Atención de 10. Comida de 10. Local pequeño, en pleno centro de Madrid, muy económico. Sin duda, todo un descubrimiento","Nueva York, Estado de Nueva York",Escrita el 6 de enero de 2025,422.0,,422 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/81/50/4f/caption.jpg?w=300&h=300&s=1,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/3f/06/6d/caption.jpg?w=100&h=-1&s=1,
1776250196-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,La mejor pizzeria de Madrid,Joan G,La mejor pizza que hemos comido. Segunda vez q venimos y no será la última. Gran variedad de sabores y todas riquiiiiiisimas,1 contribución,Escrita el 3 de enero de 2025,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,
1776250196-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Pizzas riquísimas y abundantes. Ambiente familiar,jose antonio m,"Comida espectacular, pizza buenísima y servicio excelente. Se come bueno abundante y barato. Totalmente recomendable",4 contribuciones,Escrita el 2 de enero de 2025,4.0,,,Calidad/precio,Comida,,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,
1776250196-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,La mejor pizza de Madrid,Daniel Alejandro,"Sin dudas repetiría este sitio siempre , las mejores pizzas de Madrid sin duda, excelente trato y los tiempos de espera casi ninguno.","La Habana, Cuba",Escrita el 22 de diciembre de 2024,2.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2 contribuciones,,,,,,,,,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,
