web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,data19,data20,image3,image4
1775832834-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,La estética del lugar nos encantó,Gerardo C,"Geniales. Para quienes visitamos Europa, Madrid es un lugar soñado. Pero estar en el Social, es sentirse en casa. El afecto y la comida de lo mejor.Volveremos cuanto antes.",1 contribución,1.0,Escrita el 2 de febrero de 2023,1 contribución,Calidad/precio,Servicio,Comida,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,,
1775832834-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Muy rico todo,Dagmary F,"Acogedor, buena atención y comida exquisita. De entrante probamos el aguachile de zamburiñas y camarones. De segundo la corvina con puré de coliflor y Panceta. El helado increíble. Repetiremos",4 contribuciones,4.0,Escrita el 2 de febrero de 2023,4 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,,
1775832834-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Muy decepcionante,Angel G,"Desde luego todos podemos tener un día malo y creo que ese nos tocó a nosotros. El camarero era muy parco en palabras, casi llegando a ser desagradable..,El local estaba frío, lo que en un día como hoy (19.1.2023) se hace muy inconveniente para estar a gusto.. En cuanto a la comida: las croquetas, de patata, con pco sabor. La ensalada Cesar, con la lechuga cortada “ a hachazos” y la pasta del día muy mejorable.
Supongo que puede ser que no siempre sea asi, pero a la vista de nuestra experiencia me parece increíble que este local esté en los primeros puestos del ranking",1381 contribuciones,1381.0,Escrita el 19 de enero de 2023,"Navia, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,,
1775832834-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Gran descubrimiento.,Cristina,"Fuimos a cenar y nos trataron genial. Los camareros súper atentos, la comida muy buena, el vino que nos recomendaron espectacular, el helado artesanal de postre riquísimo. El ambiente muy tranquilo con musiquita de fondo. Volveremos.",59 contribuciones,59.0,Escrita el 6 de enero de 2023,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,,
1775832834-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Todo un descubrimiento.,Faustino A,"Aunque habiamos mirado en la pagina web, la realidad nos sorprendió muy gratamente. Yo siempre valoro en primer lugar la comida, considero que el resto es cambiante, y esta fué increible rematada por un postre que nos elevó al cielo.",24 contribuciones,24.0,Escrita el 22 de diciembre de 2022,"Gijón, España",Calidad/precio,Servicio,Comida,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,,,,
1775832819-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,No se lo pierden,Mirian C,"Fuimos con amigos a cenar la semana pasada, el restaurante es muy coqueto. El personal muy amable y educado, nos recomendaron muy bien. De entrante tomamos guacamole y flores de calabacin, todo muy rico y sabroso. De segundo entraña y ají de gallina, increíble todo. Los postres caseros y deliciosos. Lo recomenaos",1 contribución,1.0,Escrita el 25 de enero de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,,
1775832819-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Todo espectacular,Bishwas A,"Fuimos con mi pareja a este coqueto restaurante en el barrio de chueca. Empezamos con un tapenade casero muy rico que te sirven con el agua filtrada y el pan. Compartimos una flores de calabacin increíbles, de plato principal ají de gallina y entraña. La verdad que todo muy bueno. Muy buen ambiente y atención. Volveremos",1 contribución,1.0,Escrita el 9 de enero de 2024,"Madrid, España",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,
1775832819-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Volveremos,Mario A,"Vistamos el restaurante una noche con amigos. De entrantes tomamos flor de calabacín y mejillones ambos platos muy buenos. De segundo entraña con chimichurri y costillar de cerdo. Terminamos con una tarta de zanahoria, atención increíble y muy buena música. Volveremos",9 contribuciones,9.0,Escrita el 4 de enero de 2024,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,,,
1775832819-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,"Más que un restaurante, una casa de comidas",cristina,"La carta bastante escueta, los platos pretendían ser algo que al final no eran. Los postres ricos pero pequeños.
El servicio fue bueno.",1 contribución,1.0,Escrita el 26 de noviembre de 2023,"Isla, España",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,,
1775832819-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Buena experiencia,Cristina R,"Buena comida y atención inmejorable. Los platos son originales y los ingredientes de calidad. Todo muy rico! Tuvimos un problema con una alergia (culpa nuestra por no avisar) y estuvieron súper atentos en todo momento, nos dieron todo lo que necesitábamos.",2 contribuciones,2.0,Escrita el 16 de noviembre de 2023,"Provincia de A Coruña, España",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,,
1775832819-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Para repetir,Elisa Diego,"Comida deliciosa, muy bien aliñada, con sabores muy equilibrados. Productos básicos pero con un trato diferente que nos ha encantado",104 contribuciones,104.0,Escrita el 6 de noviembre de 2023,"Plasencia, España",Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,,
1775832819-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Increíble,Diego d,"Local pequeño y muy bien decorado en Chueca. Fui con mi pareja, de entrante nos dieron agua filtrada y un tapenade muy rico. De entrante pedimos un fuera de carta Tiradito de corvina. Para terminar ají de gallina y entraña. Todo super e increíble. De postre no sugirieron la tarta de chocolate. 
Todo de maravilla volveremos",1 contribución,1.0,Escrita el 15 de octubre de 2023,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,
1775832819-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Comida casera de muy buena calidad y un precio excelente,VFerna,"El sitio es muy agradable. El servicio es rápido y muy amable. Los platos son fusión latinoamericana, con productos de muy buena calidad y muy bien elaborados. Y el precio es estupendo",156 contribuciones,156.0,Escrita el 25 de septiembre de 2023,"Madrid, España",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/9f/ef/1f/vferna.jpg?w=100&h=-1&s=1,,,,,
1775832819-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Gran experiencia,manuel N,Noche encabtadora en madrid. El local es muy coqueto y limpio. La musica increiblw. De entrantes probamos flor de calabacin y mejilones. De segundo costillar y aji de gallina que estaba delicioso. Postres riquisimos y caseros. Volveremos,1 contribución,1.0,Escrita el 23 de septiembre de 2023,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,,,
1775832819-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Muy bueno,Javier P,"Restaurante en chueca, menú muy interesante. Muy buena combinacion de sabores. La atención muy buena por parte del personal. Los postres top, no dejen de vivitarlo",1 contribución,1.0,Escrita el 12 de septiembre de 2023,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,
1775832819-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Buena opción para un vermut,eMMe L,Un vermut super rico y super agradable. Personal muy profesional y una velada interesante. Valió la pena,6 contribuciones,6.0,Escrita el 11 de septiembre de 2023,6 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/9c/50/emme-l.jpg?w=100&h=-1&s=1,,,,,
1775832819-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Comida variada y gustosa.,victoria,"Comida casera variada, para todos los gustos  y muy sabrosa. Probamos unas excelentes brochetas de pollo, costillar de cerdo, corvina y entraña a precios razonables a escasos metros de la calle comercial de Fuencarral.",4 contribuciones,4.0,Escrita el 3 de septiembre de 2023,"Elche, España",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,
1775832819-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Mi favorito en madrid,Franco M,"Lo visité en mi último viaje a Madrid y me encantó el espacio, el servicio; la comida espectacular. Mi lugar favorito en Madrid, perfecto para unos tragos y unos platos que se disfrutan de principio a fin",2 contribuciones,2.0,Escrita el 28 de agosto de 2023,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,,,,
1775832819-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Comida muy original bien guisada y spetecible,Olga L,"Buena comida, buena atención y precio muy adecuado. Volveremos seguro. Nos ha gustado mucho el local, muy bien acondicionado y la comida muy rica.",7 contribuciones,7.0,Escrita el 25 de agosto de 2023,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,
1775832819-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,imperdible,Ricard S,"sitio para guardar con una chincheta, buena comida y mejor atención, local sencillo pero muy correcto y cómodo, a destacar la atención del personal del local, para repetir sin dudas",6 contribuciones,6.0,Escrita el 24 de agosto de 2023,"Monistrol de Calders, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,,
1775832802-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Recomiendo 100000%,Nicolas M,"La mejor cena de mi estadía por Madrid.
Comida deliciosa y el personal increíble!
Porciones grandes y precio muy acorde.",3 contribuciones,3.0,Escrita el 9 de junio de 2024,3 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/86/1b/cd/caption.jpg?w=300&h=300&s=1,,,,,
1775832802-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Una experiencia para recordar,Valentin C,"Increíble servicio al igual que la comida, el tiradito de corvina espectacular y la entraña se la recomiendo a toda persona que entre a este local, de los mejores lugares a los que he ido a comer en Madrid y encima super bien ubicado, super recomendable y repetiremos sin duda!",7 contribuciones,7.0,Escrita el 9 de junio de 2024,7 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/85/35/9a/caption.jpg?w=300&h=300&s=1,,,,,
1775832802-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,No se lo pierdan,Maria P,"Fui con mi hermano a almorzar allí, tomamos de entrada gambas en temporada y un ceviche. Terminando con la entrega. Todo muy buen, servicio excelente gracias por todo",4 contribuciones,4.0,Escrita el 9 de junio de 2024,4 contribuciones,Reserven,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,
1775832802-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Excelentes sabores ! 100 por ciento recomendable!,Nazarena Diaz,"Es lo mejor que le puede pasar a tu viaje a Madrid ! Mezcla de países y sabores , realmente se come excelente! Destaco mucho además la presentación de los platos y la atención de Alejo ! Volvere!",4 contribuciones,4.0,Escrita el 11 de mayo de 2024,"Buenos Aires, Argentina",,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/23/2e/30/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,
1775832802-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Todo excelente!,Ariadna Roca,"Nos encantó este restaurante! Ambiente relajado, comida excelente y servicio impecable. Probamos tres platos y dos postres. Todo espectacular, lo mejor el aguachile. Volveremos pronto!",8 contribuciones,8.0,Escrita el 5 de mayo de 2024,"Barcelona, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,,
