web_scraper_order,web_scraper_start_url,data,data2,data3,data5,name,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,image3,image4,data16,data17,data18
1776251314-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Repetiré,Juan F,"Viví 3 años en Argentina y comer aquí me trajo recuerdos de allá. El trato fue excelente, hablé un rato con el dueño y el menú del día tiene una gran relación calidad, cantidad, precio.","gracias juan por tu comentario, nos encanta saber que fuimos capaces de representar el alma Argentina en el corazón de Madrid.
Un saludo
Equipo Mu!",1 contribución,1.0,Escrita el 24 de septiembre de 2021,Escrita el 6 de octubre de 2021,,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1776251314-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Parrillada Argentina de la verdadera,Mauricio Santander,"Con un poco de nostalgia por esas parrilladas del cono sur, escogimos este restaurante con mi señora debido a los buenos comentarios en Tripadvisor.

Local. Es espacioso, está bien cuidado, me gustó la decoración. Limpio, y con vista a la cocina, por lo que mientras uno espera su comida puede disfrutar el paisaje.

Atención. La atención tambien fue buena, preocupados de atender a todos los comensales como corresponde. Pasamos un buen rato intercambiando recuerdos tanto de Chile como de Argentina.

Comida. Maravillosa. Pedimos la parrillada para dos. Si no podía con la carne, pues me la llevaba. Lo primero, la felicidad de pedir un 3/4. La carne no tiene por qué pasar de viva a quemada. Costillas de cerdo, asado de tira, entraña --- estaban fabulosas. Una carne tierna, jugosa, con sabor. Con un poco de chimichurri quedó de maravilla. Las papas fritas eran acompañamiento, pero por Dios también estaban deliciosas. Uno nota cuando las han cortado y freído en el momento. Mi señora también pidió una ensalada (que comió solo ella jajaja) y los vegetales frescos, con mucho sabor.

No me fijé completamente en los bebestibles, pedimos un par de cervezas y una botella de vino tinto para maridar. Lo único que me faltó es un buen Cavernet Sauvignon Reserva para acompañar la carne roja.

¿Volveríamos? Vamos saliendo :)","Muchas gracias por vuestro comentario, que mas? desear que voláais pronto a pasar un momento agradable en alguno de nuestros restaurantes. simplemente, un placer teneros.
Un saludo
Equipo Mu!","Madrid, España",4.0,Escrita el 19 de agosto de 2021,Escrita el 6 de octubre de 2021,4 contribuciones,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/a1/fc/df/la-ensalada-de-mi-senora.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/a1/fc/e1/esta-parrillada-estuvo.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/4d/3f/4a/tandersan.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1776251314-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Estupendo menu del dia en sitio centrico,Adria G,"Eramos un grupo de 4 personas que comimos un menú del dia. Por 12,5 hemos comido realmente bien, el punto de la carne estaba muy bien, y el menú es muy correcto por lo que cuesta. El local es muy tranquilo. Además, la salsa chimichurri estaba genial y el personal muy agradable.","Gracias por tu comentario Adria, ponemos todo nuestro empeño en intentar que vuestro paso por Mu! sea un recuerdo agradable y así seguiremos cada día.
un saludo
Equipo Mu!",1 contribución,1.0,Escrita el 13 de agosto de 2021,Escrita el 6 de octubre de 2021,,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1776251314-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Mala experiencia,15MLE,"No me gusta para nada realizar un comentario malo sobre un establecimiento hostelero, pero les comento la situación: 
Domingo, último día de vacaciones, decidimos retrasar nuestra vuelta a Málaga en coche para poder comer en el sitio donde recordábamos haber comido increíblemente bien hace año y medio. Nuestra sorpresa es que ha sido todo lo contrario, mal servicio, de 3 platos a compartir, 2 vienen de golpe( repito, somos los 2 únicos clientes en ese momento)y , para colmo la ensalada césar no sabía nada bien ( se la diferencia entre cuando algo no me gusta y cuando algo no está realmente en condiciones para ser consumido), poniéndome la excusa de que van cambiando cocineros y la receta a la hora de realizar los platos. Les deseo todo lo mejor, pero por mi parte no lo volveré a recomendar a ningún conocido, amigo o familiar que viaje a Madrid y que no han sido pocos. Saludos","Muchas gracias por tu comentario, así como cuando nos comentan con cinco estrellas nos alegra cuando ocurre este tipo de cosas nos pone tristes pero nos ayuda a mejorar, lamento muchísimo tu mala experiencia, la verdad que el problema no es el cambio de cocinero eso me suena mas a una excusa de la persona que te ha atendido porque la receta es siempre la misma la haga quien la haga .
simplemente hay veces que las cosas no salen como nos gustaría.
te ruego nos des una segunda oportunidad cuando vengas por Madrid para poder demostrarte que seguimos siendo los  que conociste hace año y medio.
nuevamente nuestra más sincera disculpa.
Un saludo
Equipo Mu!",6 contribuciones,6.0,Escrita el 8 de agosto de 2021,Escrita el 9 de agosto de 2021,,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1776251314-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Una PASADA 10/10,fabiensassier,"Una pasada de restaurante, unas de las mejores carnes que he comido! 
De los entrantes a los platos principales, todo está perfecto!

El servicio fue muy bueno también, una cena genial!

Volvería sin lugar a duda, recomiendo al 100%","Muchas gracias por tu opinión, saber que todo te ha gustado nos llena de alegría y gratitud.
un saludo
Equipo Mu!","Valencia, España",10.0,Escrita el 6 de agosto de 2021,Escrita el 9 de agosto de 2021,10 contribuciones,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/88/7d/54/mu-el-placer-de-la-carne.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/88/7d/56/mu-el-placer-de-la-carne.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1776251300-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Fin de semana en Madrid,Cristina C,"Nuestra visita a Mu fue inmejorable, venir de Mallorca con las referencias del restaurante, cumplió todas las expectativas con las que íbamos a probarlo. Destacar la calidad y sobretodo la cantidad de la parrillada para dos que degustamos. El trato recibido por las personas que allí trabajan nos hizo sentir como si fuéramos clientes de diario. Por favor una sucursal de Mu en Mallorca Ya.","Muchas gracias por vuestro comentario Cristina, si abrimos una sucursal de Mu! en Mallorca me pido llevarla!!!! que paraíso!!!!
Un saludo
Equipo Mu!",,,19 contribuciones,Escrita el 13 de febrero de 2022,,19,Escrita el 22 de febrero de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,,0
1776251300-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Un trocito de Argentina en Madrid.,Guillermo C,Relación calidad precio inmejorable. Recomendable 100%. Nos tomamos dos menús que completamos con dos empanadillas y una provoletta. Mención aparre merece el servicio: profesionales rápidos amables y eficaces. Nos atendió Lucas.,"Muchas gracias por tu comentario Guillermo, diste en la diana dos veces ya que nuestro objetivo es la relación calidad precio en lo que incluimos también la atención ya que no se puede separa.
Un saludo
Equipo Mu!",,,2 contribuciones,Escrita el 13 de febrero de 2022,,2,Escrita el 22 de febrero de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,,0
1776251300-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Me sorprendió gratamente este sitio,jose luis i,Excelente atención  de una chica  muy atenta y te orienta en todo momento recomiendo las chinchurrias plato de  Venezuela y la carne riquísima se une Argentina y Venezuela sigan así.,"Muchas gracias por tu comentario Jose Luis, la verdad que es un placer para nosotros recibir gente de todas partes después de tanto tiempo alejados.
Un saludo
Equipo Mu!",,,1 contribución,Escrita el 13 de febrero de 2022,,1,Escrita el 22 de febrero de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,,0
1776251300-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Excelente,Alejandrina,"Desde que hemos ido por primera vez a MU, no hemos probado ningún otro restaurante argentino. La relación calidad precio es lo que nos lleva a frecuentar este lugar. La atención de su dueño es como sentirse en casa. La carne es tan rica y las empanadas las mejores de Madrid. Recomiendo 100 por ciento este restaurante. Me faltó mencionar el helado de dulce de leche, lo mejor de lo mejor.","Muchas gracias Alejandrina por tu comentario, es un autentico orgullo para nosotros recibir una critica como la tuya, seguiremos trabajando en la misma línea.
Un saludo
Equipo Mu!",,,"Madrid, España",Escrita el 6 de enero de 2022,1 contribución,1,Escrita el 8 de enero de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0
1776251300-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Muy bueno,Juan Pablo,"Excelente atención, los sabores muy semejantes a los que se encuentran en Argentina. Precio acorde! Recomendable!","Muchas gracias por tu comentario Juan Pablo, nos alegra que te recuerde a los sabores de Argentina intentamos mantener la tradición  en nuestras preparaciones.
Un saludo
Equipo Mu!",,,"Almería, España",Escrita el 28 de diciembre de 2021,2 contribuciones,2,Escrita el 8 de enero de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0
1776251300-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Muy normalito,Diego Z,"No tiene nada malo pero tampoco nada a destacar. Las empanadas están ricas, la carne normal, sin pena ni gloria, 6 sobre 10. El personal muy agradable.","Muchas gracias por tu comentario, como todos y cada uno de los comentarios que ponéis nos ayuda a intentar mejorar ese es nuestro trabajo cada día. 
un saludo
Equipo Mu!",,,"Lebrija, España",Escrita el 19 de diciembre de 2021,35 contribuciones,35,Escrita el 8 de enero de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ca/f5/a9/diego-z.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,,0
