web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,position2,image,image2,data15,data16,data17,data18,data19,data20,data21,image3,image4
1775581234-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Sigan así ;),María Eugenia M,"Excelente lugar para desayunar, siempre quedo a gusto y feliz. Personal amable y gentil, de verdad, encantada siempre de estar con ustedes ;) 👏🏼👏🏼👏🏼👌🏽",2 contribuciones,2.0,Escrita el 13 de febrero de 2024,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,,,,,,,
1775581234-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Brunch de amigos,Carlos P,"Excelente servicio desde que estás en la puerta.
El vibe del lugar está super y la comida divina. El menú es bien variado.",5 contribuciones,5.0,Escrita el 13 de febrero de 2024,5 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/6a/5b/69/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,,,,,,,
1775581234-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Buen sitio para tomar desayunos o brunch 🥰,ednellA,"Todo está riquísimo, bien preparado y con mucha variedad en la carta. Los platos son abundantes y todos los ingredientes son de calidad.
El servicio es muy bueno y la atención es rápida. Dependiendo de la hora y el día puede haber cola, pero al ser un local tan amplio, la espera no fue más de unos 20 minutos aprox.",373 contribuciones,373.0,Escrita el 11 de febrero de 2024,"León, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/67/8e/70/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/99/c7/d8/caption.jpg?w=100&h=-1&s=1,,,,,,,,,
1775581234-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Buena comida y ambiente,Masiel G,"Buena comida y ambiente, nos atendió Jesús y todo fue excelente!!!  100% recomendado para un buen desayuno/brunch!!!!",3 contribuciones,3.0,Escrita el 11 de febrero de 2024,3 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/66/fa/25/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,,,,,,
1775581234-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,el mejor brunch en mi viaje a Madrid,Jil S,"un citio muy bueno! Jesús era machismo y nos a tratado muy bien.
¡Nos  gustó mucho! ¡Vamos a volver seguro! especialmente los pancakes han sido ricissimos.",1 contribución,1.0,Escrita el 10 de febrero de 2024,"Herford, Alemania",Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/65/41/61/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,,,,
1775581210-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Una súper experiencia para un buen brunch,Dora R,La comida y el servicio estuvieron excelentes. El local muy lindo e impecable. Nos atendieron rapido y muy amable fue Jesús al recomendarnos los platos.,9 contribuciones,,Escrita el 4 de agosto de 2024,9 contribuciones,9.0,,,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,
1775581210-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,,,,,,,,,Explora ahora,Descubre Egipto,Descubre por qué a los viajeros como tú les encanta Egipto,Patrocinado por Experience Egypt,Este contenido está patrocinado por Experience Egypt. Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=400&h=400&s=1,,,,,,,,,,
1775581210-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Brunch espectacular,Luli F,"Si quieren desayunar variado, excelente atención y comida espectacular, Zenith es el lugar.  Súper recomendado.  El mejor Brunch de Madrid",10 contribuciones,,Escrita el 30 de julio de 2024,"Ciudad de Guatemala, Guatemala",10.0,,,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,
1775581210-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Primera experiencia,Joaquin G,"Buena atención y comida, lugar ideal para pasar el rato con tu pareja o desayunar si lo deseas. Cabe mencionar la excelente atención por parte de Karina, hizo todo mucho más fácil en explicar y recomendar algunas cosas del menú ya que era mi primera vez en este sitio.",2 contribuciones,,Escrita el 27 de julio de 2024,2 contribuciones,2.0,,,,,,Calidad/precio,,,,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,
1775581210-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Brunch,Lina B,"Un lugar super encantador, la comida me ha sorprendido gratamente. La atención es muy buena, en nuestro caso nos ha atendido Karina, que me parece una gran profesional.",15 contribuciones,,Escrita el 25 de julio de 2024,15 contribuciones,15.0,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/f3/9a/eb/caption.jpg?w=300&h=300&s=1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/03/97/85/lina-b.jpg?w=100&h=-1&s=1,
1775581210-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,El mejor brunch de madriz,Rafael  N,"Excelente atención de Karina, muy amable y atenta en todo momento. La comida muy rica, fresca y todo sirvieron muy rápido.",1 contribución,,Escrita el 25 de julio de 2024,1 contribución,1.0,,,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,,
1775581210-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Amazing place,Delsy T,"Comida deliciosa y un excelente servicios por la chica se Brazil Karina, es muy atenta. El lugar está muy lindo e instagrameable.",1 contribución,,Escrita el 25 de julio de 2024,1 contribución,1.0,,,,,,Calidad/precio,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/f3/7c/ec/caption.jpg?w=300&h=300&s=1,Ambiente,Servicio,Comida,Los baños un poquito más limpios,,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,
1775581210-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,,,,,,,,,Explora ahora,Descubre Prefectura de Hiroshima,Descubre por qué a los viajeros como tú les encanta Prefectura de Hiroshima,Patrocinado por Hiroshima Tourism(HIT),Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/d4/06/8d/dsc-0685-largejpg.jpg?w=400&h=400&s=1,,,,,,,,,,
1775581210-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Excelente trato y comida,Laura M,"El local está bien ubicado con un aspecto pintoresco  , la atención por parte de sus  camareros es bastante buena  y la comida es  excelente .",1 contribución,,Escrita el 25 de julio de 2024,"Las Palmas de Gran Canaria, España",1.0,,,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,
1775581210-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Nuevas y fantásticas sensaciones,Jaime O,"Definitivamente 
Hemos encontrado nuestro nuevo sitio favorito para desayunar o lo que queramos, todo increíble , rozando la excelencia y mejor con nuestra nueva camarera Karina 
GRACIAS",1 contribución,,Escrita el 25 de julio de 2024,1 contribución,1.0,,,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,
1775581210-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Desayuno por gran vía,Sarah C,Muy buen servicio y comida rica. Mi camarera fue Karina y estuvo muy pendiente a nuestra mesa. Buen lugar para ir a cualquier hora del día,1 contribución,,Escrita el 25 de julio de 2024,1 contribución,1.0,,,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,
1775581210-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,¡Excelente!,Cecy T,¡Todo delicioso y la atención excelente! Nos atendió Jesús y todas sus sugerencias fueron perfectas. Si se hospedan por la zona no duden en darse la vuelta.,2 contribuciones,,Escrita el 23 de julio de 2024,"Monterrey, México",2.0,,,,,,Calidad/precio,,,,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,
1775581210-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,10/10,Mario Andres V,"Un lugar muy agradable la comida es deliciosa, rápida y las personas a cargo del servicio muy atentas y amables, un lugar para ir siempre  10/10",1 contribución,,Escrita el 22 de julio de 2024,1 contribución,1.0,,,,,,Calidad/precio,,,,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,
1775581210-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,,,,,,,,,Leer ahora,Quédate y descubre los tesoros ocultos de Hiroshima — de la paz a la aventura,"Ruta dorada, final de platino — Hiroshima eleva tu viaje por Japón.",En colaboración con Hiroshima Tourism(HIT),Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/dd/ae/caption.jpg?w=400&h=400&s=1&cx=4096&cy=2752&chk=v1_4cc8bb50a02acd7b87cb,,,,,,,,,,
1775581210-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Brunch excelente,maria g,"La comida excelente, perfecto para un brunch en nuestro caso. Y los camareros súper agradables, si volvemos a Madrid repetiremos seguro",1 contribución,,Escrita el 22 de julio de 2024,1 contribución,1.0,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/ec/14/4f/caption.jpg?w=300&h=300&s=1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,
1775581210-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Excelente,Silvia T,"Brian ha sido super atento. Ha adaptado los platos a mis intolerancias, nos ha orientado con respecto a las cantidades y todo con la mejor de las disposiciones. Un 10/10. Vine la semana pasada y repito en cuanto pueda seguro.",1 contribución,,Escrita el 20 de julio de 2024,1 contribución,1.0,,,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,
1775581210-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Me encantó!!!,Carolina G,"Todo divino, la atención fue rápida y de muy buen gusto. 
Hay varias opciones para cada plato, jamones, beacon, salmón, veggie.",14 contribuciones,,Escrita el 11 de julio de 2024,"Ciudad de Panamá, Panamá",14.0,,,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,
1775581210-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Muy buen lugar para brunch,Juliana B,"Excelente lugar de brunch, muy bien ambientado.
La comida estuvo de 10, pedimos unos huevos benedict y un bagel.
La atención del personal fue muy amena y rápida. 
Los precios están un poco por encima de otros lugares, pero lo vale.",4 contribuciones,,Escrita el 25 de junio de 2024,"San Carlos de Bariloche, Argentina",4.0,,,,,,Calidad/precio,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/a9/95/83/caption.jpg?w=300&h=300&s=1,Ambiente,Servicio,Comida,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,
1775581190-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Productos veganos y sin gluten. Todo super kitsch!,Laura B,Atención espectacular y buena comida. Los pancakes veganos y el zumo detox lo mejor! Me atendió Lorenzo y fue muy gracioso y simpático,1 contribución,1.0,Escrita el 18 de septiembre de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,0,,,,,,,,
1775581190-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Delicioso y buena atención,jenny m,"Delicioso todo!! El servicio de cocina muy rápido y la atención de Karina espectacular! 
Definitivamente recomendado para desayunar",3 contribuciones,3.0,Escrita el 17 de septiembre de 2024,3 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/7c/ab/3d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,0,,,,,,,,
1775581190-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,"Buen lugar, buena atencion, desayunos y brunch ricos",Aldo M,"El lugar esta bien: limpio, bien ambientado, agradable.

La atencion es buena: amables y rapidos. 

La comida estuvo rica. 

Volveria a venir.",2 contribuciones,2.0,Escrita el 16 de septiembre de 2024,"Zapopan, México",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,0,,,,,,,,
1775581190-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Super desayuno,Inés N,"Jesús, el camarero que nos atendió fue muy majo y estuvo todo el tiempo atento a si necesitábamos algo. Todo lo que comimos para desayunar estaba riquísimo, definitivamente repetiremos.",1 contribución,1.0,Escrita el 15 de septiembre de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,0,,,,,,,,
1775581190-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Que desayuno más brutal!!!,Danna Valentina C,"Que delicia!! Nos comentó la camarera que el día anterior a ir habían tenido mucho trabajo y muchos delos productos no se podían hacer, sin embargo nos atendió super bien, uno de nosotros tiene una alegria importante y resolvió todas nuestras dudas. La comida deliciosa de lo dulce a lo saldo, aunque debo decir que la tostada Zenith tenía demasiada salsa y eso puede ser empalagoso.

 En general súper contentas con el lugar.",1 contribución,1.0,Escrita el 10 de septiembre de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,Hay cócteles hasta en el desayuno. Aprovado,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/6d/4e/22/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,0,,,,,,,,
