web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,position,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,position2,image,image2,image3,image4,image5,data19,data20,data21,data22,data23,data24,data25
1775660384-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Muy buen y céntrico lugar,Enrique B,Un sitio en el que la comida está muy buena y la atención de los camareros es excelente. Nos atendió María de una forma excepcional a pesar del trabajo que tenía.,1 contribución,Escrita el 20 de abril de 2024,,1,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,,,,,,
1775660384-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Las mejores hamburguesas de Madrid!,Daniel S,"Genial para una cena entre amigos, Sitios súper agradable y la camarera Emily súper pro, una atención espectacular !!volveremos sin duda por aquí ya que lo hemos pasado genial!",1 contribución,Escrita el 20 de abril de 2024,,1,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/eb/27/ba/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/eb/27/bb/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/eb/27/bc/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,,,
1775660384-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Excelente comida y servicio,Janeirie V,"Nos encantó el lugar, la atención de Emily y Diego fue excepcional ⭐️, el lugar es muy bonito y la comida es super rica!!!!!",10 contribuciones,Escrita el 20 de abril de 2024,,10,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/eb/03/8d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/eb/03/8e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/eb/03/8f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,,,,,
1775660384-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Comida,Xiluva,"Lugar excelente, se come muy muy bien y Emily, la chica que nos atendió fue súper atenta y amable. 
Nos encanta y repriremos muchas más veces😊",3 contribuciones,Escrita el 20 de abril de 2024,,3,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,1.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,,,,,,
1775660384-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Buen trato,Álvaro G,"Servicio y producto excelente! El trato de Emily muy correcto y agradable. Recomiendo las hamburguesas maduradas, tienen un sabor magnífico!",2 contribuciones,Escrita el 19 de abril de 2024,,2,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,,,,
1775660371-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,No cumplió mis expectativas.,Gustavo C,"Quieren innovar  pero,  fueron al extremo , realmente su idea es buena pero faltan muchos detalles en la  ejecución. Los puntos de la carne no son los correctos para el gramaje que proponen de hamburguesas y su peor falla es el  pan, el cual no está  preparado para el producto.",82 contribuciones,82,Escrita el 18 de agosto de 2024,1,,"Santiago, Chile",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/73/f3/91/gustavo-c.jpg?w=100&h=-1&s=1,,,,,Leer más,,,,,,
1775660371-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Trabajadores perezosos,Kevin b,Solo quieren irse temprano para no dejarnos comer en el restaurante joder este lugar. . dijeron que la cocina cierra a las 12 : 30 y ni siquiera eran las 11: 30 trabajadores perezosos...,1 contribución,1,Escrita el 20 de julio de 2024,1,,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,,Leer más,,,,,,
1775660371-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Calidad,Juan Pedro R,"Fuimos por las valoraciones, y solo con acercarnos, el olor ya te hacía entrar. Buena carne, buenas bebidas y buena atención. El precio se paga por la calidad",4 contribuciones,4,Escrita el 19 de julio de 2024,1,,"Málaga, España",,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,,Leer más,,,,,,
1775660371-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,"La carne ha desmejorado,no es la misma de siempre",Ioana V,"Llevamos pidiendo en esta hamburguesería años,ya que nos encantaba la carne y la hamburguesa en general.Hoy hemos hecho un pedido a través de Uber eat y estamos totalmente decepcionados.La carne no es la de siempre,parecía la típica de burger king aparte venía quemada (aunque especifique que la quería al punto)y medio fría.",1 contribución,1,Escrita el 14 de julio de 2024,0,,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,,,Leer más,,,,,,
1775660371-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Las mejores hamburguesas,Valeria B,"La semana pasada estuvimos en este lugar y nos gustó mucho el local, la ubicación está perfecta, la comida estuvo buenísima, las carnes estuvieron en su punto, la atención nos pareció espectacular, nos atendió Gaby y nos recomendó probar los mojitos y fue todo un acierto, regresando a Madrid pensamos pasarnos otra vez.",1 contribución,1,Escrita el 30 de junio de 2024,1,,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/b5/a1/cd/valeria-b.jpg?w=100&h=-1&s=1,,,,,Leer más,,,,,,
1775660371-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Madrid Adventures,Yusuf Yassin,"Nos dieron nachos de filete como entrantes y definitivamente no decepcionó. Probé la hamburguesa clásica que era muy jugosa y sabrosa, pero un poco seca. También probamos la hamburguesa de trufa que era muy bueno!",129 contribuciones,129,Escrita el 17 de junio de 2024,0,,"Nueva York, Estado de Nueva York",,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/ae/c1/b2/caption.jpg?w=100&h=-1&s=1,,,,,Leer más,,,,,,
1775660371-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Muy buena experiencia,Ramos M,"Muy buena la comida
Muy buena la atenciòn de Gabriela Vilela. Es muy atenta y muy rápida.
Volvería sin duda. 
Me encantó todo la atenciòn la comida el local.",1 contribución,1,Escrita el 11 de junio de 2024,1,,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,,Leer más,,,,,,
1775660371-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Comida en Steakburguer,Anderson B,"La comida nos pareció estupenda, fuimos sin reserva y encontramos espacio para 7 personas, los cocteles 8/10, las hamburguesas en su punto 10/10 y la atención fue lo mejor, en esta oportunidad nos atendió Gaby y es un encanto de chica, volveremos a ir porque el lugar nos pareció muy acogedor así que lo recomiendo.",3 contribuciones,3,Escrita el 10 de junio de 2024,1,,3 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/87/25/0d/anderson-b.jpg?w=100&h=-1&s=1,,,,,Leer más,,,,,,
1775660371-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Comida pre-duki,Marina G,"La comida excelente. El trato recibido por parte de Paul impecable, maravilloso y paciente. Volveremos sin ningún tipo de duda.",1 contribución,1,Escrita el 8 de junio de 2024,1,,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,,Leer más,,,,,,
1775660371-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Sabroso,Paloma,"Nos gustó mucho el local, la comida, el punto de la carne excelente y el sabor del queso en la hamburguesa melting cheese, delicioso. La atención también fue muy buena, sin embargo, sentimos que tras la cena (aún nos quedaba bebida) nos estaban echando, puesto que nos trajeron la cuenta enseguida, sin pedirla. Fue un momento incómodo. Por lo demás, todo genial.",305 contribuciones,305,Escrita el 26 de mayo de 2024,2,,"Valmojado, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/49/36/a9/paloma-a.jpg?w=100&h=-1&s=1,,,,,Leer más,,,,,,
1775660371-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Almuerzo,Sara G,"Sitio estupendo para comer muy bien, comimos en terraza gracias a la camarera Zaira, ella tuvo la paciencia de colocarnos a un grupo de 10 personas (con niños). Dentro el sitio es estrecho y piden plegar los carros algo imposible cuando los niños están dormidos.",1 contribución,1,Escrita el 11 de mayo de 2024,1,"hola saragX5837BW, muchas gracias por tu comentario",1 contribución,Steakburger A,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,Leer más,Leer más,,,,,
1775660371-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Todo muy rico y rapido,Marcos Eugenio T,Magnífica la Hamburguesa y el servicio de Emily - Todo perfecto Tanto mi esposa como mi hijo muy satisfechos con la calidad de la hamburguesa Angus,2 contribuciones,2,Escrita el 11 de mayo de 2024,1,"Hola marcoseugeniot, muchas gracias por tu comentario. Trasladaremos a Emily tu felicitacion.",2 contribuciones,Steakburger A,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,Leer más,Leer más,,,,,
1775660371-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Todo muy bien,ludovico,"Todo muy bien. Me pedí la burger bbq madurada y me gustó mucho. Zaira, la camarera que me atendió, muy amable y atenta en todo momento.",1 contribución,1,Escrita el 11 de mayo de 2024,1,"Hola ludovico7119, muchas gracias por tu comentario. Esperamos verte pronto","Zaragoza, España",Steakburger A,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,Leer más,Leer más,,,,,
1775660371-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Excelente,Estela P,"Buenísimo el trato del personal y aún más la comida. María nuestra camarera ha estado muy atenta  y su recomendación, la brutal bbq, deliciosa un 10",2 contribuciones,2,Escrita el 11 de mayo de 2024,1,"hola estelap511, muchas gracias por tu comentario. Esperamos verte pronto por Steakburger.",2 contribuciones,Steakburger A,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,Leer más,Leer más,,,,,
