web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,position,image,image2,name,image3
1775471840-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Trae una calculadora,Seaside00488901136,"La comida es buena, pero la espera fue larga y estropearon la cuenta tres veces. Luego tuvieron la osadía de pedir más dinero porque la cagaron.",1 contribución,1,Escrita el 16 de junio de 2024,"We are very sorry you had this experience. We are glad you enjoyed the food, but we clearly need to improve our service. We sincerely apologize for the wait and errors with the invoice. We appreciate your patience and will work to make sure it doesn't happen again. We hope you will give us another opportunity to provide you with better service in the future.",,1 contribución,Escrita el 9 de julio de 2024,Traducir respuesta,STEAKBURGER GRAN VIA No 16,,Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,
1775471840-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Increíble,almudena m,"Muy buen ambiente y buena atención por parte del personal y de la Hostess, las bebidas muy ricas y las comidas con muy buena pinta. 10/10. El sitio precioso.",1 contribución,1,Escrita el 11 de junio de 2024,"Almudena ¡Gracias por tu comentario! Nos alegra saber que disfrutaste del ambiente y la atención. Nos esforzamos por ofrecer las mejores bebidas y comidas, y nos encanta saber que aprecias nuestro esfuerzo. ¡Esperamos verte de nuevo pronto! 10/10 para ti también.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Escrita el 14 de junio de 2024,,STEAKBURGER GRAN VIA No 16,,,,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,
1775471840-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Comida aceptable trato fatal !,Cristina L,"Desde que llegamos , al no tener reserva parece que estábamos molestando . 

Tardaron mucho en servirnos los platos , en tomar nota y en traernos las aceitunas , de echo el camarero que nos tocó muy desagradable por cierto , también es verdad que había un chaval supongo que sería el encargado, estaba muy atento a que nada faltase , pero su equipo muy despistados . 

Pedimos nachos a compartir y una hamburguesa para cada uno y nos trajeron las dos cosas a la vez . Sin hacer espacio en la mesa , todo lleno de cosas y sin espacio para comer , otro punto en contra es la distancia de las mesas , parece que estás comiendo con los de al lado . 

La comida la verdad que estaba aceptable , pero el trato malísimo , ya no sé si por ser españoles o por otra cosa … porque a la mesa de al lado , bien que le hicieron la pelota que le dejaran una reseña , que si les gustaba mucho su ropa , que tal habían comidos y a nosotros nada , ninguna atención especial . 

Podría repetir otra vez por la comida pero por el equipo de trabajo ninguna !",7 contribuciones,7,Escrita el 9 de junio de 2024,"Lamentamos mucho leer sobre su experiencia. Agradecemos sus comentarios, ya que nos ayudan a mejorar. Es inaceptable que haya sentido que estaba molestando y que el servicio no haya estado a la altura. Nos tomamos muy en serio las críticas sobre el trato recibido y trabajaremos para asegurarnos de que esto no vuelva a ocurrir. Nos alegra saber que disfrutó de la comida y esperamos que nos dé otra oportunidad para brindarle una mejor experiencia en el futuro.",,7 contribuciones,Escrita el 14 de junio de 2024,,STEAKBURGER GRAN VIA No 16,Calidad/precio,,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,
1775471840-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,"Pedimos tarta de queso para el postre y estaba espectacular, la atención muy buena y la comida muy rica también",Carla P,"La comida muy buena y muy buen servicio, los camareros muy amables y atentos.
Excelente servicio, volvería sin duda alguna",1 contribución,1,Escrita el 8 de junio de 2024,¡Muchas gracias por tu comentario! Nos alegra saber que disfrutaste de nuestra tarta de queso y del resto de la comida. Nos enorgullece ofrecer un excelente servicio y estamos felices de que hayas tenido una buena experiencia con nuestro equipo. ¡Esperamos verte de nuevo pronto!,,1 contribución,Escrita el 14 de junio de 2024,,STEAKBURGER GRAN VIA No 16,Calidad/precio,,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,
1775471840-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,"Una experiencia inolvidable, excelente servicio",Passport58917876738,"Excelente atención, comida exquisita, postres magníficos , oo recomendaría 💯 una experiencia inolvidable y perfecta",1 contribución,1,Escrita el 7 de junio de 2024,¡Muchas gracias por tu comentario! Nos alegra muchísimo saber que tuviste una experiencia inolvidable con nosotros. Nos esforzamos cada día para ofrecer el mejor servicio y los mejores platos. Esperamos verte de nuevo pronto. ¡Gracias por recomendarnos!,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Escrita el 14 de junio de 2024,,STEAKBURGER GRAN VIA No 16,,,,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,
1775471824-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Great experience.,Laura M,Excelente servicio de Melvin y Vicente. La comida deliciosa y el ambiente genial. Recomiendo 100% el restaurante!!!!,2 contribuciones,Escrita el 26 de noviembre de 2024,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,Leer más,0.0,,,,2.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,2 contribuciones,
1775471824-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,,,,,,Leer ahora,Quédate y descubre los tesoros ocultos de Hiroshima — de la paz a la aventura,"Ruta dorada, final de platino — Hiroshima eleva tu viaje por Japón.",,Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,,,,,En colaboración con Hiroshima Tourism(HIT),,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/dd/ae/caption.jpg?w=400&h=400&s=1&cx=4096&cy=2752&chk=v1_4cc8bb50a02acd7b87cb,,,
1775471824-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,"Muy rica la comida, llegó caliente y a tiempo. Los meseros amables. Melvin y Vicente queridos. Volvería a este lugar",laura c,"Muy rica la comida, llegó caliente y a tiempo. Los meseros amables. Melvin y Vicente queridos. Volvería a este lugar gracias",1 contribución,Escrita el 26 de noviembre de 2024,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,Leer más,0.0,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,1 contribución,
1775471824-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,10/10 hamburguesas y la cookie al horno,Luisa Y,"Super rico y recomendado la cookie al horno, las hamburguesas y la ensalada, y las limonadas, el servicio 10/10 siempre muy atentos nos atendió Melvin y Vicente",2 contribuciones,Escrita el 26 de noviembre de 2024,,,,,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,2.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,2 contribuciones,
1775471824-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Genial y fantástico,Mariola S,"El sitio genial, la comida muy buena calidad precio. Recomendado 100%. Nuestros camareros Denis y Melvin geniales nos aconsejaron super bien y muy atentos.",1 contribución,Escrita el 26 de noviembre de 2024,,,,,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,1 contribución,
1775471824-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,SERVICIO NEFASTO,Omayra C,"Nos atendió Abril y fue muy amable y atenta. Cambió el turno mientras esperábamos las hamburguesas y ahí empezó el desastre. 
Tardaron 1h 20' en servirnos y eso que eran las 16:00 de la tarde. No quiero pensar lo que hubieran tardado si vamos en hora punta. Nos sirvieron la hamburguesa sin gluten que nos habían hecho cambiar previamente porque la salsa (gotxa) tenía gluten y la hamburguesa de heura que pedimos (champion burguer) avisamos que no queríamos bacon, vino con bacon. Obviamente la devolvimos y sabéis cuál fue la respuesta del camarero? Sacar el bacon de la hamburguesa y devolvernos la misma hamburguesa. Olé tus bacon! 
Nuestra primera y última experiencia en este establecimiento. 
Una pena porque Abril se esmeró para que todo fuera bien y fue todo lo contrario.",2 contribuciones,Escrita el 24 de noviembre de 2024,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,Leer más,1.0,,,,2.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,España,
1775471824-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,"SERVICIO PÉSIMO, ENCARGADOS MALEDUCADOS Y NO TIENEN HOJAS DE RECLAMACIONES, NO ACEPTAN GENTE CON CARROS",Marga V,"El trato del personal deja muchísimos de desear para estar en pleno centro de Madrid. Hemos ido 4 personas y 1 carro a las 21.30h. Hemos estado 30’ de espera de cola, cuando el chico nos a visto nos a dicho que había muchísimo rato de espera, le hemos dicho que no había ningún problema. Hemos visto cómo había una mesa echa de 6 personas ya preparada. El chico a separado esa mesa para sentar gente de a 2 que no tenían ninguna reserva, a pasado por delante unas 14 personas. Hasta gente que había en la cola con nosotros estaba diciendo que no era normal lo que nos estaban haciendo, solo por llevar un carro. Luego tienen un camarero que es muy asqueroso se a soñado los mocos y lo a tirado en la cola pasando el papel por encima nuestro que hasta el encargado Le a echado bronca. Cuando por fin nos han sentado en la mesa ya sabiendo después de más de 1h que llevábamos un carro con un recién nacido nos dicen que el carrito hay que dejarlo en el baño, con todas nuestras pertenencias allí, que si luego nos roban nadie se haría responsable de ello, le hemos dicho que no. Cuando estábamos hablando con el encargado explicándole que el carrito no lo íbamos a dejar en el baño a saltado un camarero y a dicho “ el carro tiene que ir al baño si o si porque no voy a hacer parkour para pasar” y nosotros le hemos contestado que ellos ya sabían que veníamos con carro y que ellos han sido los que no han echo pasar. Después de más 1h y 30mn esperando nos hemos ido sin cenar. Se han negado a darnos una hoja de reclamaciones. Alegando que no somos consumidores y la realidad es que no tenían hojas de reclamaciones. El servicio es pésimo y deja muchísimo que desear el encargado o el jefe debería de mirar las cámaras de seguridad para darse cuenta de lo mal que tratan a la gente.",1 contribución,Escrita el 10 de noviembre de 2024,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,Leer más,0.0,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,"Castelldefels, España",
1775471824-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,,,,,,Explora ahora,Descubre Prefectura de Hiroshima,Descubre por qué a los viajeros como tú les encanta Prefectura de Hiroshima,,Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,,,,,Patrocinado por Hiroshima Tourism(HIT),,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/d4/06/8d/dsc-0685-largejpg.jpg?w=400&h=400&s=1,,,
1775471824-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Falta de formación y profesionalidad en el servicio,ruben G,"Calidad muy buena, servicio lamentable. Los camareros con falta de higiene y de educación, tomando confianzas sin dárselas. Con la manos sucias tocando tanto los cubiertos de la mesa , apoyándose en la mesa y dejando huellas grasientas en los vasos. Para pensarse si volver con este servicio tan nefasto.",2 contribuciones,Escrita el 4 de noviembre de 2024,,,,Solicitar formación al personal,,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,,2.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,2 contribuciones,
