web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,image,image2,image3,position,data15,data16,data17,image4,data18,data19,image5,image6,image7,image8,image9,image10
1776247574-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Increíble,Ale D,Uno de los mejores sitios en los que he comido. Comida riquísima y de calidad. Totalmente recomendable,4 contribuciones,4,Escrita el 2 de abril de 2021,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/cf/a3/be/uno-de-los-mejores-sitios.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/cf/a3/bd/uno-de-los-mejores-sitios.jpg?w=300&h=300&s=1,,,,,,,,,,,,,,
1776247574-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Sin duda un lugar buenismo!,Vanessa V,"Sin duda un lugar buenismo! Servicio excelente, comida deliciosa, todo wow! 

Lo mejor las ostras y el pulpo! 😀","Madrid, España",40,Escrita el 2 de abril de 2021,40 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/cf/06/b7/photo1jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/cf/06/b6/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1776247574-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,"Bueno bueno , sumó mucho pero",Javier O,"Bueno bueno , sumó mucho pero valió la pena. Muy bueno el pulpo, y las zamburiñas, la ternera rubia gallega y el albariño adrede","Valdemorillo, España",1,Escrita el 19 de marzo de 2021,1 contribución,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/54/e2/db/javier-o.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1776247574-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Un lugar para volver,xis,"Comida excelente.
Pero lo que mas nos ha gustado es el trato del personal. Amables, pacientes y encantadores.",5 contribuciones,5,Escrita el 13 de marzo de 2021,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1776247574-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Depende de lo que pidas,Carmen,"Fuimos a cenar 4 personas. Ambiente agradable y servicio atento.
Los platos gallegos tal cual como el pulpo o la carne muy ricos, los platos fusión asiático como la ostra en tempura, la navaja, el croissant de atún...la verdad q para nuestro gusto no nos entusiasmaron...se quedan en un casi pero no y enturbian un poco la sensación final de la cena.","Madrid, España",48,Escrita el 2 de marzo de 2021,48 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1a/05/4c/caption.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1776247560-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Disfrutando,Rafa,"Muy bien atendidos, magnífica comida.
Lugar pequeño y entrañable donde la atención es magnífica.
Repetiremos","Zizur Mayor, España",Escrita el 21 de octubre de 2021,2 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,2.0,,,,,,,,,,,,
1776247560-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,"Comida buenísima, acogedor, excelente trato",Adolfo,"Es la primera vez que vamos a la nueva ubicación y el restaurante nos ha gustado todavía más que en el anterior local. La comida espectacular, una combinación excelente y muy equilibrada entre platos tradicionales y nuevos sabores, respetando  mucho la materia prima. El local moderno y acogedor  a la vez, y el personal súper amable y pendiente de todo. Repetiremos seguro.","Madrid, España",Escrita el 12 de octubre de 2021,8 contribuciones,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,8.0,,,,,,,,,,,,
1776247560-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Espectacular,Marcos j,"ESPECTACULAR!!
trato excelente y comida sorprendente, sabores equilibrados respetando el producto!
Muy buenos cocktails","Fuenlabrada, España",Escrita el 8 de septiembre de 2021,4 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,4.0,,,,,,,,,,,,
1776247560-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Cocina gallega tuneada y muy buena,Ricardo,"Hay que reconocer que es un poco caro, pero el servicio y la calidad de la comida lo merecen. El pulpo que ya habíamos visto que recomendaba mucha gente....espectacular.","Madrid, España",Escrita el 11 de agosto de 2021,32 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,32.0,,,,,,,,,,,,
1776247560-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Muy rico y agradable ambiente,Yanka Martin,"La comida está muy muy rica. La verdad que disfrutamos mucho de la cena. El lugar bastante tranquilo, también era época de vacaciones. 
La carta no es muy variada, pero lo que pidas está genial. Pedimos 2 medias raciones y otro de una ración  y estaba perfecto para los dos. Comimos un ceviche súper rico, tortilla (como las gallegas) y pulpo a feria que estaba súper suave y con muy buena textura. La tarta de queso debería de un si o si en vuestro pedido, es muy cremosa y estaba excelente de temperatura. La verdad que nos gusto mucho. Seguro repetiremos. ;)","Madrid, España",Escrita el 30 de julio de 2021,9 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/4f/ab/50/yanka-m.jpg?w=100&h=-1&s=1,,,9.0,,,,,,,,,,,,
1776247560-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Excelente,joseluis157,"El local tiene carácter, acogedor y bien situado. La comida exquisita, y la presentación excelente. Recomiendo el chuletón, el pulpo a la brasa y los tomates. 
El trato fantástico, atento y muy amable. Recomendable 100%. Espero repetir muy pronto.","Madrid, España",Escrita el 19 de julio de 2021,153 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/bf/8f/56/caption.jpg?w=100&h=-1&s=1,,,153.0,,,,,,,,,,,,
1776247560-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Cena de 10!,Anabcen,"Fuimos en familia ocho personas y un niño de dos años a conocer el nuevo local.
Nos gustó todo pero si tenemos que elegir nos quedaríamos con el chuletón, el brioche, el pulpo y el tomate, además de los postres.
La fusión de gallego-latino-asiático se nota en cada bocado.
Ya conocíamos el pequeño local anterior (ahora reconvertido a “Volandeira, la taberna de Morgana”) y seguiremos repitiendo en ambos porque no deja de sorprendernos.
Enhorabuena a todo el equipo por el trato y buen hacer.","A Coruña, España",Escrita el 17 de julio de 2021,32 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,32.0,,,,,,,,,,,,
1776247560-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Lugar interesante que deja buen sabor,Loliperaza,"Restaurante pequeño con decoración muy sencilla,pero con una comida rica ,sabrosa y bien elaborada, con toques asiáticos en muchos de sus platos.
El servicio muy amable y la secuencia de platos, muy buena.
Las carnes exquisitas y en su punto
Tiene una amplia carta de vinos, tanto nacionales como internacionales.
Es un lugar para repetir.","Tenerife, España",Escrita el 8 de julio de 2021,192 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/b9/4d/63/loliperaza.jpg?w=100&h=-1&s=1,,,192.0,,,,,,,,,,,,
1776247560-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Empanada deliciosa y sitio espectacular,Lucia M,"Delicioso todo lo que pedimos, tomates rellenos de guacamole y media ración de tortilla y empanada. Con esto comimos dos personas y sale muy bien de precio. Sitio pequeñito pero acogedor, y la atención es muy buena. Estoy deseando volver",51 contribuciones,Escrita el 4 de julio de 2021,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/54/06/dc/lucia-m.jpg?w=100&h=-1&s=1,,,51.0,,,,,,,,,,,,
1776247560-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,"Galicia en Madrid, espectacular!!",Ladyqbx,"Fuimos a comer 3amigos porque ya conocíamos la taberna Volandeira, y que acierto, riquísima la cena, platos fusionados con toques culinarios asiáticos y latinos a la cocina gallega, productos de excelente calidad y súper frescos, a destacar las ostras, el pulpo y el chuleton de Vaca Rubia Gallega, pero he de reconocer que mis favoritos y los que no pueden dejar de probar es el Brioche de cocido, los aguacates a la Brasa, el Toma Tomate y la Entraña con arroz con coco, platos de estrella Michelín sin duda! Un 10plus para su chef y su equipo, por parte del servicio, inmejorable!! Atentos, detallistas y profesionales, que hacen que te sientas en casa y con amigos, en una velada única en el barrio más carismático y colorido de Madrid, lo recomiendo 100%","Madrid, España",Escrita el 30 de junio de 2021,22 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,,22.0,,,,,,,,,,,,
1776247560-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Cena estupenda,Loly H,"Cena muy rica, platos elaborados, con excelente presentación, empleados muy atentos. Por poner un problema las sillas, pasado un rato estás deseando marcharte, el material del asiento hace que, en época de calor, que quedes pegado. Relación calidad precio buena",24 contribuciones,Escrita el 27 de junio de 2021,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,24.0,,,,,,,,,,,,
1776247560-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Gallego innovador sorprendente,Salvador,"Sitio agradable con un trato muy amable. Es un gallego con toque diferente, novedosoy resultado espectacular,  todo lo que probamos estaba riquísimo,  bocado de Brioche de cocido delicioso,  puerro quemado,  pulpo brasa,  merluza y su tarta de queso,  todo con una presentación y una mezcla de sabores espectacular. Acierto pleno y se incorporará a mi lista de sitios preferentes a repetir.","Madrid, España",Escrita el 27 de junio de 2021,53 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,53.0,,,,,,,,,,,,
1776247560-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,La mejor comida Gallega en pleno centro de Madrid.,Gabriel,"Fue una cena excelente, todo perfecto. Buen servicio, buena comida...de una gran calidad. Barato no es...eso os lo digo también...pero merece la pena!!!!! Muy recomendable!!!!","Málaga, España",Escrita el 10 de junio de 2021,498 contribuciones,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/f0/89/a7/gabrieltorres78.jpg?w=100&h=-1&s=1,,,498.0,,,,,,,,,,,,
1776247560-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,"Excelente, híper recomendable",Nididas,"Comida “gallega” (pulpo, ostras, vieiras, carnes gallegas etc) con una preparación moderna y un resultado excelente. Ideal tanto para ir con amigos como para pareja lo mejor es siempre pedir varios platos y compartir.  De los preferidos en madrid, por unos 40-60 euros por persona.","Madrid, España",Escrita el 6 de junio de 2021,84 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/60/3c/7e/hector-r.jpg?w=100&h=-1&s=1,,,84.0,,,,,,,,,,,,
1776247560-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Primera experiencia,Manolo A,"Genial en el trato y muy sorprendente los sabores gallegos en el centro de Chueca
Increíble la volandera y la tortilla de beta zoos, en su justo punto",1 contribución,Escrita el 5 de junio de 2021,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,,,1.0,,,,,,,,,,,,
1776247548-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Muy buen descubrimiento,Rubita,"Fantástica comida y atención. Brioche de cocido, pulpo y la tortilla. Como postre tarta de queso y la de chocolate, todo muy top.","Madrid, España",83,Escrita el 29 de agosto de 2022,83 contribuciones,Calidad/precio,Comida,Servicio,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c7/3f/5d/manoli-m.jpg?w=100&h=-1&s=1,,,,,,,,
1776247548-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,CENA CON GUSTO,Jose Manuel M,"Gran experiencia culinaria. Carta con mucha variedad de platos / tapas para compartir y poder lograr una cena fuera de los estándares típicos. Un excelente servicio, que te recomienda de forma muy correcta. Gran bodega. Para repetir hasta lograr probar todos sus platos. Ah¡¡ y la carne, espectacular.","Cocentaina, España",16,Escrita el 25 de abril de 2022,16 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/38/8e/bd/jose-manuel-m.jpg?w=100&h=-1&s=1,,,,,,,,
