web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,position,position2,image,image2,data19,data20,data21,data22,data4,image3
1775660753-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Hamburguesa maravilla y Álvaro súper!!!,ana isabel c,La hamburguesa maravillosa y Álvaro un profesional excelente. Nos ha explicado todas las opciones de hamburguesas con amabilidad y profesionalidad,¡Qué bueno saber que disfrutaron de la hamburguesa y que Álvaro fue tan profesional y amable al explicar las opciones! Es un placer escuchar que recibieron un servicio de calidad.,Escrita el 28 de abril de 2024,,Steakburger F,1 contribución,Escrita el 1 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
1775660753-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Buenísima atención . Excelente hamburguesa.,Carlos V,"Fenomenal para una comida familiar.
Trato amable y profesional.
Buena relación precio/calidad
Volvé sin dudarlo....",¡Muchas gracias por tu comentario! Nos alegra mucho saber que disfrutaste de nuestra hamburguesa y del trato amable y profesional de nuestro equipo. Nos esforzamos por ofrecer una experiencia agradable para familias y nos encanta saber que te sentiste a gusto.,Escrita el 27 de abril de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Steakburger F,1 contribución,Escrita el 1 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,Leer más,Leer más,1.0,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
1775660753-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Una maravilla,Claudia Cristin... V,"Muy buena atención, Álvaro muy amable y atento, nos ha atendido fenomenal. Una experiencia sin duda para repetir. Muy rico todo!",¡Qué maravilla! Se nota que tuvieron un servicio excelente gracias a Álvaro. Es genial saber que todo estuvo rico y que la experiencia fue tan buena.,Escrita el 27 de abril de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Steakburger F,1 contribución,Escrita el 1 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,Leer más,Leer más,1.0,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
1775660753-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Todo genial,Natalia V,"Muy rico todo y destacar a el camarero Alvaro que nos ha atendido estupendamente, volveria otra vez sin ninguna duda!!!","Me alegra saber que todo estuvo tan delicioso y que el camarero Álvaro les atendió de maravilla. Con un servicio y comida así, no es de extrañar que quieran volver. Esperamos que su próxima visita sea igual de estupenda.",Escrita el 27 de abril de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Steakburger F,2 contribuciones,Escrita el 1 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,Leer más,Leer más,2.0,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
1775660753-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Muy rico y muy simpático el camarero alvaro,Traveler58176335809,Todo fenomenal muy rico y alabeo simpático rápido y muy amable con todos nosotros. Las hamburguesas ricas las alitas tb,¡Qué gusto saber que disfrutaron tanto de la comida como del servicio! Parece que Álvaro hizo un gran trabajo en hacerles sentir bienvenidos.,Escrita el 27 de abril de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Steakburger F,1 contribución,Escrita el 1 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,Leer más,Leer más,1.0,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
1775660738-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Es una sabrosa hamburguesa,craig r,"Muy buena comida, la hamburguesa de queso de trufa derretido era genial 

Me encantó la cerveza AF! Recomendado! 

Gritar a Alejandro y Moisés para un gran servicio! Gracias, chicos. 

Salud","Thank you for your comment, we hope to have the opportunity to surprise you again in any of our restaurants.",15 contribuciones,Escrita el 4 de junio de 2024,15,Steakburger F,Escrita el 5 de junio de 2024,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,15 contribuciones,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,Leer más,Leer más,0.0,,
1775660738-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Cena,Roberto C,"La comida muy rica y un muy buen servicio del camarero Paul, muy amable. Nos pedimos la hamburguesa madurada y el punto de la carne estaba perfecto.",robertocD859PR:Gracias por tu comentario  Esperemos tenerte de nuevo la ocasión de sorprenderte en cual quiera de  nuestros Restaurante.,1 contribución,Escrita el 2 de junio de 2024,1,Steakburger F,Escrita el 6 de junio de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",1 contribución,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,Leer más,Leer más,1.0,,
1775660738-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Comida rapida y barata,Manuela B,"Para comer rapido es muy comodo, la hamburguesa en su punto, con todos los ingredientes, un poco pequeña 
Las patatas asadas de guarnicion muy ricas y en su punto.",R1492WYmanuelab: Gracias por tu comentario  Esperemos tenerte de nuevo la ocasión de sorprenderte en cual quiera de  nuestros Restaurante.,1 contribución,Escrita el 2 de junio de 2024,1,Steakburger F,Escrita el 6 de junio de 2024,Calidad/precio,Ambiente,Servicio,Comida,Comida americana rapida y barata,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",1 contribución,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,Leer más,Leer más,1.0,,
1775660738-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Buenisima hamburguesa,Begoña L,"Hemos comido genial, las hamburguesas espectaculares! Buen servio también. Las alitas de pollo para los amantes del picante muy recomendables",bego_al75 :Gracias por tu comentario  Esperemos tenerte de nuevo la ocasión de sorprenderte en cual quiera de  nuestros Restaurante.,18 contribuciones,Escrita el 2 de junio de 2024,18,Steakburger F,Escrita el 6 de junio de 2024,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",18 contribuciones,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,Leer más,Leer más,1.0,,
1775660738-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,No sé si volvería,Alfredo H,La hamburguesa mediana es  pequeña...muy pequeña y rncima muy hecha. Y había decenas de mosquitos. El servicio normal/bien.,"Alfredo H  : Lamentamos mucho que tu experiencia no haya sido satisfactoria ,consultaremos con el equipo del restaurante,para corregir y solucionar cualquier error que se haya podido cometer .",3 contribuciones,Escrita el 2 de junio de 2024,3,Steakburger F,Escrita el 6 de junio de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",3 contribuciones,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,Leer más,Leer más,0.0,,
1775660738-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Burger por encima de la media,jdctx,"Sorprendente y realmente rico. Muy bien atendidos por Haula. El rioja Nubori nos gusto mucho: un vino facil, dulce y ideal para una cena un tanto exagerada. La cookie al horno (sin el helado para mi gusto) para repetir.",JDCTX : Gracias por tu comentario  Esperemos tenerte de nuevo la ocasión de sorprenderte en cual quiera de  nuestros Restaurante.,4 contribuciones,Escrita el 20 de mayo de 2024,4,Steakburger F,Escrita el 6 de junio de 2024,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Cádiz, España",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/db/a2/6f/jdctx.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,,
1775660738-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Buena experiencia,Ramon S,"Hamburguesas de escándalo. Buen servicio y ambiente agradable. Sin duda un sitio al que volver.
Muy recomendables los nachos.",S6397VYramons: Gracias por tu comentario  Esperemos tenerte de nuevo la ocasión de sorprenderte en cual quiera de  nuestros Restaurante.,2 contribuciones,Escrita el 18 de mayo de 2024,2,Steakburger F,Escrita el 6 de junio de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",2 contribuciones,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,Leer más,Leer más,1.0,,
1775660738-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,.,985mariaesterg,"La comida muy buena , temperatura , calidad, los nachos muy ricos y la ración muy grande.
El camarero Álvaro nos atendió muy, muy bien.8
Grac.ias.",985MARIAESTERG : Gracias por tu comentario  Esperemos tenerte de nuevo la ocasión de sorprenderte en cual quiera de  nuestros Restaurante.,12 contribuciones,Escrita el 10 de mayo de 2024,12,Steakburger F,Escrita el 6 de junio de 2024,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Madrid, España",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,,
1775660738-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Cena con amigos,Carla M,"La cena ha estado fenomenal.
Las distintas hamburguesas estan exquisitas y los sticks de queso bastante buenos.
Repetiremos",I9159PACARLAM: Gracias por tu comentario  Esperemos tenerte de nuevo la ocasión de sorprenderte en cual quiera de  nuestros Restaurante.,1 contribución,Escrita el 10 de mayo de 2024,1,Steakburger F,Escrita el 6 de junio de 2024,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",1 contribución,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,,
