web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,position2,data4,data17,data18,data19,data20,data21,data22,data23,image3
1775743961-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Trato pésimo del cliente...,Laureano M,"Le pongo un 1 no por la comida o el servicio que son aceptables., si no porque nos habían regalado 2 vales de 25€ para reyes 2023, habíamos utilizado uno de ellos hace unos meses y hoy decidimos volver para gastar el que nos quedaba. Cual fue nuestra sorpresa que en el momento de pagar nos informan que estaba caducado. Realmente no pensaba que un vale con un valor en euros podía caducar, es como si caducara el dinero. Hay políticas de algunos establecimientos hacia el cliente que no llego a entender.
Que mis 25€ apropiados de forma indebida por Zenith le ayuden a mejorar sus resultados a al menos que los pague al personal en forma de propina",9 contribuciones,Escrita el 1 de febrero de 2024,9.0,9 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,,
1775743961-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Comida riquísima,Osvelisse R,"Es un lugar muy bonito y el trato es excelente, la comida 100% recomendada. Marco nos estuvo atendiendo de maravillas y muy atento.",1 contribución,Escrita el 29 de enero de 2024,1.0,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,,,,,,,
1775743961-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Great place,Ericka C,"10/10
Eggs tacos and guacamole were delicious 
Detox zumo súper recomendado 
El tamaño de la porción es buena
La decoracion y ambiente del lugar super lindo",1 contribución,Escrita el 28 de enero de 2024,1.0,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,,,,,,,,
1775743961-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Incredible breakfast!,GlobeTrotting801523,"Increíble lugar. El servicio es excelente, la cocina súper rápida, y la calidad de la comida genial. Es uno de mis lugares favoritos para desayunar.",10 contribuciones,Escrita el 28 de enero de 2024,10.0,10 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/4f/62/3f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,,,,,,,
1775743961-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Buen brunch!,Mariana G,"El lugar muy agradable, con buena ubicación y ambientación. La comida muy rica (ver foto) y buena atención :) nos atendió Gigi!",1 contribución,Escrita el 28 de enero de 2024,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/4f/61/43/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,,,,,,,,,
1775743947-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Todo riquisimo!,Angela F,"Gigi fue muy amable al atendernos, la comida estaba deliciosa, pedimos un açai bowl y una tapioca, y para beber la jarra de mimosa que estaba increible!!! Lo recomiendo!!",2 contribuciones,Escrita el 8 de agosto de 2024,2.0,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/16/4a/2e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,1.0,,,,,,,,,
1775743947-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Brunch muy bueno,Tatiana C,"Sitio ideal para desayunar o comer un brunch. La comida muy buena, los camareros súper atentos y amables, sobretodo Gigi que nos atendió y fue muy maja",1 contribución,Escrita el 14 de julio de 2024,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d8/de/20/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,1.0,,,,,,,,,
1775743947-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Divineo y comida rica,Neiba B,"Una experiencia muy agradable. Los platos llenísimos y riquísimos, el precio equivalente a la calidad y la cantidad. Nos han atendido estupendamente, destacar que todos los camareros/as han sido muy simpáticos y el Manager, José, muy atento en que todo estuviera en orden.
¡Volveré seguro!",5 contribuciones,Escrita el 11 de julio de 2024,5.0,5 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d1/6d/af/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,0.0,,,,,,,,,
1775743947-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Brunch de 10,Aurora A,La comida estaba riquísima y las cantidades generosas. Destacar sobre todo que todos los camareros eran majisimos y muy amables. El lugar muy bien gestionado,1 contribución,Escrita el 11 de julio de 2024,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d1/6d/3d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,0.0,,,,,,,,,
1775743947-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Bien!,Elena T,"José muy gentil y bueno camerero ! La comida muy rica 8/10. El personal atento. 
La decoración y el ambiente muy agradable. 
Las bebidas mediocres.",1 contribución,Escrita el 11 de julio de 2024,1.0,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,0.0,,,,,,,,,
1775743947-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Brunch día con amigas,Naomi R,Este restaurants es muy bonita y hay muchas lugares por fotos. Yo tenía una bagel y fue muy bíen. Tambien yo tenía una mocktail y fue muy bonita.,1 contribución,Escrita el 9 de julio de 2024,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/cc/87/fa/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,1.0,,,,,,,,,
1775743947-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Volveremos,Bubble,"No le puedo dar una nota más alta sino lo haría.Un sitio de 10,la comida exquisita y (carta muy amplia y variada).Los precios están muy bien porque los platos están presentados de manera excelente y traen buenas cantidades.El local también está bonito y el personal ha sido amable.Esta cerquisima de gran vía.Volveremos seguro! Pero procurad no sentaros cerca de la puerta,porque hace un ruido horrible cada vez que se abre y se cierra",178 contribuciones,Escrita el 3 de julio de 2024,178.0,"Bilbao, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/bd/21/e9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,0.0,,,,,,,,,
1775743947-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Gigi,Anaisabel G,"Excelente comida, lugar tranquilo con música amena, personal bueno y atento. Felicitaciones especiales a Gigi quien nos atendió a la perfección",1 contribución,Escrita el 19 de junio de 2024,1.0,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,1.0,,,,,,,,,
1775743947-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,¡Opción #1 para desayuno en Chueca!,Raúl Mérigo,"El lugar está muy bonito decorado y sumamente limpio. El personal muy atento. La comida está deliciosa,  todos los platillo que pedimos fueron ricos.",95 contribuciones,Escrita el 12 de junio de 2024,95.0,"Tijuana, México",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/8b/6d/2e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/59/e5/bb/caption.jpg?w=100&h=-1&s=1,0.0,,,,,,,,,
1775743947-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Muy buena experiencia,Cristina V,"Muy buen servicio y la comida muy rica :)
Es la primera vez que comemos en este sitio y volveríamos de nuevo. 
Los trabajadores muy simpáticos y atentos",1 contribución,Escrita el 26 de abril de 2024,1.0,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,0.0,,,,,,,,,
1775743947-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Zenith Breakfast,Lorrine C,"Comida riquíssima, el brunch es perfecto. Gigi fue increíble con nosotras, muy rápida, simpática y gentil. El ambiente es genial. Volvere pronto.",2 contribuciones,Escrita el 26 de abril de 2024,2.0,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,1.0,,,,,,,,,
1775743947-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Madrid’s best Brunch,Ricardo L,"Un ambiente excelente, la comida fue fenomenal y el servicio increíble. Full recomendado. Gracias a Chiara en particular por su atención.",4 contribuciones,Escrita el 24 de abril de 2024,4.0,"Aventura, Florida",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f2/40/7a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,0.0,,,,,,,,,
1775743947-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Excelente experiencia,Gabs Siro,"Excelente servicio, música, lugar y comida!!! Un lugar maravilloso que tienes que venir si andas por Madrid. No puedes perdértelo.",3 contribuciones,Escrita el 20 de abril de 2024,3.0,3 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,0.0,,,,,,,,,
1775743947-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Local con encanto,Juan N,Excelente comida fresca y muy buen servicio en el centro de Madrid. El banana bread buenísimo y los huevos con aguacate estaban de vicio.Volveremos!,2 contribuciones,Escrita el 17 de abril de 2024,2.0,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,0.0,,,,,,,,,
1775743947-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,EUROTRIP 2024,Adrian H,"Excelente lugar, buena atención, cómodas instalaciones, muy recomendable.
Si deseas pasar un rato agradable y comer delicioso, este es el lugar.",1 contribución,Escrita el 16 de abril de 2024,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,0.0,,,,,,,,,
1775743836-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Todo perfecto!,Carolina D,"Muy rico muy bueno y Gigi muy copada, nos pedimos una tostada con huevos y guacamole muy rico y un iced coffee porque hace calor tmb rico.",1 contribución,ago 2024 • Amigos,1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,1.0,Escrita el 29 de agosto de 2024,,,,,,,,
1775743836-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Trato y servicio genial de Gigi!,Carrasco D,"La camarera Gigi nos atendió estupendamente! Estuvo muy atenta durante todo nuestro brunch y no nos faltó de nada! Una trabajadora como ella falta en muchos lugares de este sector, por experiencia! Muchas gracias por tu atención Gigi!!!🫶🏽",1 contribución,ago 2024 • Amigos,1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,1.0,Escrita el 28 de agosto de 2024,,,,,,,,
1775743836-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,desayunos,zaira l,"Sitio bonito, nos atendio gigi super bien, servicio excelente. Los bagels de beacon y huevos estaban brutales, lo recomiendo",1 contribución,ago 2024 • Amigos,1.0,Calidad/precio,Ambiente,Servicio,Comida,los baegels estan muy buenos,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,1.0,Escrita el 28 de agosto de 2024,,,,,,,,
1775743836-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Experiencia increíble,Yeray G,"La comida ha estado fabulosa al igual que la decoración y el entorno , nos ha encantado la amabilidad de Gigi , parada obligatoria por Madrid!",6 contribuciones,ago 2024 • Amigos,6.0,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/49/e6/3d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,1.0,Escrita el 28 de agosto de 2024,,,,,,,,
1775743836-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Para repetir,Daniel B,"Lugar increíble, comida muy buena y el staff simpático. José ha sido muy atencioso y amable, así vale la pena 👌🏽
Volveré pronto",3 contribuciones,ago 2024 • Amigos,3.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/48/9e/f3/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,0.0,Escrita el 27 de agosto de 2024,,,,,,,,
1775743836-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,"El Zenith de calle Desengaño, un 10!",Alicia N,Nuestra primera vez en Zenith y ha sido increíble! Hemos comido hasta reventar y Jose ha sido majísimo. Seguro que volveremos.,1 contribución,ago 2024 • Amigos,1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,0.0,Escrita el 24 de agosto de 2024,,,,,,,,
