web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2
1775661028-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Una pizza y un lugar soñado.,yeruma a,"Fantástica, la atención superior, el sabor de las pizzas estuvo divino y la atención de Rosmery inigualable, seguro volvemos pronto!!!",1 contribución,Escrita el 4 de mayo de 2024,1.0,"Bogotá, Colombia",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1
1775661028-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Riquísimas las pizzas,Roberto B,"Todo muy bien y buen servicio
Pizza excelentes y trato buenísimo
Lo recomiendo para ir con niños 
Disfrutar de una buena velada!",1 contribución,Escrita el 3 de mayo de 2024,1.0,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1
1775661028-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Comida muy buena,Antonio R,Muy buen sitio para comer. La camarera Rosmery muy atenta y profesional. La pizza tiene un sabor excelente y los postres deliciosos.,2 contribuciones,Escrita el 27 de abril de 2024,2.0,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f9/77/a7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1
1775661028-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,"Todo buenísimo, nos atendió Álvaro que fue encantador, las comidas muy ricas, la pasta y pizza auténtica italiana, muy l",Blancarife,"Todo buenísimo, nos atendió Álvaro que fue encantador, las comidas muy ricas, la pasta y pizza auténtica italiana, muy lograda",3 contribuciones,Escrita el 23 de abril de 2024,3.0,3 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1
1775661028-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Pizza riquísima,Paloma R,Riquísimo entrante y pizza recién hecha. Ambiente muy agradable. Álvaro el camarero ha sido muy amable y atento. Volveremos.,28 contribuciones,Escrita el 19 de abril de 2024,28.0,"Sevilla La Nueva, España",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/92/b2/fe/paloma-r.jpg?w=100&h=-1&s=1
1775661001-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Excelente pizzerías.,Francis R,"Entramos por casualidad , y nos encantó las pizzas estaba muy ricas y crujientes, el hornos de leña tiene su toqué, la atención de 10 .
Las Sra Sonia muy encantadora y profesional nos encantó sus sugerencias.. 
Volveremos a por el postres  se lo prometí .",5 contribuciones,Escrita el 26 de junio de 2024,5.0,"Milán, Italia",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/ab/97/c5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1
1775661001-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Todo bien bastante majos los camareros,Traveler45655555274,Muy bonito el local muy bien servicio y muy buena comida todo muy limpio son muy majos los camareros calidad precio todo.,1 contribución,Escrita el 24 de junio de 2024,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1
1775661001-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Alvaro,I M,Alvaro es muy majo y antento. Nos sirvio la comida muy bien. La comida estaba muy rica y vale mucho la pena venir a este lugar,2 contribuciones,Escrita el 22 de junio de 2024,2.0,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1
1775661001-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Buen ambiente,eliasrz02,"Hermoso lugar, tranquilo,relajado y la comida muy buena, de mi parte esta mas que recomenado. Les adjunto mi hermosa lasaña.",2 contribuciones,Escrita el 20 de junio de 2024,2.0,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/9e/b3/ef/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/9e/ba/49/eliasrz02.jpg?w=100&h=-1&s=1
1775661001-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,El aperol spritz,Wanderer56047355315,"Muy buena atención por parte de Alvaro,  un chico muy atento y educado. Las pizzas que ordenamos estaban muy ricas y en su punto. La bebida que pedimos típica del sitio el Aperol Spritz muy bien preparado y perfecto con la combinación de las pizzas, un sabor peculiar",1 contribución,Escrita el 16 de junio de 2024,1.0,"Madrid, España",Calidad/precio,Ambiente,Servicio,Comida,Lugar ideal para compartir entre amigos,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/95/93/81/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1
1775661001-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Un piacere,Luis,"Pizza magnifica por un precio irrisorio. 19,50 dos copas de vino y la pizza capricchosa. No siempre comer bien es prohibitivo ni caro. La masa fina finisima. Un sitio agradable especialmente la terraza. Repetitemos",56 contribuciones,Escrita el 16 de junio de 2024,56.0,56 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1
1775661001-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Todo muy rico,Jorge C,"La pizza de pera y nueces deliciosa, la tarta de queso espectacular. La atención estuvo excelente. Volveré muy pronto.",1 contribución,Escrita el 16 de junio de 2024,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1
1775661001-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Perfecto para amigos,Laura B,"Buena comida, buen trato y Álvaro ha resultado un camarero de 10. Muy recomendable. La pizza Madona muy sabrosa, y el aperol también. Esteban aprueba",2 contribuciones,Escrita el 15 de junio de 2024,2.0,2 contribuciones,,,,,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/93/5e/ea/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1
1775661001-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Ricas pizzas napolitanas y excelente atención,José Antonio S,"Pizzart Luchana me sorprendió, por la comida, pizzas napolitanas riquísimas, gran variedad y sabor. La atención de Sonia fue perfecta, rápida y amable. Precio ajustado. Muy recomendable",7 contribuciones,Escrita el 15 de junio de 2024,7.0,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1
1775661001-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Impresionante pizza,PharmD05,"Gran experiencia desde el salto. Personal amable, fácil proceso de pedido y excelente comida. Recomiendo encarecidamente si usted está en la zona!",12 contribuciones,Escrita el 15 de junio de 2024,12.0,"Morehead, Kentucky",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/92/da/5d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1
1775661001-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Excelente lugar y atención!,Travel10723235830,"La atención excelente, comida riquísima.
Recomiendo 100%. 
Cogimos un cupón de Groupon, así les conocimos y ha sido una agradable sorpresa. 
Muchas gracias!!!",2 contribuciones,Escrita el 15 de junio de 2024,2.0,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1
1775661001-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Muy bien,Andrea E,Sonia nos ha atendido fenomenal y la pizza estaba riquísima. Muy bien de precio. Genial todo y recomendable. Repetiré seguro,1 contribución,Escrita el 14 de junio de 2024,1.0,"Barbastro, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/81/5c/ea/andrea-e.jpg?w=100&h=-1&s=1
1775661001-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Todo bien,Love F,"La comida está bien y el sitio es bonito. La pizza me gustó (aunque como en cualquier otro sitio) por lo que sí volvería es por la atención que recibimos de la camarera Sonia. Una señora muy agradable y amable, y nos explicó todo muy bien.",2 contribuciones,Escrita el 14 de junio de 2024,2.0,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1
1775661001-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Excelente pizzerías,Rafa Medina,"Entramos por casualidad,  nos encantó la sugerencia de la Sra,  las pizzas muy buenas y crujientes  estaban excelente el horno de leña tiene su toqué, 
Volveremos a por el postres ..",1 contribución,Escrita el 14 de junio de 2024,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1
1775661001-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Muy buena pizzas,Luis G,"El sitio dd primera genial y el servicio, Alvaro nos atendio dd maravilla muy simpático las pizzas súper ricas volveremls pronto cln mas amigos",1 contribución,Escrita el 12 de junio de 2024,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1
1775660987-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,El servicio,Mariamaria M,"Sonia es muy amable y ha hecho que mi experiencia sea muy agradable. 
El lugar maravilló y buen vino. 
El precio versus calidad está muy bien 👍",2 contribuciones,Escrita el 11 de julio de 2024,2.0,Ambiente,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,
1775660987-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Fuimos en busco de un lugar para comer pizzas ricas y encontramos este lugar espectacular super rico todo exquisito,Curious33655847478,"Execlente todo muy rico el personal super amable y eficiente, ambiente perfecto y la comida espectacular muy recomendado!!",1 contribución,Escrita el 10 de julio de 2024,1.0,Ambiente,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,
1775660987-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Buen Trabajo,Sawyer W,Nuestra camarera Sonia Polanco era muy simpática y atenta! Bien experiencia y la comida siempre es delicioso. Uno de mis restaurantes favoritos,1 contribución,Escrita el 10 de julio de 2024,1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,
1775660987-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Una pizza rica para la familia!,Nathalie F,"Una pizza super rica, nos ha gustado bastante, fuimos hasta con el perrito porque son bienvenidos en el restaurante. Gracias!!",1 contribución,Escrita el 8 de julio de 2024,1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,
1775660987-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,El mejor servidor de Madrid.,Passenger03824203682,La comida y el servicio era excelente. Nuestro servidor era especialmente servicial y encantador. Y mi amigo estuvo de acuerdo de todo corazón. Buscaremos este lugar de nuevo y enviaremos a todos nuestros amigos que visiten Madrid.,1 contribución,Escrita el 7 de julio de 2024,1.0,Ambiente,Calidad/precio,Servicio,Comida,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,
1775660987-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Comida y servicio,Paco C,"Todo súper bueno!!
Las pizzas muy ricas y el tiramisu de los mejores que he probado.
El Apersol buenísimo!!!
Gracias por todo!!",2 contribuciones,Escrita el 6 de julio de 2024,2.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,
1775660987-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Amabilidad,Sin Rumbo p,"Estuvimos genial en este restaurante. La comida muy buena y lxs trabajadorxs muy amables. 
Rigatoni tartufo muy bueno.",1 contribución,Escrita el 6 de julio de 2024,1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,
1775660987-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Comida y servicio muy bueno,Raul M,"Comimos muy bienn
,muchas cantidad y todo muy rico y muy bien atendidos, sin duda un acierto, recomendable cien por cien",1 contribución,Escrita el 5 de julio de 2024,1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,
1775660987-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Muy bueno,Matías T,Muy buena la atención! Muy simpática la mesera y la comida estaba muy buena ! Volvería de todas maneras a comer en este lugar,2 contribuciones,Escrita el 4 de julio de 2024,2.0,Ambiente,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,
