web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,image,image2,image3,image4,position
1775584718-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Fenomenal (y sin gluten),elRafa_2014,"Comida fusión muy agradable.
Acertamos con el ceviche frito, la panceta y los mejillones.
El servicio muy muy agradable 
Y una opción estupenda para los sin gluten 
Repetiremos",elRafa_2014 Ha sido un enorme placer tenerl@s en Ástor! Ojalá os apetezca que se repita pronto así brindamos por el reencuentro. Es vuestra casa. Mil Gracias por la visita y por las palabras tan cálidas. Saluuuu amig@s!,19 contribuciones,19,Escrita el 22 de febrero de 2025,Escrita el 23 de febrero de 2025,"Villanueva de la Cañada, España",Andres O,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/95/avatar021.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,
1775584718-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Gema oculta,945niklas_,"Gran experiencia gastronómica, servicio fabuloso, cócteles bien equilibrados y una carta de vinos maridada perfecta. El primer lugar que reservaré cuando regrese a Madrid.",945niklas_ Thank you so much! It has been a pleasure to have you at Ástor. We hope to see you soon and have a toast with you. Ástor is your home! Thank you so much for the warm review.,40 contribuciones,40,Escrita el 19 de febrero de 2025,Escrita el 19 de febrero de 2025,"Furulund, Suecia",restauranteastor,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/eb/e1/86/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/eb/e1/87/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,
1775584718-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,De los mejores restaurantes de Madrid.,Oskar A,"Una nueva visita a Astor con amigos y de nuevo acierto rotundo. Excelente comida, maravilloso ambiente y excepcional trato de todas las personas que trabajan allí. Sin duda uno de los mejores restaurantes de Madrid. Enhorabuena para todo el equipo.",Oskaral3076 Infinitas Gracias! Un auténtico placer y un honor tenerl@s en casa nuevamente. Sois el más preciso aliciente para seguir motivad@s! Reciban un afectuoso saludo de parte de tod@s l@s que hacemos Ástor (vosotr@s también lo hacéis). Salú!,209 contribuciones,209,Escrita el 17 de febrero de 2025,Escrita el 17 de febrero de 2025,"Fuenlabrada, España",Andres O,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/5e/3a/18/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,
1775584718-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Comida rica,silvyzana,"Un sitio con encanto y la comida muy rica con un toque asiático y diferente,el personal todos encantadores.
Un sitio para repetir","silvyzana Muchas gracias por la visita y por tan amables palabras. Ojalá siempre estemos a semejante altura;) Ástor, siempre que así lo deseéis, será vuestra casa! Esperamos verl@s pronto y poder brindar por el reencuentro! Salú!",667 contribuciones,667,Escrita el 16 de febrero de 2025,Escrita el 17 de febrero de 2025,"Soria, España",Andres O,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/e3/03/84/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/e3/03/85/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/76/8e/23/silsoria.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,
1775584718-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Viajar a Buenos Aires,AsterionValito,"Muy buena cocina. Provoleta; Ojo de Bife; Chocotorta... todo estupendo
Merece la pena. Y la atención es magnífica. El local algo frío por poner una pega.",AsterionValito Muchísimas Gracias por el cariño! Ha sido un placer tenerlos en Ástor. Ojalá volvamos a verl@s pronto. (Tomamos nota del frío del local;) Os mandamos un afectuoso saludo. Saluuuu,206 contribuciones,206,Escrita el 7 de febrero de 2025,Escrita el 9 de febrero de 2025,"Madrid, España",restauranteastor,,,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/56/23/0e/adrian-d.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,
1775584702-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Excelente lugar,Martin B,"Que rico que se come, las carnes, el risotto y el vino es todo lo que esta bien.
Volvere para probar otros platos.
Gracias por la atencion y calidez",N4373XRmartinb Ha sido un placer y un auténtico honor tenerl@s en Ástor! Muchas gracias por hacer que nuestro trabajo sea muchísimo más fácil y placentero. Ástor es vuestra casa! Saluuuu,5 contribuciones,Escrita el 27 de mayo de 2025,Escrita el 31 de mayo de 2025,5 contribuciones,,restauranteastor,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fb/35/29/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,5.0
1775584702-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Recomendado!,Tor K,"Gran lugar! 

Qué excelente experiencia. Este restaurante sin duda sabe cómo tratar a los huéspedes y darles una excelente experiencia. Y además la comida suprema se suma a una visita realmente agradable con una cocina que aparentemente tiene grandes conocimientos y cosas bajo control. 

Recomiendo encarecidamente este restaurante. 

E incluso si todo el personal de Servicio, incluyendo uno de los propietarios que estaba cuidando de los invitados y mesas, hizo un muy buen trabajo, quiero mencionar a María que era realmente excelente con una combinación genuina de Servicio fuerte esfuerzo y personalidad.",tork1968Thank you very much for your visit and for your kind words! It has been an honor and a pleasure to have you at Ástor (your home in Madrid). We'll pass on your greetings and congratulations to María. We hope to see you soon! Thank you for choosing us! We look forward to seeing you whenever you wish.,228 contribuciones,Escrita el 24 de mayo de 2025,Escrita el 25 de mayo de 2025,"Solna, Suecia",,restauranteastor,Traducir respuesta,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f5/b8/88/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f5/b8/89/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/42/0a/70/tor-k.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,228.0
1775584702-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Deliciosa cena,moni,"Hemos pedido bife de chorizo, costillas de cerdo y corvina, todos y cada uno de los platillos estuvieron exquisitos. Lo mas importante es el amplio conocimiento en el manejo del Gluten, tienen muchísimas opciones. La dueña super amable y todos con un servicio excelente. Nos encantó.","GrandTour08707304075 Muchísimas gracias! Ha sido un placer y un honor tenerl@s en Ástor (vuestra casa). Para nosotras es importantísimo todo lo relacionado a intolerancias y/o alergias. Muchas gracias por valorar también ese aspecto de nuestro trabajo. Lo dicho, ha sido un placer! Muchas gracias!",13 contribuciones,Escrita el 20 de mayo de 2025,Escrita el 25 de mayo de 2025,13 contribuciones,"No duden en ir, es delicioso excelente precio para la calidad y el servicio brindado.",restauranteastor,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/ec/1b/1c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/ec/1b/1d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,13.0
1775584702-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Increíble!!!,Maria K,"Fuimos antes de la hora, nos atendieron genial. Queríamos opciones vegetarianas y pescado, nos dieron alternativas con mucha paciencia y pedagogía. Las chicas de sala lo mejor de la experiencia! Probamos las empanadas de espinacas, la Provoleta con pesto y el salmón. Todo delicioso! Nos regalaron unos mini cócteles de amaretto sour! Muchas gracias! Un placer",mariakB94LC Muchísimas gracias por habernos elegido! Ha sido un placer también para nosotr@s y un auténtico honor tenerlas en Ástor! Ojalá volváis pronto y así poder brindar por el reencuentro;) Salú!!!!,1 contribución,Escrita el 19 de mayo de 2025,Escrita el 20 de mayo de 2025,1 contribución,,restauranteastor,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/e8/79/9d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/e8/79/9e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,1.0
1775584702-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Una experiencia que vale la pena!,lucila o,"Fuimos con mi marido recomendados por amigos. Nos encantó!
El clima, el servicio y la comida son excepcionales. Se vive una experiencia gourmet  en un clima cálido y buena música suave.
Lo recomendamos y esperamos regresar ansiosos!","lucilao41 Muchísimas gracias! (Primero, por la visita. Nos honra que habiendo tantos y excelentes restaurantes nos hayáis elegido; y Segundo, por tan amables palabras. Ojalá siempre estemos a semejante altura). Ha sido un placer y un honor tenerlos en Ástor (vuestra casa en Madrid). Muchas gracias y salú!",3 contribuciones,Escrita el 18 de mayo de 2025,Escrita el 18 de mayo de 2025,3 contribuciones,,restauranteastor,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,3.0
1775584702-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Ástor: al fin nos conocemos!!!!,Lidia M,"Me habían hablado de este sitio y al fin hemos podido acudir. Probamos varias cosas (pero no pudimos resistirnos y no hemos sacado fotos a todas). De entrantes: croquetas de jamón ibérico (sin foto), los boquerones cantábricos y las mollejas de corazón con kimchi. De segundo el ojo de bife. Todo excelente!!! Las chicas de sala lo mejor!!!! Gracias","S4814BBlidiam Muchas Gracias! Con vosotras la hemos pasado genial! Gracias por probarnos. Nos honra. Saludaremos de vuestra parte a las chicas. Somos un equipo y siempre intentamos dar lo mejor, servicio a servicio. Ojalá volváis pronto! Ástor es vuestra casa!",3 contribuciones,Escrita el 17 de mayo de 2025,Escrita el 18 de mayo de 2025,3 contribuciones,"Vayan, vayan y vayan!!!",restauranteastor,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/e5/78/4d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/e5/78/4e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,3.0
