web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,position,image,image2,image3,data4,data18,data19,data20
1775471055-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Cutest spot in Madrid,Clare B,"Nos ENCANTÓ Mas el Sur! Las bebidas estaban sinceramente fuera de este mundo, deliciosísimas, y nos encantaron los platos de ropa vieja y queso de cabra. Nuestros favoritos John y Andres fueron las personas más dulces y hospitalarias que conocimos en Madrid y hicieron que nuestro viaje fuera muy especial! Un restaurante encantador, super recomendado",1 contribución,Escrita el 18 de mayo de 2025,1 contribución,1,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,,,
1775471055-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Increíble cena y servicio! ¡La paella estaba deliciosa!,Chloé M,"Visité en mayo con algunos amigos para probar la famosa Paella y no decepcionó! Comida muy deliciosa, el servicio era muy amable, incluso recibió una bebida de cortesía al final ☺️ El ambiente es encantador y el personal muy amable. El menú es bilingüe, lo que es una ventaja, y hay muchas deliciosas opciones de comida si no quieres Paella.",7 contribuciones,Escrita el 13 de mayo de 2025,7 contribuciones,7,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,,Traducido automáticamente,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/dc/19/25/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,,
1775471055-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,"Buena comida, buen servicio",Corinna S,"Muy buena comida, pedí la hamburguesa vegetariana que estaba muy deliciosa. Muy amable camarero que nos dio una pequeña bebida para probar gratis. Recomendaría hacer una reserva, de lo contrario podría tener que esperar un poco en la noche del fin de semana.",6 contribuciones,Escrita el 3 de mayo de 2025,6 contribuciones,6,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,,
1775471055-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Visitando Madrid - Lavapiés,Lynda,Me encantó la vibra. Gran selección de comida y sabroso también. Personal muy amable. A la vuelta de la esquina de nosotros en Lavapies.,1 contribución,Escrita el 1 de mayo de 2025,"Centreville, Virginia",1,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,,
1775471055-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,¡Debo irme!,Fabio S,Excelente comida y servicio! La cola no es larga y vale la pena cada minuto! Vinimos con la familia para una cena ligera y tuvimos una paella increíble y empanadas! Los postres también eran fantásticos! ¡Recomiendo!,4 contribuciones,Escrita el 25 de abril de 2025,"Sao Paulo, SP",4,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,,
1775471029-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Increíble paella de marisco,Alejandra G,"Fácil de conseguir ubicación, buena música, gente amable y comida increíble! Casi en todas partes de Madrid la paella es para dos personas y aquí puedes conseguirla para una.",3 contribuciones,Escrita el 26 de septiembre de 2025,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0,,,,3.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/3a/ff/96/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/3a/ff/95/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,
1775471029-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Taberna más al sur,Roberto G,Ha sido una experiencia maravillosa!!!! Vamos a repetir lo más pronto posible!! Celis y Carlos han sido muy amables! La comida estaba rica. Lo recomendamos a todo el mundo para pasar una noche divertida en compañía!,1 contribución,Escrita el 17 de septiembre de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,
1775471029-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Rica paella y lindo lugar.,Angeles F,Excelente servicio y comida. La mejor paella que eh probado! Fue el primer restaurante que visitamos en Madrid y nos llevamos una excelente experiencia.,5 contribuciones,Escrita el 17 de septiembre de 2025,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,5.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/22/32/9e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/22/32/9d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,
1775471029-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Muy amables!,Lucija K,"Los camareros eran muy amables y especialmente el camarero John, quien nos dio unos shots cuando nos fuimos  :)

La comida también estaba genial!!",1 contribución,Escrita el 15 de septiembre de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,
1775471029-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,"Bueno, bonito y barato",Valentina P,"Muy rico!!! Múltiples opciones, excelente calidad y buen precio. Muy recomendado para una cena casual. No es un restaurante elegante, sino es muy acogedor, buena música y ambiente.",2 contribuciones,Escrita el 7 de septiembre de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,2.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,
1775471029-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Terrible,Marika V,"El ropa vieja tenía mucha azúcar y las croquetas no tenían sabor. 
Tienen que limpiar el cuadro de west side story no lo han limpiado en años jajaja 🤣",3 contribuciones,Escrita el 2 de septiembre de 2025,Calidad/precio,Ambiente,Servicio,Comida,Coman en otro lugar 🤍😂,,Leer más,0,,,,3.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/fd/e8/66/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,
1775471029-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Cena familiar,Patricia S,"Ago 19, 2025
Eric nos atendió muy bien, la cena excelente. Las recomendaciones de bebidas excepcionales, recomiendo el Sexy Madrid",4 contribuciones,Escrita el 20 de agosto de 2025,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,4.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/db/14/7d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/db/14/7c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,,
1775471029-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,EXCELENTE!,Adriana Soto,"Excelente servicio del personal y en especial de Erick que fue nuestro mesero! La comida increíble, cocteles ricos, buenos precios y ambiente. Recomendado 100%!!",5 contribuciones,Escrita el 20 de agosto de 2025,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,5.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/db/14/f4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/db/14/f3/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,,
1775471029-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,S,Sabina V,"Muy decepcionante.
Nos sirvieron una paella recalentada, sin sabor, que llegó apenas 4 minutos después de hacer el pedido y al mismo tiempo que el entrante. Es imposible que fuera un plato recién preparado.
Durante toda la noche, nadie retiró los platos del entrante y el camarero no se acercó a la mesa ni una sola vez.
Una experiencia que no pienso repetir.",1 contribución,Escrita el 11 de agosto de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,
1775471029-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Perfecto!!,Almudena R,"Un 10 de 10, todo estaba buenísimo y los camareros más que agradables. El pastel de zanahoria riquísimo y en general nos ha encantado este lugar.",1 contribución,Escrita el 31 de julio de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,
1775471029-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Buen servicio,Taylor W,"Está genial para probar distintos platillos, las croquetas de jamón son buenísimas y Erick nos atendió excelente, con muy buena actitud",1 contribución,Escrita el 26 de julio de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,,
1775471029-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Comida y servicio,DarkEle Y,"Servizio muy rápido y camareros muy  amables y bonitos! La comida es excelente, mia amigas y yo fuimos muy satisfechas😍",1 contribución,Escrita el 23 de julio de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,
1775471029-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Uno de mis favoritos!!!,Aileen C,"Taberna más al sur es uno de mis restaurantes favoritos del centro. La comida es increíble, encantó el bacalao con queso de cabrá, la alcachofa, y el aubergine. He comido aquí diez veces en los últimos dos años y no hay un plato que no he gustado. Gracias a Andreas!! — Lydia y Aileen",1 contribución,Escrita el 20 de julio de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,
1775471029-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Mucho gusto,Anna S,Mucho gusto ! Gracias ~ Estuvo todo muy rico y el camarero André fue muy amable. ¡Saludos desde Alemania! 🥰 ~~~~~~~~~~~~,4 contribuciones,Escrita el 16 de julio de 2025,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0,,,,4.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/7d/e6/f2/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,,
1775471029-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Cena y Bebidas muy fantastico,Amber R,"¡La comida estuvo fantástica y el servicio también! Los camareros fueron muy atentos, especialmente Carlos y Andrés, quienes hicieron todo lo posible para que tuviéramos una velada encantadora y una experiencia fantástica. Sin duda, volveríamos a cenar y tomar algo.",1 contribución,Escrita el 15 de julio de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,,
1775471013-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,muy muy bien,Martinaa B,"eccellente comoda, lugar muy lindo, super buen restaurante y los camareros celis, john, y carlos muy amables, bonitos y disponibles",1 contribución,oct 2025 • Amigos,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,Escrita el 25 de octubre de 2025,,,
1775471013-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Muy muy recomendable,Flavia S,"Excelente restaurante, personal muy atento y amable, especialmente Celis y Carlos. Muy recomendable si visitas Madrid.",1 contribución,oct 2025 • Amigos,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,Escrita el 25 de octubre de 2025,,,
1775471013-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Lugar fantástico,Inspire49943685464,"Lugar muy bonito, comida deliciosa, personal fantástico y muy servicial, especialmente Celis y Carlos. Recomiendo mucho",2 contribuciones,oct 2025 • Amigos,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,2.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,Escrita el 25 de octubre de 2025,,,
1775471013-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Buena vibra y calidad de precio adecuada,Switcha,Buena comida y un gran Servicio - perfecto para una noche fácil con tapas en una bonita zona! Servicio rápido pero no apresurado! Puedo recomendar 🫶gracias chicos,"Zakopane, Polonia",oct 2025 • Amigos,18 contribuciones,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,18.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0b/8b/41/switcha.jpg?w=100&h=-1&s=1,,Escrita el 23 de octubre de 2025,,,
1775471013-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Una maravillosa manera de terminar mi viaje en Madrid,Emily Tsang,"Me encantó este lugar! La paella de mariscos viene en una porción única perfecta, deliciosa y llena de sabor. La sangría era increíble también. Carlos era muy amable, hablaba muy bien Inglés, e hizo fantásticos cócteles!","Taipéi, Taiwán",oct 2025 • Solo,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/76/1a/40/wander810946.jpg?w=100&h=-1&s=1,,Escrita el 21 de octubre de 2025,,,
1775471013-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Delicioso! Buen vino Buena comida,tp6g04jp6,"Sangria y risotto de boletus son muy deliciosos. 
Sangria 比較甜一點,酒感輕
Boletus risotto點了半份,香氣濃郁好吃
價格實惠 
 (Beletus risotto 應該點整份 ) 
餐後甜酒也不錯",1 contribución,oct 2025 • Parejas,1 contribución,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,Escrita el 21 de octubre de 2025,,,
