web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,image2,image3,image4,image5,data18,data19
1775742300-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,A destacar el servicio Precio-calidad bueno también,carmen c,"Hemos elegido en varias ocasiones este lugar para celebraciones en familia. Siempre hemos salido muy contentos.No suelo dar mi opinión pero,después de ver el servicio que se da en general en ciudades como Madrid,quiero reseñar el trato especialmente bueno por parte de todos los camareros pero de Aarón,creo que era su nombre, especialmente.De verdad que es difícil encontrar este trato.
La relación precio-calidad y ubicación también merece una reseña",2 contribuciones,2.0,Escrita el 18 de mayo de 2025,Hagan reserva,"Madrid, España",Consejo:,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,
1775742300-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Buena cocina en un buen lugar. Buen servicio.,Manuel Ángel V,"Muy buena cocina y excelente servicio, especialmente de Rene. Comimos en la terraza junto al Senado. Razonable relación entre calidad y precio.",4 contribuciones,4.0,Escrita el 16 de mayo de 2025,,"Sevilla, España",,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,,
1775742300-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Deliciosa cena en Madrid,samuelparr,"Preguntamos a chat GPT por restaurantes cerca del hotel Riu plaza España en Madrid y apareció este dentro de la lista. 
Es un pequeño restaurant cerca del edificio del senado. 
Mesas en la la calle y adentro. Lugar muy agradable, algo estrecho. 
Te traen un pan muy crujiente y un muy buen aceite de oliva para partir. 
Tomamos una muy rica Sangría. 
Los platos deliciosos, preparados por el chef Chileno Patricio Díaz. Recomiendo la delicia de morcilla de Burgos, chupa chips de queso y los Chipirones. 
Un baño pequeño, muy limpio 
Precios acordes. 
Muy recomendable",72 contribuciones,72.0,Escrita el 12 de mayo de 2025,,"Gran Concepción, Chile",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d9/82/95/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d9/82/96/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,,
1775742300-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Excelente atención al cliente,José Pablo O,Excelente atención del mesero René! Nos dieron una entrada de pan con un aceite de oliva espectacular. Comimos paella y estaba deliciosa.,5 contribuciones,5.0,Escrita el 12 de mayo de 2025,,5 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d7/8f/f0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d7/8f/f1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,
1775742300-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Maravillosa cena cerca del palacio,Mary G,Tuvimos una gran cena. La comida era excelente. Yamile era un gran servidor y nos cuidó muy bien. Muy recomendable para una comida especial.,25 contribuciones,25.0,Escrita el 11 de mayo de 2025,,"Piedmont, California",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,,
1775742284-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,_jmgestrada49,Para repetir,"Muy buena ubicación cerca del Palacio Real y Senado, comimos en la planta baja en salón abovedado y con buena temperatura.
Comida muy rica y personal amable y atento.
Por señalar algo no tan bueno, me parece que4 el margen de beneficio que se aplica al vino es muy alto.",154 contribuciones,,154,Escrita el 25 de agosto de 2025,"Oviedo, España",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/6d/bf/e7/jmgestrada49.jpg?w=100&h=-1&s=1,,
1775742284-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Javier O,Buena comida y buen trato,"Llamé 5 min antes de llegar un domingo de agosto. Me dieron mesa en la terraza a la sombra. Tome jamón, callos y bacalao. Muy buenos. Torrija de la casa de postre. Fenomenal. Los camareros muy atentos y rápidos",73 contribuciones,,73,Escrita el 25 de agosto de 2025,"Elche, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/e8/22/51/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/e8/22/50/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/e8/22/4f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/e8/22/4e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,
1775742284-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Rima P,Muy recomendable,"Muy buen servicio, buena comida y excelente servicio!!!
Aaron, chico que nos atendió - muy buen profesional, amable y alegre!! Un 10 para el!!!",1 contribución,,1,Escrita el 24 de agosto de 2025,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,
1775742284-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Diana A,Experiencia en La Mi Venta,"Excelente comida, la carne y el jamón espectaculares!!!, la atención de los meseros maravillosa, Jorge y todo el equipo muy amables! Muy recomendando",1 contribución,,1,Escrita el 15 de agosto de 2025,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,
1775742284-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Jordi A,No lo dudes,"Espectacular, lo encontramos a través de TripAdvisor y fue todo un acierto. Uno de los mejores jamones que he probado y el mejor tomate aliñado del mundo!!! El servicio fue excelente. No tengo más buenos adjetivos.",125 contribuciones,,125,Escrita el 14 de agosto de 2025,"Sant Boi de Llobregat, España",,,,,,,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/69/25/aa/kiteblade.jpg?w=100&h=-1&s=1,,
1775742284-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Amaurys R,Mejor comida en Madrid.,"El servicio fue excelente , la comida espectacular, el secreto iberico y el chuleton delicioso al igual que la torrija pero seria un pecado ir y no probar las croquetas de jamon iberico, sin dejar de mencionar la atencion esmerada y profesional de Angie nos hizo la noche mas amena tanto a mi hija , esposa y a mi .",8 contribuciones,,8,Escrita el 5 de agosto de 2025,8 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/b1/39/9a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/b1/39/99/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/b1/39/98/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/b1/39/97/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,
1775742284-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,RousaFlores,Cena en pareja,"Muy buena experiencia, cenamos de maravilla en un ambiente muy tranquilo.
Bien aconsejados por Angie destacamos el secreto y la torrija entre otras cosas.
Volveremos.",5 contribuciones,,5,Escrita el 1 de agosto de 2025,5 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,
1775742284-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Daniela P,Grandiosa noche,"Excelente, la comida, el ambiente, la atención de Angie y el resto del personal. Muy buenos sabores, los platos abundantes. Precio y calidad acordes con la experiencia. El ambiente muy tranquilo e íntimo, estuvimos en el salón. Lo recomendaremos a nuestros conocidos. Para volver siempre. Felicitaciones.",3 contribuciones,,3,Escrita el 31 de julio de 2025,3 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,
1775742284-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,CaroMonteiromazzola,Excelente cena en Madrid,"Excelente

Muy buena atención de Angie. Súper atenta.

La comida espectacular. El secreto ibérico la joya de la carta

Ideal pedir mesa en salón en el subsuelo",60 contribuciones,,60,Escrita el 31 de julio de 2025,"Buenos Aires, Argentina",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/a5/f9/dc/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/a5/f9/db/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/a5/f9/da/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/46/3d/29/caro-m.jpg?w=100&h=-1&s=1,,
1775742284-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Elena,Muy buen servicio de René,"Excelente sabor y servicio. Sobretodo de Renault. Nos atendió genial 😁 
Pedimos paella, calamares, entrecot de res, jamón ibérico, chistorra, e incluso la sugerencia del postre torrijas fue deliciosa. De alta calidad.todos los alimentos y muy bastos. Alcanzó para toda muestra familia y hasta sobró",2 contribuciones,,2,Escrita el 30 de julio de 2025,"Tijuana, México",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/a2/de/4f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,
1775742284-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,SONIA L,Calidad y excelente servicio,"Habíamos leído anteriores reseñas y nos decidimos por este mesón. No nos ha defraudado en absoluto. Gran calidad en los platos y un excelente servicio. Todo el personal muy amable, servicial y simpático. La torrija con toffee ¡Una exquisitez!",138 contribuciones,,138,Escrita el 28 de julio de 2025,138 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/9d/c1/9a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/9d/c1/99/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/9d/c1/98/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/9d/c1/97/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,
1775742284-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,asunalex,La bodega de la carne!!!!,"Un lugar único en Madrid donde puedes degustar un jamón y unas carnes espectaculares!
Recomendable el chuletón!!!calidad a un precio insuperable.
Recomendamos sin duda probar la torrija!!!ya nos contáis.
Todos los empleados super amables desde la entra.
Nos atendió Angie una camarera atenta amable y servicial.nos cuidó en toda la comida.
Volveremos",9 contribuciones,,9,Escrita el 27 de julio de 2025,9 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/9a/9c/bd/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,
1775742284-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Conchy A,,"Sitio muy bonito
Buena comida
Atendido x Yamile muy amable y que nos aconsejo muy bien.
Precio calidad ok
Volveremos seguramente",1 contribución,,1,Escrita el 21 de julio de 2025,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,
1775742284-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Astrid M,Súper recomendado!!,Estuvimos está noche por el cumpleaños de mi enamprado y nos sentimos como en casa gracias a Alexandra que nos atendió divinamente!,1 contribución,,1,Escrita el 19 de julio de 2025,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/86/7d/1f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/86/7d/0c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,
1775742284-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Cristina P,Vale la pena volver!!!,"Este sitio es genial!!!
Estuve varias veces en La Mi Venta  y siempre me sorprendo con la calidad de los platos
Atención maravillosa de George y Aaron. 
La morcilla es simplemente espectacular!",52 contribuciones,,52,Escrita el 17 de julio de 2025,52 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/80/6e/83/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/80/6e/82/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/80/6e/81/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,
1775742268-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Gran experiencia,amymichelle,Buena comida. Me gustó especialmente el calamar a la parrilla y el postre. Personal amable. Excelente ubicación. Recomendamos reservar una mesa exterior si es posible. Tan bueno que fui dos veces durante mi fin de semana en Madrid.,299 contribuciones,,299,Escrita el 13 de octubre de 2025,"Arlington, Virginia",Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/60/76/3d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/60/76/3e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/60/76/3c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/0a/d3/7f/amymichelle.jpg?w=100&h=-1&s=1,,Leer más,0.0
