web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,position,image2,image3,image4,image5,image6
1776248256-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,"Inmejorable, imprescindible",Sergio López,"Gran restaurante, solo probamos tres platos pero nos quedamos con ganas de catar la carta entera. Noodles, Estrella de la casa, inmejorables si bien los demás no quedan atrás. Hacía mucho que no comíamos tan tan bien. Trato excelente. Calidad precio probablemente de lo mejor de Madrid. 5 puntos porque no existen 10. Enhorabuena. Repetiremos","Marbella, España",55,Escrita el 2 de marzo de 2020,55 contribuciones,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/3d/03/d7/caption.jpg?w=100&h=-1&s=1,,,,,,
1776248256-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Buen sitio sin pretensiones en pleno barrio de La Latina,GonPGMadrid,Hace unos meses fui con mi novia a este bonito restaurante en el madrileño barrio de La Latina y me encantó. Comimos los spagetis con tartare de atún fresco que estaban brutales y una carne argentina muy rica y en su punto. Volveré!!,"Madrid, España",10,Escrita el 24 de febrero de 2020,10 contribuciones,Calidad/precio,Comida,Servicio,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/fe/82/3d/gonzalopgmadrid.jpg?w=100&h=-1&s=1,,,,,,
1776248256-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Disfrutando de su especialidad,María C,Me gusta mucho la comida y el trato aunque es recomendable ir un día de diario para poder disfrutar sin agobio ni espera.,14 contribuciones,14,Escrita el 23 de febrero de 2020,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/0e/6f/f5/maria-c.jpg?w=100&h=-1&s=1,,,,,,
1776248256-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Comida muy cuidada,alberto h,"Platos de calidad, presentacion muy cuidada y sabores intensos, servicio muy esmerado y dispuestos a ayudar en todo momento, es una opción muy buena para comer o cenar por la zona, imprescindible reservar ya que es un local pequeño, el único pero es que hay poca distancia entre mesas",87 contribuciones,87,Escrita el 23 de febrero de 2020,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,,,
1776248256-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Perfecto,coca _ vcc,"Me lo recomendaron y fui a comer. 
El sitio lo tienen con una decoración preciosa el servicio de camareros es una maravilla porque te explican todos los platos y te asesoran muy bien y encima la comida está buenísima","Coca, España",32,Escrita el 21 de febrero de 2020,32 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/86/40/53/avatar.jpg?w=100&h=-1&s=1,,,,,,
1776248243-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Buena experiencia.,jesusogayar,Fantastica comida con amigos. Buen ambiente y mejor comida. Recomiendo todo excepto los postres que no estan a la altura de la carta. Hicimos una degustacion de muchos platos de la carta y a cada cual mejor. Servicio perfecto. Amables y profesionales. Se nota que saben donde se andan. No es un restaurante para ir con niños desde luego. No entiendo porque no hay maquina de cafe.  Los de pueblo tomamos café con el postre. Experiencia muy buena si visitas la capital. En el centro y varios pubs alrededor para tomar copas cerca.,"Pamplona, España",158,Escrita el 14 de junio de 2021,158 contribuciones,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,,1.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a7/88/eb/caption.jpg?w=100&h=-1&s=1,
1776248243-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Para repetir!!!,Maripuri12,"Es muy recomendable. Si lo ves por fuera no invita mucho a entrar, pero es solo la fachada. Esta super limpio y la comida es deliciosa. Los camareros super amables y muy correctos, te asesoran sobre que pedir.
Salimos a unos 20 y poco por cabeza, con postres. Quedamos hasta arriba. A cada plato mas rico.
Chicos seguir asi!!!! Nosotros volveremos","Cáceres, España",97,Escrita el 7 de junio de 2021,97 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/1a/51/b0/caption.jpg?w=300&h=300&s=1,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/1a/51/ae/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/1a/51/af/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/1a/51/ad/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/dd/64/f9/avatar.jpg?w=100&h=-1&s=1,
1776248243-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Me habían recomendado este,Franco F,"Me habían recomendado este sitio y no defrauda por su comida. Los noodles increíbles! Los postres también. 
Un chico joven argentino muy majo para atender. Otro mayor más bajo no lo fue del todo amigable.
Volveré sin dudas.",16 contribuciones,16,Escrita el 17 de abril de 2021,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,
1776248243-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Espectacular!,jorgelopezguillen,"El trato y la calidad de los platos ha sido espectacular. Perfecto para sorprender a alguien! Sin duda, repetiré pronto!","Madrid, España",22,Escrita el 11 de abril de 2021,22 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/54/93/ff/jorgelopezguillen.jpg?w=100&h=-1&s=1,
1776248243-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Muy bueno,Olaya,"Nos encanto, disfrutamos mucho de la comida, todo muy bueno, y la atención de los camareros fantástica",2 contribuciones,2,Escrita el 8 de abril de 2021,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,
1776248243-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Madre mía qué barbaridad de sitio!!!!,Lara del Rey,"Todo. Lo tiene todo. El servicio es EXCELENTE, de los camareros más agradables y simpáticos de Madrid qué ****. Nos aconsejó perfecto y comimos noodles con tacos de atún rojo (ese plato es IMPRESCINDIBLE), un chivito uruguayo que estaba increíble y unas patatitas pequeñas con panceta que estaban increíbles. Todo súper jugoso en un entorno perfecto y como digo con un servicio impecable. 
Tengo la suerte de ser del barrio, con lo que iré muchas más veces =).","Madrid, España",220,Escrita el 16 de marzo de 2021,220 contribuciones,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/da/cf/47/gonzalo215.jpg?w=100&h=-1&s=1,
1776248243-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Un gran acierto,Isabel GonFuen,"Estuvimos el domingo pasado y fue todo un acierto. Nos recomendaron varias cosas, y sin duda los noodles y el carpaccio de setas, estaban espectacular. El personal tmbien muy agradable","Burgos, España",9,Escrita el 11 de marzo de 2021,9 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/eb/4d/5d/caption.jpg?w=100&h=-1&s=1,
1776248243-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Buena elección zona El Rastro,ABA,"Me parece una buena elección. Platos originales y ricos de sabor. Personal amable, servicio rápido y correcto. Francamente, un sitio recomendable y seguro repetiré para probar más platos.","Madrid, España",325,Escrita el 13 de febrero de 2021,325 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a2/f2/35/photo3jpg.jpg?w=300&h=-1&s=1,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a2/f2/33/photo1jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a2/f2/34/photo2jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a2/f2/32/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,
1776248243-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Los noodles,Hugo,"Es de lo mejor de Madrid. Viernes y cena aquí. Los noodles 🤤 Tienen una gran bodega. Llama para reservar, sino imposible.","Madrid, España",5,Escrita el 21 de enero de 2021,5 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/8d/d1/29/toga.jpg?w=300&h=300&s=1,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/8d/d1/27/toga.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/8d/d1/28/toga.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/8d/d1/26/toga.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,
1776248243-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,El equilibrio en todo,Motocady,"Cocina sorprendentemente bien equilibrada en sabores, combinaciones y calidad de producto en la receta. Trato cercano y responsable. 
Es un restaurante los que no se puede pasar sin probarlo y cuando lo conozcas repetir.","Madrid, España",125,Escrita el 3 de enero de 2021,125 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,
1776248243-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,"Muy bien 

La comida es rica",Sebastian E,"Muy bien 

La comida es rica , chivito uruguayo y noodels con atun rojo, tienen una cerveza de barril muy rica tb, la atención depende de quien sea , el uruguayo es más amable y simpático y el Argentino algo seco pero ambas son buenas 
La piña en almíbar con crema de postre muy recomendable tmb , si no fuera xq me cobraron 10€ un chupito de whisky Macallan (del más barato) tendría 5 estrellas","Madrid, España",238,Escrita el 11 de diciembre de 2020,238 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,0.0,,,,,
1776248243-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Sorprendente!,LuciaSRamos,"Nos dejamos recomendar por César (de todos los César que trabajan en Toga, el de la barba). Nos atendió súper bien. Pedimos de entrante el Carpaccio de setas, luego los famosos Noodles de atún rojo y la Pluma ibérica. De postre, la piña en almíbar. Podíamos no haber pedido postre porque con los tres platos para dos personas, de sobra. Pero teníamos curiosidad. Todo estaba exquisito y pasamos muy buena velada. Total: 32€ aprox/persona Para nosotros, recomendadísimo. Volveremos.","Madrid, España",83,Escrita el 14 de noviembre de 2020,83 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/52/33/1b/img-20201113-224132-largejpg.jpg?w=300&h=300&s=1,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/52/33/19/img-20201113-220920-largejpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/52/33/1a/img-20201113-222238-largejpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/52/33/18/img-20201113-233035-483.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/09/4e/f3/luciasramos.jpg?w=100&h=-1&s=1,
1776248243-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Muy muy bien!,Carlos F,Pedid los noodles de atún! No aparecen en la carta pero están tan buenos que nosotros éramos cuatro y nos pedimos dos entrantes a compartir y un plato de noodles cada uno (y somos gente de pedir variado y compartir todo). Los demás platos están bien buenos también pero no a ese nivel. Además son muy simpáticos y profesionales. ¡¡¡Super recomendable!!!,"Barcelona, España",118,Escrita el 11 de septiembre de 2020,118 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/f7/4a/3c/toga.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,
1776248243-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Calidad y calidez,Moonfire,"Platos originales y producto de calidad. Una atención excelente por parte del personal, el cual nos recomendó los noodles, gran acierto.

Tomamos tres platos y dos postres en una cena para dos. Buena relación calidad precio, y un ambiente estupendo. Totalmente recomendable, repetiremos!","Madrid, España",5,Escrita el 28 de agosto de 2020,5 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/e2/a9/7b/photo1jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/e2/a9/7c/photo2jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/e2/a9/7a/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,
