web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,image,image2,position,name,data15,data16,data17,data18,image3
1775577724-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Una nueva experiencia para el paladar,SIEN S,"Para probar una cocina diferente. Pedimos una cesta criolla y al verla pensamos que tendríamos que pedir más. No solo no fue necesario, sino que sobró, es otra cocina, más densa de lo que estamos acostumbrado. Ambiente muy agradable en la terraza interior. Servicio correcto. No sé si repetiría, pero al menos hay que probarla y este es un buen sitio para ello.",145 contribuciones,145,Escrita el 24 de marzo de 2025,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,,,,
1775577700-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,La mejor atención al público es en Venezuela,Shirley Z,"Es un lugar muy lindo y que te lleva a sentirte un poco más cerca de Venezuela cuando mas la extrañas, fuimos atendidas por Gianfranco, Victoria y Junior que fueron un amor de personas demostrando que no hay mejor atención al público que la que te puede dar un venezolano, son amables, atentos y hicieron de la cena un momento muy agradable, definitivamente uno de mis lugares favoritos en Madrid",1 contribución,Escrita el 25 de mayo de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,1.0,,,,,,
1775577700-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Buen trato,Daniel P,"Muy agradables Junior, Gianfranco y Victoria. Repetiremos seguro. Muy ricas las peceras y los peces . De verdad que un 10",2 contribuciones,Escrita el 24 de mayo de 2025,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,2.0,,,,,,
1775577700-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Excelente,Dreamer48572009626,"Impresionante la atención recibida por parte de Junior, Gianfranco y de Víctoria, volveremos seguro, excelente experiencia.",1 contribución,Escrita el 24 de mayo de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,1.0,,,,,,
1775577700-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Cena con amigos muy buena,Julio S,"La comida genial, fuimos de cena unos amigos y todo perfecto. Muy buen trato y por parte de los camareros Junior, Gianfranco y Victoria.",1 contribución,Escrita el 24 de mayo de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,1.0,,,,,,
1775577700-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Increible experiencia con amigos,Explorer31776848203,"Una cena espectacular con un ambiente increible. Los camareros son de lo mejor que hay en Madrid, tanto Junior como Gianfranco hasta la guapisima Victoria, siempre atentos y con buen humor, es una familia",1 contribución,Escrita el 24 de mayo de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,1.0,,,,,,
1775577700-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,LAS MEJORES MARGARITAS,Paulina P,"Increíble experiencia y la margarita que nos hizo Gianfranco 10/10 
Me encanta venir y hacer mi pre aquí 
Lo recomiendo volvería a venir",1 contribución,Escrita el 18 de mayo de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,1.0,,,,,,
1775577700-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Lugar 100% Recomendado,Gaby M,El Sitio esta muy lindo. Tiene variedad de bebidas y comida venezolana. Fui con mi novio a tomar algo y también aprovechamos de pedir tequeños y arepitas para picar. Junior y Gianfranco fueron atentos y muy amables. Estuvo chevere la experiencia.,1 contribución,Escrita el 1 de mayo de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,1.0,,,,,,
1775577700-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Una noche de copas,Michelle L,"Fui a por unas copas con una amiga y estaban muy bien en relación calidad/precio. El local muy bien ambientado. La música estuvo bien. Y, Junior y Gianfranco nos atendieron muy bien, ambos fueron muy majos. Volvería y recomendaría este lugar sin dudarlo",5 contribuciones,Escrita el 1 de mayo de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,5.0,,,,,,
1775577700-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Increíble!!!,Fabiana A,"Totalmente increíble! Sitio de confianza, mejor trato imposible!, siempre volvemos💕 100% recomendado, la comida 10000/10",7 contribuciones,Escrita el 26 de abril de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,7.0,,,,,,
1775577700-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Buenísimo!!!,genesis b,"Increíble este sitio, súper buen ambiente, gente muy chévere, recomendado 100% volvemos siempre que podemos, muy bueno todo !!!",1 contribución,Escrita el 26 de abril de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,1.0,,,,,,
1775577700-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Brutal,sharon b,"Vine con mi grupo de amigos y nos atendieron de maravilla súper atentos , 10/10 este lugar… repetiría 100% … súper recomendado",1 contribución,Escrita el 25 de abril de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,1.0,,,,,,
1775577700-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Lo máximo,Jean L,"Los bartenders son bellos y la atención es 100/10 💗🙃, les recomiendo la guarapita que está de locos 😍 que los atienda cochiiiii 💗",2 contribuciones,Escrita el 25 de abril de 2025,Calidad/precio,Ambiente,Servicio,Comida,Vengan preparados para pasarlo rico,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,2.0,,,,,,
1775577700-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Gramma bar the best,Juan Sebas P,"Excelente para ir a tomar algo con tus amigos, la verdad siempre venimos porque es el mejor sitio. Para hacer tus pre y reuniones tranquilas es lo mejor!!!!!",1 contribución,Escrita el 25 de abril de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,1.0,,,,,,
1775577700-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Increíble,Christopher F,Increíble todo la verdad sobre todo el trato con de los trabajadores que son increíblesss volvería casi siempreeeee!!,2 contribuciones,Escrita el 25 de abril de 2025,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,2.0,,,,,,
1775577700-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Está bien,steefan_g,"Desafortunadamente, tuvimos que esperar más de 50 minutos para nuestra mesa a pesar de que teníamos una reserva a las 9. 00 pm. Sé que puede haber algunos retrasos, pero no tanto tiempo! 
Había algún grupo de eventos exclusivo en la parte trasera del restaurante y les tomó más tiempo de lo esperado, pero yo esperaría del servicio y el gerente para decirles como otros clientes estaban esperando. 

El servicio estaba bien, super amable, pero incluso cuando les dijimos que necesitamos 5 minutos más para elegir qué comer, nunca vinieron. Ni siquiera después de 12 minutos, así que tuvimos que ir al bar para darles nuestra orden. 

La comida era deliciosa, pero también esperaría del servicio para decirnos, si es demasiado o no, ya que no sabemos los tamaños. Después del arranque ya estábamos bastante llenos.",12 contribuciones,Escrita el 23 de abril de 2025,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,12.0,,,,,,
1775577677-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Excelente,Facundo G,"Muchas gracias a Junior y Gianfranco por la atención! Estuvo excelente, las arepas, la bebida y el postre de 10! Vamos a volver pronto",1 contribución,Escrita el 1 de julio de 2025,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,1.0,1 contribución,,Leer más,0,,
1775577677-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Sabrosa comida y Muy bonito local,Jaison F,"Muy sabrosa la comida, y un ambiente muy lindo. Me han atendido dos chicos muy majos, se llamaban creo Gianfranc y Junior, todo espectacular 👌🏻.",2 contribuciones,Escrita el 1 de julio de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Las chapas y arepas están muy ricas, y tienen una cesta completa para picotear varias cositas.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/52/cc/73/caption.jpg?w=300&h=300&s=1,,2.0,2 contribuciones,,Leer más,0,,
1775577677-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Excelente,Johannys S,"Me encantó este restaurante venezolano. El trato del personal fue excepcional, siempre con una sonrisa y dispuestos a ayudar. Da gusto encontrar lugares donde uno se siente bien recibido. Además, todo estuvo muy bien organizado y el ambiente fue muy agradable. ¡100% recomendado por su excelente atención!

Y Gran atención de Gianfranco junior!!",3 contribuciones,Escrita el 29 de junio de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/53/33/5b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,3.0,3 contribuciones,,Leer más,0,,
1775577677-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Me encantó,Ana P,"Tuve una excelente experiencia en este restaurante venezolano. Desde el momento en que llegué, el personal fue muy amable, atento y profesional. El servicio fue rápido y siempre estuvieron pendientes de que todo estuviera a mi gusto. Se nota que valoran al cliente y que trabajan con dedicación. ¡Definitivamente volveré, no solo por la deliciosa comida, sino también por la calidad del servicio!",4 contribuciones,Escrita el 29 de junio de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/53/2c/7a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,4.0,España,,Leer más,0,,
1775577677-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Comida y atención 10/10,Natasha L,"Me encantó este sitio, la atención y la comida espectacular. Me pedí unos tostones y estaban DIVINOS. Los chicos, jean y Junior muy amables. Sin duda volveré. 100% recomendado!",5 contribuciones,Escrita el 29 de junio de 2025,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,5.0,5 contribuciones,,Leer más,0,,
1775577677-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Increíble comida,Sara P,"Ya hemos venido varias veces, y tanto la comida, el sitio y el personal(quiero mencionar a COCHI Y GIANFRANCO sobretodo)  es increíble.
Es de los pocos sitios que quedan con gente tan agradable y comida TAN buena. 
Volveremos sin dudarlo.",2 contribuciones,Escrita el 28 de junio de 2025,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4f/a6/1b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,2.0,2 contribuciones,,Leer más,0,,
1775577677-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Recomendable 100%,Miguel Ángel M,"Fenomenal, todo muy rico, probando platos que no conocía. Nos quedamos bien llenos con la cachapa criolla.
Nos atendió Junior, un crack.",1 contribución,Escrita el 27 de junio de 2025,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,1.0,1 contribución,,Leer más,0,,
1775577677-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,No tan bien como se esperaba .. 4.8?!,Laura Pisca,"El Servicio era increíblemente lento y el restaurante no estaba tan ocupado. Pedimos Sangria y eran buenos, pero no muy bien. Tuvimos mejores ayer cerca de nuestro hotel en Madrid",36 contribuciones,Escrita el 22 de junio de 2025,,,,,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/3d/d2/3b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,36.0,"Boise, Idaho",Traducido automáticamente,Leer más,0,,
