web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,image3,data21,data22,data23
1775744466-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Recomendable,jose gabriel B,"Justin, el chico que nos atendió, es muy amable. Con buenas recomendaciones. Tuvimos una cena muy agradable y rica. Muchas gracias!",12 contribuciones,Escrita el 14 de diciembre de 2024,12.0,"Madrid, España",Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775744466-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Justin the best,Tourist15900874491,"Justin nos ha atendido genial, un chico muy agradable y simpático, el mejor camarero y nos ha hecho una estancia muy agradable, la cena muy rica, sobre todo el sibuya flamed",1 contribución,Escrita el 7 de diciembre de 2024,1.0,1 contribución,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775744466-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Recomendadisimo Muchas gracias Patri por tus recomendaciones,Oscar R,"superdelicioso reservamos mis amigos y yo delicioso, muy maja la chica Patricia que nos atendió super amable, atenta a mi por ejemplo me recomendó el Bata furabe, mis amigos un combo super completo y rico. satisfechos al 100%.",3 contribuciones,Escrita el 7 de diciembre de 2024,3.0,"Andalucía, España",Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775744466-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Increíble,Elias Alejandro L,"Increíble comida me ha atendido el camarero Justin súper majo 👍🏻 recomendado este sitio, precio y calidad increíble!",1 contribución,Escrita el 30 de noviembre de 2024,1.0,1 contribución,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775744466-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Todo bien,Octavio A,"Buen lugar, con buen ambiente el camarero (Justin)super amable muy servicial y profesional todo muy rico y se nota que todo es de calidad , repetiremos.",1 contribución,Escrita el 23 de noviembre de 2024,1.0,1 contribución,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775744447-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,100% Recomendable.  Estefania es Top,dejamever,"Calidad precio estupenda pero lo mejor fue el trato súper amable de Estefania, pendiente de todo y siempre con una sonrisa.  Tienen una joya con esta gran profesional.❤️ Es top 🔝",41 contribuciones,Escrita el 15 de febrero de 2025,,41,"Valencia, España",Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,,
1775744447-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,El trato,ana F,"El sitio me ha encantado , la comida muy buena y maravillosa calidad 
La camarera patricia ha sido un encanto con nosotros 
Repetiremos sin duda",1 contribución,Escrita el 15 de febrero de 2025,,1,"Madrid, España",Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,,
1775744447-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Experiencia inolvidable,Manuel Alejandr... R,"Buena atención, comida excelente y trato inmejorable. La atención de Betsi ha sido encantadora y su recomendación un 10 . Volvere",1 contribución,Escrita el 14 de febrero de 2025,,1,1 contribución,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,,
1775744447-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Restaurante con buena atención y comida,Edibel G,"Una atención increíble de parte del restaurante y de parte de la camarera que nos atendió, una chica increíble llamada betsi , súper atenta , la comida a tiempo y sin horrores,  súper 10 de 10, yo y mi pareja hemos tenido un buen tiempo aquí:)",1 contribución,Escrita el 14 de febrero de 2025,,1,1 contribución,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,,
1775744447-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Grata,Aurora D,"Justin muy amable, rápido, servicial. Atento a las peticiones del cliente, siempre con una sonrisa. Muy recomendable",5 contribuciones,Escrita el 13 de febrero de 2025,,5,5 contribuciones,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,,
1775744447-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Excelente,jesica p,"Muy buena comida. 
La atención de Estefanía marcó la diferencia. 
Gran atención y ayuda a la hora de pedir. 
Volveremos sin dudarlo.",2 contribuciones,Escrita el 12 de febrero de 2025,,2,2 contribuciones,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,,
1775744447-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Buenísimo,María Laura M,"La comida en general un espectáculo, no sabría decir qué plato de los que comimos era mejor, el postre Los Mochis de vainilla muy buenos también, y el servicio un 10, nos atendió Patricia, que a parte de ser muy amable, nos recomendó las nuevas gyozas que estaban muuuy buenas. Volveremos, sin ninguna duda.",1 contribución,Escrita el 11 de febrero de 2025,,1,1 contribución,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,,
1775744447-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Genial atención y comida,vanessa s,"Delicioso. La atención de Betsi increible, el precio justo, la ubicación inmejorable . Realmente delicioso.
La decoración linda y limpio.",2 contribuciones,Escrita el 9 de febrero de 2025,,2,2 contribuciones,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,,
