web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,position
1779544523-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Un buen lugar para comer,Elzbieta J,Comida fresca y deliciosa. Buen servicio y muy recomendable.,3,,Escrita el 9 de marzo de 2026,3 contribuciones,,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/a3/6a/f8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,
1779544523-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Todo bien y carolina la mejor,Jose Agustín V,"Muy bien con Carolina ,el local está lleno  pero nos trato rápido y con mucha educación en barra ,pobrecita no paraba ,pero tenía una sonrisa para atenderte y sugerir lo que estaba rico ,volveremos",1,,Escrita el 18 de febrero de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,
1779544523-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Noche de tapas,Juan de David Q,"Agradable noche , disfrutar en tapa tapa calle arenal, gracias a las recomendaciones de Martin , sin duda volveremos, 
Los mojitos de maracuyá una delicia,",11,,Escrita el 18 de febrero de 2026,"Madrid, España",Calidad/precio,Comida,Servicio,Ambiente,,"Chipirones ,gambas al ajillo, paella de mariscos",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,
1779544523-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,ASALTO DISFRAZADO DE TAPA,JUAN CARLOS P,"Una vergüenza que con el disfraz de algo tan nuestro como las tapas ,te cobren 3,75 € por una cerveza en la barra y no te pongan una aceituna.
EN LA BARRA!!!!!
ABUSO DE LA UTILIZACIÓN DE NUESTRO TÉRMINO,PARA REALIZAR UN ASALTO.
ASÍ SE HACEN FORTUNAS.
UNA VERGÜENZA!!!",3,,Escrita el 5 de febrero de 2026,3 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/60/c2/28/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,
1779544523-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Horrible.,Αποστολος Γ,"Esa fue la peor idea del viaje para ir allí
Servicio vergonzoso que fue completamente grosero y poco profesional 
La comida estaba a mitad e incluso estropearon el café también 
Simplemente no vaya allí pls",1,,Escrita el 20 de enero de 2026,1 contribución,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,
1779544597-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Me encanto,Elena Lucia E,"Tienen una buena variedad de tapas, el servicio es rápido, eficiente y el personal te atiende con amabilidad. El ambiente es agradable.","Aínsa, España",Escrita el 18 de enero de 2026,5 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,5
1779544597-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Tapas,Tata,Las tapas buenísimas y la atención también recomiendo la paella de mariscos y las croquetas de jamón ........volveremos ...,7 contribuciones,Escrita el 11 de enero de 2026,,,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,7
1779544597-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,"2 de 3,",Michelle M,"2 de 3, la sangría tapa tapa rica, el lomo delicioso, la paella hijole nada buena, si eres mexicano y has probado la del costco no la pidas!!",29 contribuciones,Escrita el 1 de enero de 2026,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/bc/13/7c/z9333ncmichellem.jpg?w=100&h=-1&s=1,,29
1779544597-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Experiencia muy buena,Daniel Alejandr... S,"Muy buena experiencia,  súper recomendable.  Excelente atención de Dario y muy buena la comida. Felicidades a su jefe de cocina.",6 contribuciones,Escrita el 31 de diciembre de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,6
1779544597-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Evitar.,drjem2018,"El restaurante estaba bastante ocupado, pero estábamos MUY apurados. Nos quitaron los platos en cuanto terminamos de comer, así que no pedimos más tapas. La comida era normal. No lo recomendaría debido al personal. Eran antipáticos. Pidieron que nos pagaran la factura antes de que hubiéramos terminado de beber. No es la experiencia más agradable. A evitar.","Edimburgo, Reino Unido",Escrita el 30 de diciembre de 2025,68 contribuciones,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,68
1779544597-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Muy bueno todo,Samuel R,"La de puerta es una persona maravillosa , y atiende muy bien y es perfecta . La comida muy muy buena y atienden súper rápido . Que no cambien a la de puerta !!",1 contribución,Escrita el 27 de diciembre de 2025,,,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,1
1779544597-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Todo genial,Antonio G,"La de puerta es maravillosa , Zoe porfavor que nunca la cambien la amamos !! Y la comida muy buena y recién hecha . Además el servicio es muy rápido",1 contribución,Escrita el 27 de diciembre de 2025,,,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,1
1779544597-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Experiencia agradable,bjhuangying,"Muy buena comida, gente amable, gracias Gabriel por tu recomendación, me encanta!","Gland, Suiza",Escrita el 27 de diciembre de 2025,5 contribuciones,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,5
1779544597-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Un lugar increíble de Nochebuena; un lugar increíble independientemente del día.,Andrew P,"Llegamos a este restaurante en Nochebuena, nos dejó boquiabiertos por el servicio / hospitalidad incluso en una noche muy agitada. Mi familia se lo pasó muy bien probando todos los platos de tapas - nos encantaron específicamente las empanadas!",10 contribuciones,Escrita el 25 de diciembre de 2025,,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,10
1779544597-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Tapas,Martin Ariel V,"Excelente  atención de Gabriel!! Los huevos rotos increíbles!! 
Todos muy amables ... volveremos!!!

Súper recomendable!","Arrecife, España",Escrita el 21 de diciembre de 2025,6 contribuciones,,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,6
1779544597-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Tienes que ir,Mariajo P,"Nos atendió Katha, muy amable y atenta. El lugar es muy agradable y todo estaba muy rico. Lo recomiendo. El servicio muy rápido.",3 contribuciones,Escrita el 17 de diciembre de 2025,,,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,3
1779544597-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Good Restaurant,Maria V,Excelente atención de Gabriel lo súper recomiendo volvería 100% excelente ambiente y lugar volveré cuando venga a Madrid de vuelta,1 contribución,Escrita el 11 de diciembre de 2025,,,Calidad/precio,Comida,Servicio,Ambiente,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,1
1779544597-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Tapas,sufian e,"Muy buen ambiente en el restaurante, excelente atención por parte de Gabriel, comida riquísima, un lugar limpio y bonito 100% recomendado",1 contribución,Escrita el 5 de diciembre de 2025,,,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,1
1779544597-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Tapas,Tata,El sitio es agradable y la comida muy buena recomiendo las empanadas y la.paella ...volveremos sin duda...además la atención es muy amable,7 contribuciones,Escrita el 25 de noviembre de 2025,,,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,7
1779544597-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Tapas,Astrid J,"gracias , por la atención , Leidy y Natalia muy amables, recomiendo el lugar y que las atiendan ellas , muy amables, recomiendo el lugar , las tapas exquisitas , felicidades , no desmejoren",1 contribución,Escrita el 22 de noviembre de 2025,,,Calidad/precio,Comida,Servicio,Ambiente,muy buen servicio,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,1
1779544615-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,10 de 10,Katharine R,"Experiencia súper agradable en familia, comida súper rica y la camarera jenny excelente lo recomiendo 10 de 10 tienen que venir",2 contribuciones,Escrita el 22 de noviembre de 2025,,,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,2
1779544615-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,"La comida, la amabilidad de las personas que trabajan ahí, el lugar es super agradable y bonito",Mayra A,"Siempre que puedo voy a este lugar me encanta comer ahí!! El ambiente es super lindo, la comida está muy pero muy buena, que rica, las personas que me atendieron maravillosas sobre todo Martin es muy atento gracias por el servicio 10/10 me encanta","Almazán, España",Escrita el 12 de noviembre de 2025,2 contribuciones,,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e1/6f/2e/mayraa872.jpg?w=100&h=-1&s=1,,2
1779544615-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Tapas and friends,Jesus T,"Buenas tapas y los mojitos súper ricos, sin duda volveremos a repetir, 
Gracias a Martin por sus recomendaciones 
Las gambas y chicharrones deliciosos y los postres.",1 contribución,Escrita el 12 de noviembre de 2025,,"Bravas , gambas, paellas 
Chipirones",Consejo:,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,1
1779544615-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Cena familiar,Juan de David Q,"Las mejores tapas de sol , el personal es muy amable, nos hicieron pasar una noche agradable, 100% recomendable, volveremos","Madrid, España",Escrita el 11 de noviembre de 2025,11 contribuciones,"Gambas al ajillo, chipirones, paella de mariscos , alitas , mojitos",Consejo:,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,11
1779544615-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Evitar si eres Español,Ferrnando V,"Es muy desagradable comer con ellos, es un local ruidoso, personal poco profesional.  Y comida calidad precio muy por debajo de local necesario.","Jabugo, España",Escrita el 7 de noviembre de 2025,14 contribuciones,,,,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/cd/f5/84/herfevaro.jpg?w=200&h=-1&s=1,,14
1779544615-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,"Mi familia la pasó genial, nos hicieron sentir como en casa",maria del pilar d,"Las tapas súper recomendable 10/10 la comida, la atención de Joseph espectacular súper atento desde el principio hasta el final que me tuve que ir.",2 contribuciones,Escrita el 7 de noviembre de 2025,,,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,2
1779544615-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,10/10,nezareth p,Genial!!! Fui para darme un gusto y fue lo mejor. Sobre todo quiero resaltar la atención de Joshep que fue magnífica!!! Fue muy educado y respetuoso sobre todo atento a si quería algo más 👏🏾,1 contribución,Escrita el 6 de noviembre de 2025,,,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,1
1779544615-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Positiva,Clara L,"Muy bueno todo, todo con buenas referencias, mis perspectivas fueron muy buenas, y yo volvería otra vez, servicio muy bueno",1 contribución,Escrita el 6 de noviembre de 2025,,Joshep un buen trabajador con ganas de trabajar y con mucha alegría,Consejo:,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,1
