web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,image3
1776262905-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,De italiano,jc29091988,"Todo muy bueno y bien servido. El trato y la atención fenomenal. Lugar pequeño y agradable.
Las pizzas , la pasta y los postres muy ricos",250 contribuciones,250,Escrita el 22 de febrero de 2025,"Madrid, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/fb/09/83/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,
1776262905-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Cena el 14 de febrero,Isaac C,"Muy económico. Recomendado, repetiría. La comida está muy rica y hay mucha variedad. Puedes comer gnochis y lasaña. Buena opción en San Valentín.",1 contribución,1,Escrita el 15 de febrero de 2025,1 contribución,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,
1776262905-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Cena riquísima a buen precio,Ángel José M,"Comida riquísima, a muy buen precio. La provoletta sorprende. La pizza Piamonte es muy recomendable. De postre, el tiramisú no falla.",2 contribuciones,2,Escrita el 15 de febrero de 2025,2 contribuciones,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,
1776262905-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Excelente italiano,Jose Antonio A,"Los ingredientes son de calidad, la elaboración muy buena y la variedad de la carta genial también. Ha sido una muy buena experiencia, muy agradables con nosotros. Muy recomendable, lo que hemos probado buenísimo todo.",2 contribuciones,2,Escrita el 14 de febrero de 2025,2 contribuciones,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,
1776262905-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Muy buena experiencia,Andrea P,"Todo riquísimo por muy buen precio,muy amables. La calidad de los productos es increíble. Además el sitio es encantador. Lo recomiendo mucho.",1 contribución,1,Escrita el 14 de febrero de 2025,1 contribución,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,
1776262893-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Delicioso,ads991,Muy agradable bienvenida - delicioso buratta piamonte y risotto al funghi y descuento sorprendido al final! Un poco de sartén con ajo y todo estaba bueno!,Escrita el 2 de junio de 2025,2 contribuciones,Francia,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1
1776262893-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,"Bueno, bonito y barato!",Irene G,"Hemos pedido el menú del día y todo súper bien. Como alérgica al huevo, muchas alternativas y gran servicio al respecto.",Escrita el 2 de junio de 2025,2 contribuciones,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,2,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1
1776262893-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Comida muy sabrosa,Pablo C,"Muy buena atención, el personal es muy amable. La comida estaba deliciosa, recomiendo los gnocchis del nono y la pizza piamonte.",Escrita el 26 de mayo de 2025,1 contribución,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,1,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1
1776262893-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Explosion de sabores,Danièle D,"Como siempre una sorpresa fenomenal, la primera vez que como burrata caliente, con gambas y su salsa, que explosion de gustos. El riso to de marisco, no podría estar mejor. El tiramisu, como en Italia, me llevo a Génova en segundos, la tarta de queso... Todo perfecto, recomiendo 300%
Allso delicious, it's like returning to Italy, just close your eyes and you are there.
C'est comme voyager sans sortir d'Espagne. Les gens sont professionnels avec un sourrir. Chanque bouché une explosion de saveur. Je recommande à 300%.
Uma festa para o palato, como viajar a Italia sem sair do sítio. Definitivamente um sítio à não perder em Madrid.",Escrita el 25 de mayo de 2025,12 contribuciones,12 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,"Una fiesta y explosión de sabores. La burrata caliente con gambas y su salsa es fenomenal, el risotto de marisco increíble. Los postres uau",,,12,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f7/45/8d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f7/45/8e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1
1776262893-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Inmejorable!,Alejandro S,"El trato, la comida, el ambiente…. Es insuperable!! Todo es perfecto! 
Las pasta es siempre excelente y las pizzas riquísimas. Gracias!",Escrita el 25 de mayo de 2025,7 contribuciones,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,7,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1
1776262893-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Un italiano de 10,Curiosity33124856514,"Trato cercano y atento. Comida de 10 a precios muy buenos. El tiramisu impresionante, volveremos seguro. Nos ha encantado el sitio",Escrita el 24 de mayo de 2025,1 contribución,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1
1776262893-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Deliciosa comida,Fran V,"El trato es excelente, muy amables y atentos. La comida espectacular, muy rico todo, la pizza sobre todo nos ha encantado, el queso muy rico. El tiramisú delicioso también. El baño muy limpio. Repetiremos sin duda.",Escrita el 24 de mayo de 2025,1 contribución,1 contribución,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f4/99/96/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f4/99/97/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1
1776262893-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Bueno Calidad cantidad,Blanca B,"Camarera estupenda y amable.Mucha variedad en la carta indican todos los ingredientes, las pizzas están riquísimas, la lasaña de pollo y verduras y el risotto rico rico.
La tarta de queso espectacular",Escrita el 18 de mayo de 2025,1 contribución,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1
1776262893-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Excelente,Martina T,"Sitio buenísimo, todo lo que hemos pedido o nos ha encantado. Calidad precio un 10 y la atención genial. Volveremos seguro!!!!!!!",Escrita el 18 de mayo de 2025,1 contribución,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1
1776262893-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Justo lo que necesitas,Pam P,"Absolutamente maravilloso servicio e incluso mejor comida. My tagliatelle di campagna
Fue la mejor versión de pasta de pesto con las verduras y burrata añadida. 
Mi marido amante de la comida estaba contento con su tagliatelle Napoli. Terminamos con una tarta de manzana compartida al horno y servida en una pequeña sartén de hierro fundido. 
Definitivamente hacer tiempo para comer aquí.",Escrita el 13 de mayo de 2025,1 contribución,"El Puerto de Santa María, España",Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,,1,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1
1776262893-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Muy recomendable,M Carmen S,"Muy bien la comida, el local y el trato del personal.  Volveré la próxima vez que esté por la ciudad. También calidad precio está muy bien.",Escrita el 13 de mayo de 2025,1 contribución,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,1,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1
1776262893-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Excelente,Daydream46578020994,"Un excelente lugar, comida y atención excepcional, ambiente muy agradable, súper recomendado, volveremos sin duda!!!",Escrita el 13 de mayo de 2025,1 contribución,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,1,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1
1776262893-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Gran experiencia en el corazón de Madrid,FrequentFlier524011,"El restaurante tiene una ubicación muy céntrica, pedí un risotto de pollo y setas y la calidad fue excelente. El postre fue perfecto para terminar un delicioso almuerzo. 
El personal era muy atento y servicial. 
La relación calidad-precio era muy favorable. 
Te recomiendo visitar este hermoso lugar.",Escrita el 13 de mayo de 2025,1 contribución,1 contribución,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,,1,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1
1776262893-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Comida Italiana 100% Exquisita,Diana Milena B,"Hemos estado con mi pareja nos encantó la Comida deliciosa, con buen precio y calidad. La atención también muy buena volveremos pronto.",Escrita el 12 de mayo de 2025,1 contribución,1 contribución,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d8/22/bc/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d8/27/ac/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1
1776262893-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,¡Pienso volver!,Jose G,"El ambiente genial, la atención de Ariel muy atento y amable y la comida riquísima! Pedimos una pizza capricho, tagliatelle boloñesa y creo que petto de pollo a la Alfredo's si no recuerdo mal. Además de la calidad del servicio y la comida, tiene precios buenísimos. Totalmente recomendable.",Escrita el 12 de mayo de 2025,1 contribución,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1
1776262877-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Un sitio agradable,Fernando F,"Buen servicio, el restaurante está muy bonito y la comida está bien, tanto entrantes como los platos principales. Un buen día",Escrita el 12 de junio de 2025,1 contribución,1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,
1776262877-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Riquísimo todo !!,Escape09637562107,Muy rica la comida como siempre y el trato excepcional. Recomendable 100x100 calidad precio .  Así da gusto venir a cenar .,Escrita el 10 de junio de 2025,1 contribución,1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,
1776262877-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Rico y abundante,nonoelita S,"Este italiano es de los que no fallan. Platos sabrosos, bien servidos y con raciones abundantes que realmente llenan.

Ideal si te apetece comer bien sin quedarte con hambre. Un sitio al que siempre dan ganas de volver.",Escrita el 10 de junio de 2025,1 contribución,1,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,
1776262877-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,"Excelente atencion, muy buenos precios. Exelentes postres que te dejan con ganas de regresar. Buena experiencia. Bie",manucho g,"El servicio y la comida exelentes! 
Cenamos Pizzas y pastas Gastamos €22 porque nos cobraron la mitad de todo lo que consumimos gracias a la aplicación the Fork",Escrita el 10 de junio de 2025,1 contribución,1,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,
1776262877-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Buena relación calidad-precio,Cesia O,Buenísimo!La comida estuvo excelente. Nos pedimos una pizza barbacoa y un gnocchi del nonno. Ambos muy ricos y la relación calidad-precio estuvo de 10. Seguramente volveremos,Escrita el 10 de junio de 2025,1 contribución,1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/1f/9b/de/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,
