web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,position,data10,image,data11,data12,data13,data14,data15,data16,data17,image2,data18,data19,data20,data21,data22,data23,data24,image3
1775584226-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Buen servicio y bueno,Eric M,"Buen servicio y muy buenos los Nachos y la Pampa. Jeff, Bea y Josefina muy agradables.
Hay bastante variedad de hamburguesa",Escrita el 15 de septiembre de 2024,sept 2024 • Amigos,3 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,3.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,,
1775584226-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Revivir.,Ricard B,"Después de una fiesta impresionante en el afterlife de la caja mágica, en el que me lo pasé,no bien, sino muy bien, la hamburguesa que me sirvieron Josefina, jeff y Bea me hizo revivir. La pampa, estaba deliciosa y el trato fue genial. Rápidos, atentos y serviciales. 
Pd: el baño era genial, el detalle de que zean todo espejos le da un toque crambeloso, son fenomenales.",Escrita el 15 de septiembre de 2024,sept 2024 • Amigos,1 contribución,No poner tantas veces la canción de titanic.,,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,,
1775584226-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Buena comida y servicio,Mario N,"Comida genial, local muy cómodo y Jeff, Bea y Josefina fueron super atentos con nosotros. Ideal para las resacas jejeje",Escrita el 15 de septiembre de 2024,sept 2024 • Amigos,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,,
1775584226-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Buen lugar,victor u,"Muy bueno, el servicio fue perfecto y la atención de los camareros. Increíble la hamburguesa, el sitio y los nachos. Buen sitio donde comer en Madrid, volveremos.",Escrita el 15 de septiembre de 2024,sept 2024 • Amigos,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,,
1775584226-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Encuentro familiar,steven v,"Una cena para repetir nuevamente con mi familia, la atención por parte Juleysi sin duda la mejor, estuvo atenta en todo momento y sin duda lo recomendamos.",Escrita el 14 de septiembre de 2024,sept 2024 • En familia,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,,
1775584214-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Experiencia horrorosa,Maria S,"La comida fenomenal pero el encargado horroroso, trato pésimo a los comensales y a su personal, prácticamente nos echó para dar de comer a más gente, no creo que volvamos pero sobre todo por esa persona.",,1 contribución,Escrita el 9 de noviembre de 2024,1 contribución,,Escrita el 20 de noviembre de 2024,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,Leer más,0,,,,,,,,,,,,
1775584214-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Regular regular,Carmen M,"A pesar de las excelentes valoraciones, nuestra experiencia bastante regular. Hamburguesas con carne insípida, alguna de ellas incluso quemada y con un precio de 19 euros por hamburguesa. Unos fingers de pollo de entrante nada recomendables. Y servicio lento, más de media hora para tomarnos nota.",,7 contribuciones,Escrita el 31 de octubre de 2024,7 contribuciones,,Escrita el 20 de noviembre de 2024,7.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,Leer más,0,,,,,,,,,,,,
1775584214-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,"Buenas hamburguesas, muy satisfactorias",JoaoBarbieri,"Buen ambiente, buena comida, las hamburguesas donde genial, un poco demasiado caro para la oferta, pero no puedes equivocarte con sus hamburguesas.",,2 contribuciones,Escrita el 14 de octubre de 2024,2 contribuciones,Mostrar original,,2.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,1,,,,,,,,,,,,
1775584214-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Muy bonito y acogedor lugar!,Journey17097272346,Muy buena comida y buen servicio de Juleysi & Nicole. La hamburguesa era muy buena y el servicio fue muy rápido. ¡Recomiendo!,,2 contribuciones,Escrita el 11 de octubre de 2024,2 contribuciones,Mostrar original,,2.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,,,,,,,,,,,,
1775584214-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Muy buena cena,Explore18521890698,Nicole nos atendio muy bien y las hamburguesas estaban deliciosas. De precio bastante bien en cuanto a calidad-precio,,1 contribución,Escrita el 10 de octubre de 2024,1 contribución,,,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,Leer más,1,,,,,,,,,,,,
1775584214-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Lo recomendaría para una comida fabulosa y un excelente servicio.,Van Life.,"Visitado para mi pareja cena de cumpleaños mientras estaba de vacaciones. Una cálida bienvenida con un excelente servicio de Juleysi y Heillie. Una comida absolutamente fantástica con un entorno encantador. Sin duda recomendaría ir al SteakBurger. 
Yo mismo tengo alergia a los frutos secos y tomaron precauciones adicionales al respecto. 
También siendo típicos británicos tenemos limitado el español, pero esto no fue un problema, ya que hay menús en inglés.",,73 contribuciones,Escrita el 10 de octubre de 2024,"Brighton, Reino Unido",Mostrar original,,73.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/3e/0e/f2/caption.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,1,,,,,,,,,,,,
1775584214-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Cena un día normal,Cristina P,"Vinimos a cenar y Nicole nos atendió muy bien, la cena estaba muy rica y mención especial a las patatas fritas, muy bien todo.",,3 contribuciones,Escrita el 10 de octubre de 2024,3 contribuciones,,,3.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,Leer más,1,,,,,,,,,,,,
1775584214-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Excelente experiencia. 100% recomendable.,monica p,Fui a cenar con mi pareja porque ya habíamos estado otra vez el año pasado y nos había gustado mucho. Lad hamburguesas muy ricas y el servicio rápido y amable. Especial mención a Nicole que nos atendió  Volveremos sin duda. Muy recomendable.,,1 contribución,Escrita el 10 de octubre de 2024,1 contribución,,,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,Leer más,0,,,,,,,,,,,,
1775584214-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Buena atencion y comida,George C,"Todo muy rico, me atendieron Nicole y Gianmarco, las cervezas muy frias, la comida deliciosa y el ambiente muy bueno…..",,5 contribuciones,Escrita el 10 de octubre de 2024,5 contribuciones,,,5.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,,,,
1775584214-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Buena comida y atencion,sonia r,"Sitio muy buenas hamburguesas, buena comida en general, y sin gluten la hamburguesa q quieras que eso para mí es importante y en especial la atención de Juleysi. Mil gracias volveremos.",,1 contribución,Escrita el 6 de octubre de 2024,1 contribución,,Comida,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,,,,
1775584214-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Genial!! A must,valerie geal,"Amazing food!! Ah-máz-ing. Service was even better. Gracias Juleysi , Fuiste atento, educado pero amigable. Me encantó todo lo que recomendaste.",,1 contribución,Escrita el 4 de octubre de 2024,"Dublín, Irlanda",,,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,Leer más,0,,,,,,,,,,,,
1775584214-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,"Vale, pero no vale la pena el precio",fionakonberg,"Tomamos una buena hamburguesa y sándwich. Sin embargo por el precio no volvería a visitar. Fue una buena experiencia, pero priorizaría visitar otros lugares cuando esté en Madrid",,8 contribuciones,Escrita el 3 de octubre de 2024,"Fredericia, Dinamarca",Mostrar original,,8.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,,,,,,,,,,,,
1775584214-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Gran cena de cumpleaños,Paul J,Reservamos este restaurante para mi cumpleaños mientras estábamos en Madrid. Idealmente situado en el centro de Madrid. Servicio de primera clase y realmente disfrutamos de nuestra comida. Muy razonable precio también. Gran restaurante.,,4 contribuciones,Escrita el 30 de septiembre de 2024,4 contribuciones,Mostrar original,,4.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,Traducido automáticamente,Leer más,0,,,,,,,,,,,,
1775584214-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Delicioso y limpio,A R,Juleysi era nuestro servidor y ella era maravillosa! La comida era deliciosa! El restaurante estaba limpio y la decoración era bonita. La ensalada de quinua estaba fresca y llena. Los nachos de filete eran tan buenos y las hamburguesas y patatas fritas eran los mejores!,,1 contribución,Escrita el 28 de septiembre de 2024,1 contribución,Mostrar original,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,,,,,,,,,,,,
1775584214-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Nicole y John eran servidores maravillosos y la comida era exactamente lo que necesitábamos después de un largo día de gira por la ciudad! Wou,Emma S,Nicole y John eran servidores maravillosos y la comida era exactamente lo que necesitábamos después de un largo día de gira por la ciudad! Lo recomendaría!,,1 contribución,Escrita el 26 de septiembre de 2024,1 contribución,Mostrar original,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,,,,,,,,,,,,
1775584202-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Perfecto para familias que les guste la carne,Mreces,"Hemos comido súper bien, tenemos una hija muy alérgica a los frutos secos y nos han tratado de lujo. Es un problema a veces y aquí hemos estado seguros 100%.
Bien de precio aunque yo publicaría los precios en la carta de fuera.
Es un local precioso y de antemano parece muy caro.
El trato inmejorable.
Gracias",,5 contribuciones,Escrita el 12 de enero de 2025,5 contribuciones,,,5.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/8a/a7/a8/caption.jpg?w=300&h=300&s=1,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,,,
1775584202-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Comida deliciosa con camareros muy agradables,Lidia L,"El lugar esta genial para cena con amigos o de empresa, un sitio bastante acogedor con camareros muy amables y una comida exquisita  para su precio la verdad",,1 contribución,Escrita el 11 de enero de 2025,1 contribución,Calidad/precio,Ambiente,1.0,Servicio,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/8a/9f/96/caption.jpg?w=300&h=300&s=1,Comida,,,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,,,,,
1775584202-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Delicioso!,Carolina C,"Las hamburguesas eran deliciosas y el personal era increíble. Gritar a Nicola, que nos cuidó muy bien. Recomiendo encarecidamente",,3 contribuciones,Escrita el 11 de enero de 2025,"Sao Paulo, SP",,,3.0,,,,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,,,,,
1775584202-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Excelente comida y experiencia,EUNICEPV,"El ambiente es muy agradable (amigos, colegas, familias, parejas) y la comida era excelente. (Pude admirar los platos servidos en las mesas circundantes, y la gente estaba contenta con sus elecciones.) Mi camarero, Rey, era atento y eficiente. ¡Volveré a SteakBurger!",,11 contribuciones,Escrita el 10 de enero de 2025,"San Juan, Puerto Rico",Calidad/precio,Ambiente,11.0,Servicio,,Comida,Mostrar original,Traducido automáticamente,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,,,,,,
1775584202-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Bonito lugar para comer!,Neisa M,"El lugar era agradable y la comida era muy buena. Nuestro camarero Rei era muy bueno también! Me encantó el ambiente, tuvimos la hamburguesa, el pollo y solomillo, todo bueno y jugoso!",,3 contribuciones,Escrita el 9 de enero de 2025,"Guaynabo, Puerto Rico",,,3.0,,,,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,,,,
1775584202-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Excelente,Angel P,"La comida estuvo muy buena nos sirvieron bastante rápido, la mesera Nicole estuvo siempre atenta y fue muy amable con nosotros, sin duda volvería.",,1 contribución,Escrita el 7 de enero de 2025,1 contribución,,,1.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,,,,
1775584202-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Excelente,Edna F,Super la comida excelente muy buena la comida Nicole nos atendio excelente. Plato servido muy rapido y tal y como lo solicite,,1 contribución,Escrita el 7 de enero de 2025,1 contribución,Calidad/precio,Ambiente,1.0,Servicio,,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,,,,,
1775584202-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Las mejores de Madrid!,Juan Augusto V,"Hamburguesas buenísimas, picantona, guacamole, jalapeños, cerveza IPA, gran combinación!, Nicole nos atendió muy bien!, para repetir sin duda",,17 contribuciones,Escrita el 7 de enero de 2025,"Huelva, España",,,17.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/82/b6/f1/caption.jpg?w=300&h=300&s=1,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,,,,
1775584202-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,las mejores salsas,Juan Sergio V,"Bastante educada, agradable y atenta, la camarera se llamaba Nicole nada que mejorar, en la comida, tanto el batido y el Gulden Mustard estaban deliciosas",,1 contribución,Escrita el 7 de enero de 2025,1 contribución,Calidad/precio,Ambiente,1.0,Servicio,,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,,,,,,,
