web_scraper_order,web_scraper_start_url,data,data2,data3,data4,position,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,image4,position2
1775470212-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Toda una locura de experiencia.,Kelvin B,El lugar espectacular.  El servicio muy eficiente y el trato de Moisés es un 200%. Desde que llegamos el servicio fue bien rápido en todo.  No hubo tiempo de espera excesivo.,2 contribuciones,2.0,Escrita el 26 de diciembre de 2025,,,,dic 2025 • Parejas,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,
1775470212-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,¡Mi restaurante favorito en la ciudad!,Maria 🪷,"¡Qué tiempo encantador tuvimos en este restaurante hermosamente ecléctico y divertido! La decoración es fantástica, y es un toque lindo que el personal use pijama. Compartimos la paella de pollo, bravas y más. El helado de loto blanco es precioso. Consejo profesional: Estudia el menú en línea graciosamente frustrante y torpe antes de llegar, para no perder parte de tus 90 minutos tratando de navegar por él.",605 contribuciones,605.0,Escrita el 26 de diciembre de 2025,,,,dic 2025 • Parejas,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/10/05/28/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/d8/15/a7/caption.jpg?w=100&h=-1&s=1,
1775470212-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,natale da rosi,gemma g,"Experiencia muy divertida, ambiente súper colorido y particular, el personal es muy agradable, Cristina fue realmente muy buena",1 contribución,1.0,Escrita el 25 de diciembre de 2025,,,,dic 2025 • En familia,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,
1775470212-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,,,,,,,Explora ahora,Descubre Hiroshima,Descubre por qué a los viajeros como tú les encanta Hiroshima,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a4/aa/02/caption.jpg?w=400&h=400&s=1,,,,
1775470212-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Bb,Matteo T,"Restaurante muy hermoso Y particolar.
Tambien Los camerieros Moisés Y lulu muy muy sweet.
Y Los Platone esta muy bueno.",1 contribución,1.0,Escrita el 24 de diciembre de 2025,,,,dic 2025 • En familia,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,
1775470212-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Super recomendable! Reservá xq es difícil conseguir lugar...,Sonia P,"La comida imperdible, sabores exóticos, pero muy muy ricos, de calidad todo, la ambientación super divertida para ir en familia y la atención de Moisés, impecable! Super amable y nos orientó muy bien! Recomendaciones: Tataki de atún rojo, los fideos de atún rojo! Aunque todo nos encantó!",1 contribución,1.0,Escrita el 22 de diciembre de 2025,,,,dic 2025 • En familia,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/09/6a/23/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/09/6a/24/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,
1775470212-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Cena para dos,Cristina G,"Ambiente increíble, lleno de color y buen rollo. Comida deliciosa y original. Equipo encantador. 100% recomendable :)",6 contribuciones,6.0,Escrita el 22 de diciembre de 2025,,,,dic 2025 • Parejas,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/08/a7/ce/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/08/a7/cf/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/1b/24/9a/crisgherrera.jpg?w=100&h=-1&s=1,
1775470212-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Repetiria,Toni V,"Muy bien, todo lo que comimos genial, especialmente la tortilla de patatas, tambien el trato del personal genial, nos atendio Moises, muy simpatico, repetiria.",1 contribución,1.0,Escrita el 21 de diciembre de 2025,,,,dic 2025 • En familia,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,
1775470198-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Experiencia fantástica,Goyi S,"Valoración muy positiva. Excelente local, divertido y un trato exquisito y amable por parte de Moisés.",,4.0,4 contribuciones,Escrita el 24 de enero de 2026,4 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/47/39/25/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,1.0
1775470198-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,UN RESTAURANTE MEDIO,Rin R,"Me gustan las bebidas aquí,pero la pasta que combina queso y pera es tan extraña.
Además los servicios aquí me queda muy bien，especialmende el de MOISES.Es un restaurante muy interesante y innovado.",,2.0,2 contribuciones,Escrita el 23 de enero de 2026,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/46/aa/fa/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,0.0
1775470198-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Originalidad y cercanía,"Viajar y disfrutar, todo es empezar","Comimos el día de Navidad y a pesar del 20% adicional por ser ese día, tengo que decir que lo pague gustosamente ya que tanto los originales platos como el servicio por parte de los profesionales que nos atendieron fue excepcional. Sitio para recomendar y repetir",,201.0,201 contribuciones,Escrita el 23 de enero de 2026,"Madrid, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/0a/e7/e6/avatar.jpg?w=100&h=-1&s=1,0.0
1775470198-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Increíble,Otero28,"Toda una experiencia. El nivel de alimentos es altísimo. La presentación no lo explico… es sin duda el atractivo del lugar. Lo llamativo en la presentación de los platillos creo que es lo que más me gustó, pero la calidad de los alimentos no se queda atrás. El lugar está muy original, colorido, vivo, bastante agradable. La atención muy muy buena.
Éramos un grupo de 8 personas y nos tocó en una mesa casi privada en la parte de abajo.
Las bebidas te las llevan en unas tazas super originales, tienen mixologia muy completa y muy elaborada. En fin… realmente vale mucho la pena ir. Cumple con todo lo que uno busca en un buen restaurante. Muy muy recomendable. RESERVACION FORZOSA.",,180.0,180 contribuciones,Escrita el 22 de enero de 2026,"León, México",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/44/f5/7e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/44/f5/7f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/44/f5/7d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/92/34/71/caption.jpg?w=100&h=-1&s=1,0.0
1775470198-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Muy divertido y amables,francisco v,"Muy buen lugar y con Ismael y Edwin personas encantadoras que hacen de tu estancia un momento muy agradable,Gracias a Ambos",,8.0,8 contribuciones,Escrita el 22 de enero de 2026,8 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/44/79/82/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/44/79/81/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,0.0
1775470198-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Muy bien,raul,"Fantástico calidad de comidas, muy original y aunque parezca fotos llamativas aún es mejor los sabores, recomendable calidad precio",,46.0,46 contribuciones,Escrita el 20 de enero de 2026,"Algeciras, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/40/9a/5d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/40/9a/5e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/40/9a/5c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,0.0
1775470198-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Todo perfecto,Sara A,"Todo perfecto, la comida muy buena y la atención excelente sobre todo la de Edwind que fue el camarero que nos atendió",,1.0,1 contribución,Escrita el 16 de enero de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,0.0
1775470198-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,La atención de Edwin,Cristina E,"Una gran experiencia, gracias a Edwin la reina nos encantó todo lo recomendado, la comida riquísima, los cócteles súper buenos! Para repetir",,3.0,3 contribuciones,Escrita el 15 de enero de 2026,3 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,0.0
1775470198-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Buena,Paqui G,Muyy buen servicio Miguel comida y platos muuy especiales y decoración espectacular,,1.0,1 contribución,Escrita el 14 de enero de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,0.0
1775470198-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,10/10,Rafa b,"Super chulo el sitio, y la comida super buena , nos atendió Edwin la reina y super atento y profesional. 10/10, los recomiendo.",,1.0,1 contribución,Escrita el 12 de enero de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,0.0
1775470198-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Simplemente genial.,Ángela V,"Edwing ha hecho que la experiencia haya sido increíble. Es una suerte encontrarte camareros así, hacen que un menú estupendo lo sea aún más. Muchas gracias ☺️",,1.0,1 contribución,Escrita el 5 de enero de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/21/7b/d5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,0.0
1775470198-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Los amo 🫶🫶🫶🫶🫶,Clau G,"Ame el lugar desde q llegué ! Quique nos ayudó en todo nos trajo los platos divinos ricos , Eva nos ayudó …Ismael trajo risa a la mesa me
Voy feliz con Rosi la Loca !!! 🎄🎄🎄🎄🎄",,5.0,5 contribuciones,Escrita el 4 de enero de 2026,5 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/21/62/f7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/21/62/f8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/21/62/d4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,0.0
1775470198-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,NO COMUNICAN CON LOS CLIENTES,Raul F,"Llevo 3 intentos en varios días para comprar una tarjeta regalo de este restaurante, finalizo todo el procedimiento pero ni me confirman ni me cargan en cuenta. Múltiples intentos de comunicar con ellos por tlfno. y whatsapp y no contestan. Me parece que no es forma de tratar a los clientes.
Será que como está loca la Rosi...",,13.0,13 contribuciones,Escrita el 4 de enero de 2026,13 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,1.0
1775470198-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Una experiencia diferente y espectacular.,Marisel O,"El lugar es espectacular, súper recomendado.  El ambiente es muy agradable y son muy nice.  Moisés nuestro mesero es un chico superb.",,2.0,2 contribuciones,Escrita el 3 de enero de 2026,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,0.0
1775470198-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Muy pintoresco malísima atención y peor comida.,Bravo,"Si buscas un lugar para tirar fotos y subirla a las redes sociales, es muy pintoresco y colorido. Si quieres buenas atenciones y buena comida considera otro lugar. El servicio es fatal, la comida normal para no darle otra clasificación. Pedí unas croquetas y sinceramente las de Costco son mejores y la hamburguesa mala y sale sin papas fritas. Espero nunca volver.",,1.0,1 contribución,Escrita el 31 de diciembre de 2025,Puerto Rico,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,0.0
1775470182-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Excepcional,Amanda Z,"Me a encantado! El lugar bellísimo, la comida deliciosa, el trato de Miguel excelente y me ha encantado el show del mago! De lujo",,5.0,5 contribuciones,Escrita el 12 de febrero de 2026,,,,,,"Heredia, Costa Rica","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/6f/4a/ce/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,
1775470182-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Excelente!,orlando acosta,"Increíble ambiente! Recomendado 100%, la atención de Edwing fue excelentemente buena! Esperemos volver pronto ya que sitios así son contados con los dedos!",,1.0,1 contribución,Escrita el 8 de febrero de 2026,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Madrid, España",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/9c/eb/cf/orlando-a.jpg?w=100&h=-1&s=1,,,
1775470182-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Espectacular,Javier S,"Muy recomendable,la comida muy buena,nos atendiò Edwing y nos tratò de maravilla muy atento en todo momento.volveremos!!!!",,1.0,1 contribución,Escrita el 8 de febrero de 2026,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,
