web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,position,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,image3,data17,data18,data19,data20
1776250685-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Excelente experiencia,Jose Luis P,"Experiencia totalmente satisfactoria. Atendidos por Celia Hernández, un encanto y excelente profesional. Muy recomendable","¡Hola V3304PAjoseluisp! 
Muchas gracias por visitarnos en Maruzzella y considerar excepcional la experiencia. Nos encanta saber que has disfrutado de nuestra auténtica comida italiana y que estés deseando volver al restaurante.",1 contribución,Escrita el 21 de julio de 2024,1.0,Escrita el 26 de julio de 2024,,R.A,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776250685-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Muy agradable,Jose Manuel C,"Buen servicio y buena calidad, como siempre. Fabiola, Olimar y Rocío nos atendieron muy bien, atentas a nuestras peticiones",¡Mamma mia! D3198VVjosemanuelc ¡Gracias por dejarnos una reseña tan increíble sobre Maruzzella! E' fantastico leggere queste parole! Esperamos recibirte en infinidad de ocasiones más.,"Madrid, España",Escrita el 21 de julio de 2024,3.0,Escrita el 26 de julio de 2024,3 contribuciones,R.A,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776250685-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Un buen lugar para comer,Martín P,"Genial restaurante y trato fantástico!
Sobre todo el trato de la camarera Celia siempre pendiente de que todo fuera de nuestro agrado.",¡Qué alegría conocer tu valoración mart_np506! Estamos encantados de saber que disfrutaste de nuestros autentici piatti italiani y esperamos verte de nuevo pronto en Maruzzella.,1 contribución,Escrita el 14 de julio de 2024,1.0,Escrita el 19 de julio de 2024,,R.A,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776250685-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Maravilla,Angela B,"Trato genial de Fabiola Paula y Celia, comida de alto nivel.

Me ha encantado el sitio y como italiana recomiendo spaghetti alla Nerano",Molte grazie por compartir tus estrellas con nosotros! Que grato saber que tu experiencia en Maruzzella ha sido fantástica ¡Te esperamos pronto de regreso en el restaurante!,3 contribuciones,Escrita el 13 de julio de 2024,3.0,Escrita el 19 de julio de 2024,,R.A,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d7/9c/83/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776250685-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Estupendisimo,Paula S,"Nos ha encantado, la pasta buenisima sobre todo la de marisco. Ademas, la camarera Celia muy agradable y atenta :) 100% recomendable",È bello scoprire il segreto del gusto in Maruzzella! Queremos que sigas disfrutando de todos los auténticos platos en próximas ocasiones.,1 contribución,Escrita el 10 de julio de 2024,1.0,Escrita el 19 de julio de 2024,,R.A,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776250668-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Buena comida italiana. Servicio amable y atento.,Igor,Buena comida italiana. El servicio amable y atento. Agradable para venir en familia o con la pareja. Buena elección para la zona de Chamberí.,"Muchas gracias por visitarnos en Maruzzella y considerar positiva la experiencia. Nos alegra saber que la atención del equipo ha estado a la altura de tus expectativas.
¡Te esperamos pronto de vuelta!","Ciudad de México, México",11,,Escrita el 3 de noviembre de 2024,11 contribuciones,R.A,Escrita el 18 de noviembre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0
1776250668-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Servicio impecable,Gabriela B,He ido esta tarde a comer con mi familia y nos han atendido súper bien!! La comida muy rica y la camarera Neybi muy educada.,"¡Hola gabrielabY6852PL! 
Muchas gracias por visitarnos en Maruzzella y considerar excepcional la experiencia. Nos encanta saber que has disfrutado de nuestra auténtica comida italiana y que estés deseando volver al restaurante.",1 contribución,1,,Escrita el 1 de noviembre de 2024,,R.A,Escrita el 18 de noviembre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0
1776250668-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Fantástico!,Regina M,"Nos atendió Miguel, fue muy amable y rápido! Volveremos seguro, nos encantó! Pedimos risoto, burrata y gnocchi! Gracias!","¡Hola reginamZ8167MX! 
Qué bueno que disfrutaste al máximo tu experiencia en Maruzzella! Estaremos felices de recibirte nuevamente en el ristorante y que sigas probando nuevas especialidades italianas.",5 contribuciones,5,,Escrita el 26 de octubre de 2024,,R.A,Escrita el 29 de octubre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0
1776250668-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Experiencia muy buena,Culture36820925043,"Se come muy bien y el sitio es muy bonito, ademas te atienden genial. La situación del local es inmejorable. Una experiencia para repetir","¡Hola Culture36820925043! 
Muchas gracias por visitarnos en Maruzzella y considerar excepcional la experiencia. Nos encanta saber que has disfrutado de nuestra auténtica comida italiana y que estés deseando volver al restaurante.",1 contribución,1,,Escrita el 26 de octubre de 2024,,R.A,Escrita el 29 de octubre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0
1776250668-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Repetiremos,Pedro E,Hemos cenado genial y el servicio de Miguel y el resto del equipo ha sido magnífico . Repetiremos seguro. Muy aconsejable,¡Mamma mia! 121pedroe ¡Gracias por dejarnos una reseña tan increíble sobre Maruzzella! E' fantastico leggere queste parole! Esperamos recibirte en infinidad de ocasiones más.,2 contribuciones,2,,Escrita el 25 de octubre de 2024,,R.A,Escrita el 29 de octubre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/70/7f/cb/pedro-e.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0
1776250668-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Encantados,david,"Nos encanto, lq comidq riquisima, el ambiente tranquilo y el personal encantador, Nicole nos atendio de forma cercana y agradable, repetiremos",¡Qué alegría conocer tu valoración DayTrip48426867055! Estamos encantados de saber que disfrutaste de nuestros autentici piatti italiani y esperamos verte de nuevo pronto en Maruzzella.,"Oviedo, España",5,,Escrita el 20 de octubre de 2024,5 contribuciones,R.A,Escrita el 29 de octubre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0
1776250668-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Estupenda experiencia,Alexandra M,"Maravilla como siempre, espectacular comida y la atención muy buena. Nuestras camareras Neybi y Belkys estupendas. Gracias",Molte grazie por compartir tus estrellas con nosotros! Que grato saber que tu experiencia en Maruzzella ha sido fantástica ¡Te esperamos pronto de regreso en el restaurante!,1 contribución,1,,Escrita el 19 de octubre de 2024,,R.A,Escrita el 29 de octubre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0
1776250668-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Vine a cenar porque es un restaurante que me gusta mucho y siempre repito. Una experiencia muy recomendable,marta G,"Muy recomendable, buen precio y buena calidad. La lasaña es uno de los platos estrella del sitio. La atención muy buena también",Siamo molto contenti por que probarás nuestra auténtica comida italiana ¡Te esperamos pronto de regreso en nuestro ristorante!,1 contribución,1,,Escrita el 18 de octubre de 2024,,R.A,Escrita el 29 de octubre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Comida,Servicio,Ambiente,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,Leer más,Leer más,0.0
1776250668-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Excelente,FranciscoFernandez98,Está genial! Hemos venido muchas veces y repetiremos con gusto. Especialmente rico está el pappardelle con fruti di Terra y el tiramisú!,¡Mamma mia! FranciscoFernandez98 ¡Gracias por dejarnos una reseña tan increíble sobre Maruzzella! E' fantastico leggere queste parole! Esperamos recibirte en infinidad de ocasiones más.,"Madrid, España",3,,Escrita el 13 de octubre de 2024,3 contribuciones,R.A,Escrita el 14 de octubre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0
1776250668-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Estupendo italiano con buena atención y calidad,Teresa P,"Buen ambiente en el local, bien decorado y buena música italiana. Calidad de los productos y bien elaborados, estupenda atención.","¡Hola Teresa P! 
Muchas gracias por visitarnos en Maruzzella y considerar excepcional la experiencia. Nos encanta saber que has disfrutado de nuestra auténtica comida italiana y que estés deseando volver al restaurante.","Madrid, España",91,,Escrita el 13 de octubre de 2024,91 contribuciones,R.A,Escrita el 14 de octubre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/32/64/74/teresa-p.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0
