web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,position,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,image2,data18,data19,data20,data21,image3
1779688202-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Delicioso desayuno en un lugar acogedor y agradable,Andrea A,"Lugar agradable para el desayuno, excelente corte y jugos, y una encantadora selección de opciones de desayuno saludable. Mi amiga estaba desesperada por un café y leche muy fuertes y le entregaron el mejor café que había tomado en todo el viaje!",17 contribuciones,Escrita el 21 de abril de 2025,"Woodbridge, Reino Unido",17.0,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/aa/06/57/caption.jpg?w=100&h=-1&s=1,,,,,
1779688202-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Bueno / simpático,Eric L,"Personas muy simpáticos y menu sencillo pero sabroso : ensalada de pasta ( con albahaca, tornillo), carne/arroz bueno, pastel de chocolate con plátano (madura y aromática) muy bueno, a 20€.",8 contribuciones,Escrita el 19 de abril de 2025,8 contribuciones,8.0,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,,
1779688202-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Espacio acogedor y menú muy rico.,Rosa G,"Un lugar muy especial.
La comida riquísima,riquísima. La calidad del producto y la elaboración super cuidadas.
Y Fernando el mejor profesional y el más acogedor🥰",2 contribuciones,Escrita el 8 de febrero de 2025,2 contribuciones,2.0,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,,
1779688221-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Menú casero en Barrio de Las letras,Sonia F,"Un sitio original, con buena comida casera, menú del día muy bueno y un trato estupendo por parte de Fernando.
Un acierto,  en pleno bares de Las Letras.
Para volver, sin duda.",17 contribuciones,17,Escrita el 1 de febrero de 2025,,17 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,Reservar,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/b9/d0/bb/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/68/fd/36/sonia-f.jpg?w=100&h=-1&s=1,0,,,,
1779688221-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Lugar perfecto para desayunar solo,Livie,"Adorable café / lugar de desayuno! Muy buen personal también. También me sorprendió la calidad del aceite de oliva. Pequeño lugar perfecto para comer mi comida, leer mi libro, y luego, por supuesto, tener postre",15 contribuciones,15,Escrita el 22 de noviembre de 2024,,15 contribuciones,Mostrar original,,,,,,Traducido automáticamente,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/30/5a/51/capti_r.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/23/8b/fe/livieandfood.jpg?w=100&h=-1&s=1,0,,,,
1779688221-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Gran desayuno local!,Steven L,Maravillosa experiencia de desayuno español local. El pan y la tortilla española estaban buenísimos y sabrosos y abundantes y de bajo precio. Gran servicio también!,62 contribuciones,62,Escrita el 10 de noviembre de 2024,,"Poulsbo, Washington",Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,0,,,,
1779688221-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Lugar amoroso y comida deliciosa,Clara Sofía G,"La comida fantástica pero lo mejor es el amor con el que se maneja el lugar ❤️. Desayunamos tortilla de patatas, pan AOVE con jamón ibérico y tarta de queso. Excelente café y té.",1 contribución,1,Escrita el 7 de noviembre de 2024,,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,0,,,,
1779688221-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Lugar acogedor con deliciosa comida,Violin-Mel,"Mi familia de 4 tuvo un almuerzo maravilloso en este pintoresco restaurante. Las opciones vegetarianas y cárnicas se ofrecen en un menú fijo de 17 €, que incluye un entrante, plato principal, postre, bebida y café. 
El servicio es amable y rápido. Esta es una joyita en Madrid.",141 contribuciones,141,Escrita el 19 de octubre de 2024,,Bonn,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,0,,,,
1779688221-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Excelente y Creativo,Maria Pilar L,Acogedor.La atención personal es extraordinaria.Productos artesanos y riquísimos.Ideal para Desayunos y Brunchs.Las Tartas un Diez!!,2 contribuciones,2,Escrita el 11 de octubre de 2024,,2 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,0,,,,
1779688221-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,El mejor desayuno de Madrid.,Trail04206799417,"Todo excelente, la comida deliciosa, muy acogedor el lugar y la atención es de 10 puntos, lo hacen sentir mejor que casa.",6 contribuciones,6,Escrita el 11 de octubre de 2024,,6 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,0,,,,
1779688221-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Sabores naturales y sin azúcares,Rebeca R,"Íbamos de camino a la zona Centro a comer y antes de eso pasamos x delante de este precioso lugar, hace mucho que no veía una carta tan ""natural"" con productos frescos y sin azúcares. Zumo natural de manzana y jengibre y 2 tostas de aguacate con sésamo, pipas y queso, una verdadera delicia. Repetiré con otro zumo natural y algo más. Pero ahora un muy bien sabor de boca.",1 contribución,1,Escrita el 10 de julio de 2024,,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,0,,,,
1779688221-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Gran elección de desayuno en un pequeño café encantador,Samantha F,"Pequeño café encantador que ofrece una gran selección de desayuno (dulce y salado) y bebidas. Servicio rápido y encantador, amable propietario.",2 contribuciones,2,Escrita el 16 de junio de 2024,,"Stratford-upon-Avon, Reino Unido",Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/94/30/62/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,0,,,,
1779688221-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Lugar muy agradable,Tonylibb,"El lugar es agradable, esta muy bien ambientado y decorado. El mozo muy amable . Excelente atencion. Muy rico todo. Recomiendo la tarta de queso",8 contribuciones,8,Escrita el 19 de abril de 2024,,"Provincia de Buenos Aires, Argentina",,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/e7/76/27/inspire58052347438.jpg?w=100&h=-1&s=1,0,,,,
1779688221-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Buen sitio para desayunar,Maria L,Desayunamos como reyes. Mucha variedad tanto en dulce como salado y un servicio muy atento y rápido. Volvería  sin dudarlo,11 contribuciones,11,Escrita el 10 de marzo de 2024,,11 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,0,,,,
1779688221-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Muy sobrevalorada es lugar es pequeñísimo la comida es de fonda la atención es deficiente hay mucho mejores lugares con,isrrael salomon,El lugar mal decorado la atención muy deficiente como que ya tiene una cartera de clientes y ya no quiere superarse el vino muy malo la comida es standar nada que puedas recordar creo que en cualquier mercado puedes comer mejor,3 contribuciones,3,Escrita el 15 de diciembre de 2023,,"Puebla, México",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,0,,,,
1779688221-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,"Buen trato, excelente comida",Lucia L,"Pues la opinión de que el camarero es más educado.  La que la hace ha tenido que ir a otro restaurante porque en el Matilde dis veces que hemos ido desde Barcelona,  amabilidad,  educación y buen  comer en su expresión máxima",1 contribución,1,Escrita el 10 de diciembre de 2023,,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,0,,,,
1779688221-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Te tratan con el pie,Nena P,"Muy maleducado el camarero, todas las veces q nos habló lo hizo de manera desagradable, así el desayuno te sienta hasta mal y encima pagando para q te pongan verde. No vayas, hay muchos sitios en Madrid con encanto",1 contribución,1,Escrita el 9 de noviembre de 2023,,"Madrid, España",,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,0,,,,
1779688221-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,"Buen trato, rica comida",Ivana,"La atención es increíble ❤️ agradecemos mucho a Fernando por su trato, la comida también es rica, sin duda lo recomiendo y volvería.",4 contribuciones,4,Escrita el 20 de octubre de 2023,,"Ciudad de México, México",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/a2/2e/cc/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,0,,,,
1779688243-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Desayuno de sábado en Madrid,rafaelsaco,"Nos trataron fenomenal, las tartas muy ricas y nada pesadas 
La mantequilla y la mermelada son artesanales y se nota
La pena es q es pequeño y a veces tienes q esperar 
No es excesivamente caro pero no es barato 
Recomendable",38 contribuciones,38,Escrita el 9 de septiembre de 2023,,"Córdoba, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/49/0a/9b/caption.jpg?w=300&h=300&s=1,,,,,,
1779688243-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Muy rico!,Regina G,"Está riquísimo, me sorprendió!! 
El Mollete de lomo de cerdo , el servicio excelente, muy recomendable!",4 contribuciones,4,Escrita el 6 de septiembre de 2023,,4 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/42/70/88/caption.jpg?w=300&h=300&s=1,,,,,,
1779688243-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Desayunón,Eskinosoa,"Fui a desayunar con mi pareja nada más llegar a Madrid y antes de ir al museo del prado (que se encuentra a 5 minutos).

Monísimo el sitio, buenísimo el desayuno y majísimo el camarero. Muy buena relación cantidad-precio para ser Madrit.",2 contribuciones,2,Escrita el 14 de julio de 2023,,"Errenteria, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/be/b2/0c/caption.jpg?w=300&h=-1&s=1,,,,,,
1779688243-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Acogedor lugar para desyunar,AxlValdes,"Acogedor lugar para disfrutar desayuno o brunch, la atención de Fernando espectacular sin dejar a un lado el sabor de los alimentos, sin duda volvería!",14 contribuciones,14,Escrita el 18 de mayo de 2023,,"Ciudad del Carmen, México","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f6/c9/2e/axlvaldes.jpg?w=100&h=-1&s=1,,,,,
1779688243-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,"Si se puede, hay que desayunar aquí",cesar,"Sitio que encontramos por casualidad para desayunar y bendita casualidad. Gran variedad de tartas, tostadas saludables, repostería sin gluten y unos zumos tan originales como sabrosos.",5 contribuciones,5,Escrita el 12 de mayo de 2023,,5 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,
1779688243-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Muy bien todo.,Cristina G,"Muy bien todo,desde que entramos un trato muy agradable,nos sirvieron rápido,comida excelente y un entorno acogedor, sin duda repetiremos.",7 contribuciones,7,Escrita el 16 de abril de 2023,,7 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,,,,
1779688243-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Espectacular!,Rosario G,"Es comida reconfortante, bien hecha, se nota el cariño del dueño en las cosas que hace, la atención fue increible, postres deliciosos y buen cafe. Recomendadisimo viajeros!",6 contribuciones,6,Escrita el 23 de febrero de 2023,,6 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,,
