web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,data16,data17,data18,position,data19,image3
1775833891-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Mi lugar preferido,Teresa,"Hace mas de 3 años que visito este restaurant, el trato y la comida van parejos, a tds mis amigos trato de llevarlos alli, pq td es genial y luego quedan encantados del sitio, felicitaciones al equipo de trabajadores, que hacen posible el buen trato y la calidad de los platos, y a su dueño q es una persona excepcional .",1 contribución,1,Escrita el 16 de abril de 2022,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,
1775833891-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Asado y chori excelente a lo ARGENTO,Marcela,El menú de asado es súper económico y excelente para los argentinos. Asado bien cocido y chorizo sabroso. Lugar pequeño pero excelente. Muy buen servicio. Si pediste agregar dulce de leche al flan tiene cargo pero es IMPERDIBLE. Bien céntrico. Súper precio para Madrid.,11 contribuciones,11,Escrita el 11 de abril de 2022,11 contribuciones,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,,,,
1775833891-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Mama Mia,Baptiste K,"Una carne increíble por un precio muy barato ! 
Personal muy sympatico, le recommiendo a todos los que quieren una buena carne !",5 contribuciones,5,Escrita el 27 de marzo de 2022,"Vanves, Francia","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,
1775833873-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,La simpleza de la perfección,bilbaocarvajal,"Anoche fuimos con mi esposa a cenar. Tuvimos la oportunidad de charlar amenamente, entre orden y orden, con el Doctor Honoris Causa de la Parrilla, Ever. Velada absolutamente genial y la carne un sinónimo de perfección. Perfección. Los chimichurris que tienen estaban sublimes. Pan, papas y la minúscula ensalda de tomate cherry y berros que adorna el plato precisa. Nada se pierde. El chorizo es otro punto alto. Es un buen trailer de lo que se viene. La carne, el lomo alto, solo se come así en Baires o Argentina profunda. Grasas que se derriten en la boca como m&m, el punto perfecto, el sabor que no puedes reproducir en tu casa incluso si conozco a tu proveedor. Lo más bajito, más por estar con los otros monstruos que por si mismo, es el flan aún lejano al poder de la carne y los embutidos que tienen. Felicitaciones. Anoche fuimos al que quizás es el mejor restaurant de carnes de Madrid en relación precio-calidad. Por lejos. Gran aporte la foto de Messi como hechicero.",77 contribuciones,77,Escrita el 28 de enero de 2023,"Santiago, Chile",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,,,,,,
1775833873-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Exquisito.... excelente servicio y atencion,Eduardo,"Lugar espectacular muy acogedor, Eber y Elías muy atentos....sabor , cocina exquisito. Recomendación el lomo alto...las empanadas deliciosas.  Simplemente un buen manjar...ahh el paste de queso....no se lo pueden perder, muy original.....bocado di cardinalli",7 contribuciones,7,Escrita el 20 de enero de 2023,7 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,,
1775833873-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Excelente Lugar de Carnes en Madrid,barbieoshunsita,Excelente lugar !! NO DUDEN EN VISITARLO buenos precios su chorizó y su lomo Alto Deliciosos!!!!!!!!! Un lugar que tienen que visitar si están en madrid💓,61 contribuciones,61,Escrita el 15 de enero de 2023,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/da/26/23/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/29/69/f8/caption.jpg?w=100&h=-1&s=1,,,,,,
1775833873-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Una exquisita carne argentina en el centro de Madrid,Carmen Sanchez,"Llegamos a este restaurant casualmente, y nos encantó! La atención muy buena, rápidos en la atención. El local es muy pequeño y recomiendo hacer reserva.  La comida espectacular! Si quieren comer parrilla este es el lugar. En postres ni se diga. Vale la pena esperar por una mesa. Los felicito a todo el grupo humano! Es muy muy burno!",2 contribuciones,2,Escrita el 31 de diciembre de 2022,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,,,
1775833873-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Comida excelente,Leticia A,"Pedimos lomo alto y hamburgués de angus. Espectacular las 2 cosas .  De postre pedimos panqueque de dulce de leche: de sabor muy bueno pero estaba frío.
Las cuatro estrellas se las doy porque hice reserva que me confirmaron y cuando llegué no aparecía por ningún lado la reserva. También tengo que decir que rápidamente vieron la primera mesa que se iba a quedar vacía y nos la dieron. Nos atendieron muy bien. Espero volver pronto y esta vez darle las 5 estrellas.",12 contribuciones,12,Escrita el 18 de diciembre de 2022,"Madrid, España",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,,,
1775833873-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Guardado en lo preferidos de Madrid,Laura P,"Ha sido un acierto. Lo encontramos por casualidad, nos dejaron sentarnos en una mesa reservada si éramos rápidos. La atención fue de 10 y los platos contundentes, ricos y a buen precio. Para probar la carta entera, incluidas las ensaladas!!!",26 contribuciones,26,Escrita el 16 de diciembre de 2022,26 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/3b/e0/e3/laura-p.jpg?w=100&h=-1&s=1,,,,,,
1775833873-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,"Simplemente espectacular. La carne hecha sobre carbón, súper jugosa, patatas caseras los entrantes de muerte. Volveremos",Marga,"Genial experiencia. Comida excelente y excelente atención. Carnes jugosas , entrantes buenísimos y postres geniales",8 contribuciones,8,Escrita el 9 de diciembre de 2022,"Port d'Alcudia, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/42/21/69/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,,,,
1775833873-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Sensacional.,Pedro S,"Lugar acojedor .
Sin lugar a dudas un restaurante argentino 100% recomendable. El servicio rápido y atento.
La comida  SENSACIONAL.",2 contribuciones,2,Escrita el 23 de noviembre de 2022,"Alcudia, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,
1775833873-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Buena carne,andrezstar,"Lugar pequeñito en el corazón de madrid. Fuimos por el tipo de restaurante y por la puntuación

Como entrantes... Provoleta que era bastante sabroso y la verdad es que con esto yo no recomiendo coger ningun entrante más, aunque tengas hambre.  Hicimos quizás el ""error"" de pedir el chorizo, que era bastante sabroso pero nos dejó bastante llenos, porque además pedimos pan para los dos entrantes (lo cobran por cierto). 
Como platos pedimos los dos la hamburguesa black angus, que la verdad era una buena eleccion. Quizás me arrepiento de no haber pedido otra cosa diferente para compartir y poder probar otra cosa, me quedo con las ganas de probar el lomo alto y el vacio

Ocultar el texto",2493 contribuciones,2493,Escrita el 14 de noviembre de 2022,"París, Francia",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/80/dc/e4/andrezstar.jpg?w=100&h=-1&s=1,,,,,,
1775833873-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Demasiado bueno,CARMELI V,"Excelente atención.  Comida muy deliciosa y de calidad. Altamente recomendado. Comi allí casi toda mi estadía.  Todo maravilloso.  Local limpio, comida deliciosa, excelente atención.  Qué más se puede pedir?",6 contribuciones,6,Escrita el 22 de octubre de 2022,"Lecheria, Venezuela",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/a0/f7/d3/pampa-beef.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,,,,,
1775833873-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Muy recomendable,Fjavier301162,"Fuimos guiados por la críticas. Lugar con pocas mesas por lo que es recomendable reservar.
La carne excelente así como el trato de Germán.
La próxima vez repetiremos..",62 contribuciones,62,Escrita el 2 de octubre de 2022,A coruña,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,,,
1775833873-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Sabrosa comida!!!,Mara L,"Fuimos a Madrid de vacaciones desde PR y en busca de carnes nos topamos con Pampa Beef. Lo recomendamos si quiere comer rico. No se arrepentirá! El sabroso lomo, mollejas y sobretodo el servicio brindado por German. Esperamos regresar algún día!",2 contribuciones,2,Escrita el 20 de septiembre de 2022,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/18/dd/e5/maralizne.jpg?w=100&h=-1&s=1,,,,,,
1775833873-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Carne buena calidad 👍,Alfredo R,Excelente comida costo calidad es muy bueno la carne 👏🏻👏🏻 restaurante sencillo y de muy buen precio los paquetes de comida es más que suficiente en cantidad  para carne y chorizo vale la pena,31 contribuciones,31,Escrita el 6 de septiembre de 2022,"Dallas, Texas","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/a7/29/6d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,
1775833873-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Un 10,Christin,"Sitio pequeño pero con una calidad y atencion excedentes. 
Recomiendo pedir el solomillo a la pimienta con guarnicion de patatas fritas caseras.
De postre tarta de queso",1 contribución,1,Escrita el 31 de agosto de 2022,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,,,
