web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,data19,data20
1775582811-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Excelente comida y atencion,Pablo V,"Excelente todo! La comida es muy buena.
Alberto, nos atendió super bien!! 100% recomendable .
Si estan x Madrid no duden en venir!",1 contribución,1.0,1 contribución,Escrita el 27 de noviembre de 2025,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,Leer más,0.0
1775582811-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Excelente servicio,Ingrid C,"Excelente ambiente  , la comida riquísima 🤤pedimos paella y pulpo y copa de vino delicioso , el gerente encargado tuvo muy buena atención con nosotros muchas gracias :)","Monterrey, México",3.0,3 contribuciones,Escrita el 27 de noviembre de 2025,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,Leer más,0.0
1775582811-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,fenomenal!!!,sofia,"Alberto lo mejor!
Y la comida fenomenal. Tienen q pedir el risotto con gambones y queso, y el lomo bajo de ternera con papas.","Rovereto, Italia",3.0,3 contribuciones,Escrita el 23 de noviembre de 2025,,,,,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,Leer más,0.0
1775582811-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,El lugar al q siempre quisieras volver,Natalia C,"Super bueno, tanto la comida como la atención de todos en el restaurante,  el dueño Virgilio es súper atento, no teníamos reserva y se las ingenio hasta darnos un espacio, éramos 6 difícil pero no imposible para el.
Lo pasamos genial en la cueva, es súper acogedor y la comida súper recomendada, a todos nos encantó
Gracias a todos los integrantes de El Sur de Moratin
Éxitos totales",7 contribuciones,7.0,7 contribuciones,Escrita el 23 de noviembre de 2025,,,,,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/a1/dc/af/natalia-c.jpg?w=100&h=-1&s=1,,Leer más,0.0
1775582811-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,,,,,,,,Leer ahora,Quédate y descubre los tesoros ocultos de Hiroshima — de la paz a la aventura,"Ruta dorada, final de platino — Hiroshima eleva tu viaje por Japón.",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/dd/ae/caption.jpg?w=400&h=400&s=1&cx=4096&cy=2752&chk=v1_4cc8bb50a02acd7b87cb,,,,
1775582811-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Recomiendo este sitio,Rebeca R,"Es la primera vez que vengo, soy de Madrid y aunque hay mucho extranjero tenía miedo de que la comida al estar en una zona muy turística no fuera buena, pero ha estado muy rica, los vinos muy bien y los cocktails geniales. A valorar la atención de Alberto y el resto de compañeros.","Madrid, España",1.0,1 contribución,Escrita el 22 de noviembre de 2025,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,Leer más,0.0
1775582811-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,"Bueno, pero no el mejor",tenset,"El servicio es bueno. 

Eran bastante comunicativos, específicamente para hacer reservas incluso a través de correos electrónicos. 

Wine Zinio estaba bastante bien. 
La paella de mariscos era promedio, nada especial. 
La vieira no fue la esperada. 
Tuvimos mucho mejor en diferentes ciudades del mundo, y concretamente en España.","Sídney, Australia",78.0,78 contribuciones,Escrita el 20 de noviembre de 2025,,,,,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,Leer más,0.0
1775582811-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Delicioso!,Philip P,Super delicioso con precio razonable! Langostino en aceite de ajo chispeante es muy recomendable. Recuerda también pedir panes y mojar con la salsa.,1 contribución,1.0,1 contribución,Escrita el 19 de noviembre de 2025,,,,,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,,,Leer más,0.0
1775582811-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Muy buen sitio !!,Pablo Luis A,"Muy buen lugar, nos atendió Alberto, un trato cercano y amable. Respondió todas mis dudas. La comida muy buena, recomendado el risotto de gambones.",1 contribución,1.0,1 contribución,Escrita el 18 de noviembre de 2025,,,,,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,Leer más,0.0
1775582811-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Muy buen trato de Alberto,Gabriela C,"He ido con mi esposo y mi cuñado, la experiencia ha sido muy satisfactoria , nos ha atendido Alberto con una sonrisa y un trato espectacular, lo recomendamos 100%",1 contribución,1.0,1 contribución,Escrita el 18 de noviembre de 2025,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,Leer más,0.0
1775582811-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,,,,,,,,Explora ahora,Descubre Marruecos,Descubre por qué a los viajeros como tú les encanta Marruecos,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/fb/25/a5/caption.jpg?w=400&h=400&s=1,,,,
1775582811-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Agradable tarde,james h,"Buena noche. Nuestro camarero, Alberto, fue muy servicial y atento. El pescado es excelente. La carne es un poco masticable. En general, una experiencia muy agradable.",1 contribución,1.0,1 contribución,Escrita el 16 de noviembre de 2025,,,,,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,Leer más,0.0
1775582811-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,¡Volveremos sin duda! 100% recomendable,Jorge J,Fuimos al restaurante por recomendación de un familiar y superó todas nuestras expectativas!! Fuimos atendidos por Alberto de una manera excepcional. La comida estaba buenísima y apenas tardaron en servirnos. Recomendamos sin duda el restaurante y a Alberto.,1 contribución,1.0,1 contribución,Escrita el 15 de noviembre de 2025,,,,"Todos los platos están buenísimos y los postres son espectaculares. 100% recomendable. Recomendamos a Alberto, uno de los camareros.",,Calidad/precio,Ambiente,Servicio,Comida,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,Leer más,1.0
1775582811-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Segunda visita a Madrid.,Jesús Gilberto R,"No hace falta preguntar, con solo seguir la reseña y las fotos de este lugar, no mienten todo lo que se muestra sabe y  se disfruta como se lo imagina Todo aquel que se aventura sin recomendaciones lo va a agradecer.",2 contribuciones,2.0,2 contribuciones,Escrita el 14 de noviembre de 2025,,,,¡No te vas a arrepentir!,,Calidad/precio,Ambiente,Servicio,Comida,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,Leer más,0.0
1775582811-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Todo muy delicioso,Andrea Itzel G,"Muy deliciosa toda la comida a buenos precios, buen ambiente tranquilo y la atención del personal muy amable, las entradas no tardaron nada en salir, quedamos muy satisfechosD",1 contribución,1.0,1 contribución,Escrita el 14 de noviembre de 2025,,,,,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,Leer más,0.0
1775582798-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Gratamente sorprendida,mariadaniela a,"Decidimos parar a picar y a tomar unas cervezas y nos sorprendimos con la comida. La comida deliciosa, recomiendo el bacalao confitado, para mí el mejor plato del menú. La atención de primera! Amables y serviciales.",1 contribución,1.0,Escrita el 29 de diciembre de 2025,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/15/ad/54/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,
1775582798-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Excelente,Amina K,"Un sitio estupendo para disfrutar de buena comida y mejor ambiente. Los platos están muy bien elaborados, con productos de calidad y mucho sabor. El trato del personal es cercano y profesional Osnel te hacen sentir como en casa desde el primer momento. Sin duda, un lugar al que apetece volver.",1 contribución,1.0,Escrita el 28 de diciembre de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,
1775582798-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Perfecta opción en el centro de madrid,Blanca S,"Muy buena opción en el centro de madrid! La comida muy rica, muy bien de precio, el servicio excelente y suele ser fácil encontrar sitio. He repetido varias veces con amigos, familia y pareja porque siempre es un acierto!",3 contribuciones,3.0,Escrita el 27 de diciembre de 2025,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,
1775582798-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Bien,Finca L,"Manuel es el mejor camarero!
Las berenjenas muy buenas. El risotto también muy bueno. Todo ha sido correcto y por un precio bueno",1 contribución,1.0,Escrita el 24 de diciembre de 2025,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,
