web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data4,data17,data18,data19,data20,data21,image3,position2
1776249675-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,ESPECTACULAR,Carlota,"No podíamos haber elegido mejor sitio. La comida muy muy buena, y perfecta relación calidad-precio. El personal super amable (el camarero nos ha asesorado y explicado cada plato). Súper buen ambiente, tranquilo, y nada masificado como otros sitios más turísticos.",10 contribuciones,10.0,Escrita el 4 de julio de 2024,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,,,,,
1776249675-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Bonissimo !,Nora B,"Muy Bueno ! Producto de qualidad superior y los professionales estan muy sympatico
Los vines y los consejos estan brutales y incredible !tambien !",1 contribución,1.0,Escrita el 1 de julio de 2024,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/b8/a2/6c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,,,,,
1776249675-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Tapas y vinos,Maria Angels V,"Sitio estupendo, comida y calidad espectacular. Amplia carta de vinos, el bacalao al carbon nos sorprendió gratamente. Recomendable 100%. Volveremos!",1 contribución,1.0,Escrita el 1 de julio de 2024,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/b8/17/37/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,,,,,
1776249675-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Un gusto al paladar,Natalia I,"Vinimos buscando ceviche y nos encontramos a Angel! Con una excelente variedad de vinos que maridaban con la espectacular carta que ofrecían. Pedimos ostras, frescas y un sabor intenso y ácido,un tiradito de atún, no era lo que esperaba 100%, pero no estaba mal, la base de tomate, le daba el toque.
El ceviche, íbamos a pedir solo uno, pero caimos en el placer de probar los dos que ofrecían en la carta. El primero, de lubina con ají , exquisito, pero el de corvina con rocoto se lleva la palma, un poco más picante e intenso y si lo maridas con un albariño como al pedreira, se hace agua la boca. Acabamos con tarta de queso de idiazabal y un vino dulce expresamente recomendado por Angel, que hacía del postre experiencia de 100. El trato exquisito. Volveremos siempre que podamos, un placer.",8 contribuciones,8.0,Escrita el 1 de julio de 2024,,Calidad/precio,Comida,Servicio,Ambiente,Dejaros aconsejar y atreveros a probaras cosas nuevas,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/b6/b4/62/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,,,,
1776249675-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Through the window 😉,Juncal River,"Gastrobar con amplia carta de vinos, 
Su carta es amplia y flexible ya que puedes elegir de la oferta que tienen hacer tapas o raciones , de cantidad-calidad-precio muy equilibrado. La fórmula de la tapa da la posibilidad de más  variedad si así apetece, para probar más opciones de su oferta. 
Hicimos tapas : tartar de salmón ( delicioso y fresquito), ceviche de lubina( sabor muy bueno y el pescado en su corte perfecto) y unas croquetas de boletus con un sabor muy potente.
De postre no nos podíamos ir sin probar la tarta de Idiazábal que venía con una gel de membrillo y unas nueces caramelizadas, muy detallista 😊.
Nos atendieron muy bien, Cesar el chico que encuentras tras la pequeña ventana es encantador y nos resolvió nuestras dudas en forma y cantidad con la fórmula TAPA-RACIÓN,
Sin duda un lugar donde lleves a quien lleves vas a quedar muy bien y comerás delicioso.
Volveremos ☺️","Barcelona, España",14.0,Escrita el 29 de junio de 2024,14 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/1d/e5/62/juncalbynight.jpg?w=100&h=-1&s=1,,,,,,,,
1776249666-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Comida muy rica pero no vayan al baño,noelia G,Un restaurante con una gran variedad  de vinos que se pueden tomar x copa o botella.su comida estuvo muy buena es más para mí el mejor steak tartar de la isla podría decir.riquisimo el bacalao al carbón todo la verdad.pero al ir al baño se me fastidio la comida estaba muy sucio.la papelera no cabía más y estaba lleno de telas de araña con arañas incluidas.que pena xq me había encantado pero para mí la limpieza es lo primero.,15 contribuciones,,Escrita el 19 de septiembre de 2024,,15,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,,,,,,
1776249666-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Una maravilla,Anahi S,"Súper rico todo!!!!! Increíble el servicio y el local una maravilla !

Tienen para elegir más de 800referencias de vinos, una pasada!

Lo recomiendo cien por cien!",1 contribución,,Escrita el 16 de septiembre de 2024,,1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,,,,,,,
1776249666-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,"Si vienes a Ibiza, ven a Sa vida!!",Enrique Pérez,"Excepcional comida, arroz meloso de gamba roja de Ibiza, canelón de rabo de toro, ensalada a nuestra manera y croquetas de ternera a baja temperatura, todo buenísimo y para rematar tarta de queso Idiazabal riquísima!!! Rubén nos ha atendido y aconsejado de maravilla!!",2 contribuciones,,Escrita el 15 de septiembre de 2024,,2,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,,,,,,
1776249666-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,"Inmejorable, repetiremos seguro!!",luisbf,"Comida increíble, gran oportunidad de probar vinos muy exóticos por copa, algo nada habitual. Y el trato de 10, mi pareja tenía varias intolerancias, y te lo preparan todo al momento y te lo adaptan!! Sin duda un grandísimo descubrimiento!!","Valencia, España",,Escrita el 14 de septiembre de 2024,7 contribuciones,7,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,,,,,,
1776249666-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Brutal!,Bgonzalezsalanova,"La comida espectacular y el trato increíble, estoy haciendo una dieta con muchas intolerancias y me adaptaron los platos!!",Valencia,,Escrita el 14 de septiembre de 2024,2 contribuciones,2,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,,,,,,
1776249666-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Cena exquisita!,IOANA G,Ambiente muy agradable y la comida riquísima !probamos el ceviche de lubina y el steak tártar!! Brutal!! Muy Buenas recomendaciones de vinos;volveremos sin duda!,1 contribución,,Escrita el 12 de septiembre de 2024,,1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,,,,,,,
1776249666-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Precio elevado,Sebastian P,"Extensa carta de vino , muy bien de precios y buena calidad , la comida estaba buena pero creo que el precio es muy elevado para lo que hacen , buena atención y buen ambiente",1 contribución,,Escrita el 11 de septiembre de 2024,,1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,,,,
1776249666-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Delicioso,Claudia Curanta,Nos encantan los restaurantes de tapas tipo Gastrobar y encontramos esta maravilla escondida. El mejor hasta ahora en Ibiza. Probamos un poco de todo y quedamos súper contentas. Todo exquisito y el servicio de 10.,9 contribuciones,,Escrita el 10 de septiembre de 2024,,9,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,,,,,,,
1776249666-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Comida y vinos geniales,Mario G,Todo perfecto. Genial selección de vinos y muy bueno el ceviche. No dejéis de probar la tarta de queso. Recomendado 100%!!,1 contribución,,Escrita el 8 de septiembre de 2024,,1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,,,,,,
1776249666-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Un gran descubrimiento,Gaby,"Estuvimos hace unos días, elegimos el sitio de casualidad , nos sorprendió en todos los sentidos. Tanto la comida, el trato , la atención , la descripción de cada uno de los platos y de los vinos que se sirvieron, fue excepcional . Absolutamente recomendable.","Alicante, España",,Escrita el 4 de septiembre de 2024,2 contribuciones,2,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,,,,,,
1776249666-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Una experiencia enriquecedora,Xisca M,"Si te gusta el mundo de los vinos este es tu lugar, además de una buena comida gastronómica. Un trato muy cercano por parte del camarero, haciéndonos una explicación de cada plato, muy atento en las recomendaciones, y acompañándonos en nuestra experiencia. 
¡Muchas gracias por todo!
Besos desde Mallorca",1 contribución,,Escrita el 2 de septiembre de 2024,,1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,,,,,,
1776249666-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,"Pocos restaurantes quedan como Sa Vida, pensado para disfrutar de la comida y de la bebida en un espacio relajado.",Josep J,"Desde el recibimiento hasta la despedida todo fue fluido y con la dedicación al hacer disfrutar. Ofrecen vinos por copa para aburrirte, atención profesional y cercana, comida de calidad y espacio relajado, déjate guiar por el equipo y disfruta de la experiencia de comer y beber bien.","Mallorca, España",,Escrita el 1 de septiembre de 2024,1 contribución,1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,,,,,,
1776249666-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Encanto,Horacio,"Un sitio genial para descubrir nuevos sabores y conocer “otra Ibiza”. Recomendable su ceviche y tarta de queso. 
Ojalá volver.","Benidorm, España",,Escrita el 30 de agosto de 2024,25 contribuciones,25,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/43/e9/51/horacioendeca.jpg?w=100&h=-1&s=1,,,,,,,,,
1776249666-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Volveria varias veces,mostrixxx,"Una excelentísima carta, muy creativa ! Vayan !!!! No se la pierdan! Sabores variados, mucha calidad ! Buen servicio ! Recomendable 100 x 100","Buenos Aires, Argentina",,Escrita el 25 de agosto de 2024,5 contribuciones,5,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,,,,,
1776249666-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,La comida es muy muy muy rica,Julia,"Lugar muy acogedor, platos increíblemente sabrosos y camareros muy amables! Volveremos a visitarte! Buena suerte y prosperidad)))","Kiev, Ucrania",,Escrita el 24 de agosto de 2024,5 contribuciones,5,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/1d/3f/fe/daydream02669361018.jpg?w=100&h=-1&s=1,,,,,,,,,
1776249634-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Excepcional,Suzy1234,"Increíble. 
La comida, el vino y el conocimiento de los productos era excepcional. 
No podía faltar nada 
El personal tiene una verdadera pasión. Hice de la experiencia uno para recordar.",Escrita el 19 de octubre de 2024,,24 contribuciones,24,oct 2024 • Parejas,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,"Frinton-On-Sea, Reino Unido",,,,,,,
1776249634-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Hermosa comida en un ambiente relajado,Jo H,"Este es un excelente restaurante. La elección de los vinos y los consejos del camarero sobre cuál elegir fue excepcional. Solo superado por la maravillosa comida. Gran calidad, tan sabroso y creado con tanta habilidad. El plato de arroz era hermoso y la versión moderna de los platos de tapas era divina. La comida fue servida en un estilo relajado y realmente hizo nuestra tarde tan agradable. Realmente los precios no reflejan lo bueno que es este restaurante.",Escrita el 16 de octubre de 2024,,11 contribuciones,11,oct 2024 • Parejas,Mostrar original,Traducido automáticamente,,,Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,"Birmingham, Reino Unido",,,,,,,
1776249634-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Recomendable 200%,Cpunto,Primera de mil veces más en este lugar. Muy ricos todos sus platos pero el maridaje de Rubén va más allá. Volveremos pronto.,Escrita el 14 de octubre de 2024,,,60,oct 2024 • Amigos,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,60 contribuciones,,,,,,,
1776249634-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Carta de vinos increíble,Jana C,Nos ha encantado. Rubén nos ha recomendado literalmente toda la carta de vinos por copa y ha conseguido que tengamos una experiencia única. Gracias!,Escrita el 14 de octubre de 2024,,1 contribución,1,oct 2024 • Amigos,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,"Madrid, España",,,,,,,
1776249634-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Repetiré,patricia r,"Este restaurante parece ser una excelente opción para quienes buscan un lugar pequeño y acogedor, donde la calidad de la comida destaca. Los huevos rotos con jamón parecen ser uno de los platos estrella, sorprendiendo por su sabor increíble. El ceviche de ají también merece una mención especial, tanto por su sabor como por la generosa cantidad servida. Sin embargo, aunque el arroz de gamba roja es delicioso, la ración podría ser un poco más generosa. En general, es un lugar muy recomendable para disfrutar de una buena cena, con el atractivo adicional de ofrecer un buen menú entre semana.",Escrita el 11 de octubre de 2024,,,10,oct 2024 • Amigos,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,10 contribuciones,,,,,,,
1776249634-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Cocina espectacular,María José G,"Impresionante, lo mejorcito de Ibiza
Trato del personal  excepcional 
Platos buenísimos y con gran presentación. Un 10 .
Gracias",Escrita el 10 de octubre de 2024,,,3,oct 2024 • Parejas,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,3 contribuciones,,,,,,,
