web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,image3,image4,image5,position,name,data17,data18,data19,data20
1776262221-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Todo super rico,Javier G,"Comida riquísima y trato espectacular.
Muy recomendable 
La comida con sabores espectaculares.
Los camareros muy atentos",1 contribución,Escrita el 22 de julio de 2024,1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262221-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Recomendable 100%,Christian G,"Lugar de 10, donde el trato y la comida son de alta calidad !! 
Sin duda lugar de confianza y para recomendar, donde sabes que acertarás !!!",1 contribución,Escrita el 21 de julio de 2024,1,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262221-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Sitio espectacular!!! Comida de alta gastronomía a precios súper asequibles!!! Una experiencia extraordinaria,noelia d,"Este sitio es súper, súper recomendable, comida diferente, calidad excelente, precios muy buenos respecto a su calidad. El trato de todos los camareros excepcional y muy destacable que el dueño viene a explicarte todo los platos con una paciencia y trato exquisito. Nos encantó todo, aunque tenemos que volver porque aún nos faltan platos de la carta por probar,  la tarta de queso la mejor que he probado en mi vida!!!",1 contribución,Escrita el 20 de julio de 2024,1,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262221-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,"Volver, volver, volver a Amordmadre otra vex",Amparo P,"Muy buena opción si quieres pasar una velada con tu pareja o amigos. Lugar tranquilo,  trato excepcional y carta deliciosa.",17 contribuciones,Escrita el 19 de julio de 2024,17,Calidad/precio,Ambiente,Servicio,Comida,,,"Madrid, España",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262221-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,100% Recomendable. Carta elaborada con productos de primera y un servicio excelente  con un servicio,Luis Calvo,"Aun estando en una zona residencial, no es un resturante de ""barrio"" como otros. Perfecto para disfrutar de una carta elaborada y con productos de primera. Fusiona perefectamente la cocina tradicional con toques internacionales. El servicio es rápido y amable",1 contribución,Escrita el 19 de julio de 2024,1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Madrid, España",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Oasis gastronomico en Vallecas,Pragda L,"Una joya en Vallecas. Comida creativa, de calidad superior y fenomenal ubicacion. 
Perfecto para celebraciones con amigos, con pareja. Me encanto!",2 contribuciones,Escrita el 8 de noviembre de 2024,2,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,2 contribuciones,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,SORPRENDENTE RESTAURANTE EN EL ENSANCHE DE VALLECAS,FrequentFlier814183,"En nuestra visita a este restaurante nos ha sorprendido el nivel de cocina fusión y y el buen trato recibido, sobre todo por parte del dueño. Sin duda volveremos porque son muchos los platos a degustar  y los que probamos estaban muy ricos. Carta de vinos extensa con muchas denominaciones. Hacía falta un sitio así en el ensanche!!!!!!",3 contribuciones,Escrita el 5 de noviembre de 2024,3,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",3 contribuciones,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,EXCELENTE,Alberto G,"Una atención genial y la comida riquísima. Sin duda repetiremos. Desde la llamada para reservar nos trataron como en casa.
Celebraré más veces mi cumple aquí, sin duda. 
Un abrazo grande !",1 contribución,Escrita el 5 de noviembre de 2024,1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Excelente restaurante,Alberto F,Nos encantó la experiencia. La calidad de la comida sublime y el trato del personal exquisito. Las carrilleras y la oreja lo que más nos gustó.,1 contribución,Escrita el 29 de octubre de 2024,1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Buena cocina y muy buen trato,Antonio S,"Fuimos sin referencias y nos llevamos una grata sorpresa. Cocina elaborada, buenos ingredientes, presentación sencillez y buen gusto. Atención excelente. Precios ajustados.",1 contribución,Escrita el 29 de octubre de 2024,1,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Todo buenísimo,Martín M,"Excelente experiencia 
100% recomendable
Cocina de alta calidad a precio razonable. Carta de vinos estupenda
Volveremos seguro, tengo que probar mucha variedad de su carta todavía",35 contribuciones,Escrita el 29 de octubre de 2024,35,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Madrid, España",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Ingredientes clásicos cocinados de otra manera,Explorer59675021489,"Atención estupenda los platos son peculiares, partiendo de ingredientes mediterraneos. Te explican muy bien cualquier duda que tengas.
Estuvimos en la terraza que tienen cubierta y se estaba muy bien.",1 contribución,Escrita el 28 de octubre de 2024,1,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Sitio agradable con platos originales y buena calidad,Mgciaru,"Vamos mucho y nos encanta, buena comida y excelente servicio. El propietario siempre se esfuerza para que estés cómodo y se preocupa de que todo esté a tu gusto.Son platos originales y buena calidad. Hemos llevado familia y amigos y nunca decepciona.",2 contribuciones,Escrita el 28 de octubre de 2024,2,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2 contribuciones,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Un lugar para repetir sí o sí,mariaisabel5842,"Una cocina con platos muy trabajados y originales. Muy bien producto y muy buen servicio.
Fuimos un grupo de siete amigos, salimos muy contentos. La tempura de algas super original y muy rica.
Muchas gracias",20 contribuciones,Escrita el 28 de octubre de 2024,20,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Madrid, España",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Correcto. Volveremos para probar más,Ñuska Olavarrieta,"Nos gustó, aunque quizás esperábamos sorprendernos algo más. Buen servicio. Volveremos para probar más cosas. Lo que comimos no estuvo mal. Un poco apretados",34 contribuciones,Escrita el 24 de octubre de 2024,34,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,34 contribuciones,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,"La comida es innovadora, de calidad y muy bien preparada. Es un acierto seguro, siempre.",IRATXE S,Siempre venimos a comer pero de noche es muy bonito. Tienes bombillas x toda la terraza y el ambiente es muy acogedor. Son muy atentos y muy amables.,1 contribución,Escrita el 21 de octubre de 2024,1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Un restaurante de 10,Fearless45068448801,"Todo está riquísimo,  la comida perfecta y muy buena atención.
Siempre que vamos probamos platos nuevos y siempre nos vamos contentos y satisfechos.",1 contribución,Escrita el 13 de octubre de 2024,1,,,,,En fin de semana mejor reservar.,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Nos encanta este sitio.,Laura G,"Nos encanta este sitio. 
Es cierto que la comida no se sirve en grandes cantidades, pero la presentación, la calidad y el sabor de sus platos es de 10, y eso a veces vale más que la cantidad. El servicio y el ambiente son buenos. José el dueño es muy atento. La comida en general es exquisita, tanto en menú del día como en la carta, y la tarta de queso es impresionante. 100% recomendable",1 contribución,Escrita el 8 de octubre de 2024,1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Madrid, España",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Excelente comida!,Jon G,"He estado tres veces en el restaurante y la verdad que siempre es un acierto, repetiré sin dudarlo. Hemos comido siempre picoteo para compartir entre todos, tiene gran variedad y los platos están riquísimos.",1 contribución,Escrita el 7 de octubre de 2024,1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Madrid, España",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262210-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Siempre es una buena opción,Juan V,"Un restaurante estupendo para comer aquí en el barrio. Espectaculares las bravas.
Por cierto el que no sepa la diferencia entre bar y restaurante que lo busque en Google. Es como si criticáis a una farmacia por no vender chicles de menta.",5 contribuciones,Escrita el 18 de septiembre de 2024,5,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",5 contribuciones,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262198-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Volveré,Laura F,"Estaba todo buenísimo una calidad exquisita, el servicio muy correcto, simpático, las instalaciones curiosas....
Sin duda repetiré",7 contribuciones,7,Escrita el 30 de diciembre de 2024,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",7 contribuciones,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/74/49/81/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/74/49/82/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/74/49/83/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/74/49/84/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,,,,
1776262198-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Totalmente recomendable,Elena L,"Comida excelente y personal muy agradable. Por poner una pega, estábamos sentados cerca de la puerta y hacía un poco de frío, pero por lo demás nos encantó y repetiremos seguro.
Lo recomiendo.",7 contribuciones,7,Escrita el 24 de diciembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,7 contribuciones,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,
1776262198-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Muy recomendable por la zona,Rocio GH,"Se agradece la intención de salir un poco del menú de mediodía clásico. Fuimos 6 compañeros a comer y todos salimos contentos. La atención muy buena, La comida muy rica. La terraza un poco ruidosa de más, pero es que había una mesa grande y estaba lleno.",9 contribuciones,9,Escrita el 23 de diciembre de 2024,Calidad/precio,Ambiente,Servicio,Comida,,,9 contribuciones,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,,
1776262198-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,El trato del personal es el mejor y la comida es innovadora y buenísima,Mamen B,"Es un sitio espectacular, la comida es excelente, muy distinta en innovadora que se agradece mucho. El trato es buenísimo y rápido que se agradece. El personal es muy amable y siempre están atentos de ti en todo momento! 
Lo recomiendo muchísimo, yo voy siempre en celebraciones especiales porque es un sitio especial!",2 contribuciones,2,Escrita el 23 de diciembre de 2024,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2 contribuciones,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/67/8c/67/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/67/8c/68/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/67/8c/69/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/67/8c/6a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/b1/67/d8/mamen-b.jpg?w=100&h=-1&s=1,,,,,,
