web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,position,image3,image4
1779688553-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,"Buena visita, buena noche",Niclas H,"Buena comida, buen servicio! Recibimos orientación del personal para seleccionar la comida y un servicio muy agradable. Tenía pollo al curry y madras al curry. Bien preparado y buenos suplementos",3 contribuciones,3,Escrita el 1 de abril de 2025,"Gotemburgo, Suecia",Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,
1779688553-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Restaurante 10,Adventurer507475,Excelente comida 100% Hindú .  El trato de los camareros súper Top . Todo amabilidad y servicio . De la mejores Hindús que he comido .,18 contribuciones,18,Escrita el 15 de febrero de 2025,"Coslada, España",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1779688553-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Recomendado,EDUARDO L,Todo exquisito. Servicio muy amable. Quizás el curry podría estar más gustoso. Los naans excelentes. Buen ambiente y musica suave y relajante.,1 contribución,1,Escrita el 19 de octubre de 2024,1 contribución,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,
1779688553-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Excelente,Happiness64593918532,"Excelente atención y la comida riquísima. Las porciones están muy bien
La ambientación del local muy agradable. Los precios acordes a la calidad",1 contribución,1,Escrita el 15 de abril de 2024,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,
1779688553-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Excelente,Nano74,"Vamos muy a menudo. Menú del día, fin de semana, take away… siempre excelente. 
El tikka masala es el mejor que he comido.",12 contribuciones,12,Escrita el 22 de enero de 2024,"Madrid, España",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/8a/avatar011.jpg?w=100&h=-1&s=1,,,
1779688595-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Muy bien,Ana G,"Todo genial, atención y comida calidad precio perfecta.
Son muy atentos y la comida está riquísima..",4 contribuciones,Escrita el 10 de enero de 2024,4 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,,,4.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,
1779688595-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Delicioso y agradable,jormenalv,Comida muy rica y camareros muy agradables perfecto para ir en familia o disfrutar con amigos o solo  atienden muy rápido,11 contribuciones,Escrita el 25 de septiembre de 2023,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,,,11.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-l/01/2a/fd/94/avatar.jpg?w=100&h=-1&s=1,
1779688595-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Cena buenísima y abundante,GrandTour11724390383,"Atención estupenda y cena riquísima.  Nos ha encantado, nos hemos dejado orientar por el personal para elegir y ha sido un acierto. El tikka masala, buenísimo.",1 contribución,Escrita el 8 de agosto de 2023,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,
1779688595-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Me ha gustado,Cris B,Nos ha gustado la comida y la atención ha sido un excelente. Volveremos con amig@s. Recomendamos este restaurante si te gusta la comida especiada,3 contribuciones,Escrita el 4 de junio de 2023,3 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/61/b3/6b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/61/b3/6a/caption.jpg?w=300&h=300&s=1,3.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,
1779688595-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Nuestro hindú de referencia. Espectacular!,Eva P,"Hemos estado varias veces y nos encanta, comida espectacular y la atención del personal inmejorable, súper atentos y pendientes de que todo esté a tu gusto. El pani puri, lamb o chicken korma y el helado casero de pistacho o mango 100% recomendables. Restaurante de 10!",1 contribución,Escrita el 20 de mayo de 2023,1 contribución,,,Leer más,0,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/38/77/c0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/38/77/bf/caption.jpg?w=300&h=300&s=1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,
1779688595-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Restaurante diferente,felixtorrejon,"Los camareros son muy diligentes y amables en todo, servicio rápido.
La comida muy buena y abundante, fusión de sabores, una colida muy diferente.
Nos gustó.",66 contribuciones,Escrita el 6 de abril de 2023,"Torrejón de Ardoz, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bd/4e/9c/caption.jpg?w=300&h=-1&s=1,66.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/97/e7/d5/felixtorrejon.jpg?w=100&h=-1&s=1,
1779688595-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Muy recomendable!!,Ana G,"Restaurante Indio de 10!! 
Y personal muy atento y simpático. Lo recomiendo 100%. Volveremos! Gracias!",4 contribuciones,Escrita el 5 de abril de 2023,4 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,,,4.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,
1779688595-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Magnífico restaurante hindú!,Fearless10010163700,"Magnífico en todos los sentidos. Muy buenos platos, muy bien cocinados, personal muy amable y atento. Recomendable...
Volveremos pronto!",4 contribuciones,Escrita el 1 de abril de 2023,4 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,,,4.0,,
1779688595-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Un gran descubrimiento,Veronica M,"Todo riquisimo, comidas picantes y otras nada de picante. Personal muy amable. Restaurante hindú de verdad, con camarero hindú que explica qué es cada cosa con santa paciencia.",4 contribuciones,Escrita el 26 de marzo de 2023,"Las Rozas, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,,,4.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,
1779688595-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Excelente restaurante indio,Antonio V,"Buen restaurante para comer en pareja, con precio económico y gastronomía distinta. Muy recomendado.",1 contribución,Escrita el 11 de marzo de 2023,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,
1779688595-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Una comida genial,Andrea S,"Me ha encantado! El trato ha sido maravilloso y la comida es top! Lo recomiendo.
El tiki masala es exquisito.
Y encima es de los mejores restaurantes indios de madrid",4 contribuciones,Escrita el 17 de febrero de 2023,4 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/3c/8b/84/arpit.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/3c/8b/5f/arpit.jpg?w=300&h=300&s=1,4.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,
1779688595-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Excelente servicio y comida,Clara,"Nuestra experiencia fue buenísima. Nada más llegar nos ofrecieron un tentempié muy rico. Tomamos un par de entrantes, pollo con mantequilla acompañado de arroz y pan de queso. Después, helado de mango casero. También probamos un par de cervezas Indias. 

La atención de los trabajadores fue genial. Nos atendieron fenomenal. 

En resumen, volveremos!!",19 contribuciones,Escrita el 16 de enero de 2023,España,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/de/1d/8d/arpit.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/de/1d/4f/arpit.jpg?w=300&h=300&s=1,19.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,
1779688595-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Fantástica cena India!!!,beatriz p,"Una cena muy muy rica y el chico que nos atendió súper atento y simpático 
Comida abundante ojo escala 6 de 10 pica, pica 
Volveremos!!!!",3 contribuciones,Escrita el 28 de diciembre de 2022,"Burgos, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a1/72/99/arpit.jpg?w=300&h=300&s=1,3.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,
1779688595-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Defraudada tristemente... No cumplen la ley de declaración de alimentos.,Nora Martí,"Si buscas opciones sin gluten este NO es tu sitio. A pesar de que la comida india es la mejor para celiacos aquí lo cocinan todo en el mismo aceite. Y los postres a pesar de que me han dicho la marca (que es sin gluten) los empleados se niegan a revisar las etiquetas de sus productos. Un servicio nefasto para gente con una enfermedad .. nosotros no lo elegimos, y pagamos igual por los menús. Tenemos derecho por lo menos a saber lo que están obligados por ley a tener que es conocimiento de los 14 alergénos. La comida hindú para mí es deliciosa y este sitio me ha defraudado inmensamente.",141 contribuciones,Escrita el 15 de diciembre de 2022,"Valencia, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,,,141.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/5b/ca/83/missnoramarti.jpg?w=100&h=-1&s=1,
1779688595-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Muy recomendable,esthmela,"Restaurante muy acogedor. La comida estaba muy buena y el picante en su punto, los postres son caseros y nos han gustado mucho.
Un trato al cliente excelente. 
Hemos salido muy satisfechos",2 contribuciones,Escrita el 6 de diciembre de 2022,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,,,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,
1779688611-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Sorpresa,Sara N,"Buenísimo. No conocíamos este tipo de comida, y desde el primer momento nos guiaron para saber que pedir, atención de 10. Y comida riquísima, sabor, cantidad y calidad.",7 contribuciones,7,Escrita el 4 de diciembre de 2022,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/1e/0b/91/sara-n.jpg?w=100&h=-1&s=1,,,,
1779688611-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Excelente,Juan Carlos B,"Excelente,volveremos.. Buena comida y personal muy amable. El menú degustanción muy bueno calidad/precio.",1 contribución,1,Escrita el 20 de noviembre de 2022,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,
1779688611-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,"Muy recomendable, volveremos seguro!",laurasrua,"Nos ha encantado. Hace dos meses volvimos de la India y todavía recuerdo perfectamente los olores y sabores, debo decir que no es fácil encontrar un restaurante indio en España que se ajuste bien a los sabores indios, pero éste lo consigue 🙂 Los platos están muy ricos, con sabor, y cantidad abundante. El precio también me parece adecuado. Lo único que yo añadiría sería un poco más de picante, pero entiendo que en España normalmente los platos picantes no están normalizados y tal vez sea más aceptado que sean suaves en ese sentido.

El lugar me pareció muy acogedor, y el servicio es muy bueno, muy amables en todo momento y atentos.

Volveremos sin lugar a dudas!",65 contribuciones,65,Escrita el 9 de noviembre de 2022,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,,,,
1779688611-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Comida buenisima!,Christian M,"Sabores muy intensos pero muy agradables para el paladar, atención maravillosa y personal muy educado.",2 contribuciones,2,Escrita el 6 de noviembre de 2022,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,
1779688611-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Magnífico,Jaime G,Un sitio muy agradable y la comida excepcional. Este sitio ha sido un gran descbriy. Sin duda que volveremos a repetir en este sitio,3 contribuciones,3,Escrita el 1 de noviembre de 2022,3 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,,,,,
1779688611-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Cena en pareja,Oscar J,"Un restaurante con encanto el trato maravilloso muy atentos, una experiencia única y la comida muy rica para los amantes del sabor picante pero sabroso. Volveremos seguro.",3 contribuciones,3,Escrita el 23 de septiembre de 2022,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,
1779688611-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Comida típica hindú.,EmilioChilango,Nos encanta este sitio. Cocina típica hindú. Muy recomendable y nada caro. Suele salir a unos 30€ por persona.. Personal muy atentos. Siempre que podemos venimos.,9 contribuciones,9,Escrita el 11 de septiembre de 2022,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,
1779688611-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Una cena de 10,Ángel L,"Hemos disfrutado de una excelente experiencia. La cena muy buena, sabores exóticos y deliciosos, la atención exquisita. 
Un sitio totalmente recomendable!",10 contribuciones,10,Escrita el 10 de septiembre de 2022,10 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,,
