web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,image4
1779691768-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Para repetir,ISAIAS L,"Increíble la comida, el tratado, y el ambiente del local. Un lugar agradable con un ambiente en total referencia a un restaurante italiano donde poder comer sin quejarte del precio y la comida. Para repetir",1 contribución,1.0,Escrita el 30 de julio de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1
1779691768-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Buena pizza,WinegirlLa,"Creo que atrapamos este lugar en una mala noche. El servicio era muy antipático, y lento. La pizza y la pasta eran buenas, sin embargo, y sin duda le daría otra oportunidad. Y, aprecio al camarero que parecía saltar y ayudar con las mesas. Estaba trabajando duro.",79 contribuciones,79.0,Escrita el 2 de julio de 2024,"Baton Rouge, Louisiana",,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1
1779691768-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Muy bueno,Angel P,"Estuvimos comiendo. Todo fenomenal, la comida buenísima y destacar el servicio, que de 10. Muy recomendable en relación calidad/precio.
Sin duda volveremos",1 contribución,1.0,Escrita el 22 de junio de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1
1779691768-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Madrid Adventures,Yusuf Yassin,Tenemos una pizza de margarita que era bueno. Los ravioles de mantequilla y el canaletto de tagliolini eran decepcionantes y secos. El risotto de hongos estaba bien. Pero la paella de arroz negro era realmente agradable. El servicio era bueno y rápido.,129 contribuciones,129.0,Escrita el 18 de junio de 2024,"Nueva York, Estado de Nueva York",,,,,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/98/11/a3/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/98/11/a4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/98/11/a5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/ae/c1/b2/caption.jpg?w=100&h=-1&s=1
1779691768-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Increíble almuerzo italiano,Sofia C,"Absolutamente deliciosa y auténtica comida italiana! Paramos aquí para almorzar y se llenó rápidamente, creando un ambiente animado. La pasta parecía casera y muy fresca.",4 contribuciones,4.0,Escrita el 17 de junio de 2024,4 contribuciones,,,,,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/96/dc/74/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1
1779691792-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Gran comida italiana en el corazón de España,Dan B,"Nos gustó tanto este restaurante que volvimos una segunda noche. La pizza es mejor que la pizza que tuvimos en Nápoles. La cobertura era de alta calidad y sabor, y no estaba empapada. La pasta es casera y las salsas estaban deliciosas. La tagliatelle della casa y la tagliatelle bolognesa fueron de las mejores que he tenido.",8 contribuciones,,8,Escrita el 19 de mayo de 2024,8 contribuciones,Ambiente,Calidad/precio,Servicio,Comida,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,
1779691792-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,"Comida bueno, atención a ratos...",María S,"Ibamos de vez en cuando para celebraciones/reuniones, era nuestro lugar especial, lástima el trato y el frío que pasamos la última vez que fuimos...encima era reserva :( .Pedimos pasta carbonara y a mí me tocó toda la pasta de la olla y a mi familiar todo el guanchale...me da que no removieron bien, otras veces pidiendo sólo un plato ha salido equilibrado. Estaba muy contenta con este sitio durante años pero la última experiencia ha hecho que no volvamos. La comida está buena.",9 contribuciones,,9,Escrita el 17 de mayo de 2024,9 contribuciones,Ambiente,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,
1779691792-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Muy buena,Gladys T,"Un restaurante acogedor , con una exquisita cena para disfrutar en familia y excelente atención de los camareros, sobre todo del camarero Mauricio Chavarrias..",1 contribución,,1,Escrita el 6 de abril de 2024,1 contribución,Ambiente,Calidad/precio,Servicio,Comida,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,
1779691792-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Cena Rica,Javier S,"La cena fue muy buena, no fuimos con muchas expectativas y nos sorprendió gratamente la calidad de la cena y el trato del camarero.
Muy recomendable",1 contribución,,1,Escrita el 28 de febrero de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,
1779691792-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,"Normalito, nada especial.",castle57,"Un restaurante más para turistas de paso, es un sitio bastante ruidoso, las mesas pequeñas, la comida muy normalita. La atención de los camareros bastante fría.",21 contribuciones,,21,Escrita el 10 de diciembre de 2023,"Madrid, España",Ambiente,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/67/67/81/avatar.jpg?w=100&h=-1&s=1,,,
1779691792-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Pizzería más que recomendable al lado de la puerta del Sol.,Miguel Angel M,Disfrutamos en familia de este restaurante por su buena relación calidad precio. La masa de las pizzas muy aceptable y buena atención por parte del personal.,47 contribuciones,,47,Escrita el 6 de diciembre de 2023,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/fe/a1/24/miguel-angel-m.jpg?w=100&h=-1&s=1,,,
1779691792-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Auténtica pizza italiana,absolutlluc,"Buena comida, rápido servicio, los camareros muy amables y profesionales , como los und pizza topolino que es la cuarto quesos",415 contribuciones,,415,Escrita el 10 de noviembre de 2023,"Mallorca, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/a0/a8/05/daytrip58706944301.jpg?w=100&h=-1&s=1,,,
1779691792-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Que ha pasado?????,Elyos_Madrid,"Que ha pasado???? He sido clienta habitual durante mucho tiempo, cierto que desde la pandemia no veníamos y nos hemos quedado locos. Era un referente de comida auténtica italiana, con sabor, buena atención, buen ambiente y autenticidad y ahora no sé no como definirlo…. Nos movieron de mesa después de pedir, mi pareja pide un tinto italiano y le dicen que si un Carramimbre (????) la ensalada de horror ( el tomate de plástico puro), me recomendaron un vino que después de 10 min esperando me dijeron que no había, espera para el primero de mas de 20 min, sin atención de aperitivo, a vino puro, con el segundo otro tanto, en la carta paella (paellaaaaaa?????) . En su favor dirè que al menos los segundos estaban buenos, pero vamos, con todo el dolor, no volveré más… una pena, de verdad…",54 contribuciones,,54,Escrita el 14 de octubre de 2023,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/2b/a9/5b/elyos-madrid.jpg?w=100&h=-1&s=1,,,
1779691792-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Paella a la italiana,Lara,"Llevaba un tiempo sin venir y me he quedado muy decepcionada. Ha perdido toda su autenticidad y esencia para convertirse en otro sitio más vendido al turismo, con un trato poco amable y un ambiente ruidoso y poco cuidado.  Paella en el menú y precios hinchados.",3 contribuciones,,3,Escrita el 22 de septiembre de 2023,3 contribuciones,Ambiente,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/aa/33/0b/gonlondrinaviajera.jpg?w=100&h=-1&s=1,,,
1779691792-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Comida sabrosa.,Jotaka B,"Excelente lugar con comida sencilla muy bien elaborada. Excelente relación calidad/precio. El trato del personal exquisito. Hemos estado ya en dos ocasiones y volveremos. Leo, el camarero que nos atendió en la cena, un buen profesional. Muy atento y servicial en todo momento. La cocina muy sabrosa. Repetiremos.",2 contribuciones,,2,Escrita el 9 de agosto de 2023,2 contribuciones,Ambiente,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,
1779691792-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Excelente relación calidad precio,Jose Morales,"Servicio a mesa rápido y de calidad.
Excelente pasta, tanto carbonara (receta original) como boloñesa.
Repetiremos sin duda.",16 contribuciones,,16,Escrita el 5 de agosto de 2023,"Córdoba, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,
1779691792-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Buen trato y muy atentos con el cliente y pizzas muy sabrosas así como buena calidad-precio.,FarAway66921188867,"Buen italiano para comer a precios razonables sobre todo si se pide el menú. La pizza muy buena con una masa fina, buen horneado, nos han gustado mucho. El trato del personal muy atento y pendientes del cliente. Lo recomiendo.",2 contribuciones,,2,Escrita el 14 de julio de 2023,"Madrid, España",,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,
1779691792-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Recomendado,wilkeiber r,"Excelente servicio y atención, la comida y Los vinos siguen siendo como antes 20/10 espero poder volver pronto .",1 contribución,,1,Escrita el 13 de junio de 2023,1 contribución,,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,
1779691792-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Buen restaurante italiano,Panavia1,"Estuve hace unos días con mi familia y el resultado fue muy bueno. Pedimos un plato de pasta cada uno y postre, y salimos satisfechos; de haber pedido más cosas hubiera sido excesivo. La atención fue muy buena, e incluso un pequeño malentendido con las bebidas lo subsanaron no cobrandonos la mal puesta. La calidad de los platos y la presentación también fue de calidad. 
No le doy el quinto punto porque los precios me parecieron un poco altos, pero la calidad hay que pagarla, y también está en el centro de Madrid.
En resumen, volvería.",50 contribuciones,,50,Escrita el 21 de abril de 2023,Alava,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,
1779691792-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,NO VAYAN A ESTE RESTAURANTE,Marta R,"Fuimos por la valoración de trypadvisor. Teníamos reserva para cenaren la terraza  a las 9:00 y cuando llegamos estaban todas las mesas ocupadas. Entonces para que hacer reserva?. La camarera que me hizo la reserva dice que , la reserva consiste en que cuando llegue coges el sitio que quede libre. Y nos mandó a un sótano sin ventilar. Muy prepotente y desagradable.Sus compañeros más amables, intentaron arreglar la metedura de pata y nos propusieron esperar a que una mesa de la terraza quedara libre. Esperamos 20 minutos.La comida sin mas. Nada del otro mundo. El precio altísimo para la escasa cantidad y calidad. Los camareros con mucha prisa para que pidiéramos, para servir y para cobrar. Nos trajo la cuenta la camarera de la reserva. No se disculpó y fue muy altiva y desagradable . Total  un asco. No lo recomiendo en abosoluto.",2 contribuciones,,2,Escrita el 20 de abril de 2023,2 contribuciones,,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,
1779691811-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Para no volver,marcos d,"La comida sin mas. Nada del otro mundo. Los camareros bastante desagradables y prepotentes, te atendian con mucha chuleria. Para rematar tenían cerceza de isabel diaz ayuso. Vamos un asco",1 contribución,1.0,Escrita el 16 de abril de 2023,1 contribución,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,
1779691811-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,,,,,,,,Leer ahora,El top 5 de Billund: diversión inolvidable para toda la familia,Da rienda suelta a tu imaginación en el destino por excelencia para pasar unas vacaciones en familia en Dinamarca.,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/61/22/14/caption.jpg?w=400&h=400&s=1&cx=996&cy=528&chk=v1_248fc962c2496fcab234,,,
