web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,position,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,image3,image4,data4
1775661897-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Uno de los mejores de Madrid,Dave M,"El ambiente, la decoración y el personal eran fantásticos. Nada era demasiado problema. La comida fue una de las mejores que hemos probado durante nuestras vacaciones. El entrante y el plato principal de lomo de ternera estaban deliciosos y la Tagliatelle Bolognaise de mi esposa eran de primera clase. También nos recomendaron una botella de vino blanco que resultó ser una gran opción. Todo por menos de 100€. 
Hemos reservado de nuevo, pero no esperes simplemente entrar, ya que estaba muy ocupado. 
Un par de puntos menores; las mesas para sentar a 2 personas estaban un poco en el lado pequeño y la práctica de poner los palitos de pan en una lata grande usada de tomate resultó ser un desafío en una mesa pequeña.",15 contribuciones,Escrita el 14 de junio de 2025,"Newcastle upon Tyne, Reino Unido",15.0,,,,,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,
1775661897-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,,,,,,,,Leer ahora,Las 10 mejores escapadas de fin de semana cerca de Londres,"Hay tantas cosas que hacer en Londres que puedes dedicar fácilmente una o dos semanas a tan solo explorar la ciudad. Cuando hayas completado toda tu lista de qué ver y qué hacer en Londres, es hora de descubrir los destinos cercanos que se encuentran a un par de horas de distancia en tren o en avión.",,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/09/a5/14/caption.jpg?w=400&h=400&s=1&cx=1504&cy=1000&chk=v1_44b6442ea249ca4fdbd0,,,,
1775661897-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Servicio y comida excelente,Carlos H,"No lo se, imagino que si, la decoración y el ambiente así lo indica, el barrio también acompaña para salir por las noches de madrid",6 contribuciones,Escrita el 12 de junio de 2025,"Madrid, España",6.0,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,
1775661897-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Atención y cena perfecta,inmaculada m,"Cenamos fenomenal y la atención de Jose fue extraordinaria, estaba pendiente de todo detalle y lo tenía todo absolutamente controlado. Da gusto cuando das con gente así.",2 contribuciones,Escrita el 30 de mayo de 2025,2 contribuciones,2.0,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,
1775661897-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Experiencia perfecta,Raquel M,"Hemos sido atendidos por Jose, el trato ha sido espectacular, además la comida tiene la calidad esperada, muy satisfecha",1 contribución,Escrita el 24 de mayo de 2025,1 contribución,1.0,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,
1775661897-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Mala recepción desde el primer momento.,César C,"Llamo para reservar y me dicen que espere. Tras 7 minutos esperando cuelgo y vuelvo a llamar, y entonces me cuelgan. No volveré a intentarlo porque se ve que no les interesa mucho tener clientes.",9 contribuciones,Escrita el 19 de mayo de 2025,9 contribuciones,9.0,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,
1775661878-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Una experiencia de cena perfecta,Meltem O,"Mi marido y yo elegimos este lugar para cenar. Estaba claro desde el momento en que entramos en el restaurante que era la opción correcta. Uno de nuestros platos estuvo mal dos veces, así que no se lo quitaron cuando pagamos. Eso fue muy educado. Servicio tan atento merece reconocimiento, y nos complace mostrar nuestra gratitud. El personal era atento, y la comida era deliciosa. Perfecto para una noche divertida. 👌🏻",7 contribuciones,Escrita el 22 de septiembre de 2025,7 contribuciones,,7,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/2e/ea/9d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,
1775661878-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Comida italiana para dos,Pilar S,"Reservamos a las 16 y la cocina cerraba a las 16.30. Es muy importante tener esto en cuenta ya que te dejan reservar hasta las 16:30. Por todo lo demás, opino que es uno de los mejores restaurante italianos de Madrid. La calidad de la comida y el servicio son excepcionales. Probamos la provoleta, la pasta con almejas, la lasaña y el postre de nutella. El Aperol Spritz muy recomendable si te gusta que lleve más cantidad de Aperol.",5 contribuciones,Escrita el 21 de septiembre de 2025,5 contribuciones,,5,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,
1775661878-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,"Todo lo que uno espera después de una salida de teatro. Gracias Pulcinella! Gracias, Madrid!!! Bellísima!!!",Luciano R,"Impecable desde la recepción de Claudia a todo el personal. Amables, diligentes y todo en tiempo. La mesa y el ambiente, las luces, la música, perfectos.
Gracias!",1 contribución,Escrita el 20 de septiembre de 2025,1 contribución,,1,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/2c/8e/b1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,
1775661878-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Elección sorpresa !,Vere,"Buscando un lugar para cenar temprano al rededor de Plaza Sta. Barbara la cual estaba llenísima encontramos en el mapa ese pequeño lugar de ensueño! Escondido tal vez,  pero una agradable sorpresa.  Nos recibieron muy cordialmente y escogimos una mesita en el interior ya que tenía una atmósfera muy agradable, el lugar es hermoso !
Nos atendió un chico llamado Denis, que a pesar de estar en entrenamiento lo hizo muy excelente! Comimos un solomillo al vino tinto con champiñones que llegó exactamente al punto requerido y sencillamente fue exquisito! 
Pero vimos desfilar unas pizzas increíbles que seguramente probaré la próxima vez! Volveré !",2 contribuciones,Escrita el 18 de septiembre de 2025,"Cancún, México",,2,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,,,,,
1775661878-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Comida,Almudena G,La comida estuvo rica y fueron excelentes los consejos de claudia quedamos todos encantados volveremos a repetir en la próxima ocasión,1 contribución,Escrita el 15 de septiembre de 2025,1 contribución,,1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,
1775661878-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,El mejor italiano de madrid,Ángela R,"comida excelente todo esta muy bueno y bajo mi punto de vista es el mejor de la línea de restaurantes tratoria puncinella, siempre me voy con un gran sabor de boca tras haber comido una comida italiana riquísima y sabiendo q voy a volver.",1 contribución,Escrita el 14 de septiembre de 2025,1 contribución,,1,Calidad/precio,Ambiente,Servicio,Comida,,pediros en nutteloto,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/1b/83/e8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,
1775661878-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,No merece mucho la pena,Lorelail,"Un restaurante italiano normalito y caro para lo que ofrece. El personal muy amable, eso sí.
Al llegar teníamos reserva, pero tuvimos que esperar fuera del local como 20 minutos. Cuando nos sentamos en la mesa una de las servilletas estaba sucia de tomate, nos la cambiaron evidentemente. Nos dijeron que nos pondrían el grissini (pan), no lo trajeron y nos lo metieron en la cuenta (7,5€ para ser exactos) que nos tuvieron que retirar. Nos trajeron un limoncello de cortesía que estaba caliente, y no pudimos ni beberlo, se lo advertimos al camarero y muy amablemente nos trajo otro frío.
Yo pedí una carbonara y bastante normalita, muy escasa de guanciale. Hay otros italianos más baratos que le dan mil vueltas.",24 contribuciones,Escrita el 13 de septiembre de 2025,"Madrid, España",,24,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/2c/1b/50/avatar.jpg?w=100&h=-1&s=1,,,
1775661878-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Excelente,larserik f,"¡El MEJOR Restaurante Italiano de Madrid! 
Excelente comida Servicio perfecto y en manos de Srta Claudia una anfitriona perfecta
!",6 contribuciones,Escrita el 7 de septiembre de 2025,6 contribuciones,,6,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,
1775661878-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,"La comida, el ambiente del restaurante. El servicio. Todo fenomenal",Alejandro R,"Todo impecable. He estado en Roma y Milán, varias veces. Nada que envidiar e incluso podría decir a muchos restaurantes de dichas ciudades, les supera.",1 contribución,Escrita el 5 de septiembre de 2025,"San Agustín de Guadalix, España",,1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,
1775661878-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Comida fabulosa.,Carmen C,"Nuestra camarera Glen, fantástica así como el resto del personal, muy atentos y agradables . En cuanto a la comida FANTÁSTICA, volveremos pronto.",1 contribución,Escrita el 30 de agosto de 2025,"Madrid, España",,1,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,
1775661878-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Un gran Italiano tradicional,Gordon P,"Encontré este pequeño Italiano casi callejero ya que queríamos comida Italiano tradicional. Este lugar no decepcionó. Aparte de que las mesas de delante estaban un poco juntas todo lo demás era genial. El Servicio que recibimos de Claudia, ya que era la única que hablaba Inglés, fue excepcional y se aseguró de que teníamos todo lo necesario. La carbonara de la esposa no estaba muy caliente como a ella le gusta, pero era sabroso. Mi plato de mariscos era delicioso y abundante. Nos dieron un buen pan tradicional, aceitunas, queso suave y palitos de pan para empezar y me recomendaron el tiramisú como postre, omg que era fantástico. En general una gran experiencia y bien vale la pena venir a celebrar nuestro 40 aniversario.",44 contribuciones,Escrita el 26 de agosto de 2025,"Ellon, Reino Unido",,44,,,,,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,
1775661878-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Italiano en España,Chuck H,Deliciosa. Personal fantástico. Excelentes precios. Tenía lasaña y burrata. Un gran vino de Italia. La experiencia general fue genial.,1 contribución,Escrita el 20 de agosto de 2025,1 contribución,,1,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,,,Traducido automáticamente,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/dd/82/f6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,,
1775661878-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Algo inexplicablemente delicioso.,Celso villavi,"El estar buscando restaurantes cómo turista es difícil guiarse por uno ya que hay mucho, pero se nos antojó mucho uno italiano, y este ha sido por mucho el mejor que he probado pero en mi vida, el trato del personal excelente, al igual que la comida, con un sazón exquisito. 

Volveré sin lugar a dudas!",5 contribuciones,Escrita el 17 de agosto de 2025,"Puebla, México",,5,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/ce/88/b8/caption.jpg?w=100&h=-1&s=1,,,
1775661878-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Una bonita cena en pareja,Explorador,"Comida muy rica, sobre todo la pasta. Los platos no son muy abundantes pero creo que viene la cantidad justa pero quedarse bien sin empacharse.",2 contribuciones,Escrita el 14 de agosto de 2025,"Madrid, España",,2,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,
1775661878-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,El mejor restaurante italiano de madrid,Jimena C,"Buenisima la atencion y la comida, volveria mil veces, el pan muy muy bueno y quedas lleno, el postre de otro mundo, mi papa que dijo que no tenia hambre se comio todos los platos el solo, y aoarte barato, INCREIBLEEEEEE",1 contribución,Escrita el 13 de agosto de 2025,1 contribución,,1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,
1775661861-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Buena experiencia,Anabel Rosa P,"En primer lugar la atención es muy buena, los camareros son rápidos y amables. La comida es espectacular,  probablemente el mejor italiano donde hw comido.","Caseres, España",5 contribuciones,Escrita el 14 de noviembre de 2025,5.0,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,
1775661861-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,,,,,,,,Leer ahora,Descubre Florencia paso a paso,"Florencia es preciosa. Camines por donde camines, te encontrarás con palacios renacentistas o con una espectacular vista del río Arno. Los florentinos están muy orgullosos de esto y, a pesar de todos los turistas (sí, hay muchos), vale la pena descubrir esta ciudad. Lo sé por experiencia propia, ya que estoy casada con un italiano y tengo la suerte de venir aquí a menudo.",,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/87/00/a3/caption.jpg?w=400&h=400&s=1&cx=1000&cy=607&chk=v1_02acb2f7285ff704d641,,,,
