web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,position,image,image2,position2,image3,image4,data21,data22,data23,data24,data25
1775728300-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Servicio y comida,Mona J,"La comida muy buena, el tiramisú fantástico, el servicio fenomenal, la música podría haber sido mas tranquila, en general muy contenta","Hola, muchas gracias por visitarnos y compartir su reseña en TripAdvisor. Nos alegra saber que disfrutaron de nuestras creaciones culinarias y servicio ofrecido. Con respecto a la música tomaremos nota de ello. Un saludo",1 contribución,1,Escrita el 6 de marzo de 2024,Escrita el 7 de marzo de 2024,1 contribución,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
1775728300-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Cena,Maria F,"Todo ha ido genial! Abigail, nuestra camarera ha sido super maja y servicial! Un placer haber venido ☺️, repetiremos seguro en nuestra próxima visita a Madrid",Qué bien que hayas disfrutado con nosotros! Esperamos volverte a ver pronto en Oven Fuencarral. Un saludo!,2 contribuciones,2,Escrita el 24 de febrero de 2024,Escrita el 25 de febrero de 2024,2 contribuciones,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,Leer más,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
1775728300-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Dani,Navigator52163032294,Increible servicio muy amable experencia invodable con calarera camarera que te ayuda con pacienza y sonriso. Increible servicio muy amable experencia invodable con calarera camarera que te ayuda con pacienza y sonriso,Nos alegra saber que nos has valorado con 5 estrellas. Comentarios como el tuyo son nuestra gran motivación. Esperamos volver a recibirte pronto.,1 contribución,1,Escrita el 20 de febrero de 2024,Escrita el 20 de febrero de 2024,1 contribución,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
1775728284-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,"Excelente comida, lugar y servicio",Carlota M,Muy buen servicio. Un restaurante muy bonito y acogedor. La comida riquísima y chupitos de cortesía. Volvería sin ninguna duda.,"Buenos días Carlotam! Muchísimas gracias por su comentario y puntuación, y esperamos volver a recibirle en nuestro restaurante. Un saludo y un abrazo!",1 contribución,Escrita el 5 de abril de 2024,Escrita el 25 de abril de 2024,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,1.0,,,,,,,
1775728284-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Atención espectacular!,Tatjana G,"La atención fue espectacular!  Rosario y Diana nos atendieron muy bien, súper atentas y amables. La comida deliciosa y el lugar es precioso. Volveremos.","Buenos días!, muchas gracias por venir y compartir su valoración, nos alegra saber que estuvo a gusto. Será un placer atenderle de nuevo en su próxima visita y ofrecerle nuevas recomendaciones, un saludo.",1 contribución,Escrita el 2 de abril de 2024,Escrita el 25 de abril de 2024,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,Leer más,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,2.0,,,,,,,
1775728284-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Excelente experiencia,juan jose g,"Fui con mi pareja a festejar su cumple. No pude haber elegido mejor. El lugar hermoso, el ambiente tranquilo y agradable. La fondue y la milanesa espectaculares. Está prohibido no probar el biscotti! Lo más rico que comí en Madrid de postre. Como frutilla en el pastel, Rosario y Diana nos atendieron muy amable mente, incluso nos trajeron una velita con el postre y cantaron con nosotros 
Sin duda volveremos","¡Buenos días!, muchas gracias por visitarnos y por dejarnos su reseña y alta valoración. Nos alegra saber que estuvo a gusto y que disfrutó de su cena y celebración de cumpleaños. Esperamos verte pronto, le mandamos un gran abrazo de parte de todo el equipo.",1 contribución,Escrita el 2 de abril de 2024,Escrita el 25 de abril de 2024,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,2.0,,,,,,,
1775728284-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,En mi opinión hablo no palabras difirentes y la servicia es muy bueno. La servia as mas bueno Que otro restuarante.,John E,Mi expiriencia con sivila fue bueno!! Mad bueno y la comida muy delicioso. La servicia mas rapido y muy Felix para la trabaja,"Buenas noches, ¡Muchas gracias por las 5 estrellas y por su fantástico comentario! Qué bueno saber que tuviste una hermosa experiencia con nosotros. Esperamos su próxima visita. Saludos cordiales del equipo Oven Fuencarral.",1 contribución,Escrita el 31 de marzo de 2024,Escrita el 2 de abril de 2024,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,2.0,,,,,,,
1775728284-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Comida en familia,Erika G,"Comida en familia y todo lo que pedimos estaba riquísimo. Buena relación calidad-precio. El personal súper amable, sobre todo Kiara que fue la que nos atendió. Volveremos!","Estimada ErikagK, Muchas gracias por la excelente reseña. Fue un gran placer hablar con usted y su familia, y nos alegra haberle ayudado a tener una gran experiencia. Nos esforzamos por complacer a todos nuestros huéspedes, así que gracias por apreciarlo. Esperamos su próxima visita, gracias nuevamente.",1 contribución,Escrita el 31 de marzo de 2024,Escrita el 31 de marzo de 2024,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,2.0,,,,,,,
1775728284-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Excelente atención,sergn b,Muy buena atención y excelente calidad en la comida. Muy recomendable para todo aquel que busque un sitio elegante y con el que quedarse satisfecho.,"Buenas noches Sergnb, nos alegra saber que estuvo a gusto y que disfrutó de nuestras creaciones culinarias, esperamos verlo muy pronto de nuevo, un saludo.",1 contribución,Escrita el 30 de marzo de 2024,Escrita el 31 de marzo de 2024,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,2.0,,,,,,,
1775728284-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Bien,Companion12171347250,"Cena con pareja y dos niños, atendidos muy bien siguiendo  recomendaciones de Abigail. Local acogedor y rapidez en el servicio.","Estimado Companion,

 Muchas gracias por la excelente reseña. Estamos muy contentos de que Abigail  haya ayudado a crear una experiencia tan maravillosa para ustedes. Nos esforzamos por ayudar a nuestros clientes a crear recuerdos duraderos, por lo que es fantástico ver que el servicio y la comida contribuyeron a que su velada sea inolvidable. ¡Esperamos con ansias su próxima ocasión especial con nosotros!",4 contribuciones,Escrita el 29 de marzo de 2024,Escrita el 31 de marzo de 2024,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,,,4.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,2.0,,,,,,,
1775728284-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,La comida de calidad y la atención igual de buena,Sofia L,"Este sitio está genial para una cena en pareja. Nos atendió Abigail, muy atenta y amable. Además, nos invitaron a un chupito de baileys con un toque de canela al final de la cena.  Encantadas","Estimada Sofia, Muchas gracias por tu reseña. ¡Es genial ver que disfrutaste de una gran velada! Nos esforzamos por brindar a nuestros huéspedes la mejor experiencia y estamos muy contentos de que haya disfrutado con nosotros. Esperamos poder cuidar de usted nuevamente.",1 contribución,Escrita el 27 de marzo de 2024,Escrita el 31 de marzo de 2024,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,Leer más,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,1.0,,,,,,,
1775728284-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Oven top,Alessandro O,"Todo muy rico, las pizzas increíbles y la atención de Efraín maravillosa. Repetiré si o si y esta vez pediré burrata....",Muchas gracias por la excelente evaluación. Nos enorgullecemos de mostrarles a nuestros clientes una experiencia cálida y acogedora y me alegra mucho que usted también haya experimentado eso. Estamos ansiosos por que regrese y traiga más familiares y amigos con usted. Un saludo.,3 contribuciones,Escrita el 27 de marzo de 2024,Escrita el 31 de marzo de 2024,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,,,3.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,1.0,,,,,,,
