web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,image3,image4,image5,data4
1776248780-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Súper paella,jcmercade,"Un lugar de excelencia
Personal muy activo
Las gambas al ajillo de diez
Y la paella súper
No soy de comer eso
Pero esa era tremenda
Es el mejor de Madrid en paellas","Buenos Aires, Argentina",7.0,Escrita el 26 de mayo de 2025,Muchas gracias por venir a visitarnos y tomarte unos minutos para dejarnos esta buena valoración de 5 estrellas. Nos alegra ver que has disfrutado de la comida. ¡Esperamos volver a verte de nuevo pronto!,7 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Cinderella Cafe & Cocktails,,,,,,,Escrita el 5 de junio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,
1776248780-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Peñalver Taberna,John M,Excelente comida. No hay desviaciones del menú: puede eliminar elementos de la paella pero no puede agregarlos. Notamos que había muchos turistas aquí y no muchos lugareños. El servicio también es muy bueno.,Fort Lau,257.0,Escrita el 24 de mayo de 2025,Gracias por venir a visitarnos y dejarnos esta valoración comentando tu experiencia. Estamos encantados de poder comprobar que has disfrutado. ¡Nos vemos pronto de nuevo!,257 contribuciones,,Cinderella Cafe & Cocktails,Calidad/precio,Comida,Servicio,Ambiente,,,Escrita el 5 de junio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f4/a3/0d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f4/a3/0e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f4/a3/0c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,
1776248780-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Lujo arrocero,Jlgem30,"Espectacular arroz y trato increible. 

Luis un crack. Para repetir siempre . Arroz con carabineros en la mejor compañia.","Madrid, España",37.0,Escrita el 22 de mayo de 2025,¡Muchas gracias por tu calificación de 5 estrellas! Nos alegra saber que disfrutaste de tu experiencia. ¡Esperamos verte de nuevo pronto!,37 contribuciones,,Cinderella Cafe & Cocktails,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Escrita el 5 de junio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f0/0f/90/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/e6/f4/57/jlgem30.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,
1776248780-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Riquísimo!!!!,Anashaly R,La comida estuvo espectacular el arroz con costra fue algo de otro mundo fue mi primera vez comiendo algo así y me encanto. Gracias a Luis que nos trato tan bien y ligero gracias por la buena experiencia fue la mejor comida que nos comimos en madrid.,2 contribuciones,2.0,Escrita el 22 de mayo de 2025,"Gracias por la visita y por la reseña, estamos encantados de poder comprobar que disfrutaste de la experiencia. ¡Nos vemos de nuevo pronto!",,,Cinderella Cafe & Cocktails,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 5 de junio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f0/02/d6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f0/02/d7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f0/02/d5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,
1776248780-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Buena atención,victor s,"Sin tener reserva nos recibieron y probamos el arroz con secreto que estaba muy bueno.
 
Luis y Cristian muy amables y atentos",1 contribución,1.0,Escrita el 22 de mayo de 2025,Gracias por venir a visitarnos y dejarnos esta valoración comentando tu experiencia. Estamos encantados de poder comprobar que has disfrutado. ¡Nos vemos pronto de nuevo!,,,Cinderella Cafe & Cocktails,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Escrita el 5 de junio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/ef/ed/29/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/31/95/5f/victor-s.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,
1776248762-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Todo de 10,Daniel F,Todo muy rico. Gracias Angel por la atención. Pedimos arroz mixto y estuvo brutal. También recomiendo mucho los tomates con ventresca.,1 contribución,1.0,Escrita el 1 de septiembre de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/fa/f2/f0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,
1776248762-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,"Buena experiencia, volveré",Matteo S,"Cena perfecta. Las camareras Helena y Yadira fueron muy amables y nos hicieron sentir como en casa. La paella estaba fantástica, sin duda vale la pena probarla. El postre de mango y piña con sorbete de mango estaba delicioso. Muy recomendable.",1 contribución,1.0,Escrita el 26 de agosto de 2025,,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/ed/a2/25/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/ed/a2/24/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,
1776248762-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Abraham Costa Rica,Abraham,Un servicio muy amable acompañado de una muy buena comida. La atención del personal es impresionante con mucha calidad en la parte humana,"Sarchi, Costa Rica",1.0,Escrita el 22 de agosto de 2025,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,,,,,,Leer más,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,
1776248762-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Cena a la descubierta de la paella,norm77ale,"muy buena experiencia, la comida muy deliciosa, gracias por el servicio de Yadira y Nelson. La paella muy buena de mar y de tierra. Hemos probado toro Los potresti y fueron Bonito.","Cecina, Italia",72.0,Escrita el 18 de agosto de 2025,,72 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/d8/24/27/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/d8/24/01/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/d4/28/5d/norm77ale.jpg?w=100&h=-1&s=1,,,
1776248762-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Buena arrocería,Jose Manuel D,"🌟 **¡Experiencia inolvidable!** 🌟  
**Comida excepcional**: Platos creativos y llenos de sabor .La atención de Nelson 10 puntos.",1 contribución,1.0,Escrita el 17 de agosto de 2025,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,Leer más,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,
1776248762-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Experiencia,Gaby D,"Hemos comido el arroz negro y el señoret y ambos estaban buenísimos, súper recomendados, además que la atención de Nelson y el equipo ha sido maravillosa.",1 contribución,1.0,Escrita el 17 de agosto de 2025,,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1776248762-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,"Cocina excelente, servicio decepcionante",Nicolas A,"La comida fue excelente, realmente muy sabrosa y bien elaborada. Sin embargo, la atención dejó mucho que desear. Nuestro camarero, Luis, nos atendió de manera brusca y apresurada, “tirando” y retirando la vajilla y los platos de forma poco cuidadosa. En lugar de generar un ambiente relajado y agradable para disfrutar de la experiencia, su trato creó una constante tensión durante la comida. Una lástima, porque la cocina merece un servicio a la altura.",1 contribución,1.0,Escrita el 10 de agosto de 2025,"Recomiendo ampliamente el arroz señoret y el pulpo a la gallega, pero sugiero evitar ser atendido por Luis.",,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,
1776248762-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,"Excelente, comida y servicio y rapsio",Eliza R,"El servicio de Luis de 10 y la comida ni que decirlo, todo excelente! La tortilla de patatas de pulplo increible y el arroz increible.",2 contribuciones,2.0,Escrita el 10 de agosto de 2025,Todo excelente!,,Calidad/precio,Comida,Servicio,Ambiente,,,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/c1/d1/34/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/c1/d1/33/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,
1776248762-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,El mejor Restaurante,Esther C,"Excelente paella de mariscos, paella carne Iberiana, jamón Ibérico, chipirones.  Toda la comida excelente! Primera vez y todo estuvo delicioso.","Fort Worth, Texas",4.0,Escrita el 8 de agosto de 2025,,4 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/ba/34/b9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/ba/34/b8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,,
1776248762-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,El mejor restaurante de cava baja,Adrian C,Comida estaba muy rico y excelente meseros y meseras! El jamón ibérico y los chipirones muy rico para empezar! Y las paellas de mariscos y paella de carne Iberica para comer.,2 contribuciones,2.0,Escrita el 8 de agosto de 2025,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,Leer más,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,
1776248762-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Paella exquisita,Alicia Casillas,Paella espectacular! Y muy buen trato en todo momento. El jamón ibérico también estaba muy rico. Repetiremos seguro!!,"Gorey, Irlanda",4.0,Escrita el 2 de agosto de 2025,,4 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/aa/53/92/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/35/ae/5e/caption.jpg?w=100&h=-1&s=1,,,
1776248762-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Excelente restaurante en rl centro de Madrid,Cesar S,"Un excelente sitio para comer o cenar en el centro de Madrid, un paso de la Plaza Mayor o la Laina.
Ambiente relajado, con buena atención y personal muy profesional.
Excelente calidad de cocina y bodega.
Postres excelentes.
Hay que reservar, se puede hacer por la web.
El precio es elevado, pero lógico por el lugar y la calidad.",538 contribuciones,538.0,Escrita el 31 de julio de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/a5/57/37/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/a5/57/36/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/25/fd/43/caption.jpg?w=100&h=-1&s=1,,,
