web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,image3,image4,data22,data23,data24,data25,data26,image5
1776249154-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Cena en Lola si mola,Beatriz S,"Muy buen ambiente y buena comida. Nos dejamos aconsejar por el personal  y fue todo estupendo. El gazpacho de sandía, muy rico","Estimada Beatriz, agradecemos tus bonitas palabras. Nos alegra que nuestro ambiente y comida hayan sido de tu agrado. ¡Esperamos verte de nuevo pronto!",3 contribuciones,3.0,Escrita el 9 de octubre de 2023,,Lola Sí Mola,Escrita el 9 de enero de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
1776249154-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Excelente momento,Myriam C,Restaurante original con un servicio estupendo. Gracias a Alex pour sus consejos. Platos riquisimos y bien presentados. Volveremos sin dudar.,"Estimada Myriam, le agradecemos mucho sus amables palabras. Nos alegra saber que disfrutó de su experiencia con nosotros. ¡Esperamos verla de nuevo pronto!",57 contribuciones,57.0,Escrita el 9 de octubre de 2023,,Lola Sí Mola,Escrita el 9 de enero de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/8a/be/01/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/8a/be/02/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
1776249154-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Excelente,Andrea,Recomendadísimo!!! La comida es una auténtica delicia y muy acertada. La atención de los camareros es de 10.,"Estimada Andrea, gracias por su amable comentario. Nos alegra saber que disfrutó de nuestra comida y atención. Esperamos verla pronto. ¡Un saludo!","Madrid, España",5.0,Escrita el 2 de octubre de 2023,5 contribuciones,Lola Sí Mola,Escrita el 9 de enero de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
1776249154-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Siempre mola,Andrea,"Calidad precio el mejor de huertas, y si hablamos de la atención de los camareros, es estar con la familia, siempre es un gusto ir, al Lola Si Mola, y lo que mola eh, recomendado totalmente, pero tenéis que ir para vivir la experiencia.","¡Gracias por tu reseña, Andrea! Nos alegra saber que te sientes como en familia al visitarnos. Esperamos verte pronto para que sigas disfrutando de nuestras ofertas y atención al cliente. ¡Hasta pronto!","Madrid, España",5.0,Escrita el 29 de septiembre de 2023,5 contribuciones,Lola Sí Mola,Escrita el 9 de enero de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/75/44/8b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/75/44/8c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
1776249154-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,De diez,Joaquín,"Reservé ""a lo loco"" ya que no sabíamos donde ir y lo encontramos gracias a esta app. 

He de decir que no defraudó. Pedimos y nos dejamos aconsejar por el camarero (nos recomendó la burrata con salmorejo y a mi personalmente la sangría) y estaba buenísimo.

Las patatas crispy, las alcachofas en tempura y los tacos (el resto de platos que pedimos) no desmerecían en nada a los anteriores.

Volveremos.","Estimado Joaquín, nos alegra mucho que tu experiencia haya sido tan positiva. Agradecemos tus amables palabras y estamos encantados de que nuestros platos te hayan gustado. ¡Esperamos verte pronto!","Alcalá de Henares, España",12.0,Escrita el 24 de septiembre de 2023,12 contribuciones,Lola Sí Mola,Escrita el 9 de enero de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/6c/7a/c9/jjoaquin92.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
1776249140-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,MARAVILLOSOS Y EXCELENTES EN TODO,Liliana,"Maravillosos!!..y te tratan súper bien,súper profesionales,limpios,educados, respetuosos,encantadores.Y el lugar acogedor chiquitito pero muy acogedor y se come de maravilla.Y el ambiente muy bueno. Fuí con mi pareja y con amigas y amigos y súper bien. RECOMENDABLE AL 100%. EXCELENTE EN GENERAL NINGUNA QUEJA.","Madrid, España",40,,Escrita el 13 de julio de 2024,,40 contribuciones,,,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/5f/43/f7/lisflowerlove.jpg?w=100&h=-1&s=1,,,0,,,,,
1776249140-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,A mis amigos les encanto,Passport35794494990,Nos encantó! La comida muy buena y Alejandro muy simpático y muy profesional..repetiremos! El sitio pequeño pero acogedor,1 contribución,1,,Escrita el 11 de julio de 2024,,,Que se dejen aconsejar por Alejandro!,,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,0,,,,,
1776249140-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,"Tendré que volver para probar el resto de platos. Si que mola, sí.",Irene I,"La comida riquísima, y muy bien preparada para compartir. El sitio, pequeño, acogedor y bien adornado.
La temperatura ambiente, algo elevada. Hemos pasado (en general) de pelarnos de frío por los aires acondicionados, a estar un poco pasados de calor. Dos graditos menos y, como en el paraíso. Muy majo el camarero venezolano que nos atendió, muy atento.
Y como siempre en este bendito país, mucho ruido ambiente, pero eso no es culpa del local, es nuestra idiosincrasia.",8 contribuciones,8,,Escrita el 8 de julio de 2024,,,,,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,0,,,,,
1776249140-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Un sitio con encanto al que hay que darle una oportunidad,Lidia C,Es un local pequeño pero encantador al igual que el dueño y los compañeros. La comida buenísima y el trato excepcional. Fuimos por un cumpleaños y nos hicieron el favor de poner unas velas en el brownie y cantarle cumpleaños feliz con una guitarrita. Muy recomendable. Volveremos seguro.,1 contribución,1,,Escrita el 30 de junio de 2024,,,,,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/b4/de/df/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,0,,,,,
1776249140-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Excelente local en plena Calle Huertas,Jose Luis Hernández,"Excelente local en plena Calle Huertas en el Barrio de las Letras, la comida, la atención y el trato por parte de David de lujo, volveremos seguro, se nos quedaron cosas por probar, como consejo, probar la burrata y el chessecake de maracuya. 😎","Esquivias, España",157,,Escrita el 31 de mayo de 2024,,157 contribuciones,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/70/dc/28/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,0,,,,,
1776249140-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Servicio amable y comida rica rica,Tharais A,"El local es muy acogedor; la comida es fantástica y el servicio es especialmente amable.
Sin duda lo recomiendo, volveremos en nuestra próxima visita",1 contribución,1,,Escrita el 20 de abril de 2024,,,,,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,0,,,,,
1776249140-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Un rato agradable y buena comida,Mª Jesus C,"Platos elaborados y buena calidad , buen servicio, camarero agradable e informó bien para elegir , platos buen presentados, local acogedor",4 contribuciones,4,,Escrita el 14 de abril de 2024,,,"Se aprecia bastante ruido cuando hay mucha gente, aun así lo recomiendo",,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,1,,,,,
1776249140-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Descubrimiento,Sonia,"Fue un verdadero placer descubrir a Lola Si Mola!!! Todo lo que probamos estuvo divino! Tacos de gambas, alcachofas, bao de carne mechada y el postre de maracuyá! Increíble. La atención de Alejandro nos hizo sentir en casa! Repetiremos seguro 🏆",8 contribuciones,8,,Escrita el 30 de marzo de 2024,,,,,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c0/38/8e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,0,,,,,
1776249140-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Excelente servicio!,Sofi F,excelente servicio. Alejandro es lo mejor y Nelson hace los mejores mojitos que probé en mi vida. Son lo mejor del lugar! Volveremos seguro!,1 contribución,1,,Escrita el 7 de enero de 2024,"Estimada Sofi, agradecemos sus amables palabras. Nos alegra escuchar que disfrutó del servicio y los mojitos. ¡Esperamos verla pronto de nuevo! Saludos.",,,Escrita el 9 de enero de 2024,Lola Sí Mola,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,0,,,,,
1776249140-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Muy bien sitio en huertas,Zaphod,Excelente comida. Magníficas croquetas y tacos. Especial mención a la amabilidad de Tonino. Para repetir 100% seguro,"Tres Cantos, España",6,,Escrita el 25 de diciembre de 2023,"Estimado Zaphod, 
Nos alegra mucho que disfrutara de nuestra comida y servicio, especialmente las croquetas y tacos. Tonino agradece sus amables palabras. ¡Esperamos verle de nuevo pronto!",6 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 8 de enero de 2024,Lola Sí Mola,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,0,,,,,
