web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,position2,image,image2,image3
1775582087-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Lugar acogedor,Jonathan A,"La comida y la atención muy buena, el chico osman nos recomendó la paella y nos ha encantado además con muy buena atención, un lugar para seguro volver.",2 contribuciones,Escrita el 27 de octubre de 2025,2.0,,,,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,
1775582087-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Servicio estupendo,Jose B,"Excelente atención, los camareros son muy educados y atentos. La comida es excelente y a buen precio, recomiendo la paella de mariscos y la sangría",3 contribuciones,Escrita el 27 de octubre de 2025,3.0,,,,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,
1775582087-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Impecable,Jose C,"Comimos unos platos riquísimos y el personal y ambiente muy acogedor.
Fuimos.con mi.familia y nos atendieron muy bien!",1 contribución,Escrita el 27 de octubre de 2025,1.0,,,,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,
1775582087-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,,,,,,,Explora ahora,Descubre Abu Dabi,Descubre por qué a los viajeros como tú les encanta Abu Dabi,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f9/08/b1/mosquee-1.jpg?w=400&h=400&s=1,,
1775582087-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Salida con Amigos,Jose Joaquin A,Excelente atención .. las tartas muy Ricas … la comida excelente Repetiremos cuando volvamos a Madrid.. exelente👏🏻👏🏻👏🏻👏🏻,1 contribución,Escrita el 26 de octubre de 2025,1.0,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,
1775582087-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Muy buen servicio los chicos atienden excelente la comida super rica y los chicos super educados muy buen trabajo,Wilfredo D,"Maravillosa experiencia 
Muy buena atención 
La comida excelente 
Súper Recomendado 
Me encanto todo el local además super lindo",1 contribución,Escrita el 26 de octubre de 2025,1.0,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,
1775582087-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Excelente servicio,José Ramón S,"Excelente y deliciosa comida. Excelente servicio. Muy buen ambiente. Meseros con buena actitud, servicial y amables",2 contribuciones,Escrita el 25 de octubre de 2025,2.0,,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,
1775582087-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Buen lugar para comer rico,Carolinna Saldanha,"Excelente lugar, muy rica la comida y bebidas, los meseros súper amables, Osman muy atento 10/10. Lo recomiendo ampliamente",2 contribuciones,Escrita el 25 de octubre de 2025,2.0,,,,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,
1775582068-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Gran primera experiencia,LuisMiguel M,El trato inmejorable y la comida rica además de muy buena relación calidad precio. Nos invitaron al final a un chupito a pesar de no haber consumido demasiado. Para repetir,1 contribución,Escrita el 8 de enero de 2026,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1
1775582068-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Excelente ambiente,oneidy s,"Muy buena atención de parte de los camareros y excelente comida,muy buenas gambas al ajillo muy rico el sabor y muy buen ambiente",1 contribución,Escrita el 6 de enero de 2026,1.0,1 contribución,Calidad/precio,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1
1775582068-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,"buen servicio, buen ambiente y deliciosa comida",María J,"Muy buena atención de parte de Owen Guerra, muy servicial y con la mejor actitud. Degustamos el plato, Gambones al ajillo y la paella de mariscos y me pareció súper delicioso la verdad os recomiendo 10/10",1 contribución,Escrita el 6 de enero de 2026,1.0,1 contribución,Calidad/precio,Servicio,Comida,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1
1775582068-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,"Una gran atención, rápido y sobretodo delicioso",DayTrip38846180602,Me encantó la comida con un sabor excelente y la atención maravillosa por parte de owen que con una gran actitud nos hizo vivir la mejor experiencia con los mejores platillos,2 contribuciones,Escrita el 6 de enero de 2026,2.0,2 contribuciones,Calidad/precio,Servicio,Comida,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/24/b6/9b/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1
1775582068-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Delicioso y recomendado,alvaro a,"Espectacular . Los chipirones del otro mundo, la paella deliciosa. La atención muy buena. Los precios justos. Altamente recomendable. Cero estafa para el turista",4 contribuciones,Escrita el 4 de enero de 2026,4.0,"Bogotá, Colombia",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,2.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1
1775582068-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,No volveré,Javi Estríngana,"No sé si antiguamente lo llevaban otras personas, pero desde luego, la visita de hoy nos ha decepcionado bastante. Camareros despistados, comida muy cuestionable (en lo que refiere a calidad), y no pidáis los huevos rotos con boletus, era más una sopa de huevo que otra cosa.",5 contribuciones,Escrita el 3 de enero de 2026,5.0,5 contribuciones,Calidad/precio,Servicio,Comida,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1
1775582068-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Primera visita,Sunshine65694019947,"Gracias a Peter por el excelente servicio, la comida espectacular y el ambiente genial. Definitivamente recomendado.",1 contribución,Escrita el 31 de diciembre de 2025,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1
1775582068-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Excelente Paella de Marisco!,JohnSG911,Pequeño restaurante pintoresco que sirve paella de mariscos realmente excelente. La paella es húmeda y “sopa” con buena cantidad de mariscos. Una de las mejores paellas que tuvimos en Madrid - y volvimos de nuevo por segundos! Gran servicio con personal amable y buena música de los 80 y 90. El pulpo también es muy bueno. Precios razonables.,125 contribuciones,Escrita el 23 de diciembre de 2025,125.0,"Singapur, Singapur",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/0c/91/99/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/0c/91/9a/caption.jpg?w=300&h=300&s=1,
1775582068-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Excelente para Celiacos,Alusru B,"Fuimos con mi hija celiaca. Comimos delicioso, fueron muy cuidadosos con el tema del gluten. Todo estuvo delicioso! Pero lo mejor fue el trato, SUPER amables y preocupados. Lo recomiendo totalmente! El equipo de la noche TOP!",1 contribución,Escrita el 18 de diciembre de 2025,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1
1775582068-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Excelente,Madalina B,"Todo fue extraordinario. Los camareros son geniales, la comida riquisima. Fuimos un equipo de 6 chicas y nos han tratado estupendo. Muy encantada",1 contribución,Escrita el 14 de diciembre de 2025,1.0,1 contribución,Calidad/precio,Servicio,Comida,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1
1775582068-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Muy buenas,Maria Lucica R,"La comida muy buena 
Además no avía entendido super bien 
Local muy limpio   Osman un camarero muy amable. Papasito muy goapo",1 contribución,Escrita el 12 de diciembre de 2025,1.0,1 contribución,Calidad/precio,Servicio,Comida,Ambiente,"Que baya ai 
Q no se arrepiente",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,2.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1
1775582068-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Pulpo con Chimichurri y paella con mariscos,Juan Luis F,Excelente sabor del pulpo con chimichurri y paella de mariscos. El sabor de la salsa del pulpo estaba muy sabrosa y el pulpo estaba en su punto acompañado de patatas.,155 contribuciones,Escrita el 27 de noviembre de 2025,155.0,155 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/da/57/3a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/da/57/3b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/17/d6/0c/juan-luis-f.jpg?w=100&h=-1&s=1
1775582068-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Agradable,Safari06028161378,"La atención es muy buena, todos muy atentos, el ambiente me encanto, la comida es divina, probé el Risotto y la verdad estaba muy rico, súper recomendados.",3 contribuciones,Escrita el 23 de noviembre de 2025,3.0,3 contribuciones,Calidad/precio,Servicio,Comida,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d0/f0/4e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d0/f0/4f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1
1775582068-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Cena Familiar,Hector R,"Muy buen servicio, ambiente tranquilo y excelente comida! 
Alejandro es el mejor, desde Puerto Rico volveremos! ❤️🇵🇷",1 contribución,Escrita el 18 de noviembre de 2025,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1
1775582068-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Comida sabrosa,José R,"Excelente comida, muy buen servicio. Risotto, paella, bacalao, mil puntos, y las empanadas argentinas divinas, lo único es que el plato de calamares es muy pequeño.",3 contribuciones,Escrita el 9 de noviembre de 2025,3.0,"Caracas, Venezuela",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1
1775582049-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Cena madrid,Luis Eduardo Z,"Todo súper delicioso y Osmar el mejor mega lindo fue una de las mejores opciones en Madrid, ambiente, risas y mucho sabor",2 contribuciones,Escrita el 23 de enero de 2026,2.0,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,
1775582049-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Buena comida y servicio,Luis V,Muy buena comida y Osman es increíble pidan una mesa con el,1 contribución,Escrita el 23 de enero de 2026,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,
1775582049-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Recomendado!!,Joyce M,"Comida típica española. La comida muy rica, excelente servicio, buenos precios y la atención muy amable. Lo recomiendo!",6 contribuciones,Escrita el 22 de enero de 2026,6.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,,,,,,1.0,,,
1775582049-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,La mejor experiencia!!,Mary Luz W,"No puedo pasar por Madrid sin visitar este lugar, la comida es deliciosa y la atencion y el calor humano de los chicos es muy agradable. Gracias Julian por tu buena labor, volveré pronto.",11 contribuciones,Escrita el 20 de enero de 2026,11.0,"Las berenjenas y la paella estan deliciosas, escuché las recomendaciones del camarero y me deje tatender y de verdad que me sorprendieron.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,
1775582049-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Lo máximo!,Alejandro Perez Bolanos,Llevo años viniendo a este lugar por la atención de los venezolanos y la calidad de la comida y Peter es una maravilla!!! Por lo general en españa atienden muy mal porque los clientes  no suelen dar propina pero este personal se esmera como si le fueses a dar la mejor propina del mundo. Son lo máximo,3 contribuciones,Escrita el 20 de enero de 2026,3.0,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/40/e0/c5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,
