web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,data18,data19,data20,data21,data22,data23,position
1779692052-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Tuvimos una noche encantadora en Restaurante Alabastro!,Coop,"El ambiente era refinado pero acogedor, perfecto para una cena romántica. Cada plato mostró sabores tradicionales con un toque innovador, haciendo bailar a nuestras papilas gustativas. Disfrutamos especialmente de la amplia selección de vinos que complementó nuestra comida maravillosamente. El servicio fue atento sin ser intrusivo, añadiendo a la experiencia general. Mientras que un par de platos fueron ligeramente golpeados - o - falta, la calidad general hizo que valiera la pena. Nos fuimos sintiéndonos satisfechos y con ganas de volver!",2 contribuciones,2,Escrita el 10 de marzo de 2025,"Nueva Delhi, India",Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,,,,
1779692052-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Excelente restaurante de alta gama que sirve platos pequeños estilo tapas,Michael384,"Gran lugar para ""tapas"" o platos pequeños de gama alta. Personal muy bien informado para ayudar con la selección, incluyendo el vino. 

No es barato, pero la experiencia fue excelente",153 contribuciones,153,Escrita el 28 de febrero de 2025,"Bedford, Reino Unido",Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,,,,
1779692052-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Excelencia  culinaria gallega,Don Diego,"Uno de mis restaurantes de referencia en Madrid. Desde hace años soy habitual por muchas razones, pero sobre todas por la magnífica cocina, el excelente producto gallego y el gran servicio de sala propiciado por Óscar, Luis y el resto de personal. Confortable, con una carta de vinos fantástica, dónde es imperdonable no apostar por referencias gallegas difíciles de encontrar en Madrid. Impera un plato mítico que el primerizo no debe perderse: merluza de pincho con pil-pil de limón y espinacas. La merluza es pura mantequilla en cuanto a textura con un sabor inigualable al combinarse con el pil-pil cítrico, sinceramente delicioso . Otro clásico es la maravillosa empanada. No dejar de lado el fantástico arroz con pato o salmonetes. Hay que escuchar los sorprendentes platos fuera de carta y dar una oportunidad a los platos de carne, muy bien resueltos también. Se come fantástico, te atienden aún mejor y sales con una sonrisa de buen disfrute de este excelente restaurante, de magnífica ubicación además. Muy recomendable.",83 contribuciones,83,Escrita el 28 de enero de 2025,"Madrid, España",Calidad/precio,Ambiente,Servicio,Comida,Innegociable el probar la merluza.,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/26/fd/34/d3c468.jpg?w=100&h=-1&s=1,,,,,,,
1779692052-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Excelente!! Una experiencia culinaria perfecta,Esperanza D,"Excelente!! Productos inmejorables preparados de forma exquisita. Nuestros favoritos: los carabineros con huevos y patatas, los niscalos con huevo, las alcachofas con vieiras, el steak tartar, la raya… cada bocado una delicia. Local muy agradable y servicio perfecto y atento. Súper recomendable",1440 contribuciones,1440,Escrita el 1 de diciembre de 2024,"Zaragoza, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/3f/e6/51/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/3f/e6/52/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/3f/e6/53/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/3f/e6/54/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/3f/e6/55/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/3f/e6/56/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/3f/e6/57/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/3f/e6/58/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/5f/80/c9/esperanza-d.jpg?w=100&h=-1&s=1,,,,,,,
1779692052-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,"SINCERAMENTE, EL MEJOR",Bicitech,"No voy todos los días porque no puedo pero, la verdad, es como comer en casa de tu madre, por el trato, la sala, y la cocina.
Desde los aperitivos, los principales, los postres, la bodega que siempre tiene cosas para sorprender hasta la charla en la barra con Abel es todo perfecto.
Sala 10 Servicio 10 Cocina 10 Precio 9",909 contribuciones,909,Escrita el 8 de noviembre de 2024,"Las Rozas, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,2,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/58/fe/05/bicitech.jpg?w=100&h=-1&s=1,,,,,,,
1779692082-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Gran experiencia,Maja B,"Servicio increíble, la comida era genial y muy especial. Teníamos un menú y un vino de maridaje. Magnífico. Es sobre todo pescado y vino maridaje fue absolutamente fantástico",31 contribuciones,31,Escrita el 24 de octubre de 2024,,31 contribuciones,,Mostrar original,,,,,Traducido automáticamente,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,
1779692082-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,"Un clásico de elegante, agradable y donde se come francamente bien",EvaHK,"Para mi es d un sitio que si tienes que ir por temas profesionales es un acierto y si vas por temas personales quedas fantásticamente bien. El sitio es bonito, el servicio excelente ( el maître Oscar es algo fuera de serie) y la comida buenísima. Los entrantes (croqueta riquísima, sardina sobre brioche) una pasada, las gambas con mayonesa fina muy sabrosas, la merluza rica y los ravioli buenísimos. El servicio súper atento, vamos una experiencia de 10!",1477 contribuciones,1477,Escrita el 5 de octubre de 2024,,"Madrid, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/8e/78/5f/caption.jpg?w=100&h=-1&s=1,,,,,,,,,Leer más,,1.0,
1779692082-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Una experiencia de sabor primero en Alabastro,MenuPassport,"Nuestra velada en Alabastro en Madrid, impulsada por la recomendación de un amigo, se convirtió en una encantadora aventura culinaria. Optamos por el menú degustación, donde cada plato vino con su propia historia, algunos contados maravillosamente a través de un plato ingenioso, mientras que otros dejaron un poco a la imaginación. Pero aquí está la vuelta de tuerca: lo que algunos platos carecían de presentación, lo compensaban con creces en sabor. Cada bocado era una revelación, con sabores ricos y en capas que bailaban en el paladar. El contraste inesperado entre lo visual y el sabor hizo la experiencia aún más intrigante. El alabastro es el tipo de lugar que te recuerda — a veces es lo que realmente cuenta. Me alegra que dimos el salto y exploramos esta joya escondida, donde el sabor reina. Sin duda merece la pena una visita para aquellos que aprecian la sustancia sobre el estilo!",400 contribuciones,400,Escrita el 1 de octubre de 2024,,"Miami Beach, Florida",,Mostrar original,,,,,Traducido automáticamente,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/ac/91/62/caption.jpg?w=300&h=300&s=1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/cd/07/d0/menupassport.jpg?w=100&h=-1&s=1,,,,,,,,,Leer más,,0.0,
1779692082-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Un regalo familiar.,ajkedar,Tuvimos una deliciosa comida familiar con un servicio súper atento y deliciosa comida. Empezamos con platos compartidos y tan bonito que los sacamos uno a uno con un tiempo impecable entre ellos. El principal de atún y pimientos era un sobresaliente y muy bien cocinado.,483 contribuciones,483,Escrita el 21 de septiembre de 2024,,"South Lanarkshire, Reino Unido",,Mostrar original,,,,,Traducido automáticamente,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,
1779692082-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Espectacular!!!,Esther C,"Fuímos a cenar un grupo grande. A Menú cerrado. En mi caso con intolerancias alimentarias… adaptaron el menú, en todo momento me dieron explicaciones de que llevaban cada uno de los platos para que pudiera comer tranquila. Personal muy correcto, amable y atento.
Comida, en cuanto a cantidad si que es cierto que pueden parecer raciones escasas, pero en nuestro caso hubo pase de 4 platos y el postre, y realmente el último plato y el postre costaba acabarlo.
El sabor de la comida es espectacular, contrastes de sabores que son acertadísimos, en nuestro caso un pequeño aperitivo con una navaja con salsa de algas que para mi destacaba notablemente frente a los otros aperitivos. Como entrante unas gambas con brotes y salsa fresca, con un toque picante que despertaba mucha curiosidad, muy buenas. De principal merluza en un muy buen punto de cocción, jugoso y muy rico (aún nos estamos preguntando como hacen ese corte al pescado para no tener ni una espina). Raviolis de carne deliciosos, sabor con carácter, muy rico también, y por último en mi caso fue el postre de la casa un merengue con sorbete de limón y galleta, y aquí he de decir que si hasta el momento me había encantado la comida, fue la guinda del pastel!! ESPECTACULAR!!!
Agradecer al camarero que en todo momento estuvo pendiente de mi, y mi intolerancia.
Local es bonito pero destacaría la comida y el servicio ante todo.",88 contribuciones,88,Escrita el 6 de junio de 2024,,"Molins de Rei, España",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/7f/b7/96/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/7f/b7/97/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/7f/b7/99/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/7f/b7/98/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/7f/b7/9a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,
1779692082-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Feliz reencuentro…,Pablo R,"Es un lugar que nunca defrauda. 
Durante un tiempo fui frecuentemente pero desde la pandemia no había vuelto. 
Fran conectaba conmigo y pensé que su salida podía haber afectado, tanto a la cocina como al trato de cliente. 
Nada de eso (sigo echando en falta a Fran pero esto ya va comingo) la cocina sigue siendo excelente, el trato tanto más y el entorno mantiene el encanto (igual un poco ruidoso, pero claro, somos españoles…). 
Sigue siento una de las mejores opciones que disfruto en Madrid: propuesta generosa en opciones y variantes, producto magnífico, equilibrio entre cocina tradicional con toque actual, atención al detalle, servicio impecable, vinos más que correctos. 
Mil gracias por seguir dando alegrías !!!!",3 contribuciones,3,Escrita el 30 de mayo de 2024,,3 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,,,,,,Leer más,,1.0,
1779692082-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Increíble menú degustación,Nick R,"No puedo decir suficientes cosas buenas sobre nuestra comida. El servicio era impecable, la comida era excepcional, el maridaje de vinos era perfecto. ¡No puedo esperar a volver!",24 contribuciones,24,Escrita el 25 de mayo de 2024,,24 contribuciones,,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,,,,,,Leer más,,1.0,
1779692082-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Clásico siempre de moda,PEDROWINE,"Con renombre desde hace mucho tiempo, finalmente pude comprobar que todos los rumores eran ciertos.  
Comida: 8.5/10
Servicio: 9/10
Ambiente: 8/10
Calidad/precio: 9/10",626 contribuciones,626,Escrita el 29 de abril de 2024,Gracias Pedro por vuestra visita y valoración. Qué alegría leer tus palabras. Y qué felicidad saber que disfrutasteis así de nuestra cocina.Esperamos teneros de nuevo muy pronto. Un saludo.,España,GrupoAmicalia,,Calidad/precio,Ambiente,Servicio,Comida,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,
