web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,image2,image3,image4,data18,data19,data20,data21,data22,data23,data24
1779690861-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Luces y sombras,Raquel N,"Tras cenar en Casa Jaguar tengo que decir que hubo luces y sombras.

Me gustaron mucho el plátano macho maduro con mascarpone y Oaxaca, y la tarta de lima y maracuyá. Buenísimos.
Los tacos de arrachera estaban buenos, eché en falta un toque de plancha a las tortillas.
La arepa de birria tenía muy buen sabor, aunque un poco más de caldo se agradecería para que no resultase tan seca.
Al contrario de la arepa Oaxaqueña, que no tenía mucho sabor, pues era casi todo masa con relleno escaso.
Lo peor fue el ceviche de corvina, subidísimo de ácido y con leche de tigre desaparecida.
El pisco sour estaba rico. En general me parece que es un poco caro.",4817 contribuciones,4817.0,Escrita el 29 de marzo de 2025,"Madrid, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/78/bd/1d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/78/bd/1e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/78/bd/1f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/12/98/ff/rakel-nm.jpg?w=100&h=-1&s=1,,,,,,,
1779690861-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Una joya oculta,Ladymuppet,"Una comida increíble digna de una estrella Michelin, este restaurante es una joya escondida en las bulliciosas calles de Madrid! La lubina principal estaba deliciosa al igual que los tacos de hongos vegetarianos. Cócteles refrescantes y spritzes también - grandes servidores y el chef era muy amable.",26 contribuciones,26.0,Escrita el 9 de marzo de 2025,26 contribuciones,Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/40/2c/43/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/40/2c/44/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/40/2c/45/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,,,,,
1779690861-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Un día regular?,peibol2014,"Repetimos restaurante porque los platos que comimos la primera vez nos gustaron mucho. Ahora nos ha sorprendido que el plato de camarones con arroz de cilantro que pedimos la otra vez, cuya salsa es esquisita, viniera con apenas una cucharada de arroz para acompañarlos, es una falta de respeto al cliente.Luego pedimos un lomo que no pesaba los 280 gramos que decian en la carta, pero además , tenia una tira de grasa que reducía su tamaño.. Respecto al servicio , dejaba mucho que desear , tuvimos que pedir los cuchillos de carne y cambio de platos, luego al recordar a una camarera que nos trajera una cerveza nos contestó con malos modos .. El postre consistía en una tarta de  chocolate  acompañada por una bola de helado minuscula, total que no puedes mezclar el chocolate con el helado que se consume en dos cucharadas ..Los camareros en la barra bebían mojitos y chupaban las cucharas de los cocteles , lo cual daba muy mala imagen ...Conclusión , un lugar agradable, comida de buen sabor pero muy escasa y mal rematada , un servicio regular que no está a la altura , empezando por la persona que te recibe al principio y precio elevado para lo que ofrecen...",47 contribuciones,47.0,Escrita el 23 de febrero de 2025,"Madrid, España",,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,,,,,,
1779690861-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,La comida,jose g,"todo genial, muy agradable el trato y la comida muy rica. He ido dos veces y siempre bien. Gran lugar, grna ambiente, gran producto.",3 contribuciones,3.0,Escrita el 20 de enero de 2025,3 contribuciones,,,,,,,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,,,,,
1779690861-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Experiencia estupenda,Voyage551221,"Todo genial, la comida muy rica, los piscos deliciosos y los postres maravillosos. Y la atención fantástica, como el ambiente en general.",3 contribuciones,3.0,Escrita el 19 de enero de 2025,3 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,,,,,,
1779690892-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Una experiencia de sabores única en Madrid,Silvia S,"El menú es excelente.. una fusión de cocina mexicana, peruana, argentina y venezolana increíble!! 

Todos los platos son especiales, elaborados con mimo y mucho sabor.

Sin duda, una de las mejores aportaciones de este restaurante es el personal. Atentos, simpáticos y muy pendientes de todo. 

Ya habíamos estado y hemos repetido x segunda vez. No defrauda!! 

Volveremos !! ☺️",1 contribución,1.0,Escrita el 30 de diciembre de 2024,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,0,,,,,,
1779690892-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Para disfrutar.,Héctor A,"Excelente restaurante, platos especiales. la corvina Jaguar una locura, el plátano, los nachos con Langostinos wao. Recomendable.",14 contribuciones,14.0,Escrita el 29 de diciembre de 2024,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/7d/94/6e/hector-a.jpg?w=100&h=-1&s=1,,,,0,,,,,,
1779690892-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Mejor que en casa,Bowie,"Gran experiencia , alejado de los sitios turísticos. Te hacen sentir como en casa y con unos sabores muy auténticos . Se nota la calidad del producto y el cuidado del servicio que es súper atento. 
Un 10 de sitio!! Volveremos sin duda",2 contribuciones,2.0,Escrita el 23 de diciembre de 2024,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,,,,0,,,,,,
1779690892-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Me encantó 🤩🤩,Lydia,"Óptimos cócteles...bonita decoración y atención excelente , especialmente de Julián .. volveré seguro ..pisco buenísimo!!! Entré por curiosidad y superó mis expectativas",17 contribuciones,17.0,Escrita el 21 de diciembre de 2024,"Pineda de Mar, España",Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,0,,,,,,
1779690892-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Muy recomendable,Isaac errante,"Como siempre excelente comida y atención diligente.Hubo un momento lamentable con la corta carta de vinos blancos que no coincidía en nada con los que tenían y con una camarera  despistada(no pareció malicia) que nos quiso meter un vino por otro,el encargado? atento al ver nuestro mosqueo estuvo al quite.
Sigue siendo una muy buena opción.",12 contribuciones,12.0,Escrita el 25 de noviembre de 2024,12 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,1,,,,,,
1779690892-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Cena perfecta,Sheri M,"Cada plato era fantástico. Desde el entrante de berenjena ahumada, la red (lubina, camarones y cerdo) hasta los postres. El ambiente era perfecto, camareros tranquilos y amables.",3 contribuciones,3.0,Escrita el 18 de octubre de 2024,3 contribuciones,,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,,,,0,,,,,,
1779690892-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,"Gran comida, gran relación calidad-precio :)",Catherine O,"La lubina era excelente - lo recomiendo encarecidamente! Gran comida, precios muy razonables, y un servicio amable. ¡Volveremos!",1 contribución,1.0,Escrita el 4 de octubre de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,,,,,0,,,,,,
1779690892-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Comida caribeña a buen precio,AnaMadrid22,"Comida caribeña.
Un sitio muy agradable, con  buen precio y con buen trato. 
La comida esta buena, y tiene mucha varieda.
Buenos cócteles",510 contribuciones,510.0,Escrita el 4 de octubre de 2024,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/41/a6/a8/anamadrid22.jpg?w=200&h=-1&s=1,,,,0,,,,,,
1779690892-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Grandes bebidas y tacos,Damon,"Este restaurante es una joya. El ponche de ron jamaiquino fue sobresaliente, así como las empanadas y tacos. Lugar subestimado. . , excelente servicio amable también",72 contribuciones,72.0,Escrita el 11 de septiembre de 2024,"Dhahran, Arabia Saudita",,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,0,,,,,,
1779690892-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Conserva el encanto de siempre,Aida V,"Ya conocíamos el local pero hacéis mucho que no íbamos y estamos felices de comprobar que conserva el encanto de siempre. Un lugar con mucho 'rollo', donde pasar un rato a gusto, con música buena pero nunca demasiado alta, servicio super amable y a acogedor y platos espectaculares (no os perdáis la corvina a la plancha, el pisco sour o el flan de dulce de leche, por citar solo tres).",4 contribuciones,4.0,Escrita el 7 de septiembre de 2024,4 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,Dedicarle un ratito a pintar los individuales. Luego podéis llevaros los o pedir que los cuelguen en el local :),"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,0,,,,,,
1779690892-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Pocas veces he salido tan contento de un sitio,The Gluten Avenger,"Prácticamente, por no decir toda, la carta sin gluten y deliciosa. Te transporta a brazil o latinoamerica en general. Cócteles buenísimos y un trato excepcional. Un paraíso para celíacos. Solo quiero volver pronto.",70 contribuciones,70.0,Escrita el 6 de septiembre de 2024,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/5a/19/6a/javiyele.jpg?w=100&h=-1&s=1,,,,1,,,,,,
1779690892-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,"La mejor comida en Madrid, con diferencia!",Guy C,"Excelente comida, bebidas y servicio. La mejor comida que he tenido en mucho tiempo. Gran cóctel para empezar, camarera en realidad nos recomendó pedir menos cuando le pedimos su opinión y ella era 100% correcta. Tuve cerviche y Oaxaca Arepa para empezar y luego un solomillo argentino, seguido de una tarta de chocolate - todo excelente y gran relación calidad-precio. Una velada maravillosa. Recomiendo 100%.",2 contribuciones,2.0,Escrita el 27 de agosto de 2024,2 contribuciones,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,1,,,,,,
1779690892-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Muy rico y buen precio,Isis V,"Un atención muy buena, nos sirvieron unas cervezas afrutadas que estaba muy buenas. Todos los platos estaban súper buenos, sobre todo el ceviche que estaba muy rico y fresquito",5 contribuciones,5.0,Escrita el 22 de julio de 2024,5 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/4c/6d/23/isis-v.jpg?w=100&h=-1&s=1,,,,0,,,,,,
1779690892-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Casa Jaguar no defrauda,DesiEme,"Es un restaurante muy chulo de Madrid  en la decoración y la comida está muy rica, atención exquisita de los camareros. Fuimos en familia con niños pequeños y todo genial. Además puedes dibujar un jaguar mientras llega la comida.",29 contribuciones,29.0,Escrita el 15 de junio de 2024,"Oviedo, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,0,,,,,,
1779690892-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Gran comida y personal,Olivia,"El personal era amable y se tomó el tiempo para ayudar a explicarnos el menú. Teníamos el plátano relleno de mascarpone, así como algunos tacos. 

Sin duda recomendaría este restaurante a cualquiera que visite Madrid!",21 contribuciones,21.0,Escrita el 8 de junio de 2024,"Birmingham, Reino Unido",,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/93/b8/07/ored01.jpg?w=100&h=-1&s=1,,,,0,,,,,,
1779690910-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Típico lugar al que siempre quiero volver,MDR80,"De mis lugares favoritos de Madrid. Se cena increíble, no es caro y las personas que trabajan allí son muy muy amables. Tienen un plátano macho con Camembert que es de otro mundo.","Valencia, España",,48 contribuciones,48.0,Escrita el 27 de mayo de 2024,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/2e/5a/15/mdr80.jpg?w=100&h=-1&s=1,,Leer más,0.0,,,,,
1779690910-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,,,,,,,,,Leer ahora,7 lugares imprescindibles que aparecen en tus películas y series favoritas,"¿Sueñas con adentrarte en los mundos de tus películas y series favoritas? Si quieres explorar desiertos lejanos, adentrarte en sitios de interés religioso o seguir los pasos de los famosos shoguns, puedes visitar muchos de los lugares que dieron vida a los mundos ficticios de las producciones más exitosas del año pasado. A continuación, te mostramos un resumen de algunos de los mejores lugares de rodaje a los que puedes viajar, desde el bullicioso corazón de la Nueva York de Bob Dylan hasta los insólitos desiertos de Dune: parte dos.",,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/af/54/a3/caption.jpg?w=400&h=400&s=1&cx=1920&cy=1080&chk=v1_9eb295b36de3afdf42c8,,,,,,,,,,
