web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,data16,data17,data18,data19,data20,data21,image3,image4,image5,image6
1779691144-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,En general bastante bien!,David S,"Fue un almuerzo muy agradable, la comida era genial y realmente disfruté el tiempo que pasé allí con mi novia, el ambiente es agradable y el lugar es muy bonito, aunque un poco pequeño, sobre todo se nota una vez que comienza a abarrotarse. 
 
Vale la pena señalar que el restaurante utiliza un sistema diferente para realizar sus pedidos, ya que utilizan su propia página web en la que hizo su reserva para este propósito, lo que definitivamente ahorra tiempo para usted y el servidor, pero también puede ser un poco difícil de navegar y conocer todos los platos; el servidor, sin embargo, explica con bastante claridad cómo funciona este sistema de pedidos. 

Si bien los tiempos de Servicio podrían haber sido mejores, parecían tener poco personal para ese día, pero el personal que estaba allí era muy amable y respetuoso, ya que siempre estaban dispuestos a ayudar a todos los clientes con cualquier necesidad.",1 contribución,Escrita el 8 de octubre de 2025,1.0,"Sevilla, España",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,0,,,,,,,,,
1779691144-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Un concepto diferente,Esther,Comida fusión original en un ambiente algo bullicioso y con un trato muy amable. Sin duda una buena opción para probar con el descuento de The Fork.,3 contribuciones,Escrita el 5 de octubre de 2025,3.0,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,0,,,,,,,,,
1779691144-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Muy recomendable,Natalia L,Fenomenal. Súper recomendable. Muy rico todo y muy amables. Local cómodo y bonito. Los piscos muy buenos. Buen servicio,15 contribuciones,Escrita el 4 de octubre de 2025,15.0,15 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,0,,,,,,,,,
1779691144-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,La Maravilla,Antonio B,Sitio diferente con encanto y un ambiente muy agradable….. además los platos están elaborados y riquísimos. Recomiendo 100%,1 contribución,Escrita el 4 de octubre de 2025,1.0,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/4d/63/f0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,0,,,,,,,,,
1779691144-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Mejor de lo esperado,raul g,Muy agradable y buena comida. Es muy original el concepto del sitio.  Muy buen servicio de Laura y Estefanie. Volveré casi seguro.,4 contribuciones,Escrita el 27 de septiembre de 2025,4.0,4 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,0,,,,,,,,,
1779691144-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,delicioso!,Gonzalo B,"Super bien! La atención increíble y sobretodo la comida, todo lo que pedimos estaba exquisito! Lo recomiendo muchísimo!",20 contribuciones,Escrita el 14 de septiembre de 2025,20.0,"Lima, Perú",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/1b/14/3f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/6f/ec/7c/avatar.jpg?w=100&h=-1&s=1,0,,,,,,,,,
1779691144-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,TOP,Angel Rabanal,"Hemos venido con la familia y Espectacular! Comida, servicio, atencion, calidad! Un 10!  Volveremos sin duda, un descubrimiento",6 contribuciones,Escrita el 13 de septiembre de 2025,6.0,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,0,,,,,,,,,
1779691144-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Lugar especial,Elena A,"Un lugar muy especial, con una decoración festiva, los platos con sabores muy originales, lo mejor el brownie, muy recomendable.",1 contribución,Escrita el 13 de septiembre de 2025,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,0,,,,,,,,,
1779691144-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Encantador,Sandra L,"Todo buenisimo. Las camareras muy simpáticas y agradables. Lili siempre nos atiende con una sonrisa y es muy cálida. . El trato inmejorable, hemos venido varias veces y es un lugar que nos encanta y siempre volvemos. 
La comida de calidad y original",1 contribución,Escrita el 12 de septiembre de 2025,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,0,,,,,,,,,
1779691144-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Espectacular,ramon p,"Fantástico trato de lily y Estefany. Comida especial, lugar espectacular. Recomendable cien por cien. Una grata sorpresa",1 contribución,Escrita el 12 de septiembre de 2025,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,0,,,,,,,,,
1779691144-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Tienes que venir,Dionisio G,"Es un sitio diferente en ambiente, trato y sobre todo comida! 
El trato es muy cercano ( Lili, Estefi y Laura) y amable
La sincronización en los platos nos ha sorprendido muy gratamente y es que está todo Rrrrrriquisimo!",1 contribución,Escrita el 31 de agosto de 2025,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,Disfruta!!,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,0,,,,,,,,,
1779691167-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Gustavo,Excellent,"Excelente!! Sabores super definidos!! Lili, Una genia, excelente atención!!!. Super recomendable, buena musica, además!!",1 contribución,Escrita el 24 de agosto de 2025,1.0,"Ingeniero Maschwitz, Argentina",,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,Leer más,0,,,,,,,,
1779691167-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Santiago C,"Todo excelente, como siempre.","Como siempre, tanto la comida como la atención (Lily) excelente. Somos asiduos y seguiremos viniendo sin lugar a dudas.",1 contribución,Escrita el 22 de agosto de 2025,1.0,1 contribución,,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,Leer más,0,,,,,,,,
1779691167-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Lilian A,De 10,"cómo siempre todo espectacular!!! la fusión que tienen en todos los sentidos me fascina, la carta y el sistema tecnológico que utilizan, es una pasada.",3 contribuciones,Escrita el 16 de agosto de 2025,3.0,"Madrid, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/d1/6a/ae/caption.jpg?w=300&h=300&s=1,,Leer más,0,,,,,,,,
1779691167-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Joseba_1907,Una experiencia espectacular,"La comida es muy original y realmente buena. El trato, inmejorable. Y la idea de las bebidas al peso me parece la forma más justa de cobrar. Todo genial",12 contribuciones,Escrita el 15 de agosto de 2025,12.0,"Cádiz, España",Ir sin ideas previas y disfrutar. Merece la pena,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,Leer más,0,,,,,,,,
1779691167-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,julio juarez,Trato y local. Encantador,"Todo estupendo, comida, trato, local.
Como en casa. Nos encanta la ensalada Cleopatra y los chotis de todas sus variedades",2 contribuciones,Escrita el 15 de agosto de 2025,2.0,"Leganés, España",,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,Leer más,0,,,,,,,,
1779691167-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,DayTrip27143740152,Genial,Muy buena oferta de comida. Stefany y Lilly unas muy buenas anfitrionas.  El local muy moderno y original. El precio muy bien.,2 contribuciones,Escrita el 31 de julio de 2025,2.0,"Madrid, España",,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,,,,,,
1779691167-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Isidoro G,,"Algo distinto, original y muy rico. Un servicio de 10, con Laura y Stefany haciendo que la experiencia sea super-agradable. Repetiremos seguro.",4 contribuciones,Escrita el 25 de julio de 2025,4.0,4 contribuciones,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/94/8c/ed/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/a5/f1/65/isidoro-g.jpg?w=100&h=-1&s=1,Leer más,0,,,,,,,,
1779691167-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,javier h,Todo genial,"Comida muy rica y original y servicio inmejorable, Laura y Stefany super agradables y serviciales. 
Experiencia de 10.",3 contribuciones,Escrita el 16 de julio de 2025,3.0,3 contribuciones,,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,Leer más,0,,,,,,,,
1779691167-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Luki C,"Good food, Good envitoment","Riquísimo y muy buen ambiente. Son platos muy originales que están exquisitos y además hay mucha variedad de platos pequeñitos, por lo que puedes probar muchas cosas.",1 contribución,Escrita el 9 de julio de 2025,1.0,1 contribución,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,Leer más,0,,,,,,,,
