web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,data19,image2,position,image3,image4,image5,image6,image7
1779542119-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Delicioso!,Nancy P,Pequeño restaurante donde las reservas son imprescindibles. Disfrutamos de cada bocado de nuestra cena y el servicio fue genial. Me hubiera encantado tener una silla con respaldo en lugar de un taburete para disfrutar de esta deliciosa comida.,191,,Escrita el 11 de marzo de 2025,"Filadelfia, Pensilvania",Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,,,,,
1779542119-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Excelente lugar para tapas,semipicky,"Este es un lugar estupendo. Muy alta calidad, tapas elegantes y una buena carta de vinos. El servicio también fue amable. Cuando les dijimos que éramos vegetarianos, nos acomodaron fácilmente e incluso hicieron un ligero ajuste a un plato para que pudiéramos disfrutarlo.",21,,Escrita el 7 de febrero de 2025,21 contribuciones,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,,,,,,
1779542158-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Encantados,Ana M,"Local súper recomendable. Buen servicio.
Personal atento. Todo delicioso.
Nos sorprendió el rico pan que nos sirvieron con el aperitivo.
100 x 100 repetiremos",12 contribuciones,12,Escrita el 9 de diciembre de 2024,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/4d/f4/eb/caption.jpg?w=300&h=300&s=1,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,,,,
1779542158-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Un lugar agradable y excelente,yaya40,"No hicimos una reserva y nos pusimos en el bar. Muy buena comida, cosas muy amables y un gran vino. Disfrutamos de una excelente cena en un lugar muy cálido y acogedor.","Haifa, Israel",78,Escrita el 5 de diciembre de 2024,78 contribuciones,,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/7c/d2/32/yaya40.jpg?w=100&h=-1&s=1,,,,,,
1779542158-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,El mejor cocido del mundo,jesus a,Increíble!!!! Hemos comido el mejor cocido que hemos comido en nuestra vida…..alubias con manitas de cerdo!!!! Indispensable!!!! Irrepetible!!!! Gracias por darnos este plato!!!!,2 contribuciones,2,Escrita el 9 de noviembre de 2024,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/12/b5/34/caption.jpg?w=300&h=300&s=1,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,
1779542158-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Una verdadera joya en la famosa calle Cava Baja,Danijela D,"Me encantó el ambiente del lugar, el servicio era increíble y la comida era excelente. Quería probar su famoso Rabo de Toro y fue espectacular y tan suave y jugoso. El amable camarero también me recomendó qué vino tinto va mejor con él. Sin duda volveremos aquí! Una verdadera joya",12 contribuciones,12,Escrita el 2 de noviembre de 2024,,,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/fd/27/d9/caption.jpg?w=300&h=300&s=1,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/c9/ad/4b/caption.jpg?w=100&h=-1&s=1,,,,,,
1779542158-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Podría decir que es de las mejores 5 tabernas de Marid,Traveler59567871839,"Su tuviera que elegir una taberna o restaurante en Madrid Casa Lucas podría ser mi preferido. Si bien me gusta ir entre semana de un dí alaboral, porque el ambiente es el que recuerdo de las tabernas de toda la vida. Con calidad de platos y vinos que no conozco.
Esperemos que dure y mucho.",1 contribución,1,Escrita el 30 de octubre de 2024,,,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,,
1779542158-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Buena comida a precio correcta con buena atención,enric marin,Buena relación calidad precio mantenida en el tiempo Comida correcta y trato amable Continuidsd de años en la gestión del local,"Barcelona, España",24,Escrita el 30 de octubre de 2024,24 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,,,
1779542158-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,La perfección es solo postre y un asiento cómodo de distancia.,Oyam123,"Platos muy creativos y bien presentados. La comida era sabrosa y el servicio era genial. Sin duda un lugar para ir con amigos y compartir una gran cantidad de comida. El vino de la casa es muy agradable. Sin embargo, tendrá que ir a otro lugar de postre. El camarero bromeó sobre no tener nada dulce que ofrecer... .. ”ni siquiera yo”!","Pawleys Island, Carolina del Sur",230,Escrita el 18 de octubre de 2024,230 contribuciones,,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3a/10/16/oyam123.jpg?w=100&h=-1&s=1,,,,,,
1779542158-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Incluir en un paseo de tapas de Cava Baja...,Torbek,"Se cayó aquí en una gatera de tapas de Cava Baja. Lo primero que destacó, en esta noche de todos modos, fue la clientela era 100% turística que, a pesar de ser turistas nosotros mismos, siempre nos pone un poco nerviosos. 

Dicho esto, el servicio fue lo suficientemente atento y nuestras tapas, siendo la pieza más significativa el rabo de toros, fueron lo suficientemente sabrosas. Muy bien presentado y ocupado, pero no estoy seguro de que estuvo a la altura de las críticas fuertes, para nosotros, de todos modos.","Brisbane, Australia",327,Escrita el 10 de octubre de 2024,327 contribuciones,,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,,,
1779542158-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Lugar fantástico,Lucas M,"Fuimos atraídos a Casa Lucas como mi hijo se llama Lucas, pero resulta que fue un hallazgo encantador. Las croquetas eran brillantes mi única queja es que los asientos eran bastante estrechos",18 contribuciones,18,Escrita el 6 de septiembre de 2024,,,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/ed/5f/81/caption.jpg?w=100&h=-1&s=1,,,,,,
1779542158-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Decente,Stuart,Bonito lugar todavía abierto a las 11 pm un domingo. Precios razonables y servicio rápido. ¡Vio algunas celebridades allí también!,"Birmingham, Reino Unido",1465,Escrita el 4 de septiembre de 2024,1465 contribuciones,,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/5a/1f/84/caption.jpg?w=300&h=300&s=1,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/69/c9/39/stuartd825.jpg?w=100&h=-1&s=1,,,,,,
1779542158-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Mala experiencia,Blanca R,"Fuimos por un comentario positivo sobre sus croquetas pero aunque estaban buenas, el sitio nos decepcionó mucho. Eramos 5 y la mesa que habíamos reservado era demasiado pequeña y cuando lo comentamos nos dijeron que era lo que había .El aire acondicionado no existía y lo que más nos sorprendió era que no tenían refrescos, solo agua con o sin gas, cerveza y vino. Pedimos las croquetas y nos fuimos. Un sitio para no volver.","Madrid, España",2,Escrita el 20 de agosto de 2024,2 contribuciones,,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,,,
1779542158-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Mala educacion,Viruta,"Estuve con unos amigos el sábado 26 de mayo en casa Lucas y la experiencia fue nefasta. Solo queríamos tomar unas cervezas y así se lo dijimos a la camarera y que si nos podíamos sentar en una mesa. Nos dijo que sí. Al rato, unos 15 minutos vino otro camarero y nos dijo de malas maneras que las mesas eran para cenar que no se podía tomar cervezas ahí, le conté que se lo había dicho a la camarera y me dijo que no me había entendido, para empezar, no pongas a una camarera que no sabe castellano en un bar para atender a castellano parlantes y para continuar, un poco de educación y de buenas maneras porque yo soy la primera que se hubiese levantado si hubiera habido gente esperando para cenar, que no era el caso, se quedaron dos mesas vacías. Lo peror las maneras de ese señor maleducado.",4 contribuciones,4,Escrita el 3 de junio de 2024,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,Leer más,,0,,,,,,,
1779542158-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Mala experiencia,Matias Ola,Mala atencion. No nos gusto nada. Estuvimos con amigos y pedimos algo para tapear y la atención fue muy pobre. Los empleados no hablan español. No conoxian el menu.,"Buenos Aires, Argentina",53,Escrita el 5 de mayo de 2024,53 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/cf/06/74/caption.jpg?w=100&h=-1&s=1,,,,,,
1779542158-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,"La atención y la calidad de los productos. Además, la calidez del ambiente.",Nicanor M,"Excelente sitio en Madrid para comer y beber bien, bonito, a una excelente relación precio calidad. La atención es realmente increíble, gente cálida, el ambiente y la decoración muy atinada. De los mejores sitios de Madrid.",2 contribuciones,2,Escrita el 4 de mayo de 2024,,Venir temprano. Pocas mesas.,,Calidad/precio,Comida,Servicio,Ambiente,,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/0f/f9/71/caption.jpg?w=300&h=300&s=1,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,,,
1779542158-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,"EXPERIENCIA DIFERENTE,  VOLVEREMOS SEGURO",barreraperxes,"Restaunant , mesón,  una experiencia diferente.  Muy buen servicio. Aunque teniamos reservado, cuando llegamos estaba lleno y el propietario nos invitó a unas croquetas exquisitas y unas raciones de pan con un chorizo extraordinario.  La carta es diferente, fusiona comida madrileña y castellana con sabores de otros lugares del mundo.  Carta de vinos suficiente y postres buenisimos.  Precio muy acorde con la alta calidad.  Hay que reservar con tiempo y disfrutar de este excelente lugar . VOLVEREMOS .","Darnius, España",131,Escrita el 24 de abril de 2024,131 contribuciones,"Dejate aconsejar por el servicio, reserva y disfruta.",,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/07/6a/c7/avatar.jpg?w=100&h=-1&s=1,,,,,,
1779542189-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Siempre vuelvo,Romano,"Es un lugar especial Casa Lucas al que siempre vuelvo, su barra, su carta, su atención , da gusto volver y sentirse como en casa…","Guernica, Argentina",6278,Escrita el 14 de abril de 2024,6278 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/dc/86/5a/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/dc/86/55/caption.jpg?w=300&h=300&s=1,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/dc/86/56/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/dc/86/57/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/dc/86/58/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/dc/86/59/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/14/27/70/caption.jpg?w=100&h=-1&s=1
