web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,image3,image4,position
1775668621-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Comida genial atención mejor,Eva B,Genial el trato y la comida!! Gracias sobre todo a Erikson y Christian maitre ( q también nos atendió como camarero en Puchinella) por las sugerencias. Un saludo y nos vemos pronto,"Sono contenta che ti sia piaciuta la mia cucina, cerco sempre di dare il massimo! Perdona, la italiana que llevo dentro necesita salir de vez en cuando. ¡Muchas gracias por tu excelente reseña! Sería un placer para todo el equipo recibirte de nuevo.",1 contribución,Escrita el 1 de mayo de 2024,1,Escrita el 3 de mayo de 2024,,R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/81/87/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/81/88/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775668621-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Una comida sorprendente!!!!,Cristina D,"Ha sido todo un descubrimiento, Christian y Erickson superamables y pendientes de todo, la comida fantástica y estábamos de cumple y nos sacaron los postres con las velas que les dimos, sin duda volveremos","Grazie mille, sei troppo gentile! Es un placer para mi y para todo mi equipo recibir a clientes tan amables como tú. ¡Me alegra saber que nuestro trabajo ha sido de tu agrado! Malafemmena te espera ✨",9 contribuciones,Escrita el 1 de mayo de 2024,9,Escrita el 3 de mayo de 2024,Disfrutar del sitio y de la comida,R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/80/ec/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/80/ed/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775668621-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Muy bien,Wild F,Atención excepcional por parte de Erickson. Comida muy buena. Ambiente muy bueno. Chupito por parte de la casa muy digestivo. Repetiremos seguro.,¡Hola 445wildf! ¡Es un honor para nosotros recibir una reseña como la tuya!. Sono felice di ricevere i tuoi complimenti! Le haré llegar a todo mi equipo tu valoración. ¡Ojalá siga siendo tu elección hoy y siempre!,1 contribución,Escrita el 1 de mayo de 2024,1,Escrita el 3 de mayo de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775668621-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Muy bien sitio,Víctor Cuenca,Sitio perfecto para comer. Bueno ambiente y comida y servicio de 10! Variedad de tipo de comida y todo servido rápido en general,"¡Hola vcuenca1989! ¡Qué bueno recibir tu estupenda valoración! Nos alegra volver a saber de ti, y comprobar que disfrutaste al 100% de mis elaboraciones italianas. Mi equipo y yo te agradecemos la visita. Alla prossima volta, amico caro! ✨",6 contribuciones,Escrita el 27 de abril de 2024,6,Escrita el 3 de mayo de 2024,,R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775668621-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Brunch fantástico,Luis M,"Vale lo que cuesta, tanto la comida como el trato es excelente. La decoración y el ambiente tranquilo, hacen que el ambiente sea genial para disfrutar","Muchas gracias por valorar positivamente nuestro brunch, así como la atención de nuestro equipo.
¡Te esperamos pronto de vuelta en Malafemmena!",3 contribuciones,Escrita el 27 de abril de 2024,3,Escrita el 3 de mayo de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775668605-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Servicio maravilloso!!!,Juan Manuel G,"Rte maravilloso, las camareras ( Yuli Yuli y Sara ) maravillosas, da gusto encontrar gente feliz, con una sonrisa y con disposición hoy en día, cualquier cosa que pedíamos y hemos sido pesados, lo hacian con una sonrisa, un verdadero gusto.
La comida, muy rica, quizás el precio algo elevado ( unos 40€ por persona, no siendo un lujo de comida ) pero compensado por el buen servicio.

Repetiremos seguro!!!",2 contribuciones,Escrita el 5 de septiembre de 2024,"¡Hola juanmanuelgS8074NE! ¡Qué bueno recibir tu estupenda valoración! Nos alegra volver a saber de ti, y comprobar que disfrutaste al 100% de mis elaboraciones italianas. Mi equipo y yo te agradecemos la visita. Alla prossima volta, amico caro! ✨",Escrita el 11 de octubre de 2024,R.A,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,2.0
1775668605-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Cena romantica,jose angel g,"Un sitio muy agradable para cenar y comer con tus seres queridos. Araceli, la camarera que nos atendio, super agradable",1 contribución,Escrita el 27 de agosto de 2024,¡Hola 406joseangelg! Nos contenta que clientes como tú hayan disfrutado de una experiencia 100% italiana por un día🤌🏻  ¡Vuelve cuando quieras para seguir disfrutando de Malafemmena y de su estupendo ambiente!,Escrita el 11 de octubre de 2024,R.A,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,1.0
1775668605-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Gran experiencia,Coastal141258,"Comida excepcional, y con gran presentación.
Restaurante muy bonito y el servicio fantástico.
Repetiremos sin ninguna duda nuevamente",2 contribuciones,Escrita el 24 de agosto de 2024,¡Hola Coastal141258! Mamma mia! Qué bueno volver a saber de ti y conocer tu estupenda valoración 🤌🏻 Apreciamos que hayas tomado algo de tu tiempo en compartir tu experiencia con tutto il team,Escrita el 11 de octubre de 2024,R.A,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,2.0
1775668605-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Lugar con encanto y servicio muy atento,Berta V,"Sitio con encanto y comida muy buena. Era el cumpleaños de una amiga y el camarero, Erickson, la invitó a un postre. ¡Gracias!",1 contribución,Escrita el 20 de agosto de 2024,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,1.0
1775668605-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Malafemmena,Sergio,"Lugar agradable y la comida buenísima. Nuestro camarero Erickson se portó increíble con nosotros, el cumpleaños de una amiga mía y tuvo el detallazo de regalarnos un postre.",1 contribución,Escrita el 17 de agosto de 2024,"Grazie mille, sei troppo gentile! Es un placer para mi y para todo mi equipo recibir a clientes tan amables como tú. ¡Me alegra saber que nuestro trabajo ha sido de tu agrado! Malafemmena te espera ✨",Escrita el 11 de octubre de 2024,R.A,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,1.0
1775668605-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Ideal para ir en familia o en pareja,Mariana L,"Ideal la atención por parte de Sara y la comida. Calidad precio está bastante bien, pedimos 3 entrantes, 8 bebidas, 6 platos y 6 postres y fueron 40€ por persona",1 contribución,Escrita el 11 de agosto de 2024,"¡Hola MarianaL3070! ¡Qué bueno recibir tu estupenda valoración! Nos alegra volver a saber de ti, y comprobar que disfrutaste al 100% de mis elaboraciones italianas. Mi equipo y yo te agradecemos la visita. Alla prossima volta, amico caro! ✨",Escrita el 11 de octubre de 2024,R.A,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,1.0
1775668605-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,"Nos decepcionó un poco. La próxima, mejor dentro. Y sin pedir el vitello ton nato",soniota66,"Es un sitio bonito y tenia muchas expectativas en el. Elegimos la terraza para cenar, porqe en las fotos parecía agradable. Pero se queda pequeña de tanta gente qe mete. Muchas luces pequeñitas qe iluminan poco, y una mesa raquítica, para dos personas, en la que sientan a tres para aprovechar más. La mesa llena de platos, vados, copas de vino.
No sabíamos dónde poner la comida.
La comida estaba rica. 
El vitello tonnato un poco escaso de carne y de salsa. 
La chica qe nos atendió muy amable, la verdad",11 contribuciones,Escrita el 29 de julio de 2024,,,,Calidad/precio,Ambiente,Servicio,Comida,No interesa cenar en la terraza,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,11.0
1775668605-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,"Local muy agradable, bien ambientado y con una atención muy buena.",Josep V,"Steak Tartar impresionante, bueno, todo muy bien presentado navegando por unas texturas muy logradas en todos los platos, con sabores intensos en el rissotto de trufa (totalmente recomendado) y un solomillo al vino espectacular. 
Postre: Tiramisu y Nutellotto impresionantes....
Cocktail Non pensare al domani riquísimo. 
Dar las gracias de paso a Sara por su gran servicio y al maitre por su recepción.",6 contribuciones,Escrita el 12 de julio de 2024,¡Hola 41josepv! Nos contenta que clientes como tú hayan disfrutado de una experiencia 100% italiana por un día🤌🏻  ¡Vuelve cuando quieras para seguir disfrutando de Malafemmena y de su estupendo ambiente!,Escrita el 19 de julio de 2024,R.A,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d2/a8/ee/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,6.0
