web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,image3,image4,data22,data23,position2
1775666473-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Visita a la Taberna de Peñalver,Sebastián T,Visitamos la taberna en familia. Excelente comida y servicio. Gracias Hugo por el trato cálido y amable. Seguro regresaremos  pronto.,1 contribución,1.0,Escrita el 4 de abril de 2025,Escrita el 7 de abril de 2025,1 contribución,Muchas gracias por venir a visitarnos y dejarnos esta reseña. Nos alegra saber que disfrutaste de la experiencia. ¡Esperamos verte de nuevo pronto!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775666473-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,mexicanos en madrid,MARIA DEL ROSAR... A,"excelente comida, excelente servicio, la paella 🥘 está de lujo!! Mexicanos catando este restaurante Madrileño 100/10
Tinto de verano 👌🏼👌🏼👌🏼",1 contribución,1.0,Escrita el 3 de abril de 2025,Escrita el 4 de abril de 2025,1 contribución,Muchas gracias por venir a visitarnos y tomarte unos minutos para dejarnos esta buena valoración de 5 estrellas. Nos alegra ver que has disfrutado de la comida. ¡Esperamos volver a verte de nuevo pronto!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/84/12/a0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/84/12/a1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775666473-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Arroces y producto de 10,Andrés R,"Si de arroces y marisco de una calidad excepcional que sabe trabajar el producto al punto perfecto con un producto además de calidad. Sin duda repetiremos. Nos atendió Miguel, con un trato circular! Gracias!",1 contribución,1.0,Escrita el 1 de abril de 2025,Escrita el 4 de abril de 2025,1 contribución,Gracias por venir a visitarnos y dejarnos esta valoración comentando tu experiencia. Estamos encantados de poder comprobar que has disfrutado. ¡Nos vemos pronto de nuevo!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775666473-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Excelente opción,Fernanda M,"Sitio excepcional, la atención de Hugo fue increíble 100% recomendado. El lugar está muy amigable para parejas y familias.",2 contribuciones,2.0,Escrita el 28 de marzo de 2025,Escrita el 4 de abril de 2025,"Guadalajara, México",Gracias por venir a visitarnos y dejarnos esta valoración comentando tu experiencia. Estamos encantados de poder comprobar que has disfrutado. ¡Nos vemos pronto de nuevo!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/76/f2/3e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/76/f2/3f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775666473-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Muy buen servicio y comida,Ricardo R,Excelente comida y servicio de Hugo. El arroz era muy bueno y las entradas también. Pedimos gambones y chipirones a la plancha.,1 contribución,1.0,Escrita el 28 de marzo de 2025,Escrita el 28 de marzo de 2025,1 contribución,Muchas gracias por venir a visitarnos y tomarte unos minutos para dejarnos esta buena valoración de 5 estrellas. Nos alegra ver que has disfrutado de la comida. ¡Esperamos volver a verte de nuevo pronto!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775666458-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Muy recomendable. No te lo puedes perder.,Jaguisan2,"Excelente y muy sabrosa la comida.
El servicio también muy amable y atento.
Felicidades y gracias a Miguel que nos atendió.",Muchas gracias por venir a visitarnos y tomarte unos minutos para dejarnos esta buena valoración de 5 estrellas. Nos alegra ver que has disfrutado de la comida. ¡Esperamos volver a verte de nuevo pronto!,5.0,5 contribuciones,Escrita el 15 de mayo de 2025,Escrita el 5 de junio de 2025,"Monterrey, México",Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,Leer más,0.0,
1775666458-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Decepcionado.,Denise,"Este fue un último almuerzo antes de volar a casa y había leído muy buenas críticas, así que tenía grandes esperanzas. Los camareros eran educados, pero se sentía forzado y ninguno de ellos parecía muy feliz, lo que desprendía un mal rollo. El propietario / gerente nos trató como turistas, en lugar de pagar a los clientes y fue muy desdeñoso. Sentimos que nuestro camarero nos empujaba a elegir ciertos platos que realmente no queríamos. También nos dijo que nuestro plato fuerte, una paella, tomaría unos buenos 30 minutos y nos aconsejó que nos pusiéramos de entrantes. Por lo tanto, pedimos algunos otros platos, solo para descubrir que la paella se sacó mucho antes de la hora indicada, por lo que no necesitamos haber tenido los entrantes. Obviamente, el restaurante le dijo que vendiera lo máximo posible. Nos dirigieron a un vino más caro que el que íbamos a optar. La comida era buena, pero nada especial y todos nos fuimos sintiéndonos decepcionados. No volveríamos.",Lamentamos leer tu reseña y ver que no has disfrutado de la experiencia. Tomamos nota de lo que nos comentas para seguir ofreciendo la mejor calidad y el mejor servicio.,22.0,22 contribuciones,Escrita el 14 de mayo de 2025,Escrita el 14 de mayo de 2025,"Dorset, Reino Unido",Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f0/94/34/mixingmagic.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,Leer más,1.0,
1775666458-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Experiencia encantadora,John Sagermann,"El restaurante tenía una comida increíble, tuvimos una paella y huevos revueltos. ¡Nos gustó mucho! Lo que lo hizo una experiencia increíble es el personal encantador aquí como Guiseppe y María. Fueron muy atentos y amables con nosotros! ¡Gracias!",Gracias por venir a visitarnos y dejarnos esta valoración comentando tu experiencia. Estamos encantados de poder comprobar que has disfrutado. ¡Nos vemos pronto de nuevo!,1.0,1 contribución,Escrita el 7 de mayo de 2025,Escrita el 14 de mayo de 2025,Arizona,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/46/72/67/sofia-d.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,Leer más,0.0,
1775666458-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Gran servicio y comida!,Jimmy N,"Giuseppe era maravilloso y muy atento. Accidentalmente derramé mi sangría y fueron tan rápidos para ayudar sin hacernos sentir mal! El pulpo es imprescindible, perfectamente cocido.","Gracias por la visita y por la reseña, estamos encantados de poder comprobar que disfrutaste de la experiencia. ¡Nos vemos de nuevo pronto!",1.0,1 contribución,Escrita el 6 de mayo de 2025,Escrita el 14 de mayo de 2025,1 contribución,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Mostrar original,,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,Leer más,0.0,
1775666458-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,¡Yum!,Sarah F,"Siempre estoy un poco cauteloso de los lugares que tienen miles de reseñas de 5 estrellas, pero estoy muy contento de haber probado este lugar. Todo estaba bien y verdaderamente delicioso: pulpo a la parrilla, tortilla y paella de caballero. Giuseppe y Erica nos cuidaron y todo el ambiente es muy “eres familia” — ¡familia donde todos cocinan muy bien!","Gracias por la visita y por la reseña, estamos encantados de poder comprobar que disfrutaste de la experiencia. ¡Nos vemos de nuevo pronto!",1.0,1 contribución,Escrita el 5 de mayo de 2025,Escrita el 6 de mayo de 2025,1 contribución,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Mostrar original,,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,Leer más,0.0,
1775666458-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Buena comida en Madrid,Ting C,La comida era muy agradable. La paella muy agradable estaba muy bien y lo más destacado fue la tarta de queso! La ventaja es que el personal Giuseppe era muy amable,Gracias por venir a visitarnos y dejarnos esta valoración comentando tu experiencia. Estamos encantados de poder comprobar que has disfrutado. ¡Nos vemos pronto de nuevo!,1.0,1 contribución,Escrita el 5 de mayo de 2025,Escrita el 6 de mayo de 2025,Reino Unido,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Mostrar original,,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/8a/66/6d/ting-c.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,Leer más,0.0,
1775666458-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Deliciosa paella y fantástico servicio de Miguel,Katherine,La paella estaba deliciosa. Miguel es un excelente servidor y nos hizo sentir como en casa. Tuvimos una comida maravillosa fuera en la terraza.,Muchas gracias por venir a visitarnos y tomarte unos minutos para dejarnos esta buena valoración de 5 estrellas. Nos alegra ver que has disfrutado de la comida. ¡Esperamos volver a verte de nuevo pronto!,3.0,3 contribuciones,Escrita el 27 de abril de 2025,Escrita el 29 de abril de 2025,3 contribuciones,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Mostrar original,,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,Leer más,0.0,
