web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,image3,image4,position,data21,data22,data23,data24,data25,data26,image5,image6,image7,image8
1775471573-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Brutal,patricia c,"la experiencia fue de 10, son todos muy encantadores Nicolle muy profesional, volveremos sin duda, hemos probado las sangrías y los nuevos platos de fresas están brutales como el nombre lo indica","💫🙏 Mil gracias por la energía tan bonita, nos alegra un montón que lo hayáis disfrutado 🥂✨",1 contribución,Escrita el 19 de junio de 2025,1,,Inclán B,Escrita el 23 de septiembre de 2025,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775471573-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Exquisito,jesus maria g,"Los camareros son fantásticos, la comida riquísima y de buena calidad, dar las gracias a nicolle que nos atendió de maravilla y Ronald que nos ha explicado los vinos de una forma encantadora, la chica de la puerta nos recibió con amabilidad; gracias Gabriela volveremos","🌟🙏 Mil gracias por tan bonitas palabras, nos alegra muchísimo que lo hayáis disfrutado y os sintierais tan bienvenidos 🥂✨",1 contribución,Escrita el 19 de junio de 2025,1,,Inclán B,Escrita el 23 de septiembre de 2025,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775471573-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,I,Jose D,La camarera Nayad ha sido muy amable y nos ayudó a celebrar el cumpleaños de mi hijo de una manera diferente y muy especial.,"🎂🙏 Mil gracias por dejarnos ser parte de un momento tan especial, vuestra energía nos llena de alegría 🌟🥂",2 contribuciones,Escrita el 15 de junio de 2025,2,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Inclán B,Escrita el 23 de septiembre de 2025,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775471573-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Perfecto,Sunshine59391959918,".Todo muy rico, volveremos 
La paella suuuper recomendada, y   las limonadas también , personal amable y encantador. limonadas también.","🙏✨ Mil gracias por la buena vibra, nos alegra muchísimo que lo hayáis disfrutado 🥂🌟",1 contribución,Escrita el 12 de junio de 2025,1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Inclán B,Escrita el 23 de septiembre de 2025,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775471573-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Gran Servicio y experiencia,Valerie S,"Liana era muy atento y amable. Gran Servicio y experiencia! Si estás en Madrid, este restaurante, o sus otras cadenas, son una visita obligada!","🌟🙏 Thank you so much, your words truly make us happy and inspired 🥂✨",1 contribución,Escrita el 11 de junio de 2025,1,,Inclán B,Escrita el 23 de septiembre de 2025,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775471556-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Buena experiencia y magnífico trato,Ruth D,"Sitio muy bien ambientado y con comida creativa muy correcta, coctelería cuidada y la atención de Najat espectacular.","🙏✨ Mil gracias por compartir vuestra experiencia, mensajes así nos llenan de alegría y motivación 🌟🥂",3 contribuciones,Escrita el 4 de septiembre de 2025,3 contribuciones,Inclán B,Escrita el 23 de septiembre de 2025,,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,3.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,,
1775471556-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Las zamburiñas,Beatriz G,"La comida ha sido deliciosa, la decoración extravagante y exquisita. Najat ha sido muy atenta y amable. Muy recomendable!","💫🙏 Mil gracias por la energía tan bonita, nos alegra muchísimo que lo hayáis disfrutado 🥂✨",1 contribución,Escrita el 3 de septiembre de 2025,1 contribución,Inclán B,Escrita el 23 de septiembre de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,1.0,,Leer más,Leer más,0,,,,,,
1775471556-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,"Un entorno agradable, divertido!",gne4thewkend,Este es un lugar tan divertido desde las decoraciones hasta cómo se entregan las bebidas y la comida. Gaby era una anfitriona impresionante y Ronald era un gran camarero. La comida era deliciosa con tamaños de porción perfectos. Sin duda volvería y probaría una de las bebidas que vienen en una de las muchas tazas de figura,"🌟🙏 Thank you so much for your lovely words, they fill us with joy and keep us inspired 🥂✨",183 contribuciones,Escrita el 2 de septiembre de 2025,"Coppell, Texas",Inclán B,Escrita el 23 de septiembre de 2025,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/fd/5b/72/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,183.0,,Leer más,Leer más,0,,,,,,
1775471556-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,"Local chulo, comida regular",Soledad S,"El local ,desde mi punto de vista, llamativo, aunque excesivamente barroco. La comida no vale lo que ofrecen en absoluto,no está mal ,pero nada destacable y no para cobrar lo que cobran por el menú degustación. Los camareros en general bien, excepto alguna camarera que parecía haberse tragado un palo ,mala cara,tendría un mal día . Lo mejor las sangrías . Cómo experiencia,sin más.... No creo que vuelva","🙏✨ Gracias por tu sinceridad, valoramos mucho tus comentarios y nos ayudan a mejorar cada día 🌟🥂",1 contribución,Escrita el 20 de agosto de 2025,1 contribución,Inclán B,Escrita el 23 de septiembre de 2025,,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,,
1775471556-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,"lo unico el lugar,que eso no se come",NorthStar63735970368,"Como lugar muy bonito su decoracion,pero a comida,se podria mejorar.Fuimos ayer y las crouetas aceitosas,las zamburiñas con mucha salsa,por encima y el arroz del señore,aceitoso.Tendrian que revisar como sale de a cocina.No volvere","🙏✨ Gracias por compartir tu experiencia, tomamos en cuenta tus comentarios para seguir mejorando 🌟🥂",3 contribuciones,Escrita el 16 de agosto de 2025,3 contribuciones,Inclán B,Escrita el 23 de septiembre de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,3.0,,Leer más,Leer más,0,,,,,,
1775471556-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,"Creativo, delicioso e inolvidable",Nathan M,"Desde el momento en que entras, la atmósfera te atrapa. La decoración es increíblemente única, podría haberse sentido kitsch, pero en su lugar es cálido, inmersivo, y al instante te pone a gusto. 

Los cócteles llegan en las copas más imaginativas que hayas visto, y saben tan bien como parecen. La comida combina con el mismo espíritu creativo: servida en platos lúdicos, poco convencionales y absolutamente deliciosos. Felicitaciones especiales - a la pasta de trufa: rico, fragante e inolvidable. 

¡Una experiencia verdaderamente excelente y memorable!","💫🙏 Thank you so much for such a wonderful review, your words truly make us happy and inspired 🥂✨",5 contribuciones,Escrita el 9 de agosto de 2025,"París, Francia",Inclán B,Escrita el 23 de septiembre de 2025,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,5.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,,,,,,
1775471556-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Un sitio desconocido que vale la pena conocer,Seaside22886773093,"Excelente experiencia siendo la primera vez que venimos. La atención de Gaby nada más llegar fue maravillosa, y también gracias a LuLu y el resto de camareros nos atendieron super bien en todo momento. La comida estuvo riquísima y las bebidas también a parte de originales. Repetiremos seguro!","💫🙏 Mil gracias por la energía tan bonita, nos alegra muchísimo que la primera experiencia haya sido tan especial 🥂✨",1 contribución,Escrita el 5 de agosto de 2025,1 contribución,Inclán B,Escrita el 23 de septiembre de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,1.0,,Leer más,Leer más,0,,,,,,
1775471556-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,"Alejandro es un chico muy agradable y atento  a demás de todos los empleados que también son atento, me gustó la atenció",Angela S,"Alejandro es un chico muy agradable y atento  a demás de todos los empleados que también son atento, me gustó la atención el lugar muy bonito, me tendrán de vuelta en los próximos días muchas gracias","🙏✨ Mil gracias por tan bonitas palabras, nos llena de alegría saber que volverás pronto 🌟🥂",1 contribución,Escrita el 2 de agosto de 2025,1 contribución,Inclán B,Escrita el 23 de septiembre de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,1.0,,Leer más,Leer más,0,,,,,,
1775471556-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,¡No es un restaurante!😬,Francisco J Garcia,"Lugar divertido, buena música, platos y tapas servidos en porcelana artesanal especillay, así como las bebidas especiales! Pero NO ES UN RESTAURANTE. 
No te llenes al respecto. Excelente lugar para pasar el rato hasta altas horas de la noche!","🙏✨ Thanks a lot for sharing your thoughts, your feedback helps us keep improving the experience 🌟🥂",253 contribuciones,Escrita el 1 de agosto de 2025,"Sao Paulo, SP",Inclán B,Escrita el 23 de septiembre de 2025,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/a8/93/d2/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/29/53/59/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,253.0,,Leer más,Leer más,0,,,,,,
