web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,image4,data19
1775662739-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Un lugar agradable,Iñigo E,"Fui con mi familia a comer a este local. La comida está bien de cantidad. Lo mejor, el servicio, rápido, agradables y atentos:nos cambiaron de mesa porque había corriente. Recomendable.",5 contribuciones,5.0,Escrita el 3 de marzo de 2025,"Murchante, España",Calidad/precio,,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,
1775662739-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Gran hallazgo,GizmoTX,Excelente comida y ambiente. Caminamos por este lugar la primera vez porque es muy sobrado en la calle. Me alegra haberlo intentado. Muchos sabores italianos.,5 contribuciones,5.0,Escrita el 26 de febrero de 2025,"Austin, Texas",,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,
1775662739-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,No es justa la calificación,Giovanni N,"Menú escaso
Comida con mucho ajo
Foccacia no es original 
Postres muy dulces 
Bueno para turistas por precio pero malo en sabor",1 contribución,1.0,Escrita el 25 de febrero de 2025,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,
1775662739-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Yum,Connector30681111805,"Kzenia era nuestra camarera y ella era absolutamente increíble! Muy servicial y amable. Un gran lugar para almorzar solo, con amigos o con la familia!",1 contribución,1.0,Escrita el 22 de febrero de 2025,1 contribución,Calidad/precio,Mostrar original,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,
1775662739-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Excelente comida,Génesis J,"Nunca me canso de venir aquí a comer y la atención que tienen es excelente hoy tuvimos la atención de Catalina y lo dicho, excelente",1 contribución,1.0,Escrita el 16 de febrero de 2025,1 contribución,Calidad/precio,,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,
1775662726-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Cena en amigos!,Rafael R,"Muy buen sitio para comer en amigos,
Ivan nos atendió muy bien.
Nos ha encantado el sitio!! 
Hemos tenido una cena espectacular!",1 contribución,1.0,Escrita el 30 de mayo de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,
1775662726-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Buena comida y excelente servicio de Naima,Cayetano R,Comida muy rica.Buen menú del día.Excelente servicio de Naima. Buen ambiente. Atención rápida. Buena música de fondo.,1 contribución,1.0,Escrita el 30 de mayo de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,
1775662726-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Comida rica,Explore28750276063,"Todo muy rico y buen servicio por parte de Naima, muy atenta y eficiente. No es el sitio más barato pero la comida está esquisita",1 contribución,1.0,Escrita el 30 de mayo de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,,,
1775662726-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Italiano muy auténtico,Pranab S,La comida era muy auténtica y el servicio era increíble. Naima era un gran servidor y fue muy útil para decirnos qué comidas eran vegetarianas o no. La pizza era increíble y el biscotti es absolutamente delicioso. Si vienes aquí debes probarlo.,2 contribuciones,2.0,Escrita el 27 de mayo de 2025,Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,
1775662726-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Comida bajo la camarera caliente y desagradable,Soniaanne@hotmail.co.Uk,"En realidad pensé que tenía el Resturant equivocado como las críticas donde no coincide con mi experiencia tal vez los tengo en la mala noche. 
El joven que nos acogió en era agradable y acogedor. 
La camarera parecía enojado que estábamos pidiendo no gracias o cualquier modales o calor cuando pedimos. 
Tomé una copa y ella trajo todos los vasos cuando fui a tomar mi vaso ella lo movió hacia arriba de nuevo sin arrepentimiento ni explicaciones. 
La pizza era preciosa y también boloñesa. 
Mis maridos lasaña estaba prácticamente frío en el medio, así que nos quejamos de que la camarera no parecía entender completamente, pero sabía que había un problema, pero de nuevo no hay disculpas o reconocimiento. 
Obviamente le dijo a un gerente o supervisor que vino y le explicamos que Lasaña era apenas cálido en el medio que era muy disculpado, lo cual estaba bien. 
Esperamos un rato mientras una camarera estaba en su teléfono y después de que habíamos terminado un tiempo y nadie vino a comprobar que tuvimos que llamar a un miembro del personal para pagar la factura. 
La lasaña estaba en la cartelera a pesar de que solo la mitad se podía comer. La misma camarera de nuevo tomó el pago no gracias. 
Terrible servicio y lasaña obv recalentado pero no bien. 
Destripado como el restaurante real se veía bien no estoy seguro de si simplemente no le gustó Inglés o turista en general o qué, pero me sentí muy poco bienvenido no recomendaría en absoluto.",5 contribuciones,5.0,Escrita el 26 de mayo de 2025,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,,
1775662726-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,¡5 estrellas!,Hannah C,"Horno fue una experiencia maravillosa para nuestro grupo - alquilamos la zona de comedor de abajo para un almuerzo de boda y no decepcionaron. Nuestra camarera Naima era atento y amable, lo que hizo que nuestra experiencia fuera mucho mejor. Comida increíble y café de sabor auténtico fuerte; sin duda recomendaría para grupos grandes y pequeños.",1 contribución,1.0,Escrita el 26 de mayo de 2025,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,
1775662726-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Fantástico todo,Manuel 1,"Gracias a todos personal muy amable Jeni nos atendió de maravilla muchas gracias todo riquísimo,somos clientes asiduos hasta pronto.",47 contribuciones,47.0,Escrita el 24 de mayo de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,,
1775662726-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Excelente,Sebastian M,"Vine hace 4 años y volví. Siguen manteniendo la misma calidad, exceptuando la panera que disminuyó, pero sigue siendo buena.",4 contribuciones,4.0,Escrita el 22 de mayo de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,
1775662726-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Experiencia TOP,Camper58218125389,"Nos ha atendido durante la comida Yersson y ha sido un encanto. Además, un servicio y un ambiente de 10. Volvemos seguro!!!!",1 contribución,1.0,Escrita el 17 de mayo de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,
1775662726-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Excelente,Journey14749038425,"Todo riquísimo y nuestro camarero Yersson todo un profesional. 
La tarta de queso es de los mejores postres que tienen, sin duda repetiremos",2 contribuciones,2.0,Escrita el 16 de mayo de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,,
1775662726-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Delicioso,Javier L,"Fantástico trato por parte de Yersson.
Pedimos pizza y pasta, la tarta de queso es el mejor postre que tienen, 100% recomendable",1 contribución,1.0,Escrita el 16 de mayo de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,
1775662726-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Carta sin precios,Mar M,"No me parece normal que en un restaurante no tengan una carta al uso con los precios, te ponen un código qr para que lo escanees y ahí te buscas la vida, yo no tenía cobertura y no pude hacerlo, mi padre es un anciano y no usa móvil, a si que tuvimos que pedir los platos a ciegas, sin saber lo que nos iba a costar, eran aproximadamente las 11 de la noche y con los clientes cenando, se pusieron a fregar el suelo, a si que mientras cenábamos estábamos oliendo a detergente. Por supuesto no volveremos.",2 contribuciones,2.0,Escrita el 8 de mayo de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,
1775662726-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Sublime experiencia de los leones,Maria P,"Eduardo, el camarero, genial. Fantástico recordaba los cafés de las 10 personas que estábamos. Fantástico, fabuloso, estupendo,...",1 contribución,1.0,Escrita el 26 de abril de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,
1775662726-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Muy bien,Laura B,"Comida muy rica. Eduardo muy atento. 
 Volveremos. Grupo de 10 amigos sin reservar y enseguida nos atendieron. 
Todo muy bien",1 contribución,1.0,Escrita el 26 de abril de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,
1775662726-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Cumpleaños,Sunshine14332488372,"hemos ido a celebrar un cumpleaños y ha sido todo estupendo, tanto la comida como el personal, Adrian u Lavinia han sido majisimos con nosotros y han hecho que el cumpleaños sea mucho mas especial, volveremos seguro",1 contribución,1.0,Escrita el 25 de abril de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,
1775662713-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Repetiría sin duda otra vez!!,kristin S,"Me encantó la experiencia y el trato, sobretodo los camareros, en especial Cristián!! Muy contentos y a gusto la verdad!! :))",2 contribuciones,2.0,Escrita el 2 de julio de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,
1775662713-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,,,,,,,Leer ahora,3 días en Cancún,"Es posible que conozcas Cancún por ser un destino recurrente para las vacaciones de primavera, pero es mucho más que su vida nocturna. La ciudad alberga algunas de las mejores playas del Caribe, excelentes lugares para hacer esnórquel y submarinismo y, en las afueras, descubrirás la increíble cultura maya, en lugares como las pirámides de Chichén Itzá. Pero no te preocupes, no necesitas invertir una semana completa para verlo todo. Con tres días tienes tiempo suficiente para hacerte una idea de todo lo que la ciudad te puede ofrecer, desde arrecifes de coral hasta ruinas mayas, mercados locales y discotecas nocturnas.",,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/b6/98/46/caption.jpg?w=400&h=400&s=1&cx=1000&cy=664&chk=v1_f6e890fe40e6ec6ed122,,,,
1775662713-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Servicio estrella de Christian,Leticia T,"Este sitio es increíble! Christian fue increíble, me encantó el trato!!!! Este sitio está increíble para quedar con amigos",1 contribución,1.0,Escrita el 2 de julio de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,
1775662713-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Comida estupenda en familia,Sara V,"Cristian nos ha atendido genial y la comida estaba maravillosa, sin duda volveremos a repetir está experiencia en otra ocasion",1 contribución,1.0,Escrita el 1 de julio de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,
1775662713-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Fue lo mejor,Miguel V,Cristian así el mejor camarero que he tenido en mucho tiempo y además la comida es la mejor yo me pedí una pasta carbonada y es la mejor que he probado muchas gracias volveremos adios .,1 contribución,1.0,Escrita el 1 de julio de 2025,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,,,
1775662713-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Vuelo !,Jeifrey M,"La comida fenomenal, el trato de Mica fue muy amable! 

La estrella de Oven es un plato recomendado y el ambiente es agradable para cualquier ocasión.",16 contribuciones,16.0,Escrita el 29 de junio de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,,
