web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data17,image3
1775662461-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Buena comida,Ana Maria M,"Comida excelente, la atención por parte de Robert fue única, el ambiente y la música agradables, ubicado en un excelente sitio de Madrid",1 contribución,1.0,Escrita el 30 de noviembre de 2024,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,
1775662461-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Horno - mejor pizza en Madrid,M N,La mejor pizza de Madrid. Gran ambiente. El servicio fue impecable y muy amable. No me extraña que los clientes sigan llegando.,2 contribuciones,2.0,Escrita el 22 de noviembre de 2024,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,
1775662461-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Excelente comida y servicio,Explorer47975921171,"La calidad de la comida es excelente. Darío nos atendió extraordinariamente. Cerca del hotel, limpio. Volveremos, lo recomiendo.",4 contribuciones,4.0,Escrita el 18 de noviembre de 2024,"Lakeland, Florida",Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/28/4e/6b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,
1775662461-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Terrible experiencia,hokaboka,"Fue una experiencia terrible. La comida llegó fría, la pizza se quemó, la carne en espaguetis sabía horrible. No recomiendo este lugar en absoluto.",43 contribuciones,43.0,Escrita el 16 de noviembre de 2024,"Budapest, Hungría",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/24/62/99/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,
1775662461-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,El disfrute en familia y la calidad,Luis M,"El trato fue muy amable por parte de 
Kzenia. 
La comida excelente.
Muy recomendable. 
La carbonora, el risoto de setas y la tarta de questo son un „must“",1 contribución,1.0,Escrita el 16 de noviembre de 2024,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,
1775662447-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Una experiencia maravilla,Patricia L,"Nos atendieron de maravilla, tanto el recibimiento como la comida. Estaba todo muy bueno, la pizza es una maravilla, no es pesada. Los camareros muy agradables y simpáticos. Sin duda cuando vuelva a Madrid volveré para probar otros platos",1 contribución,1.0,Escrita el 22 de diciembre de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,
1775662447-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Comida de Navidad,Alicia L,Muy buen servicio y muchas facilidades a pesar de ir acompañados por 11 niños pequeños. La atención de Andrea fue excelente. Un sitio para volver.,1 contribución,1.0,Escrita el 22 de diciembre de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,
1775662447-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Kzenia la mejor,anahi s,"Kzenia nos ha dado un servicio genial, muy servicial y muy maja, atenta como la que más de que no nos faltara nada  
Una camarera de 10, repetiríamos otra vez sin dudarlo,",1 contribución,1.0,Escrita el 22 de diciembre de 2024,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,
1775662447-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Riquísimo,Jorge A,Muy profesionales. Una comida excelente y un trato excepcional por parte de Yileng. Bravo por todos. Son los mejores. Qué satisfacción.,1 contribución,1.0,Escrita el 21 de diciembre de 2024,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,
1775662447-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Recomendadísimo,Patricia M,"Muy buena experiencia, Kimberly, quién nos atendió, resultó ser muy agradable y atenta. La comida perfecta, buena cantidad y muy rica. Repetiremos seguro.",1 contribución,1.0,Escrita el 21 de diciembre de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/62/b8/8f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,
1775662447-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Cita con una misma,Pau S,"Me atendieron Darío y Kimberly, muy buena la atención y el trato. Me pedí mi plato favorito Papardelle Trufa y volvería a repetir sin duda. Muchas gracias!",2 contribuciones,2.0,Escrita el 19 de diciembre de 2024,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,
1775662447-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Ideal para noche en Madrid,Enrique C,"Increíble restaurante y buenos precios. Tiempo de espera rápido, ideal para una noche en Madrid. Excelente servicio de Yileng.",1 contribución,1.0,Escrita el 15 de diciembre de 2024,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,
1775662447-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Encantador,Zoe I,Atención y servicio increíble de Kzenia. La comida deliciosa. Totalmente recomendado. El ambiente muy ameno. La zona es súper también,9 contribuciones,9.0,Escrita el 12 de diciembre de 2024,9 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,
1775662447-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,"Un italiano más, sin nada destacable",Cucha0568,"Local normalito, para empezar pedí una clara con gaseosa, especifique 3 veces lo de la gaseosa, y efectivamente, me trajeron limón. Los paltos bien de cantidad, no encontré nada original con respecto a los miles de italianos en los que he estado. Precio unos 25 euros por barba, sin postre. Un entrante y 3 platos principales. Cené con mis hijos allí porque estaba enfrente de mi hotel. Uno de ás de muchos
Está bien que en la carta viene la foro del plato  para hacerse una idea",502 contribuciones,502.0,Escrita el 4 de diciembre de 2024,"Vigo, España",Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/45/e0/72/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,
1775662447-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,"Lentisimos en cogernos nota, la comida sin mas",O M,"Lentísimos y muy mal organizados, la comida sin mas. 
Una vez nos atendieron, la comida vino rapidísimo, hasta demasiado rapido, precocinada. Pero las cervezas tardaron una eternidad.",3 contribuciones,3.0,Escrita el 1 de diciembre de 2024,3 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,
1775662447-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Buena comida,Ana Maria M,"Comida excelente, la atención por parte de Robert fue única, el ambiente y la música agradables, ubicado en un excelente sitio de Madrid",1 contribución,1.0,Escrita el 30 de noviembre de 2024,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,
1775662447-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Horno - mejor pizza en Madrid,M N,La mejor pizza de Madrid. Gran ambiente. El servicio fue impecable y muy amable. No me extraña que los clientes sigan llegando.,2 contribuciones,2.0,Escrita el 22 de noviembre de 2024,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,
1775662447-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Excelente comida y servicio,Explorer47975921171,"La calidad de la comida es excelente. Darío nos atendió extraordinariamente. Cerca del hotel, limpio. Volveremos, lo recomiendo.",4 contribuciones,4.0,Escrita el 18 de noviembre de 2024,"Lakeland, Florida",Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/28/4e/6b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,
1775662447-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Terrible experiencia,hokaboka,"Fue una experiencia terrible. La comida llegó fría, la pizza se quemó, la carne en espaguetis sabía horrible. No recomiendo este lugar en absoluto.",43 contribuciones,43.0,Escrita el 16 de noviembre de 2024,"Budapest, Hungría",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/24/62/99/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,
1775662447-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,El disfrute en familia y la calidad,Luis M,"El trato fue muy amable por parte de 
Kzenia. 
La comida excelente.
Muy recomendable. 
La carbonora, el risoto de setas y la tarta de questo son un „must“",1 contribución,1.0,Escrita el 16 de noviembre de 2024,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,
1775662434-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,FÁNTASTICO🎉,Maps11752083259,"Lugar muy recomendado, la comida fantástica y el trato immejorable, nos sirvió Kzenia, una chica encantadora. Si volvemos a Madrid, repetiremos seguro.",1 contribución,1.0,Escrita el 24 de febrero de 2025,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,0.0,
1775662434-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,La comida era genial. Kzenia era muy servicial!,Arda Y,"La comida era genial. Kzenia era muy servicial! 

La comida era genial. Kzenia era muy servicial! 

La comida era genial. Kzenia era muy servicial!",1 contribución,1.0,Escrita el 24 de febrero de 2025,1 contribución,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,0.0,
1775662434-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Buena experiencia,Renato U,"Fantástica experiencia! La comida era deliciosa, el servicio era excelente, y el ambiente era cálido y acogedor. Muy recomendable!",12 contribuciones,12.0,Escrita el 24 de febrero de 2025,Bélgica,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,0.0,
1775662434-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,"Personal amable, incluso en momentos ocupados y buena comida",Robert Williams,"Tuvimos nuestro último día en Madrid y visitamos el horno de Atocha, ya que estaba cerca de nuestro hotel. No reservamos una mesa, pero pudimos obtener uno en un viernes por la noche ocupado. La comida era preciosa. Justo lo que necesitábamos después de un largo día de paseo por Madrid. Ksenia nuestro servidor era maravilloso. Ella era atento y ayudó con nuestras opciones de menú. Estoy tratando de aprender español también, y a pesar de hablar inglés con fluidez, ella entretuvo mis pobres intentos de español. Personal muy amable, incluso en horas punta. Si volvemos a Madrid, volveremos a visitarla.",2 contribuciones,2.0,Escrita el 21 de febrero de 2025,"Llanrug, Reino Unido",Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,0.0,
1775662434-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Original para turistas,Encarnación F,La comida es adaptable a todos los paladares y el ambiente es agradable. El servicio ha sido excelente y aunque los precios son ligeramente elevados merece la pena.,1 contribución,1.0,Escrita el 19 de febrero de 2025,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,0.0,
1775662434-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Cena después de teatro,Matthew M,"Descubrimiento de este restaurante en Atocha, pero hay más por Madrid, cenamos muy bien. Personal atento, enseguida nos trajeron la cena que estaba muy rica.",4 contribuciones,4.0,Escrita el 9 de febrero de 2025,4 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,"Aconsejo reservar, tienen un horario muy amplio de cocina.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,0.0,
1775662434-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Visita en Madrid,Iván Camilo E,"Excelente atención y la comida deliciosa. El servicio muy rápido. Anthony estuvo siempre muy atento durante nuestra comida. 
Sugiero reservar para un tiempo menor de espera. Pero realmente vale la pena",8 contribuciones,8.0,Escrita el 8 de febrero de 2025,"Bogotá, Colombia",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,0.0,
1775662434-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Riquisimo!!!,Javier Franco,"Un sitio genial, todo llegó muy rápido y en su punto. Todo estaba muy rico. Me encantó la pizza de trufa y huevo. Encantado con la atención de Kzenia",3 contribuciones,3.0,Escrita el 28 de enero de 2025,3 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/41/cc/fd/javier-f.jpg?w=100&h=-1&s=1,,0.0,
