web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,position,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,addresslocality,image3,image4,image5
1776247354-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,La mejor cena vegetariana que probé en Madrid,Manuel LLaser,"Al llegar nos atendió su dueño Miguel, y nos preguntó nuestras preferencias alimentarias y nos preparo un menú de cuatro platos y postre vegetarianos. Fue una experiencia gurmet!  Además el lugar es hermoso y sus camareros muy amables. Recomiendo la ensalada con mermelada de pimiento, y las trufas de nata vegana.","Muchas gracias por elegir Eiffel en tu visita a Madrid! fue un placer atenderos y prepararos la cena acorde a vuestros gustos y preferencias, me alegra enormemente saber que fue una buena experiencia para ti.
Ya sabes que en madrid tienes un nuevo amigo!
MIGUEL","Kuala Lumpur, Malasia",Escrita el 5 de junio de 2022,Escrita el 7 de junio de 2022,1.0,1 contribución,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247354-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Espectacular,Carlos Z,"Cenamos espectacular, la comida y la atención buenísimas además fuimos con dos vegetarianos y un alérgico al gluten y les prepararon comida especialmente para ellos. Todo increíble!!! Y el precio muy bueno para la calidad de la comida. 100%recomendable","Muchas gracias por tu valoracion! en nombre de todo nuestro equipo te enviamos un cordial y afectuoso saludo.
Esperamos verte pronto!
MIGUEL",3 contribuciones,Escrita el 5 de junio de 2022,Escrita el 7 de junio de 2022,3.0,,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247354-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Celebración Boda,Stefania,"Estamos muy agradecidos! Miguel, Maite y todo su equipo han sido en gran parte los responsables de que haya sido un dia inolvidable. ✨
El trato es muy cercano y familiar, te hacen sentir como en casa.😊
En la organización de la boda han estado siempre atentos a nuestras peticiones en todo momento e incluso mejorado nuestras ideas. 
La comida excelente, de calidad. 
Todo, todo muy rico. Se disfruta y se come muy bien. Si vas sin duda repetirás.
La atención excelente también.
Un restaurante super recomendado para comer, cenar, picar o tomar algo. O para celebrar algún evento como es nuestro caso.
No me extraña que lleven 50 años ya con el gran servicio que ofrecen. 👌
Muchísimas gracias Eiffel! ❤️","Muchas gracias, Belen:
que además de los novios los invitados hayan decidido compartir su buena experiencia en Eiffel, nos alegra enormemente.
Ponemos siempre el máximo interés en nuestro trabajo y nos enorgullece recibir comentarios tan positivos como el tuyo.
gracias de nuevo por elegir Eiffel para un dia tan importante, os enviamos un cordial y afectuoso saludo
MIGUEL",1 contribución,Escrita el 30 de mayo de 2022,Escrita el 1 de junio de 2022,1.0,,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247354-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Matrimonio,Jorge Sánchez,"Yo Jorge Sánchez Angulo, realice la recepción de mi boda en dicho Local la atención y la cómida muy pero muy buena","Muchas gracias por tu valoracion, Jorge:
en nombre de todo nuestro equipo te enviamos un cordial saludo y os deseamos mucha felicidad en vuestra nueva etapa. 
Te esperamos para la celebracion de las bodas de plata!
MIGUEL","Barcelona, España",Escrita el 30 de mayo de 2022,Escrita el 1 de junio de 2022,1.0,1 contribución,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247354-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Todo lo que se puede esperar para un día especial.,Jose Manuel A,"Celebramos la comunión de mi hija, el trato excelente, la comida  espectacular, cada plato a cual más bueno, la presentación muy cuidada. El ambiente muy familiar. Pendientes de hasta el último detalle. La sala confortable, con un escenario con proyector, música he iluminación. Totalmente recomendable.","Estimado Jose manuel:
muchas gracias por haber confiado en nosotros como dices en un dia tan especial. Nos alegra saber que hemos estado a la altura y hemos contribuido a que asi fuese.
Esperamos recibir tu visita nuevamente, será un placer atenderos
un saludo
MIGUEL","Toledo, España",Escrita el 30 de mayo de 2022,Escrita el 1 de junio de 2022,1.0,1 contribución,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247343-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Hospitalidad y muy buena comida,Ismael P,"En nuestro viaje a Madrid, paramos a comer antes de llegar guiándonos por las reseñas, cometimos el error de no reservar ya que no nos dimos cuenta que era festivo, desde nuestra llegada el dueño nos busco un sitio, nos llamo la atencion la gran amabilidad e interés que mostró por nosotros. La comida y los postres riquísimos. Puedo decir que de todos los sitios en los que hemos estado por Madrid este es el que mejor que hemos comido y nos han tratado. La próxima vez que viajemos reservaremos. Si decidís comer aquí, no lo dudéis sera un acierto. Muchas gracias al dueño y a los camareros. 10/10","Mil gracias a vosotros, Daniel! cuando me dijiste que veniais desde tan lejos para comer en nuestra casa no podia dejar que os marchaseis, por suerte pudimos haceros un hueco y aunque no pudisteis hacer una buena sobremesa, al menos conseguimos daros de comer antes de que llegara la siguiente reserva.
Esperamos que disfrutaseis del ambiente navideño de Madrid y os esperamos pronto!
en nombre de todo nuestro equipo os enviamos un cordial saludo.
MIGUEL","El Puerto de Santa María, España",14,Escrita el 13 de diciembre de 2022,,Escrita el 14 de diciembre de 2022,14 contribuciones,MikeTower,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247343-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Buenísimo el rabo de toro,Anzagar,"Buena mesa servicio excelente. La cecina muy rica, ensalada abundante, rabo de toro muy muy rico. Repetire","Gracias por tu reseña, angel. 
esperamos esa segunda visita que nos prometes, será un placer atenderte.
En nombre de todo nuestro equipo te enviamos un cordial saludo.
MIGUEL",18 contribuciones,18,Escrita el 13 de diciembre de 2022,,Escrita el 14 de diciembre de 2022,,MikeTower,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247343-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,MUY BUENA CALIDAD Y MEJR SERVICIO,Luis A,"El trato fue excelente, nos dieron todas las facilidades posibles para celebrar un cena de negocios con reunión previa de casi 40 empresarios.
Y la calidad de la comida cumplió de sobra las expectativas y la relación calidad/precio.

¡Muchísimas gracias!","Muchas gracias por dedicar unos minutos a compartir tu experiencia en Eiffel con el resto de lectores, para nosotros es muy importante.
te deseamos unas felices fiestas y esperamos veros nuevamente. Gracias de nuevo
MIGUEL",1 contribución,1,Escrita el 13 de diciembre de 2022,,Escrita el 14 de diciembre de 2022,,MikeTower,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247343-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Merece mucho la pena.,Pedro C,Un gran lugar para comer o cenar. Bien ambientado y buena cocina a precios muy ajustados. Destacar el trato recibido por parte de todo el personal.,"Muchas gracias por tu valoración, Pedro.
Esperamos seguir contando con tu confianza y no defraudarte nunca.
un saludo
MIGUEL","Madrid, España",3,Escrita el 2 de diciembre de 2022,,Escrita el 14 de diciembre de 2022,3 contribuciones,MikeTower,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247343-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Buena calidad y excelente trato,JFMA,"Hace unos días volvimos a reencontrarnos un grupo de viejos amigos y, por recomendación de uno de ellos, fuimos a Eiffel. 

Fue toda una sorpresa. Cuando entras al comedor te encuentras en un ambiente moderno y funcional, pero agradable y sin estridencias, con espacio suficiente entre mesas. 

La comida es de gran calidad, preparada y combinada de forma muy interesante y moderna, pero de nuevo sin artificios innecesarios. Muy agradable a la vista y, sobre todo, al paladar. 

El trato de los dueños y los camareros fue excelente. Muy agradable y profesional en todo momento. 

Una muy buena experiencia que, sin duda, repetiría.","Muchas gracias por tu valoración, nos alegra que todo fuese de vuestro agrado. Esperamos recibir vuestra visita en otra ocasión, será un placer atenderos nuevamente.
un saludo y felices fiestas
MIGUEL",1 contribución,1,Escrita el 2 de diciembre de 2022,,Escrita el 14 de diciembre de 2022,,MikeTower,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/26/8c/b2/juan-m.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247343-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Cena con espectáculo de magia maridada con vinos de la Vinoteca el Sumiller.,Miguel Friends Food,"Excelente velada con cena muy rica, atendidos por profesionales de la hostelería, equilibrada con buenos vinos y un mago de grandísimo nivel llamado Iñaki Zabaleta. Recomendable 100%
Todo un acierto.","Muchas gracias por tu valoración, la verdad es que estando la magia del gran iñaky zabaletta y el conocimiento del vino que tiene nuestro vecino y buen amigo Juan poco tenemos que aportar para que el resultado sea de 10.
esperamos verte nuevamente por Eiffel, será un placer atenderte.
UN SALUDO
MIGUEL",1 contribución,1,Escrita el 2 de diciembre de 2022,,Escrita el 14 de diciembre de 2022,,MikeTower,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
